"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DHARMENDRA PRATAP SINGH","2 - RAHUL GANDHI","3 - SMRITI ZUBIN IRANI","4 - GOPAL SWAROOP GANDHI","5 - CHHAYA SINGH","6 - ZAHIDA BEGAM","7 - BABU LAL","8 - C L MAURYA","9 - RAVI KUMAR","10 - RADHE MOHAN","11 - RAM ASREY","12 - RAM NEWAJ","13 - RAMSIDDH YADAV","14 - VASDEO","15 - DR. KUMAR VISHVAS","16 - VEDPAL SHASATRI","17 - MOHD HASAN LAHRI","18 - UMAKANT","19 - GIRIJA BAKS","20 - GANGESH KUMAR GUPTA","21 - JAGAT SINGH CHAUDHARY","22 - JITENDRA SINGH","23 - TULSIRAM","24 - DWARIKA PRASAD","25 - NARESH SINGH BHADAURIYA","26 - BHAGWAN DEEN","27 - MITHILESH KUMARI","28 - RAMESH CHANDRA","29 - RAM SAJIWAN","30 - LAL BAHADUR","31 - SHIV KUMAR","32 - SWAMINATH","33 - SONAM KINNAR","34 - SANJAY KUMAR","35 - None of the Above","Total Votes Secured"
1,KANAKSINGHPUR,452,426,0,878,212,170,0,382,332,0,2,228,90,1,1,0,0,0,0,1,0,0,2,0,22,4,4,1,0,0,1,0,4,1,0,2,1,5,1,2,1,4,1,2,1,382
2,KANAKSINGHPUR,396,354,0,750,209,192,0,401,400,0,22,269,64,1,2,1,0,1,0,0,1,2,2,3,17,2,2,0,0,0,0,0,2,0,0,1,1,4,0,1,1,2,0,0,0,401
3,"KORAR ILACHHANSHAH",717,668,0,1385,412,352,0,764,763,0,86,419,155,1,1,2,2,3,2,2,0,1,1,7,51,9,0,3,1,0,2,1,0,3,0,2,3,2,0,3,1,0,0,0,1,764
4,KORARIHEERSHAH,597,559,1,1157,312,290,0,602,16,0,34,206,283,4,5,1,0,3,2,1,0,1,2,3,13,5,4,4,1,8,0,0,3,2,0,1,2,3,1,6,0,1,0,0,3,602
5,SEMRA,743,656,0,1399,363,356,0,719,719,0,76,445,100,3,2,1,0,3,0,1,0,3,1,1,29,6,6,11,5,4,0,1,3,1,1,1,0,5,2,1,2,2,0,0,3,719
6,MADERIKA,429,407,0,836,232,214,0,446,123,0,19,279,127,2,4,0,1,1,0,0,1,0,0,2,4,2,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,446
7,MADERIKA,413,358,0,771,195,168,0,363,312,0,31,180,108,2,3,0,1,1,0,1,1,0,1,0,22,1,3,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,363
8,SARUWANAWA,618,571,0,1189,304,267,0,571,565,0,40,306,158,2,4,0,1,0,1,0,1,1,1,0,9,4,3,7,3,1,2,1,3,1,1,1,2,6,1,2,1,2,1,3,2,571
9,SARUWANAWA,531,510,1,1042,271,201,0,472,265,0,31,250,98,2,0,1,0,2,3,0,1,0,0,1,16,4,8,2,5,3,4,3,6,1,0,2,6,7,1,3,1,9,0,0,2,472
10,SARUWANAWA,629,575,0,1204,301,200,0,501,300,0,19,217,168,1,2,1,1,2,0,0,0,2,2,3,47,4,2,1,5,0,1,2,3,1,0,1,1,4,0,1,1,7,1,0,1,501
11,DALSHAHPUR,419,356,0,775,211,205,0,416,416,0,74,140,149,1,2,0,1,3,0,2,0,0,1,2,28,3,1,0,0,0,0,1,1,2,0,0,0,3,1,0,0,0,0,0,1,416
12,"PASHCHIM DUWARA",570,494,0,1064,219,177,0,396,396,0,44,230,91,0,0,0,1,2,1,0,0,0,1,0,11,3,0,0,0,2,0,0,0,0,2,0,0,2,0,1,1,1,0,1,2,396
13,PURABDUWARA,524,478,0,1002,250,211,0,461,396,0,37,199,180,4,3,0,1,1,0,0,0,1,0,2,5,0,3,2,0,0,1,1,1,0,0,0,3,5,1,0,1,6,2,0,2,461
