"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ANJU URF MUSKAN","2 - KAMLESH","3 - PRADEEP KUMAR JATAV","4 - BHOLA SINGH","5 - PYARE LAL","6 - RAGHURAJ PRATAP SINGH","7 - DR. RAHUL DIPANKAR","8 - VIJAI PAL","9 - SURESH","10 - HARVIR","11 - None of the Above","Total Votes Secured"
1,"BHAIPUR PRIMARY SCHOOL",796,676,0,1472,428,362,0,790,790,0,11,86,306,364,2,3,2,7,1,5,3,790
2,"HOSIYARPUR URF ANDHIYAR PRIMARY SCHOOL R.NO. 1",709,603,0,1312,370,346,0,716,716,0,16,4,248,413,7,1,6,4,2,9,6,716
3,"HOSIYARPUR URF ANDHIYAR PRIMARY SCHOOL R.NO. 2",328,273,0,601,217,196,0,413,413,0,9,1,37,357,2,3,1,0,0,1,2,413
4,"ROHILLAPUR URF KHARWA PRIMARY SCHOOL",381,307,0,688,201,156,0,357,357,0,10,1,220,108,0,10,2,0,4,1,1,357
5,"PIPERA PRIMARY SCHOOL",593,490,0,1083,350,327,0,677,677,0,52,20,335,216,4,2,22,7,5,5,9,677
6,"PRIMARY PATHSHALA -2 KATYAWALI R.NO. 1",428,392,0,820,251,196,0,447,447,0,14,30,115,270,2,1,6,4,2,2,1,447
7,"PRIMARY PATHSHALA-2 KATYAWALI R.NO. 2",388,362,0,750,194,200,0,394,394,0,19,143,42,165,0,0,18,1,0,4,2,394
8,"KISANKHERA PRIMARY SCHOOL",656,556,0,1212,427,301,0,728,728,0,32,15,51,604,7,1,8,2,1,3,4,728
9,"DHATURI JUNIOR HIGH SCHOOL R.NO. 1",441,404,0,845,355,245,0,600,600,0,1,27,8,555,3,0,1,0,0,5,0,600
10,"DHATURI JUNIOR HIGH SCHOOL R.NO. 2",353,315,0,668,285,213,0,498,498,0,2,7,9,470,3,1,2,0,0,3,1,498
11,"DHATURI JUNIOR HIGH SCHOOL R.NO. 3",408,359,0,767,325,255,0,580,580,0,21,9,290,248,0,0,1,2,3,4,2,580
12,"YAQOOBPUR PRIMARY SCHOOL R.NO. 2",622,563,0,1185,444,271,0,715,715,0,9,74,61,557,2,0,5,0,1,3,3,715
13,"YAQOOBPUR PRIMARY SCHOOL R.NO. 2",694,632,0,1326,444,300,0,744,744,0,16,76,75,553,3,4,8,3,1,4,1,744
14,"BELAUT PRIMARY SCHOOL",199,178,0,377,127,115,0,242,242,0,4,11,51,170,0,1,3,0,1,0,1,242
15,"GHUNGHRAWALI BANVARIPUR PRIMARY SCHOOL R.NO. 1",810,727,0,1537,573,492,0,1065,1065,0,7,127,293,604,6,1,12,0,5,4,6,1065
16,"GHUNGHRAWALI BANVARIPUR PRIMARY SCHOOL R.NO. 2",714,621,0,1335,562,454,0,1016,1016,0,0,33,189,775,4,2,4,3,1,4,1,1016
17,"MUKEEMPUR PRIMARY SCHOOL",311,288,0,599,182,161,0,343,343,0,5,37,29,263,1,0,3,3,0,1,1,343
18,"JATPURA INTER COLLEGE R.NO.1",677,605,0,1282,426,373,0,799,799,0,16,63,156,540,5,1,4,3,1,4,6,799
19,"JATPURA INTER COLLEGE R.NO.2",309,278,0,587,184,167,0,351,351,0,1,1,312,18,1,2,0,4,8,1,3,351
20,"RASOOLPUR PRIMARY SCHOOL R.NO.1",594,522,0,1116,397,335,0,732,732,0,28,29,75,585,2,0,2,5,0,4,2,732
21,"RASOOLPUR PRIMARY SCHOOL R.NO.2",597,507,0,1104,396,260,0,656,656,0,17,93,410,97,2,0,3,0,2,31,1,656
22,"CHITSAUN PRIMARY SCHOOL R.NO.1",494,426,0,920,298,247,0,545,545,0,5,58,189,274,2,1,1,4,0,1,10,545
23,"CHITSAUN PRIMARY SCHOOL R.NO.2",405,362,0,767,230,189,0,419,419,0,28,33,41,302,2,1,1,5,1,0,5,419
24,"CHITSAUN PRIMARY SCHOOL R.NO.3",797,707,0,1504,472,406,0,878,878,0,46,96,141,566,3,2,8,5,1,5,5,878
25,"KHAIRPUR PRIMARY SCHOOL",632,557,0,1189,416,360,0,776,776,0,0,101,136,515,2,0,13,3,1,4,1,776
26,"POOTHRI KHURD PRIMARY SCHOOL",473,426,0,899,317,252,0,569,569,0,4,70,170,313,2,0,2,0,0,7,1,569
27,"HURTHALA PRIMARY SCHOOL R.NO. 1",494,437,0,931,283,250,0,533,533,0,19,27,23,443,2,0,5,2,2,5,5,533
28,"HURTHALA PRIMARY SCHOOL R.NO. 2",487,438,0,925,277,286,0,563,563,0,11,43,377,123,2,0,2,2,1,2,0,563
29,"MORAUNI PRIMARY SCHOOL",662,591,0,1253,371,344,0,715,715,0,7,14,374,280,7,4,12,7,4,2,4,715
30,"SURJAWALI INTER COLLEGE",466,425,0,891,275,259,0,534,534,0,6,79,227,217,0,1,1,0,2,0,1,534
31,"SALEMPUR SARVODAYA INTER COLLEGE R.NO. 1",570,510,0,1080,310,281,0,591,591,0,247,6,16,297,7,2,0,4,0,5,7,591
32,"SALEMPUR SARVODAYA INTER COLLEGE R.NO. 2",364,324,0,688,190,168,0,358,358,0,82,9,51,198,1,0,1,7,1,3,5,358
33,"SALEMPUR SARVODAYA INTER COLLEGE R.NO. 3",416,361,0,777,229,158,0,387,387,0,79,7,14,280,1,0,3,1,0,2,0,387
34,"SALEMPUR SARVODAYA INTER COLLEGE R.NO. 4",406,367,0,773,263,203,0,466,466,0,38,3,222,181,1,1,3,4,4,7,2,466
35,"SALEMPUR SARVODAYA INTER COLLEGE R.NO. 5",746,644,0,1390,372,308,0,680,680,0,64,20,14,566,1,2,3,1,0,7,2,680
36,"BHAINSROLI NASEERPUR PRIMARY SCHOOL R.NO. 1",610,533,1,1144,413,305,0,718,718,0,3,16,213,469,5,0,2,1,6,2,1,718
37,"BHAINSROLI NASEERPUR PRIMARY SCHOOL R.NO. 2",582,505,0,1087,381,317,0,698,698,0,7,3,95,565,16,1,2,4,1,3,1,698
38,"RANGPUR PRIMARY SCHOOL R.NO. 1",715,633,0,1348,419,359,0,778,778,0,7,10,56,684,3,0,0,7,1,4,6,778
39,"RANGPUR PRIMARY SCHOOL R.NO. 2",716,640,0,1356,406,375,0,781,781,0,9,2,210,542,15,0,0,0,1,0,2,781
40,"MUKEHRA PRIMARY SCHOOL",772,695,0,1467,493,383,0,876,876,0,20,174,392,252,5,0,2,3,4,5,19,876
41,"RAJPURA PRIMARY SCHOOL",492,442,0,934,294,225,0,519,519,0,2,2,127,366,3,0,8,4,0,2,5,519
42,"KAILAWAN PRIMARY SCHOOL R.NO. 1",422,370,0,792,232,204,0,436,436,0,35,92,47,245,2,1,3,1,1,5,4,436
43,"KAILAWAN PRIMARY SCHOOL R.NO. 2",469,430,0,899,288,235,0,523,523,0,38,29,292,145,3,0,1,3,3,0,9,523
44,"KAILAWAN INDRA GANDHI INTER COLLEGE",746,674,0,1420,411,369,0,780,780,0,44,56,217,444,1,0,3,1,5,5,4,780
45,"AZAMPUR DARIYAPUR PRIMARY SCHOOL",455,416,0,871,283,282,0,565,565,0,6,19,295,235,1,2,5,0,1,1,0,565
46,"PAROULI PRIMARY SCHOOL",528,518,0,1046,338,345,0,683,683,0,5,50,217,358,7,3,6,9,6,10,12,683
47,"ANCHRU KALAN PRIMARY SCHOOL R.NO. 1",625,558,0,1183,302,285,0,587,587,0,27,19,18,495,4,0,8,5,0,4,7,587
48,"ANCHRU KALAN PRIMARY SCHOOL R.NO. 2",282,258,0,540,156,136,0,292,292,0,3,28,130,116,3,0,2,2,0,3,5,292
49,"ANCHRU KHURD PRIMARY SCHOOL",346,320,0,666,229,178,0,407,407,0,6,1,148,243,2,0,1,0,4,2,0,407
50,"HALPURA PRIMARY SCHOOL",562,498,0,1060,352,310,0,662,662,0,7,22,164,445,3,1,10,3,1,4,2,662
51,"BHATOLA PRIMARY SCHOOL WEST ROOM",665,591,0,1256,310,276,0,586,586,0,9,49,60,457,5,0,1,2,0,1,2,586
52,"BHATOLA PRIMARY SCHOOL EAST ROOM",519,459,0,978,258,252,0,510,510,0,33,49,144,274,1,0,1,0,1,2,5,510
53,"ABDULLAPUR HULASAN PRIMARY SCHOOL",199,178,0,377,131,131,0,262,262,0,1,1,194,61,1,0,0,0,2,1,1,262
54,"KARIRA PRIMARY SCHOOL R.NO. 1",606,546,0,1152,389,315,0,704,704,0,3,95,127,446,3,2,4,6,2,7,9,704
55,"KARIRA PRIMARY SCHOOL R.NO. 2",415,356,0,771,245,185,0,430,430,0,7,167,114,136,1,0,2,1,0,1,1,430
56,"FATAHPUR KHURD PRIMARY SCHOOL",311,275,0,586,255,173,0,428,428,0,36,9,1,376,3,1,0,1,0,0,1,428
57,"JALALUDDINPUR GINOURI PRIMARY SCHOOL",358,315,0,673,287,253,0,540,540,0,3,483,29,21,0,0,0,1,0,2,1,540
58,"BARODA JUNIOR HIGH SCHOOL R.NO. 1",440,393,0,833,341,287,0,628,628,0,3,4,13,596,1,1,0,2,1,2,5,628
59,"BARODA JUNIOR HIGH SCHOOL R.NO. 2",441,381,0,822,309,245,0,554,554,0,31,9,289,216,2,1,1,0,1,0,4,554
60,"SARAWA KISAN ADARSH VIDHYALAYA R.NO. 1",400,364,0,764,180,159,0,339,339,0,4,90,41,198,0,2,1,0,0,1,2,339
61,"SARAWA KISAN ADARSH VIDHYALAYA R.NO. 2",340,315,0,655,173,173,0,346,346,0,2,93,21,218,2,1,3,1,1,2,2,346
62,"SARAWA KISAN ADARSH VIDHYALAYA R.NO. 3",521,467,0,988,360,277,0,637,637,0,3,1,361,257,0,0,3,1,1,6,4,637
63,"RAMPURA PRIMARY SCHOOL",189,165,0,354,159,121,0,280,280,0,12,2,3,257,3,0,0,1,0,0,2,280
64,"KHALASIYA PRIMARY SCHOOL",339,299,0,638,229,187,0,416,416,0,59,15,19,317,1,0,1,3,0,0,1,416
65,"HIRNOUT PRIMARY SCHOOL",531,467,0,998,291,273,0,564,564,0,9,44,234,263,2,1,6,2,3,0,0,564
66,"ASAVARI PRIMARY SCHOOL",746,681,0,1427,533,396,0,929,929,0,39,286,238,328,4,3,15,6,6,2,2,929
