"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KADIR RANA","2 - PANKAJ AGARWAL","3 - VIRENDER SINGH","4 - DR. SANJEEV KUMAR BALYAN","5 - ANIL KUMAR","6 - CHATAR SINGH KASHYAP","7 - MANGE RAM KASHYAP","8 - MOHAMMED YAMIN","9 - MO. YAMIN","10 - RAJESH DEVI ALIAS RADHIKA BALIYAN","11 - LALIT CHAUHAN","12 - ANKUR","13 - GUFRAN AHMAD","14 - JAGBIR SINGH","15 - NASEEM AHMAD ANSARI","16 - PHOOL SINGH PAL","17 - RAKESH","18 - SHABNAM","19 - SHANDAR GUFRAN","20 - None of the Above","Total Votes Secured"
1,"PRATHMIK VIDHALAYA PURVI BHAG SIKHEDA",738,637,0,1375,514,449,0,963,550,0,245,8,268,411,3,0,0,2,2,9,2,0,1,0,2,2,2,0,1,5,963
2,"PRATHMIK VIDHALAYA PACHIMI BHAG ROOM NO.1 SIKHEDA",429,369,0,798,332,276,0,608,510,0,173,3,26,402,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,608
3,"PRATHMIK VIDHALAYA PACHIMI BHAG ROOM NO.2 SIKHEDA",448,379,0,827,340,273,0,613,569,0,333,4,86,156,2,0,0,2,2,2,0,1,3,1,0,7,5,2,3,4,613
4,"PRATHMIK VIDHALAYA ROOM NO.1 BEHDA ASA",517,434,0,951,387,285,0,672,671,0,82,3,13,542,4,1,0,1,0,7,0,2,4,0,0,2,1,2,3,5,672
5,"PRATHMIK VIDHALAYA ROOM NO.2 BEHDA ASA",449,379,0,828,359,254,0,613,472,0,6,0,154,443,0,1,0,3,1,1,0,0,2,0,1,0,0,0,1,0,613
6,"JUNIOR HIGH SCHOOL ROOM NO.1 BEHDA ASA",424,373,0,797,298,216,0,514,200,0,84,1,27,373,1,1,0,0,0,1,0,1,0,0,0,5,8,0,1,11,514
7,"JUNIOR HIGH SCHOOL ROOM NO.2 BEHDA ASA",466,376,0,842,303,255,0,558,251,0,133,6,24,363,2,0,0,0,1,2,0,2,0,2,2,5,10,0,1,5,558
8,"JUNIOR HIGH SCHOOL ROOM NO.1 BHANDOOR",544,437,0,981,484,380,0,864,664,0,3,12,14,814,3,0,0,0,0,5,0,3,4,2,0,0,1,1,0,2,864
9,"JUNIOR HIGH SCHOOL ROOM NO.2 BHANDOOR",445,397,0,842,401,334,0,735,535,0,83,6,26,584,5,0,0,1,3,3,1,0,4,1,0,4,4,1,1,8,735
10,"PRATHMIK VIDHALAYA ROOM NO.1 DAHKHEDI",578,537,0,1115,488,342,0,830,330,0,156,3,417,199,1,1,2,8,0,4,3,2,4,3,5,2,9,1,7,3,830
11,"PRATHMIK VIDHALAYA ROOM NO.2 DAHKHEDI",577,523,0,1100,428,388,0,816,200,0,182,4,444,136,0,0,0,12,0,2,0,1,1,4,0,1,11,0,12,6,816
12,"PRATHMIK SCHOOL NO.1 NANGLA MANDAUD",622,512,0,1134,586,425,0,1011,506,0,1,0,1,999,0,0,0,0,0,4,1,0,2,0,0,0,0,0,0,3,1011
13,"PRA SCHOOL ROOM NO.1 NANGLA KABEER",720,627,2,1349,567,464,0,1031,830,0,118,5,45,833,4,0,0,1,0,7,1,2,3,1,2,4,2,0,1,2,1031
14,"PRATHMIK VIDHALAYA ROOM NO.1 KATKA",708,586,0,1294,518,376,0,894,710,0,603,2,139,115,2,0,0,1,2,2,2,0,3,0,4,8,8,1,1,1,894
