"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KANWAR SINGH TANWAR","2 - FARHAT HASAN","3 - RAKESH TIKAIT","4 - HUMERA AKHTAR","5 - KHAJAN SINGH","6 - BRAJLAL","7 - MAHESH","8 - RAKESH","9 - RAJPAL","10 - SARVESH KUMAR SAINI","11 - SYED KALBE RUSHAID RIZVI","12 - HUSNEIN RAZAA","13 - NARESH KUMAR","14 - NARESH CHAND","15 - SURENDRA SINGH","16 - None of the Above","Total Votes Secured"
1,"PRATHMIK VIDHYALAYA DHNAWALI URF ATTA",533,480,0,1013,373,326,0,699,699,0,494,54,2,136,1,0,0,1,0,0,5,0,0,0,1,5,699
2,"PRATHMIK VIDHYALAYA N. 2 MUJAFFARA BAGADPUR",650,575,0,1225,437,358,0,795,793,0,541,105,6,127,1,2,0,0,1,0,4,0,2,0,3,3,795
3,"PRATHMIK VIDHYALAYA N.1  MUJAFFARA BAGADPUR R.N.-1",600,541,0,1141,416,330,0,746,739,0,709,12,5,2,0,1,1,0,0,0,3,1,0,1,1,10,746
4,"PRATHMIK VIDHYALAYA N.1  MUJAFFARA BAGADPUR R.N.-2",665,559,0,1224,441,389,0,830,830,0,82,534,4,196,1,0,0,0,0,0,0,1,1,1,7,3,830
5,"PRATHMIK VIDHYALAYA N.3  BAGADPUR",372,324,0,696,294,259,0,553,546,0,327,29,6,180,3,1,0,0,0,0,2,1,0,2,0,2,553
6,"PRATHMIK VIDHYALAYA BAHARANPUR  BARHLI R.N.-1",506,422,0,928,356,310,0,666,663,0,102,85,5,460,0,1,1,1,0,1,1,2,0,4,3,0,666
7,"PRATHMIK VIDHYALAYA BAHARANPUR  BARHLI R.N.-2",448,443,0,891,257,310,0,567,566,0,26,87,6,426,2,2,3,1,0,2,2,0,3,0,2,5,567
8,"PURVA MADHYAMIK  VIDHYALAYA SARAWANI R.N.-1",466,441,0,907,341,289,0,630,630,0,115,38,2,466,1,1,1,3,0,1,0,0,1,0,0,1,630
9,"PURVA MADHYAMIK  VIDHYALAYA SARAWANI R.N.-2",608,500,1,1109,386,330,0,716,716,0,74,32,11,580,8,0,2,1,1,1,2,0,3,0,1,0,716
10,"PRATHMIK VIDHYALAYA  SARAWANI",599,474,0,1073,337,255,0,592,591,0,87,77,5,404,2,0,1,0,1,0,0,2,1,2,1,9,592
