"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ARUN SHANKAR SHUKLA","2 - BRAJESH PATHAK","3 - SUKHDEV","4 - SWAMI SACHCHIDANAND HARI SAKSHI","5 - SUMIT TEWARI","6 - ANIL KUMAR MISHRA","7 - SHALU DHARMENDRA","8 - ANIL KUMAR CHAUDHARY","9 - ANNU TANDON","10 - ARVIND KUMAR","11 - ROOP NARAYAN SINGH","12 - GIRJA SHANKAR RAJU","13 - SHIVNATH","14 - RAKESH KUMAR","15 - ANIL KUMAR","16 - RAMESHWAR","17 - MOHAMMAD AMIR KHAN","18 - RAJNIKANT","19 - SHIVKANT","20 - AKHILESH KUMAR","21 - CHETRAM PASI","22 - None of the Above","Total Votes Secured"
28,"JANTA SHICHHA NIKETAN RAUKRNA",468,381,0,849,300,233,0,533,533,0,237,25,3,212,0,1,0,3,34,1,0,4,1,0,1,1,3,0,1,2,1,3,533
29,"KANYA JUNIAR HIGH SCHOOL RAUKARNA",527,426,0,953,342,275,0,617,617,0,164,51,1,293,2,0,0,2,91,0,2,4,1,0,0,0,0,0,0,3,2,1,617
30,"PRAIMARI PATHSALA",691,514,0,1205,452,340,0,792,792,0,198,100,0,367,1,0,3,5,66,1,1,4,6,6,1,9,4,6,4,3,5,2,792
31,"JUNIAR HIGH SCHOOL KHATAULI M0 RAUKRNA",535,402,0,937,373,217,0,590,590,0,264,72,0,166,0,0,0,2,61,0,1,2,1,0,1,3,1,4,7,4,1,0,590
32,"PRAIMARI PATHSALA PARMANI",510,385,0,895,294,264,0,558,558,0,137,96,5,273,1,1,1,4,7,2,0,3,5,1,0,4,1,2,8,3,1,3,558
33,"PRAIMARI PATHSALA NAGWA",403,339,0,742,294,237,0,531,531,0,122,28,2,292,0,0,1,2,64,1,1,2,0,1,1,2,1,2,6,2,1,0,531
34,"PRAIMARI PATHSALA BAUNAMAU",762,666,0,1428,440,350,0,790,790,0,70,122,3,409,3,2,4,9,130,5,0,5,0,2,5,7,2,0,3,5,2,2,790
35,"PANCHAYAT GHAR BAUNAMAU",681,531,0,1212,360,311,0,671,671,0,83,125,3,261,3,1,2,5,164,1,1,0,5,1,0,4,4,2,2,2,0,2,671
36,"JUNIAR HAIGH UTTAR THANA",811,605,0,1416,537,373,0,910,910,0,136,142,4,436,1,0,2,6,161,1,1,6,0,2,2,2,2,3,0,0,2,1,910
37,"JUNIAR HIGH SCHOOL DACHHIDN THANA",767,609,0,1376,520,359,0,879,879,0,94,99,2,533,0,1,1,6,100,3,1,6,1,3,4,7,3,1,4,5,1,4,879
38,"UCH MADIMIK KANYA VIDHALAY THANA",234,182,0,416,142,95,0,237,237,0,57,29,1,116,0,0,0,4,18,0,0,7,0,0,0,0,1,0,1,2,0,1,237
39,"PRAIMARI PATHSALA RAMSINGH KHERA M0 THANA",667,513,0,1180,407,298,0,705,705,0,60,171,2,354,1,2,2,10,64,1,1,3,3,2,0,7,4,2,4,5,1,6,705
40,"PRAIMARI PATHSALA AKBARPUR DABULI",820,679,0,1499,600,450,0,1050,1050,0,115,315,2,503,1,2,0,7,64,1,0,3,0,1,1,8,6,4,3,7,0,7,1050
41,"PRAIMARI PATHSALA PURW PURANISFPANSARI",785,576,0,1361,426,334,0,760,760,0,230,117,0,305,1,0,1,5,83,3,0,3,0,2,1,2,0,0,0,4,1,2,760
42,"JUNIAR HIGH SCHOOL PURANIFPANSARI",816,591,0,1407,419,331,0,750,750,0,211,36,4,433,4,0,0,7,24,1,0,3,1,2,3,8,1,3,2,3,1,3,750
43,"PRAIMARI PATHSALA PASHCHIM PURANIFPANSARI",389,307,0,696,205,177,0,382,382,0,35,34,0,251,0,2,0,1,39,1,0,1,3,1,2,2,2,1,4,2,0,1,382
44,"PRAIMARI PATHSALA PURW PAWAI",946,772,0,1718,553,393,0,946,946,0,248,150,5,454,1,3,1,5,33,0,1,4,4,1,2,12,2,6,8,0,3,3,946
45,"PRAIMARI PATHSALA MAJHKHORIYA",748,558,0,1306,486,380,0,866,866,0,97,161,1,509,2,1,3,11,44,1,1,10,0,3,1,8,3,0,4,2,3,1,866
46,"PRAIMARI PATHSALA MULUKGADAR",510,388,0,898,326,251,0,577,577,0,132,61,2,222,0,0,1,3,136,4,0,1,1,1,1,1,5,1,2,1,2,0,577
47,"PRAIMARI PATHSALA JINDAKHEDA M0 MULUKGADAR",647,510,0,1157,440,290,0,730,730,0,113,176,3,376,2,0,1,5,33,3,1,3,1,2,1,4,0,0,1,4,0,1,730
48,"PRAIMARI PATHSALA RUPAU",726,554,0,1280,483,281,0,764,764,0,273,84,0,309,2,0,0,7,74,1,0,4,0,3,0,3,1,1,0,0,0,2,764
49,"KANYA PRAIMARI PATHSALA PURW RUPAU",836,657,0,1493,484,332,0,816,816,0,63,243,0,334,2,1,1,5,136,3,1,4,1,2,1,6,4,3,1,1,2,2,816
50,"KANYA PRAIMARI PATHSALA PASHCHIM RUPAU",719,575,0,1294,459,338,0,797,797,0,98,77,1,499,6,0,3,5,66,2,3,3,0,1,6,3,3,2,9,4,2,4,797
51,"PRAIMARI PATHSALA SHAHJADPUR",335,269,0,604,231,171,0,402,402,0,10,59,1,141,0,1,0,3,163,4,0,5,1,1,0,4,1,1,0,6,0,1,402
