"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ASHOK SINGH","2 - RAKESH PANDEY","3 - RAM MURTI VERMA","4 - HARI OM PANDEY","5 - GOPAL NISHAD","6 - JAHAR SINGH KASHYAP","7 - BALMUKUND DHURIYA","8 - BRIJESH KUMAR","9 - RAM BAHAL VERMA","10 - SREERAM","11 - SURENDRA KUMAR","12 - SURESH KUMAR BAUDDH","13 - TIGER RAMNIHOR PATEL","14 - VINOD KUMAR TIWARI","15 - None of the Above","Total Votes Secured"
1,"P.V. SEWAGANJ PURVI",591,525,0,1116,368,320,0,688,650,0,10,134,145,369,3,2,0,2,0,2,1,7,6,5,2,688
2,"P.V. SEWAGANJ PASCHIMI KAKSH",655,489,0,1144,429,337,0,766,765,0,9,134,153,411,7,1,0,0,2,2,4,10,17,6,10,766
3,"P.V. MAHUWARI DWITIY",838,683,0,1521,507,397,0,904,904,0,25,282,216,351,5,0,0,2,1,0,2,4,5,7,4,904
4,"P.V. MAHUWARI PRATHAM PURVI KAKSH",897,780,0,1677,556,454,0,1010,980,0,30,242,175,526,1,14,1,0,1,4,1,9,4,2,0,1010
5,"P.V. MAHUWARI PRATHAM PASCHIMI KAKSH",100,88,0,188,75,62,0,137,137,0,2,45,43,37,0,2,0,0,0,0,0,2,4,1,1,137
6,"P.V. AUSANPUR PURVI KAKSH",632,522,0,1154,430,330,0,760,755,0,7,150,135,438,5,3,1,0,0,2,0,8,9,2,0,760
7,"P.V. AUSANPUR PASCHIMI KAKSH",478,384,0,862,300,223,0,523,523,0,8,61,250,185,2,1,0,2,3,0,1,2,4,0,4,523
8,"P.M.V. AINWA KHAS PURVI KAKSH",453,406,0,859,261,260,0,521,504,0,12,97,137,259,0,0,0,1,0,0,1,6,1,3,4,521
9,"P.M.V. AINWA KHAS PASCHIMI KAKSH",686,559,0,1245,388,401,0,789,788,0,9,150,315,284,5,2,0,1,0,4,0,9,10,0,0,789
10,"P.V. LAXMANPUR AINWA",455,383,0,838,258,234,0,492,473,0,16,154,134,171,1,1,1,1,0,1,1,3,1,2,5,492
11,"P.M.V. DASHRATHPUR UTTARI KAKSH",490,421,0,911,272,239,0,511,511,0,12,179,51,251,2,0,0,0,0,3,0,5,3,2,3,511
12,"P.M.V. DASHRATHPUR DAKSHNI KAKSH",432,361,0,793,243,229,0,472,472,0,4,201,36,211,2,2,1,0,1,0,2,1,5,3,3,472
13,"P.V. RAMPUR UTTARI KAKSH",601,539,0,1140,335,317,0,652,652,0,8,176,37,381,5,0,1,2,0,20,0,2,8,5,7,652
14,"P.V. RAMPUR DAKSHINI KAKSH",318,299,0,617,219,189,0,408,407,0,6,188,20,180,2,0,0,0,1,2,0,1,5,1,2,408
15,"P.V. BHUWALPUR",659,619,0,1278,450,392,0,842,842,0,6,208,164,412,3,2,4,0,1,16,3,5,7,5,6,842
16,"J.I.C. UTRETHU KAKSH N.-1",467,383,0,850,316,243,0,559,559,0,5,144,31,358,5,3,2,0,0,2,0,1,3,0,5,559
17,"J.I.C. UTRETHU KAKSH N.-2",443,361,0,804,260,206,0,466,466,0,1,88,149,207,1,1,0,0,1,1,0,5,1,4,7,466
18,"J.I.C. UTRETHU KAKSH N.-3",468,396,0,864,244,213,0,457,446,0,14,123,123,188,0,1,0,1,0,0,2,0,0,2,3,457
19,"J.I.C. UTRETHU KAKSH N.-4",422,374,0,796,283,253,0,536,536,0,28,200,66,213,2,2,1,0,1,2,1,4,6,4,6,536
20,"P.V. DEIPUR",729,638,0,1367,442,398,0,840,840,0,8,365,103,327,5,2,1,1,0,9,2,5,5,2,5,840
21,"P.V. NARAYANPUR",534,485,0,1019,284,283,0,567,550,0,16,212,51,268,1,0,2,1,0,2,1,5,4,3,1,567
22,"P.V. GAJRAJ KA PURA",257,235,0,492,179,168,0,347,347,0,7,63,41,216,1,3,0,0,1,1,0,7,2,2,3,347
23,"P.V. MEETHEPUR PURVI KAKSH",556,493,0,1049,281,260,0,541,541,0,13,188,60,252,0,0,0,0,1,3,1,3,7,4,9,541
24,"P.V. MEETHEPUR PASCHIMI KAKSH",322,289,0,611,206,179,0,385,380,0,26,130,72,134,1,4,2,0,0,0,0,6,3,5,2,385
25,"P.M.V. MEETHEPUR PASCHIMI KAKSH",493,437,0,930,252,219,0,471,471,0,2,92,39,317,3,2,1,2,0,0,1,1,2,6,3,471
26,"P.V. BHADSARI UTTARI KAKSH",729,644,0,1373,398,400,0,798,798,0,16,271,60,399,3,0,2,0,1,0,3,12,10,7,14,798
27,"P.V. BHADSARI DAKSHINI KAKSH",744,675,0,1419,444,404,0,848,843,0,9,154,67,572,5,4,0,0,3,1,4,8,6,3,12,848
28,"P.V. GANESHPUR",232,199,0,431,115,117,0,232,232,0,11,48,5,159,0,1,0,0,0,3,0,3,0,0,2,232
29,"P.V. BELASPUR PURVI KAKSH",731,687,0,1418,299,437,0,736,685,0,3,186,505,32,0,1,0,0,0,0,0,2,3,0,4,736
30,"P.V. BELASPUR PASCHIMI KAKSH",429,387,0,816,161,243,0,404,404,0,6,66,249,70,1,0,0,0,0,1,1,4,0,2,4,404
31,"P.V. KHOOKHOOTARA",597,516,0,1113,366,346,0,712,710,0,13,141,91,406,2,1,2,2,2,2,3,19,16,1,11,712
32,"P.M.V. BHARIDEEH UTTARI KAKSH",472,422,0,894,290,270,0,560,560,0,10,114,168,185,75,1,1,1,0,1,1,1,1,0,1,560
33,"P.M.V.BHARIDEEH DAKSHINI KAKSH",926,759,0,1685,458,484,0,942,940,0,13,308,308,262,26,2,2,2,1,2,1,5,6,2,2,942
34,P.V.GHURANPUR,358,317,0,675,264,230,0,494,474,0,5,215,134,123,1,0,0,1,1,1,7,1,1,1,3,494
35,"JAIRAM VERMA BAPU SMARAK I.C. NAUSANDA KAKSH SAN.-8",351,295,0,646,245,200,0,445,443,0,1,74,40,320,2,1,0,0,0,1,1,4,1,0,0,445
36,"JAIRAM VERMA BAPU SMARAK I.C. NAUSANDA KAKSH SAN.-2",201,173,0,374,129,138,0,267,267,0,1,83,77,103,0,0,0,0,1,0,0,0,0,0,2,267
37,"P.V. RUSTAMPUR",233,195,0,428,175,145,0,320,320,0,2,74,30,181,1,29,0,0,0,0,0,2,0,0,1,320
38,"P.V. PURABAKSRAY",449,347,0,796,225,206,0,431,431,0,9,137,12,258,1,1,0,1,0,2,0,3,3,0,4,431
39,"P.V. DAANPUR",360,356,0,716,290,240,0,530,530,0,7,93,19,391,6,2,1,1,0,1,0,2,2,3,2,530
40,"P.V. GAUHANIYA",541,503,0,1044,270,342,0,612,612,0,7,146,401,52,0,0,0,0,0,0,0,2,1,0,3,612
41,P.V.MADARPUR,761,652,0,1413,330,407,0,737,717,0,10,169,262,255,4,2,0,1,0,3,4,14,4,4,5,737
