"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - NARENDRA BHATI","2 - DR.MAHESH  SHARMA","3 - RAMESH CHAND TOMAR","4 - SATISH KUMAR","5 - UDAYVEER","6 - KISHAN PAL SINGH","7 - GAJENDRA","8 - DHARMENDER","9 - RAVINDER SHARMA","10 - RAM VILAS","11 - RUVEZ ALAM RAHI","12 - MOHD. SABIR ANSARI","13 - LT COL SP SINGH","14 - SEEMA","15 - SONIA SHARMA","16 - KADEEM","17 - KADIR KHAN JAISWAL","18 - GRISA KUMAR","19 - MAHESH","20 - RAKESH","21 - SAFRUDDIN","22 - SAVITRI","23 - SUNIL GAUTAM","24 - SUMITI","25 - None of the Above","Total Votes Secured"
1,"AKBARPUR JHOJHA PRIMARY SCHOOL R.N.-1",562,497,0,1059,245,272,0,517,517,0,475,18,1,11,0,1,0,0,0,0,0,0,0,1,2,2,3,2,0,0,0,0,0,1,0,517
2,"AKBARPUR JHOJHA PRIMARY SCHOOL R.N.-2",468,411,0,879,187,193,0,380,380,0,283,23,1,56,0,2,0,0,0,0,0,1,2,0,0,2,3,2,0,0,2,0,0,0,3,380
3,"FAIJABAD RIDHAWALI PRIMARY SCHOOL",198,174,0,372,150,119,0,269,11,0,6,215,1,43,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,269
4,"AICHANA MUSLIM SCHOOL",762,671,0,1433,329,372,0,701,696,0,440,14,3,193,1,28,0,1,1,5,1,0,2,0,1,3,4,0,0,3,0,0,1,0,0,701
5,"UTSARA PRIMARY SCHOOL",605,562,0,1167,367,323,0,690,16,0,84,458,4,118,1,0,1,1,0,1,0,7,1,2,4,2,0,1,0,1,0,1,0,2,1,690
6,"BARMAND NAGAR PRIMARY SCHOOL R.N.-1",561,501,0,1062,394,269,0,663,561,0,333,262,1,39,0,3,0,0,0,0,0,4,0,2,0,6,5,3,0,1,0,0,0,1,3,663
7,"BARMANDNAGAR PRIMARY SCHOOL R.N.-2",667,605,0,1272,482,344,0,826,39,0,444,257,1,95,1,0,0,0,0,0,1,6,2,1,5,7,4,0,0,1,0,0,0,0,1,826
8,"GIRDHARPUR NAVADA PRIMARY SCHOOL",650,592,0,1242,421,375,0,796,1,0,306,315,5,144,1,2,1,3,0,1,0,3,0,2,4,2,1,3,0,2,0,0,0,0,1,796
9,"KHANDVADAHAR PRIMARY SCHOOL",453,405,0,858,335,278,0,613,580,0,34,542,3,24,0,0,0,2,0,0,0,0,0,0,1,0,0,3,2,0,0,1,1,0,0,613
10,"SAMKAULA PRIMARY SCHOOL",410,382,0,792,275,193,0,468,468,0,190,236,1,33,1,0,1,0,0,1,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,468
11,"SAMKAULA JUNIOR HIGH SCHOOL",443,403,0,846,248,210,0,458,427,0,165,138,2,146,1,1,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,458
12,"BAGHWALA JUNIOR HIGH SCHOOL R.N.-1",643,569,0,1212,273,274,0,547,547,0,283,100,3,140,3,3,0,0,0,0,0,0,0,0,1,1,6,1,1,0,0,0,1,3,1,547
13,"BAGHWALA JUNIOR HIGH SCHOOL R.N.-2",591,551,0,1142,365,316,0,681,679,0,415,10,1,247,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,681
14,"MAHAVATPUR GARHI PRIMARY SCHOOL",264,248,0,512,199,154,0,353,270,0,136,32,0,181,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,353
15,"NAYAVAS PRIMARY SCHOOL",437,387,0,824,256,231,0,487,483,0,162,314,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,1,0,0,0,487
16,"SAIDPUR KHURRAMPUR PRIMARY SCHOOL",443,392,0,835,277,214,0,491,399,0,230,192,2,64,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,491
17,"NOORPUR PRIMARY SCHOOL",445,334,0,779,271,223,0,494,489,0,141,137,4,198,2,0,0,1,0,0,0,0,1,3,1,0,3,1,0,2,0,0,0,0,0,494
18,"BILAYAT NAGAR PRIMARY SCHOOL",386,377,0,763,279,277,0,556,150,0,9,484,2,59,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,556
19,"SAINTA PRIMARY SCHOOL",867,747,0,1614,435,391,0,826,820,0,599,76,5,124,0,0,0,1,1,1,0,4,0,1,6,4,3,1,0,0,0,0,0,0,0,826
20,"CHHARAVAT PRIMARY SCHOOL R.N.-1",480,457,0,937,293,237,0,530,46,0,57,213,6,239,4,7,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,530
21,"CHHAPRAVAT PRIMARY SCHOOL R.N.-2",431,404,0,835,249,200,0,449,446,0,30,394,2,4,0,5,0,0,0,0,0,4,0,0,4,1,1,3,0,0,0,1,0,0,0,449
22,"CHHAPRAVAT JUNIOR HIGH SCHOOL",564,536,0,1100,298,231,0,529,226,0,18,487,10,4,0,3,0,1,0,0,0,1,0,2,0,0,0,1,0,0,1,0,0,1,0,529
23,"KHUSHALPUR PRIMARY SCHOOL R.N.-1",535,502,0,1037,320,288,0,608,608,0,65,523,0,4,0,0,0,2,0,0,0,4,0,0,4,1,1,0,1,0,0,1,0,0,2,608
24,"KHUSHALPUR PRIMARY SCHOOL R.N.-2",474,410,0,884,265,215,0,480,37,0,36,300,9,121,0,2,0,0,1,0,0,2,2,1,2,1,1,1,0,0,0,0,0,0,1,480
25,"KHUSHALPUR PRIMARY SCHOOL R.N.-3",435,345,0,780,270,220,0,490,382,0,39,381,7,46,0,2,0,1,0,0,0,2,0,0,2,2,2,3,0,1,0,0,0,1,1,490
26,"RASOOPUR PRIMARY SCHOOL",510,388,0,898,373,243,0,616,2,0,601,4,0,3,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,2,616
27,"MAHOULI PRIMARY SCHOOL",801,683,0,1484,591,478,0,1069,1069,0,956,12,2,82,0,10,0,0,0,1,0,1,0,0,0,2,2,0,0,1,0,0,0,0,0,1069
28,"ASHAFABAD CHANDPUR PRIMARY SCHOOL R.N.-1",709,575,1,1285,546,249,0,795,546,0,715,6,1,43,1,3,0,1,0,0,2,0,0,0,0,7,7,3,0,0,0,1,1,1,3,795
29,"ASHAFABAD CHANDPURA PRIMARY SCHOO. R.N.-2",734,605,0,1339,435,367,0,802,41,0,752,10,4,22,0,2,0,1,0,0,2,0,0,0,1,4,4,0,0,0,0,0,0,0,0,802
30,"BARAL PREM INTER COLLEGE R.N.-1",689,554,0,1243,451,341,0,792,2,0,78,623,1,57,0,0,0,1,1,0,0,3,0,0,0,1,3,17,1,4,0,0,0,2,0,792
31,"BARAL PREM INTER COLLEGE R.N.-2",884,778,0,1662,548,478,0,1026,1026,0,292,652,5,61,0,2,0,2,1,0,0,3,1,0,2,1,3,0,0,0,0,1,0,0,0,1026
32,"BARAL PREM INTER COLLEGE R.N.-3",864,710,0,1574,509,408,0,917,916,0,173,399,1,305,1,2,0,1,0,1,1,3,4,0,1,4,4,9,2,5,0,0,0,1,0,917
33,"BARAL PREM INTER COLLEGE R.N.-4",786,693,0,1479,525,437,0,962,707,0,135,777,7,20,2,3,0,2,0,1,0,4,1,1,1,2,0,3,2,0,0,0,0,1,0,962
34,"KAITHALA PRIMARY SCHOOL R.N.-1",371,322,0,693,219,175,0,394,59,0,187,177,2,16,0,2,0,1,0,0,0,1,0,0,0,1,4,1,0,0,0,0,0,1,1,394
35,"KAITHALA PRIMARY SCHOOL R.N.-2",440,387,0,827,252,200,0,452,30,0,238,128,1,56,0,2,0,0,0,0,0,2,2,1,2,1,10,3,2,1,0,0,0,1,2,452
36,"HARCHANA JUNIOR HIGH SCHOOL R.N.-1",463,395,0,858,232,203,0,435,301,0,198,145,1,72,1,6,0,0,0,0,1,3,1,0,0,0,2,3,1,0,0,0,0,0,1,435
37,"HARCHANA JUNIOR HIGH SCHOOL R.N.-2",521,479,0,1000,278,226,0,504,504,0,307,185,0,0,0,7,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,504
38,"AULEDHA PRIMARY SCHOOL R.N.-1",778,681,0,1459,398,338,0,736,729,0,353,274,2,89,2,2,1,2,0,0,0,1,0,0,1,4,1,0,0,0,0,0,0,1,3,736
