"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - UPENDRA SINGH","2 - NARAYAN SINGH SUMAN","3 - MAHARAJ SINGH DHANGAR","4 - DR. RAM SHANKAR KATHERIA","5 - ANIL","6 - ANITA","7 - CHANDRA PAL","8 - PREM SINGH","9 - RAMESH","10 - RAVINDRA SINGH","11 - AMAR SINGH","12 - ASHOK KUMAR","13 - OM PRAKASH","14 - DINESH KUMAR GAUTAM","15 - VINOD KUMAR SINGH","16 - None of the Above","Total Votes Secured"
1,"COLLECTORY KACHAHERI NAI EMARAT R.NO.1",833,674,0,1507,491,320,0,811,714,0,36,58,13,676,2,0,0,0,0,3,1,4,2,2,2,12,811
2,"COLLECTORY KACHAHERI NAI EMARAT R.NO.2",543,411,0,954,344,230,0,574,553,0,49,168,19,327,1,0,0,0,0,7,0,1,0,0,1,1,574
3,"COLLECTORY KACHAHERI NAI EMARAT R.NO.3",438,341,0,779,276,214,0,490,394,0,15,66,10,367,5,0,2,1,1,4,1,2,4,5,0,7,490
4,"HOLLMAN INSTITUTE M G ROAD R NO.1",590,510,0,1100,362,256,0,618,618,0,50,298,34,218,2,0,0,2,0,5,0,1,0,1,0,7,618
5,"HOLLMAN INSTITUTE M G ROAD R NO.2",464,391,0,855,291,248,0,539,87,0,20,390,9,91,7,0,1,0,0,4,3,0,0,2,5,7,539
6,"HOLLMAN INSTITUTE M G ROAD R NO.3",468,361,0,829,298,203,0,501,333,0,38,297,18,138,1,0,0,0,0,4,1,0,0,1,0,3,501
7,"HOLLMAN INSTITUTE M G ROAD R NO.4",729,574,0,1303,223,168,0,391,378,0,7,79,52,243,0,0,0,0,0,5,0,0,1,0,0,4,391
8,"HOLLMAN INSTITUTE M G ROAD R NO.5",652,578,0,1230,460,323,0,783,783,0,21,412,66,264,3,0,0,2,0,3,1,0,1,2,3,5,783
9,"HOLLMAN INSTITUTE M G ROAD R NO.6",661,559,0,1220,451,329,0,780,775,0,31,223,32,469,2,2,1,0,0,3,2,1,6,1,1,6,780
10,"SIDDHARTH VIDHYAPEETH CHAKKIPAT R NO.1",750,569,0,1319,536,362,0,898,898,0,16,672,11,182,2,2,0,0,0,2,0,0,2,2,3,4,898
11,"SIDDHARTH VIDHYAPEETH CHAKKIPAT R NO.2",459,367,0,826,330,230,0,560,553,0,2,449,5,94,0,0,0,1,0,1,0,0,0,0,3,5,560
12,"SIDDHARTH VIDHYAPEETH CHAKKIPAT R NO.15",33,35,0,68,24,22,0,46,45,0,3,36,3,2,0,0,0,0,0,0,0,0,0,0,2,0,46
13,"SIDDHARTH VIDHYAPEETH CHAKKIPAT R NO.4",474,383,0,857,348,244,0,592,364,0,8,502,10,59,1,0,0,0,0,2,0,1,1,3,2,3,592
14,"NAVYUG KANYA J H KAJIPADA R.NO.1",388,316,0,704,283,202,0,485,273,0,5,332,12,127,2,0,0,0,0,0,0,0,2,3,1,1,485
15,"NAVYUG KANYA J H KAJIPADA R.NO.2",427,343,1,771,309,246,0,555,545,0,23,332,11,182,0,0,0,1,0,2,0,2,0,1,1,0,555
16,"NAVYUG KANYA J H KAJIPADA R.NO.3",538,447,0,985,356,279,0,635,366,0,19,208,13,383,1,0,0,0,0,2,1,0,0,1,1,6,635
17,"NAVYUG KANYA J H KAJIPADA R.NO.4",736,570,0,1306,562,414,0,976,976,0,20,857,3,74,1,0,1,0,0,1,2,3,2,4,4,4,976
18,"HUBBLAL INTER COLLEGE BALUGANJ R.NO.1",428,397,0,825,277,239,0,516,516,0,20,55,13,415,1,0,0,0,0,7,1,0,0,0,0,4,516
19,"HUBBLAL INTER COLLEGE BALUGANJ R.NO.2",472,409,0,881,300,233,0,533,480,0,32,51,19,418,2,0,0,0,0,9,0,0,0,0,0,2,533
20,"HUBBLAL INTER COLLEGE BALUGANJ R.NO.3",678,561,0,1239,458,306,0,764,670,0,22,168,25,531,4,0,0,0,0,6,2,1,1,1,2,1,764
21,"HUBBLAL INTER COLLEGE BALUGANJ R.NO.4",492,462,0,954,362,296,0,658,658,0,37,108,16,472,1,0,0,0,1,2,1,1,17,0,0,2,658
22,"HUBBLAL INTER COLLEGE BALUGANJ R.NO.5",585,487,0,1072,420,272,0,692,689,0,47,171,39,421,0,0,0,0,0,0,1,0,6,1,2,4,692
23,"SINGARIBAI KANYA INTER COLLEGE BALUGANJ R.NO.1 EAST PART",556,463,0,1019,419,307,0,726,726,0,11,563,55,69,1,0,0,0,1,2,0,0,3,4,8,9,726
24,"SINGARIBAI KANYA INTER COLLEGE BALUGANJ R.NO.2 EAST PART",353,305,0,658,192,156,0,348,325,0,46,40,7,241,0,0,1,0,0,8,1,0,2,0,0,2,348
25,"SINGARIBAI KANYA INTER COLLEGE BALUGANJ R.NO.3 EAST PART",524,425,0,949,340,204,0,544,536,0,20,393,37,61,0,0,0,1,1,9,2,0,1,10,6,3,544
