"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KRISHNA PRATAP","2 - PARASNATH YADAV","3 - RAVI KISHAN","4 - SUBHASH PANDEY","5 - ANUPATI RAM YADAV","6 - ARVIND","7 - GULAB CHAND DUBEY","8 - PRAMOD KUMAR ALIAS PRAMOD BHAI PATEL","9 - PREMCHAND BIND","10 - DR. K. P. YADAV","11 - RAVISHANKAR MAURYA","12 - RAJESH PRAJAPATI","13 - SHAHABUDDIN","14 - SARFARAJ","15 - ANIL KUMAR SINGH","16 - JOGENDRA PRASAD","17 - DHANANJAY SINGH","18 - YOGISH CHANDRA DUBEY","19 - RAVIKANT YADAV","20 - VIMAL KUMAR YADAV","21 - DR. SANJIVAN BIND","22 - None of the Above","Total Votes Secured"
143,"P S BARAIYAKAZI SOUTH SIDE",577,493,0,1070,299,349,0,648,648,0,50,146,13,302,4,0,0,23,3,8,0,2,18,2,4,5,13,2,47,1,1,4,648
144,"P S NARAULI",735,613,0,1348,382,378,0,760,710,0,211,157,57,128,4,2,4,18,5,13,2,3,7,3,1,10,18,1,87,2,23,4,760
145,"P S ADAMPUR EAST SIDE",631,549,1,1181,349,343,0,692,111,0,311,61,18,89,2,1,1,3,1,6,1,1,18,0,2,1,160,0,12,3,0,1,692
146,"P S ADAMPUR WEST SIDE",620,523,0,1143,349,327,0,676,600,0,102,135,30,30,3,3,7,30,0,50,3,14,23,2,1,3,175,3,58,0,1,3,676
147,"JHS MALHANI EAST SIDE",812,695,0,1507,498,370,0,868,868,0,545,176,70,16,1,3,1,9,0,1,3,0,6,3,2,6,4,1,20,0,0,1,868
148,"JHS MALHANI WEST SIDE",745,648,0,1393,419,379,0,798,357,0,41,506,36,84,2,0,1,17,3,16,1,4,30,2,0,2,5,3,43,1,0,1,798
149,"JHS MALHANI WEST SIDE",112,106,0,218,60,71,0,131,93,0,2,35,5,65,3,0,0,0,0,3,0,0,13,1,0,0,4,0,0,0,0,0,131
150,"P S BARAIPUR",224,197,0,421,148,141,0,289,289,0,46,82,5,121,2,0,0,3,0,1,1,0,0,1,1,0,2,0,23,0,1,0,289
151,"P S NASIRUDDINPUR",509,434,0,943,248,286,0,534,534,0,11,65,37,357,1,1,0,18,0,6,1,0,4,2,1,3,6,0,17,2,1,1,534
152,"P S BHAISANI",675,720,0,1395,444,436,0,880,872,0,317,222,27,182,7,3,3,11,3,4,1,2,2,2,3,9,37,5,28,1,4,7,880
153,"P S DACHHINPATTI NORTH SIDE",610,486,0,1096,350,296,0,646,645,0,28,406,8,4,5,2,0,30,28,32,0,3,3,0,2,1,27,4,59,1,2,1,646
154,"P S DACHHINPATTI MIDDLE SIDE",361,337,0,698,181,171,0,352,352,0,21,163,9,91,2,0,1,13,0,5,0,0,3,0,0,3,25,6,7,3,0,0,352
155,"P S BABARKHA",605,538,0,1143,322,335,0,657,257,0,118,215,51,74,1,1,1,19,0,5,1,3,13,1,5,3,21,3,113,7,1,1,657
156,"P S MAJHALI PATTI",763,649,0,1412,373,371,0,744,744,0,153,283,39,148,1,0,1,10,1,4,0,2,13,0,1,5,22,3,53,3,0,2,744
157,"P S KARSAWA",719,630,0,1349,313,359,0,672,672,0,299,109,27,57,4,1,2,3,7,5,0,2,9,1,3,7,120,8,4,2,0,2,672
158,"P S RAMPUR DAWAN SINGH SOUTH SIDE",616,548,0,1164,334,389,0,723,723,0,298,78,9,131,3,0,1,2,23,2,2,3,6,1,4,13,105,3,32,1,2,4,723
159,"P S BAIJAPUR",562,489,0,1051,275,296,0,571,571,0,232,45,24,14,1,1,2,10,53,24,1,2,15,3,5,5,115,4,12,1,1,1,571
160,"P S BAIJAPUR",352,341,0,693,183,188,0,371,336,0,139,23,13,42,1,1,0,3,8,7,0,1,9,0,2,6,107,4,2,1,1,1,371
161,"INTER COLLEGE RAMPUR DAWAN SINGH",207,190,0,397,114,121,0,235,205,0,82,40,4,92,1,0,0,0,0,0,1,0,0,0,1,0,14,0,0,0,0,0,235
162,"P S NEWADA ISHWARI SINGH",830,719,0,1549,400,410,0,810,600,0,201,224,16,171,3,1,0,15,1,6,1,9,6,2,4,6,89,9,32,10,2,2,810
163,"P S CHAK MIRMIRAPUR",453,393,0,846,341,255,0,596,596,0,51,346,14,97,2,0,1,10,0,14,0,0,0,1,1,1,12,4,39,1,0,2,596
164,"JHS JALALPUR NORTH SIDE",442,355,0,797,238,208,0,446,446,0,184,119,7,15,0,2,0,10,0,5,0,2,2,0,1,1,53,0,42,1,1,1,446
165,"JHS JALALPUR SOUTH SIDE",613,563,0,1176,306,362,0,668,668,0,74,74,6,158,7,1,0,7,1,5,0,0,22,1,6,8,247,11,20,9,5,6,668
166,"P S HARAKHMALPUR",368,319,0,687,180,211,0,391,300,0,154,73,13,60,3,2,4,16,1,2,0,27,0,1,0,4,15,0,15,0,0,1,391
167,"P S JALALPUR",307,267,0,574,181,182,0,363,6,0,36,102,4,6,2,1,2,13,1,2,0,0,3,1,0,0,27,4,151,1,4,3,363
168,"P S CHHUNCHHA WEST SIDE",902,742,0,1644,492,418,0,910,608,0,154,87,4,225,4,0,3,14,5,370,0,1,7,0,0,2,18,0,13,0,1,2,910
169,"P S HARBASPUR",477,393,0,870,229,210,0,439,178,0,25,155,4,131,2,1,0,26,1,14,0,2,3,2,1,8,40,1,20,3,0,0,439
170,"P S HARBASPUR",759,620,0,1379,374,335,0,709,19,0,94,399,6,16,3,0,0,12,0,15,1,1,1,1,6,1,51,13,88,0,0,1,709
171,"P S CHAK GOPALPUR",551,467,0,1018,324,321,0,645,20,0,108,106,34,171,2,0,1,10,0,4,2,2,5,3,1,5,165,4,18,0,1,3,645
172,"P S CHAK GOPALPUR",496,438,0,934,261,286,0,547,216,0,166,78,5,168,6,2,2,6,2,6,1,0,5,0,3,5,81,0,5,3,1,2,547
173,"P S MOMINPUR",634,477,0,1111,374,308,0,682,550,0,51,234,5,6,2,0,0,35,4,28,0,6,3,6,0,0,78,0,217,1,0,6,682
174,"P S HAMJAPUR",534,431,0,965,319,262,0,581,4,0,239,239,9,7,1,0,1,15,1,6,0,2,5,0,2,6,27,0,21,0,0,0,581
175,"P S HAMJAPUR",346,267,0,613,188,164,0,352,220,0,115,74,5,8,1,0,1,4,2,2,1,0,16,1,2,5,105,2,4,1,2,1,352
176,"P S HAMJAPUR WEST SIDE",770,646,0,1416,415,385,0,800,206,0,117,369,15,184,4,1,0,7,2,7,2,2,10,2,2,6,32,1,35,1,1,0,800
177,"P S KARANJAKALA EAST SIDE",475,386,0,861,275,224,0,499,161,0,57,235,17,101,4,2,1,16,1,5,1,3,4,3,1,2,0,0,44,0,0,2,499
178,"P S KARANJAKALA EAST SIDE",403,322,0,725,175,205,0,380,380,0,110,103,10,105,3,1,0,5,1,6,1,1,3,0,0,3,9,4,11,0,3,1,380
179,"P S KARANJAKALA MIDDLE SIDE",785,645,0,1430,423,356,0,779,674,0,105,279,3,170,1,0,3,11,5,46,0,2,1,1,1,8,103,1,33,2,1,3,779
180,"P S JETHPURA",830,678,0,1508,482,394,0,876,100,0,74,345,46,166,10,1,5,22,3,14,3,3,10,6,0,2,17,4,139,3,3,0,876
181,"P S MANWAL WEST SIDE",446,398,0,844,246,182,0,428,426,0,48,159,7,12,2,0,2,27,5,19,1,21,1,2,3,5,10,2,93,1,1,7,428
182,"P S MANWAL WEST SIDE",678,643,0,1321,352,365,0,717,710,0,99,189,25,193,0,0,3,21,2,53,1,7,10,1,1,5,41,4,60,1,1,0,717
183,"P S SULTANPUR",561,404,0,965,279,240,0,519,40,0,198,59,6,142,5,1,1,2,0,3,1,1,7,0,4,11,68,4,4,0,0,2,519
184,"P S KHATIRPUR BHAISA",804,680,0,1484,441,365,0,806,800,0,94,316,15,284,7,1,0,13,0,11,0,2,17,7,0,6,5,1,25,0,1,1,806
185,"K JHS CHURAWANPUR WEST SIDE",672,602,0,1274,306,380,0,686,647,0,278,46,12,157,3,0,2,0,4,76,2,2,2,0,1,1,92,3,2,3,0,0,686
186,"P S GORIYAPUR",548,468,0,1016,332,338,0,670,668,0,49,185,7,165,1,0,1,1,9,96,1,2,5,2,2,2,123,9,2,5,1,2,670
187,"P S BHATPURA",447,409,0,856,250,254,0,504,504,0,52,84,14,156,3,1,0,1,0,60,3,0,6,1,1,2,111,3,4,2,0,0,504
188,"B P S KEVTALI KALA EAST SIDE",685,589,0,1274,338,341,0,679,656,0,142,132,3,24,2,1,2,5,204,21,1,0,11,0,1,4,114,4,2,1,2,3,679
189,"P S KHUSHAHUPUR",646,550,0,1196,327,308,0,635,400,0,149,308,5,8,2,0,5,10,41,29,1,1,3,4,0,2,31,0,33,0,2,1,635
190,"P S SADERI EAST SIDE",444,382,0,826,212,208,0,420,6,0,40,172,14,55,3,0,1,6,9,10,0,1,6,3,2,7,69,1,18,0,1,2,420
191,"P S SADERI EAST SIDE",545,460,0,1005,323,250,0,573,510,0,24,334,5,69,0,0,0,2,3,18,0,3,6,0,1,0,83,6,16,0,0,3,573
192,"P S SADERI EAST SIDE",833,723,0,1556,518,379,0,897,897,0,88,514,13,15,7,1,1,9,42,30,2,4,19,5,4,12,109,3,16,0,1,2,897
193,"P S SUJIYAMAU EAST SIDE",475,457,0,932,264,277,0,541,541,0,100,110,9,199,2,0,0,0,0,10,0,2,13,2,2,0,85,3,1,1,0,2,541
194,"P S SUJIYAMAU EAST SIDE",297,253,0,550,193,172,0,365,11,0,94,66,17,39,1,0,0,0,0,6,0,0,4,1,1,0,134,0,1,0,0,1,365
195,"P S SUJIYAMAU WEST SIDE",246,252,0,498,123,154,0,277,277,0,40,25,7,149,3,1,1,0,1,5,0,0,5,3,0,1,34,1,0,0,0,1,277
196,"P S ARDHPUR",348,310,0,658,157,187,0,344,344,0,59,47,8,47,1,2,0,1,18,6,0,0,7,0,0,1,144,1,1,0,0,1,344
197,"P S SADANPUR",570,521,0,1091,347,299,0,646,602,0,75,51,10,87,3,2,3,8,12,255,2,6,13,3,5,13,75,5,10,2,2,4,646
198,"P S VISHESHARPUR",318,283,0,601,235,204,0,439,400,0,40,268,4,54,0,0,2,1,0,4,0,3,5,3,1,0,44,3,6,0,1,0,439
199,"P S BIBIPUR",316,250,0,566,177,169,0,346,346,0,184,31,5,20,0,1,3,1,2,86,0,2,0,0,0,3,8,0,0,0,0,0,346
200,"P S JAGDISHPUR",303,247,0,550,119,121,0,240,240,0,21,13,11,167,1,0,1,0,0,3,0,1,4,3,0,1,9,0,1,1,1,2,240
201,"B P S UMARPUR SHIV GULAMGANJ",720,591,0,1311,402,380,0,782,781,0,194,46,21,180,5,2,2,4,12,184,3,1,7,2,8,4,99,1,1,5,0,1,782
202,"B P S UMARPUR SHIV GULAMGANJ",304,265,0,569,174,174,0,348,345,0,36,118,4,30,0,1,1,5,1,127,1,1,4,0,1,0,10,1,4,1,0,2,348
203,"P S CHAK PATAILA",430,351,0,781,276,211,0,487,487,0,179,119,4,14,1,1,1,0,3,130,3,0,5,0,0,2,25,0,0,0,0,0,487
204,"P S BHAIROPUR",616,504,0,1120,355,320,0,675,675,0,55,82,6,174,4,1,1,2,6,269,3,2,8,0,2,2,55,1,1,1,0,0,675
205,"P S SAWANSA",275,235,0,510,158,158,0,316,316,0,112,40,3,111,2,0,1,0,0,4,0,0,3,1,0,2,31,1,3,0,1,1,316
206,"B P S BHIVRAHA SOUTH SIDE",535,503,0,1038,312,308,0,620,399,0,391,28,17,53,1,0,0,0,1,14,0,0,5,3,1,6,97,1,0,1,0,1,620
207,"P S MAJHAULI",564,457,0,1021,351,269,0,620,26,0,93,228,31,147,3,4,0,1,2,24,0,0,5,1,1,1,66,3,4,1,2,3,620
208,"P S MAJHAULI",396,354,0,750,230,196,0,426,417,0,27,161,6,154,1,0,0,0,1,45,1,1,6,1,1,2,15,1,1,1,1,0,426
209,"P S BASARATPUR WEST SIDE",602,523,1,1126,216,259,0,475,465,0,205,29,9,128,1,1,1,0,0,14,0,3,4,0,0,1,73,1,2,1,0,2,475
210,"P S BASARATPUR MIDDLE SIDE",616,566,0,1182,304,287,0,591,550,0,102,63,17,121,3,0,0,1,1,93,0,0,6,1,0,3,173,3,3,0,0,1,591
211,"JHS BAKSA EAST SIDE",315,257,0,572,135,140,0,275,272,0,69,34,7,79,2,1,0,0,0,45,2,1,2,1,0,2,29,0,0,1,0,0,275
212,"JHS BAKSA EAST SIDE",780,601,0,1381,406,298,0,704,400,0,283,191,12,74,1,0,0,2,1,57,1,1,4,0,2,4,65,3,0,0,0,3,704
213,"JHS BAKSA",294,233,0,527,183,137,0,320,320,0,53,144,1,93,1,0,0,1,0,3,0,0,1,0,0,7,15,0,1,0,0,0,320
214,"P S SADDOPUR",573,460,0,1033,373,319,0,692,692,0,258,259,8,52,2,1,0,0,0,5,0,0,2,0,0,1,93,0,11,0,0,0,692
215,"P S LAKHAMIPUR",605,536,0,1141,549,201,0,750,649,0,61,199,7,273,4,1,0,4,2,33,1,5,12,0,2,5,132,6,0,0,2,1,750
216,"YADAVESH I C BELAPAR",416,343,0,759,248,186,0,434,235,0,88,21,7,52,1,1,1,0,1,16,1,0,2,0,0,1,239,3,0,0,0,0,434
217,"YADAVESH I C BELAPAR",476,407,0,883,207,218,0,425,260,0,59,39,3,39,2,1,2,2,9,86,2,3,10,0,1,4,159,2,1,1,0,0,425
218,"YADAVESH I C BELAPAR",531,452,0,983,327,273,0,600,600,0,17,88,10,52,0,2,3,5,3,349,2,4,4,1,0,1,56,0,0,2,0,1,600
219,"YADAVESH I C BELAPAR",607,531,0,1138,353,270,0,623,600,0,150,40,12,148,1,1,0,0,1,73,1,1,19,1,2,1,169,0,1,1,0,1,623
220,"YADAVESH I C BELAPAR",146,145,0,291,89,112,0,201,169,0,25,3,0,157,0,0,1,0,0,4,0,1,1,0,0,0,6,0,0,2,0,1,201
221,"P S BRAHMANPUR BARKHANDI NORTH SIDE",623,554,0,1177,430,346,0,776,523,0,375,82,9,48,1,0,0,2,32,39,0,0,7,0,2,3,167,3,1,0,5,0,776
222,"B P S BABURA",664,601,0,1265,392,371,0,763,426,0,95,144,15,128,3,1,1,4,1,248,1,6,11,0,1,1,85,6,2,7,1,2,763
223,"B P S KAULI",539,498,0,1037,297,327,0,624,608,0,87,153,10,263,3,2,1,1,1,9,2,3,7,1,2,5,48,0,22,3,1,0,624
224,"B P S KAULI SOUTH SIDE",229,187,0,416,116,100,0,216,211,0,89,46,9,11,0,0,0,0,0,53,0,0,1,0,0,1,3,0,3,0,0,0,216
225,"P S GOPALPUR",486,425,0,911,271,273,0,544,495,0,95,111,2,43,1,0,1,1,0,13,0,0,2,0,0,0,270,1,2,1,0,1,544
226,"P S PATTIRAV",478,412,0,890,281,248,0,529,13,0,186,96,11,80,2,0,0,0,0,43,0,3,6,2,4,6,87,2,0,0,0,1,529
227,"B P S UMARCHHA WEST SIDE",640,540,0,1180,366,339,0,705,1,0,348,104,3,156,3,2,0,0,1,11,0,1,10,0,1,3,57,1,4,0,0,0,705
228,"B P S KHAMPUR WEST SIDE",652,582,0,1234,504,362,0,866,460,0,16,28,0,5,0,1,0,3,4,742,3,3,5,0,0,1,47,2,1,1,2,2,866
229,"B P S KHAMPUR EAST SIDE",648,583,0,1231,419,346,0,765,746,0,94,17,3,196,3,2,2,4,3,204,0,1,20,2,2,4,200,4,0,1,3,0,765
230,"JANTA I C BIRBHANPUR NORTH SIDE",443,417,0,860,241,262,0,503,103,0,156,114,5,157,4,0,0,0,0,7,0,1,4,1,0,4,41,2,2,3,0,2,503
231,"JANTA I C BIRBHANPUR NORTH SIDE",376,313,0,689,211,204,0,415,409,0,162,27,8,90,1,1,0,2,1,5,1,2,15,0,2,4,86,4,0,1,0,3,415
232,"JANTA I C BIRBHANPUR SOUTH SIDE",782,687,0,1469,514,431,0,945,2,0,188,110,16,128,4,0,0,1,6,225,5,4,10,0,3,6,230,5,1,3,0,0,945
233,"P S SARAILOKA",466,381,0,847,296,255,0,551,12,0,102,62,10,43,5,2,0,2,2,172,0,0,3,1,2,2,134,1,5,1,1,1,551
234,"P S PURA TEJI",307,267,0,574,180,206,0,386,386,0,2,0,0,4,0,1,2,0,0,0,1,5,167,1,4,69,108,1,15,6,0,0,386
235,"B P S MALIKANPUR",633,533,0,1166,358,292,0,650,645,0,369,54,19,130,3,1,0,6,0,17,1,0,4,0,0,4,33,0,7,2,0,0,650
236,"B P S HASRAULI WEST SIDE",555,495,0,1050,265,360,0,625,625,0,219,112,8,194,3,0,0,2,0,0,1,1,3,0,3,0,54,7,8,5,3,2,625
237,"B P S HASRAULI WEST SIDE",186,142,0,328,111,85,0,196,135,0,33,100,2,40,2,0,0,2,0,4,0,0,2,0,1,2,1,7,0,0,0,0,196
238,"B P S HASRAULI MIDDLE SIDE",603,512,0,1115,318,252,0,570,491,0,167,233,17,107,0,2,2,2,0,3,1,0,3,0,4,4,21,1,1,0,1,1,570
239,"P S HIRAPUR",275,228,0,503,171,118,0,289,282,0,235,18,0,7,0,0,0,0,0,1,0,0,0,0,0,0,25,0,0,0,0,3,289
240,"P S BELCHHA",597,522,0,1119,349,356,0,705,705,0,48,478,13,7,0,1,0,6,0,23,1,2,2,2,0,2,98,0,20,0,2,0,705
241,"HIGHER SECONDARY SCHOOL MASIDA NORTH SIDE",607,474,1,1082,392,316,0,708,708,0,123,152,11,290,9,0,0,1,0,11,0,0,1,4,0,2,89,0,10,2,1,2,708
242,"P S BHARTHIPUR",218,181,0,399,141,141,0,282,280,0,5,15,2,214,1,0,0,3,0,5,0,0,2,1,0,22,2,0,9,0,1,0,282
243,"P S BISHUNPUR",560,510,0,1070,332,283,0,615,615,0,109,113,6,36,0,3,1,6,2,251,1,0,5,0,1,4,71,4,1,0,1,0,615
244,"P S CHAURA MOHANDAS",590,486,1,1077,369,299,0,668,668,0,317,177,18,29,1,1,0,1,0,2,1,0,11,4,4,14,82,2,3,1,0,0,668
245,"P S RAM SAHAIPATTI",213,189,0,402,118,126,0,244,244,0,53,14,2,162,0,0,1,0,0,2,0,0,2,0,0,0,6,1,1,0,0,0,244
246,"P S TAHIRPUR MIDDLE SIDE",596,502,0,1098,287,223,0,510,139,0,284,56,13,33,0,0,3,2,1,18,0,1,5,2,1,6,65,3,6,3,2,6,510
247,"P S TAHIRPUR MIDDLE SIDE",464,386,1,851,242,209,0,451,381,0,113,167,7,23,0,1,1,0,2,56,1,2,3,0,0,2,68,3,0,0,0,2,451
248,"P S TAHIRPUR NORTH SIDE",472,396,0,868,253,249,0,502,502,0,52,156,11,186,3,1,0,0,1,37,0,0,5,1,1,4,32,2,1,6,1,2,502
249,"P S LAZIPAR",613,480,0,1093,459,285,0,744,400,0,88,359,9,90,3,3,2,0,0,13,2,3,14,2,5,3,136,3,1,0,2,6,744
250,"P S BATHUAWAR EAST SIDE",329,290,1,620,158,174,0,332,270,0,38,126,6,75,0,0,0,0,0,5,1,0,8,3,0,1,65,2,0,1,1,0,332
251,"P S BATHUAWAR WEST SIDE",635,491,0,1126,477,329,0,806,806,0,110,559,28,43,0,1,1,1,1,19,3,8,4,2,2,5,14,0,3,0,0,2,806
252,"P S BATHUWA",293,227,0,520,164,156,0,320,320,0,85,9,6,190,3,0,0,0,0,1,0,1,1,0,1,2,19,0,1,0,0,1,320
253,"P S BANKI NORTH SIDE",811,696,0,1507,407,379,0,786,650,0,469,20,18,157,3,0,0,1,1,17,3,1,4,2,1,3,82,2,1,0,0,1,786
254,"P S BANKI SOUTH SIDE",197,165,0,362,90,97,0,187,187,0,65,15,2,53,1,0,0,2,0,2,0,1,3,2,2,4,29,4,1,0,0,1,187
255,"P S SATALPUR",591,490,0,1081,316,274,0,590,1,0,126,219,12,14,2,1,2,10,4,127,2,8,5,5,2,12,10,2,20,0,3,4,590
256,"B P S HASANPUR EAST SIDE",737,667,0,1404,410,391,0,801,4,0,272,313,71,40,3,0,1,1,1,53,1,8,4,1,4,6,16,0,2,1,1,2,801
257,"B P S PANDEPUR WEST SIDE",728,630,0,1358,339,348,0,687,687,0,259,85,18,214,5,0,0,1,0,2,0,3,4,3,6,8,72,1,1,3,0,2,687
258,"B P S POKHARIYAPUR NORTH SIDE",593,505,0,1098,387,321,0,708,30,0,70,333,5,54,1,0,3,6,10,128,0,0,8,1,1,2,65,8,9,1,1,2,708
259,"B P S POKHARIYAPUR SOUTH SIDE",551,422,0,973,281,240,0,521,350,0,90,152,15,144,3,2,1,4,8,9,1,2,7,1,3,7,63,2,6,0,1,0,521
260,"JHS SIKANDARA",861,699,0,1560,407,403,0,810,613,0,196,354,11,8,5,1,3,25,14,18,2,3,13,3,3,4,89,5,45,3,3,2,810
261,"B P S SITHAPUR WEST SIDE",559,479,0,1038,265,247,0,512,512,0,149,33,12,155,5,0,1,1,0,1,1,1,8,1,3,4,117,2,4,7,1,6,512
262,"B P S SITHAPUR WEST SIDE",439,366,0,805,262,193,0,455,442,0,87,180,8,45,0,0,0,4,1,1,0,1,6,2,4,1,103,2,5,0,2,3,455
263,"B P S RASULPUR URF KALIPATTI",399,352,0,751,270,246,0,516,258,0,90,23,4,286,0,0,0,0,0,3,0,1,2,1,0,0,100,0,1,2,1,2,516
264,"P S JANEWARA NORTH SIDE",853,752,0,1605,469,413,0,882,882,0,149,251,13,290,3,4,2,6,0,15,1,2,10,0,5,5,75,3,44,1,1,2,882
265,"P S JANEWARA SOUTH SIDE",558,444,0,1002,204,234,0,438,1,0,153,54,7,136,3,0,1,0,1,5,0,0,7,2,2,3,61,0,2,0,0,1,438
266,"P S JAAM EAST SIDE",629,557,0,1186,367,305,0,672,650,0,172,179,10,11,0,0,0,1,0,9,0,1,4,1,1,4,269,5,2,1,0,2,672
267,"U M V FATEHGANJ",624,531,0,1155,350,324,0,674,150,0,196,169,14,60,3,1,1,0,1,3,2,1,7,1,0,2,206,2,3,0,1,1,674
268,"U M V FATEHGANJ WEST SIDE",787,706,0,1493,412,351,0,763,432,0,245,46,21,358,4,1,0,2,1,3,1,1,0,1,0,1,57,2,8,4,2,5,763
269,"P S BIRPALPUR",557,479,0,1036,305,319,0,624,624,0,179,70,12,147,4,0,1,0,1,6,2,2,12,0,2,3,167,5,1,3,3,4,624
270,"P S SURUWARPATTI",416,402,1,819,207,233,0,440,439,0,219,37,12,28,0,2,0,0,0,6,0,2,3,0,1,1,127,0,1,0,0,1,440
271,"P S DEEH JAHANIYA",744,650,0,1394,427,409,0,836,836,0,206,201,18,252,4,1,1,1,2,9,2,4,9,2,3,12,97,1,4,3,2,2,836
272,"P S KANAKPUR",392,335,0,727,224,178,0,402,393,0,130,77,5,91,2,0,0,0,0,10,0,0,3,0,0,1,80,1,1,1,0,0,402
273,"JHS UTAREJPUR MIDDLE SIDE",685,541,0,1226,315,286,0,601,601,0,171,237,24,33,5,1,0,1,2,11,1,2,9,1,7,11,74,3,6,0,0,2,601
274,"JHS UTAREJPUR MIDDLE SIDE",863,692,0,1555,507,397,0,904,904,0,148,305,16,131,1,1,0,2,4,198,3,1,3,2,3,6,72,1,4,0,2,1,904
275,"B P S LAKHAUWA EAST SIDE",496,418,0,914,269,232,0,501,501,0,236,124,23,22,2,0,0,1,0,31,0,1,1,1,0,6,42,4,3,0,2,2,501
276,"B P S LAKHAUWA MIDDLE SIDE",578,534,0,1112,300,288,0,588,50,0,57,169,8,279,1,0,1,2,1,14,1,0,3,2,2,6,28,2,2,6,2,2,588
277,"B P S LAKHAUWA WEST SIDE",432,348,0,780,230,197,0,427,420,0,139,99,4,69,2,1,0,1,1,18,1,0,4,2,1,11,65,2,2,2,0,3,427
278,"B P S LAKHAUWA MIDDLE SIDE",173,158,0,331,73,64,0,137,137,0,56,48,4,5,1,0,1,0,0,3,0,0,0,0,0,0,15,2,0,0,2,0,137
279,"P S SARAI RAICHAND",592,483,0,1075,333,297,0,630,629,0,149,146,14,153,4,1,1,2,2,6,1,1,11,3,3,3,123,2,2,0,2,1,630
280,"B P S KHARAUNA EAST SIDE",560,509,0,1069,281,326,0,607,206,0,92,11,4,3,1,0,0,0,0,7,2,0,10,0,6,0,457,8,2,0,0,4,607
281,"B P S KHARAUNA WEST SIDE",764,701,0,1465,414,423,0,837,5,0,136,215,19,67,11,1,2,12,2,23,7,7,27,7,6,11,238,9,33,1,0,3,837
282,"K B P S DHIRAJPUR NORTH SIDE",206,192,0,398,132,114,0,246,243,0,45,11,2,88,0,0,1,0,0,0,0,0,4,0,0,0,91,2,0,0,1,1,246
283,"P S PARASURAMPUR MIDDLE SIDE",687,612,0,1299,365,356,0,721,56,0,190,216,20,193,2,1,0,0,0,2,0,3,6,0,1,0,78,2,6,1,0,0,721
284,"P S MUSTAFABAD",725,634,0,1359,451,403,0,854,854,0,201,237,7,207,5,1,2,4,0,9,0,3,5,0,2,10,150,1,7,1,0,2,854
285,"B P S KOHADA SULTANPUR NORTH SIDE",644,512,0,1156,354,337,0,691,691,0,172,12,5,242,0,2,1,0,1,5,1,2,11,3,3,5,212,4,2,2,1,5,691
286,"B P S KOHADA SULTANPUR MIDDLE SIDE",468,339,0,807,227,176,0,403,403,0,45,208,7,24,2,1,0,13,1,30,0,1,4,0,2,3,20,7,19,0,14,2,403
287,"B P S KOHADA SULTANPUR MIDDLE SIDE",596,516,0,1112,283,323,0,606,550,0,104,39,3,11,22,4,3,1,5,21,1,4,31,4,3,12,88,3,6,3,232,6,606
288,"B P S KOHADA SULTANPUR MIDDLE SIDE",452,383,0,835,241,188,0,429,429,0,138,10,14,50,2,0,0,3,1,11,2,4,37,1,1,4,141,2,2,0,4,2,429
289,"P S HARBASPUR",943,762,0,1705,465,359,0,824,674,0,250,94,19,107,4,3,3,22,5,28,1,5,25,2,3,6,180,5,51,4,4,3,824
290,"P S HARBASPUR NORTH SIDE",425,366,0,791,222,229,0,451,451,0,155,42,6,163,0,0,0,3,0,31,0,0,6,0,2,3,32,1,6,0,0,1,451
291,"P S SUNGULPUR",606,547,0,1153,377,331,0,708,708,0,192,53,21,267,6,4,0,1,0,5,2,3,11,3,3,7,113,2,4,5,3,3,708
292,"B P S KHWAJA URF DARBANIPUR SOUTH SIDE",708,637,0,1345,387,392,0,779,779,0,47,211,22,88,1,1,1,12,0,4,2,1,45,0,2,0,298,3,37,1,2,1,779
293,"JHS HAKARIPUR",748,644,0,1392,360,372,0,732,728,0,254,50,26,184,7,1,0,2,1,13,3,0,9,2,2,10,143,2,6,0,16,1,732
294,"B P S KALICHABAD EAST SIDE",478,366,0,844,231,207,0,438,25,0,113,123,65,41,0,1,1,8,1,25,2,1,6,1,3,5,29,0,10,1,1,1,438
295,"B P S KALICHABAD EAST SIDE",494,413,0,907,239,256,0,495,495,0,162,35,27,179,3,0,0,1,1,21,1,1,40,1,1,7,13,0,1,0,0,1,495
296,"B P S KALICHABAD WEST SIDE",513,432,0,945,273,221,0,494,296,0,228,76,16,41,4,0,1,6,2,31,3,4,13,3,4,5,37,0,16,1,1,2,494
297,"B P S KALICHABAD MIDDLE SIDE",629,486,0,1115,311,246,0,557,105,0,284,97,12,39,3,1,1,6,1,21,1,2,8,0,3,7,56,1,11,0,2,1,557
298,"JHS ALIGANJ EAST SIDE",565,445,0,1010,300,210,0,510,505,0,205,169,22,22,3,4,0,21,1,9,1,3,0,1,1,3,29,0,15,0,0,1,510
299,"JHS ALIGANJ EAST SIDE",368,292,0,660,208,147,0,355,355,0,108,39,37,55,1,0,2,0,0,5,0,0,3,0,0,3,91,1,7,1,0,2,355
300,"JHS ALIGANJ WEST SIDE",489,397,0,886,273,259,0,532,532,0,36,13,4,230,1,1,0,2,1,3,2,2,4,0,1,4,221,4,0,0,1,2,532
