"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KRISHNA PRATAP","2 - PARASNATH YADAV","3 - RAVI KISHAN","4 - SUBHASH PANDEY","5 - ANUPATI RAM YADAV","6 - ARVIND","7 - GULAB CHAND DUBEY","8 - PRAMOD KUMAR ALIAS PRAMOD BHAI PATEL","9 - PREMCHAND BIND","10 - DR. K. P. YADAV","11 - RAVISHANKAR MAURYA","12 - RAJESH PRAJAPATI","13 - SHAHABUDDIN","14 - SARFARAJ","15 - ANIL KUMAR SINGH","16 - JOGENDRA PRASAD","17 - DHANANJAY SINGH","18 - YOGISH CHANDRA DUBEY","19 - RAVIKANT YADAV","20 - VIMAL KUMAR YADAV","21 - DR. SANJIVAN BIND","22 - None of the Above","Total Votes Secured"
33,"P S BHUWA KALA",328,301,0,629,203,150,0,353,350,0,171,7,4,16,0,0,0,0,0,13,1,0,3,1,1,4,131,0,0,0,0,1,353
34,"P S BHUWA KALA",321,261,0,582,206,172,0,378,28,0,205,27,7,51,0,0,0,1,0,0,3,0,4,1,1,1,73,2,0,1,0,1,378
35,"P S BHUWA KHURD",445,411,0,856,240,232,0,472,472,0,133,26,5,99,9,0,1,0,0,11,1,0,2,1,2,1,172,5,1,1,1,1,472
36,"JHS PURA MOHABBAT NORTH SIDE",564,533,0,1097,316,274,0,590,588,0,177,286,6,5,1,3,4,2,3,15,1,0,5,1,0,1,67,7,2,0,2,2,590
37,"JHS PURA MOHABBAT SOUTH SIDE",499,465,0,964,309,302,0,611,300,0,59,177,9,237,2,0,2,2,2,75,1,1,3,0,0,1,32,1,4,1,0,2,611
38,"B P S GADHABAGHRAI",252,229,0,481,146,154,0,300,245,0,59,21,6,6,2,0,0,0,2,90,0,2,9,0,0,3,98,0,2,0,0,0,300
39,"P S NARI",226,197,0,423,154,124,0,278,278,0,99,64,6,11,3,3,3,3,3,5,6,4,6,3,3,3,34,4,6,3,3,3,278
40,"P S NARI",820,649,0,1469,391,391,0,782,663,0,179,161,5,190,3,0,1,4,5,2,0,1,7,0,1,3,205,6,2,4,1,2,782
41,"P S HARIRAMPUR",581,517,0,1098,282,286,0,568,68,0,98,263,14,75,0,1,0,0,2,15,1,4,2,3,1,6,68,12,2,0,0,1,568
42,"SARVODAY I C SHAHPUR NORTH SIDE",846,707,0,1553,508,383,0,891,887,0,70,493,6,217,0,0,0,1,0,23,0,1,4,2,2,1,64,4,2,1,0,0,891
43,"SARVODAY I C SHAHPUR MIDDLE SIDE",102,83,0,185,69,65,0,134,1,0,4,19,1,38,1,1,2,1,0,52,1,0,0,0,2,1,11,0,0,0,0,0,134
44,"SARVODAY I C SHAHPUR SOUTH SIDE",586,531,0,1117,356,251,0,607,607,0,40,97,15,104,1,1,1,3,1,239,5,1,6,0,0,3,83,1,2,1,1,2,607
45,"P S MUKUNDIPUR MIDDLE SIDE",380,359,0,739,181,199,0,380,2,0,213,35,9,26,2,0,0,0,0,3,0,3,6,1,0,2,77,1,0,0,0,2,380
46,"P S MUKUNDIPUR MIDDLE SIDE",149,145,0,294,86,82,0,168,9,0,50,2,11,84,0,1,0,0,0,0,0,0,0,1,0,2,13,1,0,2,1,0,168
47,"P S LAKHESAR NORTH SIDE",722,602,0,1324,412,322,0,734,734,0,188,250,18,134,1,0,5,8,0,8,1,1,5,1,1,2,79,2,22,3,1,4,734
48,"P S SEMARI",252,239,0,491,163,164,0,327,327,0,30,133,1,1,1,0,0,0,0,56,0,1,6,0,0,0,95,1,0,0,0,2,327
49,"K P S BHUILA NORTH SIDE",643,584,0,1227,371,339,0,710,706,0,141,76,10,206,4,1,11,0,1,115,1,3,3,3,4,4,124,2,0,0,1,0,710
50,"R I COLLEGE SIRSI EAST SIDE",752,678,0,1430,342,364,0,706,706,0,282,119,18,124,1,3,1,0,0,6,3,1,4,3,2,6,123,4,1,2,3,0,706
51,"R I COLLEGE SIRSI MIDDLE SIDE",261,210,0,471,162,112,0,274,274,0,122,7,12,1,0,0,0,0,0,98,1,0,0,0,0,0,32,0,0,0,0,1,274
52,"R I COLLEGE SIRSI WEST SIDE",316,270,0,586,165,160,0,325,144,0,73,26,48,95,1,0,0,0,1,10,0,0,3,0,0,1,57,2,5,2,1,0,325
53,"P S SAKARDELHA",289,251,0,540,153,167,0,320,15,0,15,42,11,158,1,0,1,0,0,7,0,1,6,0,0,2,70,0,4,2,0,0,320
54,"P S GOHADA",432,384,0,816,331,238,0,569,1,0,275,36,6,113,3,0,2,2,2,6,0,2,3,0,2,11,101,2,0,1,0,2,569
55,"P S CHHATAULI",289,248,0,537,165,141,0,306,306,0,99,65,7,40,1,0,0,0,0,3,3,2,8,0,0,1,76,0,0,0,1,0,306
56,"P S CHHATAULI MIDDLE SIDE",220,207,0,427,127,137,0,264,73,0,80,96,2,24,0,0,0,0,0,0,0,0,0,1,0,0,61,0,0,0,0,0,264
57,"P S GONAPAR NORTH SIDE",512,446,0,958,274,277,0,551,7,0,106,34,26,106,2,0,0,0,2,125,1,2,3,1,3,1,135,2,0,1,0,1,551
58,"P S GONAPAR MIDDLE SIDE",390,341,0,731,233,203,0,436,336,0,119,91,8,28,0,0,1,1,0,64,0,0,4,0,1,0,113,4,1,1,0,0,436
59,"P S GONAPAR NORTH SIDE",197,156,0,353,103,79,0,182,182,0,39,8,4,10,0,0,0,0,0,40,0,1,6,0,0,1,71,0,1,0,0,1,182
60,"P S GONAPAR",252,180,1,433,159,121,0,280,4,0,47,30,1,59,2,0,0,1,2,110,0,0,1,1,0,0,24,0,1,1,0,0,280
61,"P S BHILAMPUR",377,326,0,703,278,233,0,511,21,0,347,17,5,81,0,0,0,0,0,0,0,0,0,0,1,2,54,0,0,3,1,0,511
62,"P S CHANDPUR EAST SIDE",574,549,0,1123,323,322,0,645,512,0,105,120,7,41,3,0,0,0,0,0,0,0,4,0,1,0,351,5,6,0,1,1,645
63,"P S DAMARUWA NORTH SIDE",583,476,0,1059,210,210,0,420,286,0,133,94,5,74,2,1,2,1,3,1,5,3,12,3,2,13,62,0,1,1,1,1,420
64,"P S DAMARUWA NORTH SIDE",368,315,0,683,162,188,0,350,350,0,67,35,5,204,0,0,0,0,0,2,1,1,2,0,2,4,27,0,0,0,0,0,350
65,"P S DAMARUWA SOUTH SIDE",520,392,0,912,247,166,0,413,313,0,325,11,5,11,2,1,3,0,1,7,0,1,6,1,1,11,27,0,0,0,0,0,413
66,"P S DAMARUWA SOUTH SIDE",403,353,0,756,159,195,0,354,354,0,197,8,10,68,2,0,0,1,0,2,0,1,5,2,2,5,46,0,1,0,2,2,354
67,"P S BHARSAWA SOUTH SIDE",539,446,0,985,265,222,0,487,487,0,121,67,16,76,1,3,1,3,2,64,0,0,8,1,1,2,111,2,1,3,2,2,487
68,"JHS DUDAULI NORTH SIDE",574,495,0,1069,327,283,0,610,107,0,126,27,14,258,3,3,3,0,1,4,1,1,14,1,6,9,135,1,0,0,1,2,610
69,"JHS DUDAULI SOUTH SIDE",622,547,0,1169,290,327,0,617,617,0,55,72,20,186,6,2,0,2,4,107,2,2,8,1,4,4,135,2,1,0,0,4,617
70,"P S CHAK MAHITA",346,303,0,649,143,176,0,319,318,0,111,110,2,49,1,1,0,0,0,2,0,0,1,0,0,2,37,1,0,0,0,2,319
71,"P S BABHANAULI",329,276,0,605,155,155,0,310,217,0,96,16,3,40,0,0,0,0,0,12,1,1,3,2,1,0,130,1,0,2,0,2,310
72,"P S BABHANAULI EAST SIDE",533,464,0,997,229,261,0,490,470,0,189,20,46,159,4,0,0,0,1,4,0,0,5,0,0,2,55,2,2,0,0,1,490
73,"P S BABHANAULI WEST SIDE",832,720,0,1552,394,406,0,800,800,0,343,100,18,162,2,1,2,0,3,54,4,2,1,1,1,13,85,3,2,1,1,1,800
74,"P S MANSHAHPUR NORTH SIDE",458,389,0,847,226,221,0,447,400,0,91,122,6,86,2,0,0,0,0,18,3,0,3,0,1,0,109,0,2,0,2,2,447
75,"P S MANSHAHPUR NORTH SIDE",276,235,0,511,146,120,0,266,126,0,67,21,3,17,1,0,0,0,0,52,0,1,2,0,0,1,97,2,1,0,0,1,266
76,"P S FIROJPUR MIDDLE SIDE",756,642,0,1398,480,290,0,770,760,0,273,69,16,127,9,1,1,1,0,5,0,0,9,1,3,4,243,2,2,2,1,1,770
77,"P S FIROJPUR",394,300,0,694,223,187,0,410,410,0,70,133,8,137,2,1,1,0,0,2,0,0,4,0,3,2,44,0,2,0,1,0,410
78,"P S BISAWA",401,308,0,709,276,196,0,472,372,0,100,14,4,136,0,0,0,0,0,4,0,0,1,0,1,0,210,0,0,0,0,2,472
79,"AJHURAI U M V SHERAWA NORTH SIDE",622,532,0,1154,406,325,0,731,731,0,88,131,7,68,3,0,0,1,2,22,1,2,11,3,0,5,378,5,2,0,1,1,731
80,"AJHURAI U M V SHERAWA NORTH SIDE",485,462,0,947,251,239,0,490,251,0,135,48,5,1,2,0,0,0,0,43,1,1,5,1,2,6,232,5,0,1,0,2,490
81,"AJHURAI U M V SHERAWA SOUTH SIDE",421,371,1,793,303,247,0,550,550,0,32,20,3,101,4,0,0,0,1,142,0,2,1,0,0,1,235,3,0,4,1,0,550
82,"P S KALWARI",616,579,0,1195,411,370,0,781,781,0,194,36,7,106,0,0,0,0,0,27,0,0,11,3,0,1,388,3,1,1,0,3,781
83,"JHS BAGHAURA",444,359,0,803,218,223,0,441,441,0,168,10,5,99,0,1,0,0,2,26,0,1,8,0,0,3,111,2,2,1,2,0,441
84,"P S ALISHAHPUR",671,542,0,1213,336,340,0,676,676,0,288,94,12,112,1,1,1,1,0,2,2,14,7,1,0,0,134,2,2,1,1,0,676
85,"P S SIKRARA EAST SIDE",523,442,0,965,326,247,0,573,569,0,91,84,9,197,3,0,0,1,0,46,2,0,3,3,1,1,115,2,0,7,2,6,573
86,"P S SIKRARA EAST SIDE",359,261,0,620,188,157,0,345,345,0,28,9,5,170,2,0,1,0,0,18,0,1,7,1,1,1,96,2,1,2,0,0,345
87,"P S SIKRARA WEST SIDE",306,273,0,579,167,146,0,313,146,0,45,57,2,35,0,0,0,2,1,84,0,1,3,0,0,2,79,1,1,0,0,0,313
88,"P S BHARATPUR",346,333,0,679,229,218,0,447,447,0,88,13,9,67,1,0,1,0,0,61,2,2,11,1,0,0,183,5,1,1,0,1,447
89,"P S DURGAPAR",710,616,1,1327,430,352,0,782,652,0,36,91,3,0,4,1,1,1,5,169,1,4,9,0,0,3,440,2,0,1,6,5,782
90,"P S DEHJURI SOUTH SIDE",810,643,0,1453,430,352,0,782,652,0,127,150,10,21,2,0,2,5,5,369,0,3,5,3,4,1,68,1,1,0,0,5,782
91,"P S KHANAPATTI",595,486,0,1081,409,327,0,736,687,0,97,150,10,21,2,0,2,5,5,360,0,3,5,0,4,1,68,1,1,0,0,1,736
92,"S P S KHANAPATTI WEST SIDE",816,637,0,1453,474,374,0,848,364,0,263,180,4,141,1,1,2,0,2,31,2,2,8,0,0,0,205,2,0,2,1,1,848
93,"P S RAMNAGAR NORTH SIDE",279,208,0,487,151,105,0,256,13,0,38,14,1,75,0,0,0,0,1,79,1,1,2,0,0,2,41,0,0,1,0,0,256
94,"P S RAMNAGAR SOUTH SIDE",854,700,0,1554,546,241,0,787,721,0,264,52,2,48,0,2,2,2,2,164,3,1,6,0,2,3,230,1,0,1,0,2,787
95,"P S RAMNAGAR NAKTUBIR NORTH SIDE",382,307,0,689,344,205,0,549,549,0,28,1,0,5,0,0,0,0,0,0,0,0,1,0,0,1,512,0,0,0,1,0,549
96,"P S PURA BAGHAILA",543,480,0,1023,397,300,0,697,697,0,30,2,2,17,1,0,0,0,0,0,0,0,2,0,0,2,632,3,1,2,0,3,697
97,"P S RAMPUR",275,227,0,502,189,144,0,333,330,0,30,10,1,41,1,1,0,0,0,16,1,0,1,2,1,3,216,4,0,2,3,0,333
98,"P S LEDHUWA WEST SIDE",880,739,0,1619,393,362,0,755,755,0,243,12,10,223,6,0,1,0,2,86,1,2,10,3,1,5,144,1,1,1,3,0,755
99,"P S GADAHARA",305,255,0,560,162,175,0,337,337,0,99,11,8,105,3,0,0,0,0,51,0,0,2,0,1,5,47,0,2,1,0,2,337
100,"SHRI HIGHER SECONDARY SCHOOL REETHI EAST SIDE",404,319,0,723,222,173,0,395,394,0,41,86,2,54,1,2,1,0,5,150,2,0,3,0,1,2,42,0,2,0,0,1,395
101,"SHRI HIGHER SECONDARY SCHOOL REETHI EAST SIDE",340,286,0,626,141,146,0,287,283,0,58,30,2,112,0,0,0,0,1,37,0,0,3,1,1,1,41,0,0,0,0,0,287
102,"SHRI HIGHER SECONDARY SCHOOL REETHI MIDDLE SIDE",952,817,0,1769,247,225,0,472,472,0,86,55,19,166,5,1,0,0,0,12,0,0,5,1,0,3,116,2,1,0,0,0,472
103,"SHRI HIGHER SECONDARY SCHOOL REETHI MIDDLE SIDE",501,478,0,979,264,216,0,480,28,0,49,102,3,112,0,0,0,0,0,7,1,0,4,1,1,4,194,0,0,2,0,0,480
104,"P S BELSADI",528,425,0,953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,"BASANT VIDYAPEETH HIGHER SECONDARY SCHOOL KAKOHIYA MIDDLE SIDE",493,424,0,917,254,253,0,507,507,0,62,141,4,145,3,0,3,1,0,63,0,0,4,0,1,1,76,1,1,0,0,1,507
106,"BASANT VIDYAPEETH HIGHER SECONDARY SCHOOL KAKOHIYA MIDDLE SIDE",345,313,0,658,164,141,0,305,295,0,109,30,6,11,0,0,0,0,0,58,1,0,1,0,0,0,86,1,1,0,0,1,305
107,"P S UTARU KHURD",536,448,0,984,305,287,0,592,592,0,117,180,8,146,1,2,1,1,5,100,0,1,3,1,4,1,17,0,3,0,1,0,592
108,"P S GADASENI",290,271,0,561,159,153,0,312,271,0,32,95,4,102,2,0,0,0,1,30,0,0,4,1,1,0,32,6,0,0,0,2,312
109,"P S GADASENI",689,614,0,1303,356,350,0,706,706,0,196,229,5,19,3,0,1,0,9,67,1,2,6,3,4,3,149,5,3,0,0,1,706
110,"SADHAN SAHKARI SAMITI UTARUKALA",525,484,0,1009,285,286,0,571,569,0,133,97,7,124,1,0,1,4,11,58,2,2,15,0,2,3,108,1,0,1,1,0,571
111,"SADHAN SAHKARI SAMITI UTARUKALA",367,326,0,693,214,180,0,394,392,0,63,185,4,3,1,1,3,3,3,67,1,4,9,1,0,0,38,2,5,0,1,0,394
112,"P S TARSADA",633,542,0,1175,367,313,0,680,17,0,104,113,8,45,5,1,0,2,3,331,1,1,2,1,1,4,55,1,1,0,0,1,680
113,"JHS PURA MOHABBAT",645,589,0,1234,359,351,0,710,710,0,138,118,7,167,2,0,3,2,1,109,1,0,5,0,1,1,151,2,0,1,0,1,710
