"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ANIS AHMAD KHAN ALIAS PHOOL BABU","2 - BUDHSEN VERMA","3 - MANEKA SANJAY GANDHI","4 - SANJAY KAPOOR","5 - NILIMA SHARMA","6 - RAJEEV AGRAWAL","7 - RAM AUTAR","8 - SANJAY KUMAR","9 - ARAMAN KHAN","10 - MOHD NAEEM ANSARI","11 - MUNESH SINGH","12 - RAVINDRA KUMAR DEVNATH","13 - None of the Above","Total Votes Secured"
1,BIHANDARA,612,555,0,1167,466,415,0,881,571,0,31,47,721,34,1,7,7,1,0,4,12,3,13,881
2,BHINDARA,223,199,0,422,133,122,0,255,255,0,9,77,140,20,2,5,0,0,0,0,0,1,1,255
3,GIDHAUR,548,498,0,1046,407,337,0,744,23,0,22,58,612,33,3,1,0,0,2,2,2,2,7,744
4,GIDHAUR,309,263,0,572,182,139,0,321,129,0,9,31,233,39,0,7,0,0,0,0,0,2,0,321
5,TODRAPUR,756,640,0,1396,476,365,0,841,839,0,209,305,293,12,1,5,0,1,3,1,5,3,3,841
6,TODRAPUR,577,457,1,1035,444,350,0,794,792,0,7,39,601,124,1,1,12,1,0,0,2,0,6,794
7,TODRAPUR,435,357,0,792,335,276,0,611,609,0,15,44,481,48,0,5,3,0,3,2,3,1,6,611
8,"NIVAD EETHAPUR",433,386,0,819,257,234,0,491,467,0,38,199,233,3,0,1,1,0,1,5,5,0,5,491
9,SURJAPUR,575,483,0,1058,343,439,0,782,14,0,38,66,575,60,3,22,2,1,0,2,8,1,4,782
10,SURJAPUR,399,327,0,726,269,212,0,481,26,0,121,65,262,21,1,2,1,0,2,1,1,0,4,481
11,"TUKARPURA UFR BADHAVAR",672,566,0,1238,470,354,0,824,824,0,109,390,295,17,1,2,2,0,1,1,3,0,3,824
12,"BAHADUR GANJ",317,258,0,575,260,204,0,464,464,0,79,60,311,11,1,0,0,0,0,0,0,1,1,464
13,MAHACHANDI,522,434,0,956,331,259,0,590,590,0,108,251,194,16,0,0,0,0,5,11,1,1,3,590
14,RAFIYAPUR,484,440,0,924,380,341,0,721,720,0,100,171,416,19,1,0,1,0,0,3,5,2,3,721
15,JATAPURA,588,483,0,1071,419,344,0,763,763,0,11,112,621,3,0,0,1,0,0,5,4,2,4,763
16,DHANAKUNI,502,435,0,937,343,256,0,599,528,0,27,20,507,18,2,1,1,0,2,1,8,1,11,599
17,"GULADIYA DULHAN",431,390,0,821,281,237,0,518,280,0,17,290,185,11,4,3,1,0,0,0,4,0,3,518
18,SAKHAULA,468,394,0,862,363,292,0,655,412,0,9,34,589,14,0,1,1,0,2,0,4,0,1,655
19,ROHATANIYA,306,266,0,572,254,225,0,479,434,0,111,11,331,13,0,1,0,0,1,1,5,0,5,479
20,DHANAKUNA,687,631,0,1318,501,387,0,888,43,0,124,207,507,29,1,1,1,0,2,2,2,3,9,888
21,DANDIYA,355,297,0,652,270,232,0,502,384,0,36,24,404,21,0,0,0,0,0,1,4,3,9,502
22,KAIMA,217,196,0,413,163,153,0,316,316,0,111,4,178,5,1,6,0,0,0,0,3,2,6,316
23,CHAHALORA,387,345,0,732,273,234,0,507,146,0,66,24,352,33,1,20,0,0,0,3,5,1,2,507
24,"HASAN NAGAR UFR BHAGTANIYA",534,457,0,991,422,340,0,762,748,0,73,50,588,25,3,1,1,0,3,0,10,3,5,762
25,"ULLAKRI DHAKIYA",607,524,0,1131,389,297,0,686,574,0,171,186,234,60,0,20,0,0,0,4,3,2,6,686
26,BAHARUA,666,560,0,1226,542,475,0,1017,503,0,7,12,903,29,2,7,30,3,0,3,12,4,5,1017
27,BAHARUA,341,274,0,615,240,191,0,431,431,0,7,24,357,12,1,5,17,0,2,0,3,2,1,431
28,TANDAVIJAISI,669,582,0,1251,541,476,0,1017,1013,0,14,20,895,40,2,2,5,2,10,3,9,6,9,1017
29,TANDAVIJAISI,435,377,0,812,270,231,0,501,190,0,8,18,416,38,1,9,1,0,1,2,0,1,6,501
30,"NYORIYA HUSAINAPUR",809,711,0,1520,670,562,0,1232,1228,0,8,93,999,46,5,4,58,0,1,1,3,6,8,1232
31,"NYORIYA HUSAINAPUR",738,630,0,1368,579,486,0,1065,1065,0,15,20,934,20,1,6,8,2,4,3,11,31,10,1065
32,BHARTAPUR,569,458,0,1027,436,358,0,794,794,0,4,9,722,20,3,18,6,0,4,0,1,4,3,794
33,BHARTAPUR,374,342,0,716,259,204,0,463,411,0,10,54,327,34,3,18,3,0,0,2,1,5,6,463
34,"NYORIYA HUSAINAPUR",221,184,0,405,185,167,0,352,2,0,3,79,263,2,1,0,0,0,0,2,1,0,1,352
35,"NYORIYA HUSAINAPUR",473,406,0,879,351,289,0,640,637,0,10,52,509,13,3,25,5,1,4,0,5,7,6,640
36,"NYORIYA HUSAINAPUR",400,350,0,750,308,253,0,561,41,0,6,42,495,3,1,0,6,0,1,2,3,0,2,561
37,MAHOF,636,521,0,1157,453,378,0,831,831,0,63,59,662,18,1,1,11,2,2,2,0,4,6,831
38,KALLIYA,447,434,0,881,374,321,0,695,592,0,2,70,594,8,4,2,4,0,2,1,3,0,5,695
39,SANDIYAMUGLAPURA,381,347,0,728,273,263,0,536,536,0,34,39,445,4,1,1,0,0,0,3,5,0,4,536
40,SANDA,577,527,0,1104,466,395,0,861,853,0,14,83,738,6,0,2,0,0,3,1,3,3,8,861
41,GAUHAR,493,428,0,921,307,254,0,561,561,0,52,372,107,16,0,4,1,0,0,0,1,1,7,561
42,GAUHAR,370,323,0,693,267,222,0,489,443,0,32,212,190,30,1,2,4,0,1,2,1,6,8,489
43,BHAMAURA,579,513,0,1092,410,319,0,729,726,0,28,52,616,11,1,1,1,2,2,1,8,3,3,729
44,BHAMAURA,309,267,0,576,235,197,0,432,428,0,51,48,315,2,2,3,2,1,3,2,1,0,2,432
45,"DINNAGAR KHAJUA",237,204,0,441,189,176,0,365,360,0,20,15,315,5,0,0,0,0,1,0,5,1,3,365
46,HASIMAPUR,387,325,0,712,259,221,0,480,294,0,22,43,389,9,0,0,0,0,4,4,4,1,4,480
47,MANDARIYA,546,479,0,1025,449,346,0,795,744,0,9,211,548,8,2,1,1,0,0,1,10,0,4,795
48,BITHRA,834,712,0,1546,597,487,0,1084,20,0,31,132,880,9,2,0,3,1,1,2,12,3,8,1084
49,BITHRA,635,580,0,1215,493,402,0,895,118,0,113,57,650,18,3,5,2,6,0,4,16,4,17,895
50,AAURIYA,553,524,0,1077,463,415,0,878,20,0,32,79,715,20,0,2,0,1,3,2,12,3,9,878
51,FULAHAR,387,370,0,757,348,308,0,656,612,0,3,76,544,12,3,3,2,0,0,2,5,1,5,656
52,MAIDNA,711,661,0,1372,540,482,0,1022,1022,0,197,87,681,12,0,9,1,3,3,6,8,4,11,1022
53,KHARAUSA,476,452,0,928,394,304,0,698,634,0,113,94,465,7,2,2,2,0,2,2,5,0,4,698
54,"ARAJI CHANT UFR TANDOLA",307,286,0,593,253,224,0,477,21,0,89,88,276,5,0,8,1,0,0,0,2,3,5,477
55,HIMMANTNAGAR,582,548,0,1130,466,389,0,855,855,0,118,32,652,13,4,1,2,1,0,2,4,5,21,855
56,TAH,333,304,0,637,278,237,0,515,4,0,53,224,221,3,1,3,0,0,2,2,1,1,4,515
57,PAUTAKHUDR,409,382,0,791,299,280,0,579,3,0,20,166,354,19,0,8,0,0,0,1,3,1,7,579
58,"MAITHI SAIDULLAGANJ",566,531,0,1097,421,362,0,783,779,0,23,22,704,9,2,2,3,0,2,5,4,1,6,783
59,"MAITHI SAIDULLAGANJ",343,337,0,680,255,206,0,461,459,0,47,41,352,9,2,3,0,1,0,2,3,0,1,461
60,VITHAURAKHUDR,366,309,0,675,289,238,0,527,520,0,96,92,297,26,0,6,1,1,0,0,2,2,4,527
61,NYURIYAKHUDR,620,496,0,1116,493,398,0,891,890,0,83,94,674,10,1,0,8,1,1,1,4,1,13,891
62,KHARAGAPUR,428,376,0,804,335,272,0,607,352,0,3,29,509,44,1,11,0,1,1,0,2,2,4,607
63,"HARAIYA URF HARAKISHANAPUR",483,428,0,911,377,336,0,713,682,0,144,20,517,9,2,0,0,0,4,6,7,1,3,713
64,PANDARI,644,600,0,1244,503,388,0,891,814,0,124,38,678,10,1,1,3,2,3,6,13,0,12,891
65,PANDARI,830,696,0,1526,557,441,0,998,252,0,9,25,900,21,5,2,2,4,1,1,8,3,17,998
66,"CHANTADANG UFR BALDEV PUR",477,422,0,899,364,323,0,687,13,0,65,40,509,13,4,3,5,2,4,4,16,6,16,687
67,MUDIYARTANAPURI,457,465,0,922,388,357,0,745,742,0,24,75,599,15,2,3,0,1,2,3,5,4,12,745
68,SAIJNA,506,411,0,917,371,288,0,659,656,0,137,40,472,3,0,0,3,1,1,0,0,0,2,659
69,SAIJNA,505,494,0,999,381,259,0,640,640,0,29,42,534,18,0,1,1,2,4,1,3,2,3,640
70,MARAURI,744,661,0,1405,553,465,0,1018,1018,0,127,71,737,20,1,12,2,2,1,7,17,5,16,1018
71,PURAVABHUDA,387,346,0,733,285,234,0,519,519,0,51,15,416,5,0,11,3,0,2,2,2,5,7,519
72,BASANTAPUR,452,383,0,835,346,269,0,615,615,0,173,16,366,9,3,26,0,0,3,2,3,6,8,615
73,KHAIKHEDA,302,258,0,560,220,206,0,426,426,0,70,19,322,2,1,1,0,0,1,0,6,2,2,426
74,JAUNAPURI,558,516,0,1074,460,403,0,863,863,0,224,141,434,12,3,2,3,1,3,0,11,8,21,863
75,MOHANPUR,511,462,0,973,373,313,0,686,9,0,88,44,501,19,4,0,1,0,0,4,11,1,13,686
76,KAIM,488,447,0,935,381,299,0,680,559,0,40,72,538,9,3,0,0,1,0,1,7,2,7,680
77,KAIM,317,292,0,609,261,230,0,491,477,0,11,25,444,5,1,0,1,0,0,0,1,2,1,491
78,DEVIPURA,413,361,0,774,313,222,0,535,2,0,51,23,417,14,0,6,0,2,2,0,8,2,10,535
79,"KALYANAPUR NAUGAVAN",801,744,0,1545,560,510,0,1070,400,0,130,87,753,12,4,7,24,3,6,3,18,7,16,1070
80,RICHHOLA,381,327,0,708,282,197,0,479,335,0,15,18,386,28,3,17,1,0,0,2,4,1,4,479
81,"DHERAM MANDARIYA",671,577,0,1248,494,426,0,920,17,0,262,93,493,43,1,3,7,0,2,4,6,3,3,920
82,"DHERAM MANDARIYA",540,462,0,1002,398,360,0,758,58,0,48,9,620,28,4,10,3,2,2,1,14,4,13,758
83,SIRASASRADHA,482,425,0,907,392,327,0,719,716,0,193,30,458,12,0,4,2,2,2,2,4,2,8,719
84,SIRASASRADHA,455,428,0,883,346,327,0,673,602,0,125,24,503,4,2,4,1,0,0,2,6,2,0,673
85,JAMUNIYAE,679,581,0,1260,478,368,0,846,725,0,67,90,649,4,1,2,10,1,2,3,3,1,13,846
86,DIYORA,287,273,0,560,254,218,0,472,470,0,14,18,406,16,1,1,1,1,1,1,5,0,7,472
87,KHAG,675,623,0,1298,451,418,0,869,302,0,135,48,617,13,1,20,5,0,1,2,8,4,15,869
88,"MANAPUR HATUA",391,354,0,745,316,255,0,571,571,0,52,208,271,11,0,2,6,0,3,2,2,5,9,571
89,KANJAAHARAIYA,655,576,0,1231,511,465,0,976,3,0,8,73,686,171,1,3,6,1,1,1,9,4,12,976
90,KANJAAHARAIYA,682,573,0,1255,576,463,0,1039,1038,0,4,93,699,127,2,69,19,1,4,3,2,5,11,1039
91,KANJAAHARAIYA,683,573,0,1256,492,404,0,896,896,0,5,106,619,116,0,22,5,1,5,1,3,5,8,896
92,"AJITAPUR GAURIYA",318,270,0,588,224,223,0,447,447,0,139,27,260,8,1,0,2,0,0,0,1,3,6,447
93,ATHAKONA,384,338,0,722,267,250,0,517,404,0,26,15,457,5,1,0,0,0,1,0,2,1,9,517
94,AMAKHEDA,662,580,0,1242,457,423,0,880,880,0,122,98,623,13,0,2,11,2,2,4,1,0,2,880
95,JAITAPUR,753,663,0,1416,570,448,0,1018,51,0,90,83,797,13,2,18,3,2,1,0,5,1,3,1018
96,"MUDAILA KALAN",519,468,0,987,346,322,0,668,662,0,154,23,451,7,0,4,8,0,1,4,7,3,6,668
97,NAKATIYA,400,336,0,736,308,235,0,543,514,0,32,97,380,18,1,3,0,0,3,1,1,2,5,543
98,GAJARAULAKALAN,593,511,0,1104,414,340,0,754,18,0,143,287,274,4,11,4,5,1,1,3,8,2,11,754
99,GAJARAULAKALAN,303,263,0,566,212,164,0,376,19,0,61,114,183,15,0,2,1,0,0,0,0,0,0,376
100,GAJARAULAKALAN,696,615,0,1311,420,309,0,729,207,0,103,474,106,7,0,7,1,2,3,6,1,4,15,729
101,GAJARAULAKALAN,713,607,0,1320,485,380,0,865,865,0,66,461,296,6,1,2,2,0,1,1,5,9,15,865
102,GAJARAULAKALAN,220,192,0,412,187,166,0,353,10,0,4,9,314,15,0,6,1,0,0,0,1,2,1,353
103,PIPARIYABHJA,626,572,0,1198,460,361,0,821,821,0,11,63,695,8,4,2,0,0,0,6,12,6,14,821
104,PIPARIYABHJA,347,288,0,635,208,188,0,396,380,0,109,54,211,7,2,2,0,1,3,0,0,0,7,396
105,PIPARIYABHJA,638,522,0,1160,398,301,0,699,699,0,62,153,459,8,1,5,3,0,2,1,3,0,2,699
106,PIPARIYABHJA,409,357,0,766,263,185,0,448,319,0,40,85,297,9,0,1,1,1,0,1,3,1,9,448
107,VAHANAPUR,349,298,0,647,267,233,0,500,500,0,63,85,341,2,1,0,0,0,1,1,1,3,2,500
108,PIPARIYANVADIYA,624,527,0,1151,459,394,0,853,53,0,49,65,589,110,2,5,19,2,1,2,4,1,4,853
109,CHUDAILA,263,230,0,493,223,195,0,418,346,0,26,115,258,4,1,0,0,0,1,0,3,1,9,418
110,KARANAPUR,751,654,0,1405,564,468,0,1032,1032,0,48,333,594,15,4,0,0,1,3,3,12,8,11,1032
111,KAROD,630,543,0,1173,456,361,0,817,22,0,72,205,514,1,0,0,1,0,1,0,9,2,12,817
112,JARKALIYA,589,528,1,1118,397,366,0,763,763,0,40,162,505,6,0,6,7,2,1,5,10,1,18,763
113,JARKALIYA,276,249,0,525,183,166,0,349,102,0,3,50,283,6,0,1,1,0,0,0,2,1,2,349
114,KUDAILAKHUDR,255,226,0,481,219,199,0,418,304,0,7,29,352,3,0,1,4,0,5,0,10,2,5,418
115,BHUDASARAINDA,741,651,0,1392,566,472,0,1038,1038,0,84,51,807,56,3,4,2,0,3,4,7,2,15,1038
116,VANAUSA,300,267,0,567,246,184,0,430,429,0,55,60,290,5,1,0,2,0,1,0,8,2,6,430
117,NAVADIYAKURAIYYA,286,255,0,541,204,177,0,381,381,0,21,20,320,6,3,0,0,0,0,1,6,1,3,381
118,"DIYONI BAHADUR GANJ",333,299,0,632,241,210,0,451,451,0,85,74,279,3,1,1,0,1,0,2,3,0,2,451
119,VITHAURAKALAN,716,618,0,1334,478,340,0,818,815,0,35,30,584,37,1,5,95,1,4,1,12,3,10,818
120,VITHAURAKALAN,647,624,0,1271,416,308,0,724,724,0,49,20,483,28,0,3,112,4,5,1,4,2,13,724
121,VITHAURAKALAN,310,280,0,590,217,162,0,379,365,0,17,10,270,9,2,1,49,1,6,4,5,0,5,379
122,"KUTHYA RATE",340,304,0,644,291,247,0,538,1,0,17,22,441,12,4,1,30,0,1,0,3,1,6,538
123,DIYURI,760,675,0,1435,511,475,0,986,10,0,183,163,559,40,2,2,9,1,1,4,5,4,13,986
124,"AJEETPUR PATPARA",645,558,0,1203,526,444,0,970,919,0,94,57,768,9,1,1,7,1,3,6,12,3,8,970
125,MAHUA,372,343,0,715,277,252,0,529,3,0,79,51,365,7,0,14,1,0,0,1,3,3,5,529
126,KAICH,604,563,0,1167,463,411,0,874,872,0,81,120,616,22,6,4,0,4,2,3,4,1,11,874
127,"NAVADIYA GHISI",200,192,0,392,176,157,0,333,331,0,16,8,292,5,0,3,1,1,0,1,3,0,3,333
