"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - LALITESH PATI TRIPATHI","2 - SAMUDRA BIND","3 - SURENDRA SINGH PATEL","4 - ANUPRIYA SINGH PATEL","5 - AJAD","6 - JITTOO RAM RATNA","7 - JEERA BHARTI","8 - BRIJESH KUMAR RAI","9 - BHAGWAN DAS","10 - RADHESHYAM INSAN","11 - VINEET SAHAI","12 - SHIVRAJ SAHNI","13 - SANTOSH KUMAR","14 - SARVESH DUBEY","15 - SUKCHARA NAND URF AALOO BABA","16 - ASHOK KUMAR","17 - ADESH TYAGI","18 - DR. KARNAIL SINGH","19 - GIRJA SHANKAR URF CHUNMUN","20 - DEVI","21 - RAJA RAM","22 - RAM MURAT","23 - HINCHH LAL","24 - None of the Above","Total Votes Secured"
1,"DEVRI UTTAR",738,648,0,1386,514,399,0,913,13,0,163,328,35,256,11,5,6,2,15,3,8,5,8,8,8,27,2,4,0,0,0,8,7,4,913
2,"RAMAPUR THAKUR DAYAL",261,231,0,492,176,151,0,327,5,0,26,85,82,93,5,2,0,1,0,0,1,0,1,2,1,2,0,3,9,3,2,5,1,3,327
3,KIRHA,389,364,0,753,248,240,0,488,50,0,190,29,135,89,4,0,2,2,2,0,5,0,1,0,3,8,5,2,5,1,0,2,2,1,488
4,GULALAPUR,663,593,0,1256,407,344,0,751,75,0,121,158,109,234,5,4,39,0,5,4,7,3,5,5,3,14,6,2,2,5,1,11,6,2,751
5,HARDIMISHRA,694,613,0,1307,418,346,0,764,215,0,150,233,31,243,26,3,1,2,0,3,3,3,5,7,6,27,2,3,0,2,2,7,2,3,764
6,PURANIPUR,117,107,0,224,77,75,0,152,90,0,13,90,0,38,0,0,0,0,0,0,0,1,0,1,0,1,0,5,0,1,0,2,0,0,152
7,GODATUTAVA,402,371,0,773,250,203,0,453,453,0,84,215,49,64,0,0,20,1,2,1,0,1,0,4,2,3,2,0,0,3,2,0,0,0,453
8,HADAURA,564,519,0,1083,326,313,0,639,410,0,174,49,242,48,47,4,1,0,3,2,2,4,2,13,8,15,3,0,3,3,0,3,4,9,639
9,BELHARA,458,410,0,868,236,214,0,450,450,0,117,141,6,157,2,2,1,1,0,0,1,1,0,0,1,4,2,5,4,1,1,1,1,1,450
10,HARDIKHURD,509,494,0,1003,279,252,0,531,20,0,179,36,184,109,1,0,4,2,0,0,2,1,0,1,1,5,1,1,1,1,0,0,0,2,531
