"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - BAL KUMAR PATEL ALIAS RAJKUMAR","2 - BHAIRON PRASAD MISHRA","3 - RAMCHANDRA SARAS","4 - VIVEK KUMAR SINGH","5 - R. K. SINGH PATEL","6 - AMAR SINGH RATHAUR","7 - PAPPU YADAV","8 - PRABHAKAR PRASAD","9 - VISHVAMBHAR NATH","10 - MO. SAGEER","11 - SUSHEELA SINGH","12 - NARENDRA KUMAR SHRIVASTAVA","13 - VIJAY PRAKASH","14 - None of the Above","Total Votes Secured"
1,"PRATHMIK VIDYALAY BILAS PURVI",475,377,0,852,258,204,0,462,345,0,95,167,8,12,135,4,3,3,3,2,2,5,9,14,462
2,"PRATHMIK VIDYALAY CHILLIMAL PURVI",805,612,0,1417,465,315,0,780,490,0,170,239,15,22,285,3,2,2,2,5,1,5,9,20,780
3,"PRATHMIK VIDYALAY CHILLIMAL PASCHIM",853,694,0,1547,461,366,0,827,827,0,135,382,24,15,226,5,1,1,2,2,2,7,6,19,827
4,"PRATHMIK VIDYALAY CHANDI UTTAR",528,463,0,991,291,260,0,551,545,0,211,121,6,49,150,3,0,2,0,1,1,2,1,4,551
5,"PRATHMIK VIDYALAY TEERGHUMAI",616,503,0,1119,297,283,0,580,580,0,125,240,17,22,140,6,1,2,1,1,2,4,7,12,580
6,"PRATHMIK VIDYALAY NAINI NORTH PART",479,406,0,885,278,221,0,499,474,0,17,209,7,8,239,4,1,2,0,3,1,3,2,3,499
7,"PRATHMIK VIDYALAY DHAURHARA NORTH PART",272,246,0,518,145,164,0,309,294,0,100,94,4,6,91,0,3,4,1,0,0,3,2,1,309
8,"PRATHMIK VIDYALAY BIHARWAN EAST PART",720,588,0,1308,382,386,0,768,335,0,138,358,23,24,181,5,2,2,3,4,3,2,4,19,768
9,"PRATHMIK VIDYALAY BIHARWAN WEST PART",181,150,0,331,97,86,0,183,168,0,16,85,1,2,69,1,0,0,2,1,0,1,2,3,183
10,"PRATHMIK VIDYALAY BAKTAKHURD-NORTH PART",685,603,0,1288,302,294,0,596,522,0,117,216,25,83,114,3,1,5,4,3,5,2,7,11,596
