"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KADIR RANA","2 - PANKAJ AGARWAL","3 - VIRENDER SINGH","4 - DR. SANJEEV KUMAR BALYAN","5 - ANIL KUMAR","6 - CHATAR SINGH KASHYAP","7 - MANGE RAM KASHYAP","8 - MOHAMMED YAMIN","9 - MO. YAMIN","10 - RAJESH DEVI ALIAS RADHIKA BALIYAN","11 - LALIT CHAUHAN","12 - ANKUR","13 - GUFRAN AHMAD","14 - JAGBIR SINGH","15 - NASEEM AHMAD ANSARI","16 - PHOOL SINGH PAL","17 - RAKESH","18 - SHABNAM","19 - SHANDAR GUFRAN","20 - None of the Above","Total Votes Secured"
1,"PRATHMIK VIDHALAYA RAJPUR MOMIN",453,398,0,851,422,367,0,789,789,0,3,1,14,741,7,1,1,0,0,6,0,0,6,1,0,2,2,1,1,2,789
2,"UCCH PRATHMIK VIDHALAYA AALAMGIRPUR FARIDPUR",306,274,0,580,258,215,0,473,473,0,10,1,46,404,2,0,0,0,0,2,0,0,2,0,1,0,1,0,0,4,473
3,"PURANA PRATHMIK VIDHALAYA NAHALI ROOM NO.1",579,500,0,1079,431,376,0,807,807,0,421,1,103,249,2,1,1,0,0,8,0,1,5,1,0,6,5,0,1,2,807
4,"PURANA PRATHMIK VIDHALAYA NAHALI ROOM NO.2",522,438,0,960,522,366,0,888,888,0,10,0,2,871,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,888
5,"JANTA INTER COLLEGE KHERA ROOM NO.1",637,522,0,1159,507,385,0,892,892,0,4,1,4,869,2,1,0,0,0,1,0,0,4,2,0,3,1,0,0,0,892
6,"JANTA INTER COLLEGE KHERA ROOM NO.2",576,481,0,1057,470,400,0,870,870,0,1,8,11,837,5,1,0,0,0,1,0,0,3,0,0,1,0,0,0,2,870
7,"PRATHMIK VIDHALAYA KHERA ROOM NO.1",653,545,0,1198,509,354,0,863,863,0,0,2,3,844,1,1,0,1,0,5,0,0,0,0,0,0,0,0,1,5,863
8,"PRATHMIK VIDHALAYA KHERA ROOM NO.2",520,412,0,932,446,321,0,767,767,0,0,6,0,754,2,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,767
9,"PRATHMIK VIDHALAYA KHERA ROOM NO.3",472,363,0,835,435,280,0,715,715,0,0,1,0,713,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,715
10,"JAWAHAR INTER COLLEGE AURANGNAGAR RADHANA ROOM NO.1",670,574,0,1244,515,404,0,919,919,0,24,2,29,821,12,3,1,0,1,10,0,1,1,1,1,1,2,0,1,8,919
11,"JAWAHAR INTER COLLEGE AURANGNAGAR RADHANA ROOM NO.2",837,703,0,1540,645,516,0,1161,1161,0,237,3,11,861,1,3,0,4,1,14,3,2,4,0,3,7,2,0,1,4,1161
12,"UCCH.PRATHMIK, VIDHALAYA AAURANG NAGAR RARDHANA ROOM.NO.1",678,528,0,1206,477,397,0,874,874,0,162,2,25,643,2,0,0,0,1,3,0,1,2,0,1,6,9,0,3,14,874
13,"UCCH PRATHMIK, VIDHALAYA AAURANG NAGAR RARDHANA ROOM.NO.2",630,525,0,1155,409,346,0,755,755,0,117,2,9,600,2,1,0,0,3,3,1,1,2,0,2,5,4,0,0,3,755
14,"PRATHMIK VIDHALAYA AKALPURA MAJRA AAURANG NAGAR RARDHANA",490,415,0,905,370,314,0,684,684,0,147,1,17,505,3,1,0,0,0,3,0,0,0,0,0,1,3,1,0,2,684
15,"PRATHMIK VIDHALAYA JAMALPUR AAKHEPUR",739,671,0,1410,622,536,0,1158,1158,0,30,3,12,1097,2,0,0,0,2,5,0,0,1,0,0,2,0,0,0,4,1158
16,"PRATHMIK VIDHALAYA BHAMBHORI ROOM NO.1",588,471,0,1059,395,290,0,685,685,0,68,2,53,532,3,0,1,0,1,6,1,1,4,0,1,1,1,1,3,6,685
17,"PRATHMIK VIDHALAYA BHAMBHORI ROOM NO.2",507,364,0,871,363,267,0,630,630,0,36,8,147,428,1,0,0,0,1,1,0,0,3,1,2,0,0,0,0,2,630
18,"UCCH. PRATHMIK VIDHALYA BHAMBHORI ROOM NO.1",538,437,0,975,381,293,0,674,674,0,10,3,71,570,1,0,1,0,0,8,0,2,0,1,0,3,1,0,0,3,674
