"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - NAGMA","2 - RAJENDRA AGARWAL","3 - MOHD.SHAHID AKHLAK","4 - SHAHID MANZOOR","5 - MOHD.USMAN GHAZI","6 - MOHD. SAJID SAIFI","7 - DR. EX. MAJ HIMANSHU SINGH","8 - ATUL KHODAWAL","9 - ANIL","10 - APHAJAL","11 - IQRA CHOUDHARY","12 - MUKESH KUMAR","13 - SUNIL DUTT","14 - None of the Above","Total Votes Secured"
33,"PRATHMIK VIDHALAYA KUNDA ROOM N0 1",712,563,0,1275,519,318,0,837,826,0,22,418,140,225,4,1,3,7,1,0,5,2,3,6,837
34,"PRATHMIK VIDHALAYA KUNDA ROOM N0 2",694,453,0,1147,403,272,0,675,675,0,39,355,170,90,1,1,3,1,1,1,1,6,0,6,675
35,"PRATHVI SINGH SUBHARTI J.H.S. DUNGRAVALI",660,530,0,1190,444,461,0,905,815,0,5,450,231,202,2,0,0,0,1,0,2,2,5,5,905
36,"PRATHMIK VIDHALAYA ROOM N0 1 SUNDRA URF PUTHA",569,456,0,1025,432,298,0,730,725,0,22,347,33,315,1,0,3,1,2,0,2,1,0,3,730
37,"PRATHMIK VIDHALAYA ROOM N0 2 SUNDRA URF PUTHA",522,421,0,943,392,298,0,690,515,0,21,245,268,143,1,1,1,0,0,0,2,3,2,3,690
38,"PRATHMIK VIDHALAYA ROOM N0 3 SUNDRA URF PUTHA",583,507,1,1091,374,307,0,681,289,0,30,395,190,54,0,0,6,0,0,1,1,1,1,2,681
39,"PRATHMIK VIDHALAYA ROOM N0 1 MALIYANA",631,480,0,1111,441,284,0,725,702,0,3,4,507,196,2,0,1,0,0,0,2,2,2,6,725
40,"PRATHMIK VIDHALAYA ROOM N0 2 MALIYANA",551,407,0,958,381,275,0,656,646,0,5,106,520,21,0,0,0,0,1,0,0,2,0,1,656
41,"PRATHMIK VIDHALAYA ROOM N0 3 MALIYANA",697,598,0,1295,531,407,0,938,936,0,11,104,797,5,1,0,3,3,1,0,0,2,2,9,938
42,"PRATHMIK VIDHALAYA ROOM N0 4 MALIYANA",704,572,0,1276,462,387,0,849,849,0,23,396,407,11,0,0,3,0,0,1,0,0,0,8,849
43,"DR. AMBEDKAR BHAWAN ROOM N0 1 NEAR PRATHMIK VIDHALAYA MALIYANA",847,660,0,1507,629,479,0,1108,1108,0,3,35,1053,0,0,0,3,0,0,0,2,4,1,7,1108
44,"DR. AMBEDKAR BHAWAN ROOM N0 2 NEAR PRATHMIK VIDHALAYA MALIYANA",532,401,0,933,359,260,0,619,589,0,7,83,512,6,1,0,0,0,1,0,0,5,0,4,619
45,"DR. AMBEDKAR DHARAMSHALA M0 SHAKTINAGAR MALIYANA",630,496,0,1126,420,304,0,724,704,0,31,560,73,43,2,1,3,2,1,1,0,0,2,5,724
46,"SHASHTRI PUBLIC SCHOOL ROOM N0 1 MALIYANA",638,504,0,1142,392,300,0,692,600,0,16,431,209,25,0,0,3,1,0,0,0,1,2,4,692
47,"SHASHTRI PUBLIC SCHOOL ROOM N0 2 MALIYANA",419,302,0,721,249,186,0,435,432,0,7,267,150,2,0,0,4,1,0,0,0,3,1,0,435
48,"SHASHTRI PUBLIC SCHOOL ROOM N0 3 MALIYANA",875,678,0,1553,543,422,0,965,965,0,14,423,489,15,0,1,6,4,1,1,1,4,2,4,965
49,"SAHARAN PUBLIC SCHOOL ROOM N0 1 BAGPAT ROAD MALIYANA",701,608,0,1309,494,404,0,898,878,0,10,478,366,32,1,0,1,1,0,1,0,2,2,4,898
50,"SAHARAN PUBLIC SCHOOL ROOM N0 2 BAGPAT ROAD MALIYANA",413,354,0,767,290,255,0,545,531,0,8,308,206,3,0,0,14,0,0,2,0,0,2,2,545
51,"SAHARAN PUBLIC SCHOOL ROOM N0 3 BAGPAT ROAD MALIYANA",556,459,0,1015,419,299,0,718,715,0,8,175,165,363,0,1,1,0,0,1,0,0,1,3,718
52,"JASWANT MILS H0 SEC0 SCHOOL MALIYANA",383,316,0,699,232,178,0,410,407,0,53,281,26,31,1,0,13,0,1,0,0,0,1,3,410
53,"VIKAS KHAND OFFICE ROOM N0 1 MEERUT",666,545,0,1211,440,335,0,775,401,0,37,711,4,4,1,0,10,1,0,0,0,1,2,4,775
54,"VIKAS KHAND OFFICE ROOM N0 3 MEERUT",470,393,0,863,303,218,0,521,516,0,29,470,9,4,0,0,8,0,0,0,0,0,0,1,521
55,"D.P. PUBLIC SCHOOL ROOM N0 1 B31 DEV LOCK COLONY DELHI ROAD MEERUT",585,548,3,1136,393,338,0,731,703,0,57,619,26,8,0,1,13,0,0,0,0,0,1,6,731
56,"NAI DHARAMSHALA SHIV HARI MANDIR COLONY ROOM N0 1",590,490,0,1080,364,301,0,665,665,0,28,346,264,7,1,1,6,2,1,1,0,1,2,5,665
57,"NAI DHARAMSHALA SHIV HARI MANDIR COLONY ROOM N0 2",529,453,0,982,297,287,0,584,297,0,36,464,62,9,1,0,2,2,0,0,0,0,0,8,584
58,"DHRAMSHALA SHIVHARI MANDIR COLONY ROOM N0 1 DELHI RAILWAY LINE",673,533,0,1206,389,283,0,672,589,0,31,384,229,7,0,1,6,0,0,1,0,4,1,8,672
59,"DHRAMSHALA SHIVHARI MANDIR COLONY ROOM N0 2 DELHI RAILWAY LINE",433,371,0,804,222,179,0,401,356,0,15,215,151,6,0,0,5,2,0,0,0,2,2,3,401
60,"NAI DHARAMSHALA SHIVHARI MANDIR COLONY ROOM N0 3",638,530,0,1168,367,256,0,623,616,0,28,385,183,13,1,0,8,0,0,0,0,1,3,1,623
61,"PRATHMIK VIDHALAYA ROOM N0 1 NEW BASTI LALLAPURA",776,669,0,1445,517,428,0,945,931,0,19,108,806,2,1,0,2,0,0,0,2,0,1,4,945
62,"PRATHMIK VIDHALAYA ROOM N0 2 NEW BASTI LALLAPURA",618,469,0,1087,425,233,0,658,430,0,3,58,584,3,1,2,0,0,0,0,0,4,1,2,658
63,"SIDHARTH DHARAMSHALA ROOM N0 1 NEW BASTI LALLAPURA",735,643,0,1378,413,365,0,778,778,0,9,94,662,3,0,0,3,1,0,1,1,1,0,3,778
64,"SIDHARTH DHARAMSHALA ROOM N0 2 NEW BASTI LALLAPURA",632,481,0,1113,344,260,0,604,598,0,11,244,329,9,0,0,2,2,1,0,0,2,0,4,604
65,"B.K. INTER COLLEGE ROOM N0 1 NEW BASTI LALLAPURA",874,683,0,1557,540,416,0,956,890,0,27,308,604,5,0,0,5,0,0,0,0,1,2,4,956
66,"B.K. INTER COLLEGE ROOM N0 2 NEW BASTI LALLAPURA",627,469,0,1096,380,249,0,629,629,0,8,170,438,5,0,1,2,0,0,0,0,1,0,4,629
67,"NITIKA PUBLIC SCHOOL NEW BASTI LALLAPURA ROOM N0 1",479,349,0,828,320,218,0,538,538,0,3,36,486,0,0,4,2,0,2,0,0,1,2,2,538
68,"NITIKA PUBLIC SCHOOL NEW BASTI LALLAPURA ROOM N0 2",447,366,0,813,319,235,0,554,554,0,5,65,471,4,0,1,1,0,2,0,0,1,0,4,554
69,"NITIKA PUBLIC SCHOOL NEW BASTI LALLAPURA ROOM N0 3",713,551,0,1264,467,320,0,787,785,0,3,107,654,2,0,1,3,1,0,3,1,2,0,10,787
70,"SAR RAM DAYAL ACADEMI ROOM N0 1 NEW BASTI LALLAPURA",537,425,0,962,267,349,0,616,616,0,7,100,492,4,0,2,3,1,1,0,1,1,0,4,616
71,"SAR RAM DAYAL ACADEMI ROOM N0 2 NEW BASTI LALLAPURA",711,499,0,1210,433,292,0,725,709,0,3,130,579,5,0,0,0,0,0,0,1,2,1,4,725
72,"S.B.S. H. SEC. SHCOOL ROOM N0 1 MOHKAMPUR",764,586,0,1350,545,394,0,939,935,0,40,421,423,16,2,2,16,2,0,1,1,2,2,11,939
73,"S.B.S. H. SEC. SHCOOL ROOM N0 2 MOHKAMPUR",546,422,0,968,374,272,0,646,627,0,14,320,283,8,1,0,8,2,1,2,0,1,1,5,646
74,"S.B.N.H.SEC. SCHOOL ROOM N0 1 SHIVPURAM MOHKAMPUR",694,555,0,1249,433,302,0,735,702,0,11,366,329,14,1,2,2,1,2,0,0,2,2,3,735
75,"S.B.N.H.SEC. SCHOOL ROOM N0 2 SHIVPURAM MOHKAMPUR",737,500,0,1237,431,263,0,694,694,0,12,337,319,3,1,0,4,0,0,1,0,1,2,14,694
76,"S.B.N.H.SEC. SCHOOL ROOM N0 3 SHIVPURAM MOHKAMPUR",965,753,0,1718,506,365,0,871,778,0,18,497,322,9,0,3,4,2,0,0,3,2,1,10,871
77,"S.B.N.H.SEC. SCHOOL ROOM N0 4 SHIVPURAM MOHKAMPUR",783,540,0,1323,464,312,0,776,764,0,15,392,346,6,1,2,4,4,1,0,1,1,0,3,776
78,"SUMITRA DEVI PUBLIC SCHOOL MOHKAMPUR",474,376,0,850,386,309,0,695,585,0,18,177,486,5,0,0,3,1,0,0,1,1,0,3,695
79,"PRATHMIK VIDHALAYA MOHKAMPUR ROOM N0 1",611,431,0,1042,444,313,0,757,757,0,7,265,459,6,4,2,5,0,3,1,1,1,2,1,757
80,"PRATHMIK VIDHALAYA MOHKAMPUR ROOM N0 2",494,455,0,949,339,298,0,637,622,0,33,553,24,1,0,0,24,0,0,0,1,0,0,1,637
81,"DR. AMBEDKAR J.H.S. SCHOOL ROOM N0 1 RITHANI",604,489,0,1093,475,357,0,832,832,0,27,186,583,8,1,0,16,1,0,2,1,4,2,1,832
82,"DR. AMBEDKAR J.H.S. SCHOOL ROOM N0 2 RITHANI",406,326,0,732,313,247,0,560,555,0,19,66,453,8,0,1,6,1,1,0,0,1,2,2,560
83,"DR. AMBEDKAR J.H.S. SCHOOL ROOM N0 3 RITHANI",719,510,0,1229,432,287,0,719,690,0,31,365,272,35,0,0,7,2,0,0,0,3,1,3,719
84,"DR. AMBEDKAR J.H.S. SCHOOL ROOM N0 4 RITHANI",715,591,0,1306,432,331,0,763,750,0,52,546,121,26,0,1,7,0,0,1,1,0,0,8,763
85,"DR. AMBEDKAR J.H.S. SCHOOL ROOM N0 5 RITHANI",581,475,0,1056,393,302,0,695,613,0,59,517,24,84,0,0,1,0,0,0,0,4,2,4,695
86,"DR. AMBEDKAR J.H.S. SCHOOL ROOM N0 6 RITHANI",370,302,0,672,257,189,0,446,440,0,46,346,18,27,0,0,0,0,0,0,0,1,3,5,446
87,"PRATHMIK VIDHALAYA N0 1 ROOM N0 1 RITHANI",523,380,0,903,316,215,0,531,531,0,27,402,46,45,0,0,5,3,0,0,0,0,1,2,531
88,"PRATHMIK VIDHALAYA ROOM N0 2 RITHANI",847,523,0,1370,473,263,0,736,704,0,51,600,43,18,0,0,5,8,1,0,0,2,2,6,736
89,"PRATHMIK VIDHALAYA N0 1 ROOM N0 3 RITHANI",382,262,0,644,246,146,0,392,380,0,12,330,22,19,0,0,1,6,0,0,0,0,0,2,392
90,"J.S.HAYAR SEC. SCHOOL GHOPLA ROAD RITHANI",592,437,0,1029,371,276,0,647,507,0,25,501,70,45,1,1,2,0,0,0,0,0,1,1,647
91,"PRATHMIK VIDHALAYA N0 2 ROOM N0 1 RITHANI",833,633,0,1466,560,420,0,980,980,0,41,399,501,20,2,0,8,0,0,1,1,4,2,1,980
92,"PRATHMIK VIDHALAYA N0 2 ROOM N0 2 RITHANI",472,355,0,827,246,172,0,418,394,0,9,166,227,8,0,0,3,0,0,0,1,2,0,2,418
93,"METRO PUBLIC SCHOOL A- 1 SECTOR 1 ROOM N0 1 SHATABDI NAGAR MEERUT",659,487,0,1146,392,230,0,622,622,0,32,488,63,20,1,0,10,3,1,0,0,0,0,4,622
94,"METRO PUBLIC SCHOOL A- 1 SECTOR 1 ROOM N0 2 SHATABDI NAGAR MEERUT",662,561,0,1223,376,290,0,666,654,0,33,572,27,8,0,2,22,0,0,0,0,0,0,2,666
95,"KALAWATI SMARAK PUBLIC SCHOOL SHIVNAGAR KATAI MILL PARTAPUR J.H.SCHOOL ROOM N0 1",870,582,0,1452,541,329,0,870,867,0,54,683,83,24,1,2,2,2,2,4,0,2,8,3,870
96,"KALAWATI SMARAK PUBLIC SCHOOL SHIVNAGAR KATAI MILL PARTAPUR J.H.SCHOOL ROOM N0 2",397,317,0,714,245,169,0,414,403,0,35,285,54,20,0,0,13,1,0,0,1,0,1,4,414
97,"PRATHMIK VIDHALAYA ROOM N0 1 KANCHANPUR GHOPLA",521,418,0,939,386,307,0,693,521,0,45,458,127,54,0,1,0,0,0,1,0,0,4,3,693
98,"PRATHMIK VIDHALAYA ROOM N0 2 KANCHANPUR GHOPLA",637,505,0,1142,533,378,0,911,907,0,10,81,784,25,0,0,1,1,0,1,0,3,2,3,911
