"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AMBIKA SINGH","2 - BRIJ KISHOR SINGH","3 - RAM PRASAD CHAUDHARY","4 - HARISH CHANDRA  ALIAS  HARISH DWIVEDI","5 - ANAND RAJPAL","6 - PURUSHOTTAM PANDEY","7 - BHAGWANDAS","8 - RAM KARAN ALIAS R.K. GAUTAM","9 - SHIVPOOJAN RAJBHAR","10 - SITA RAM","11 - ARUN KUMAR","12 - KRISHNA  KUMAR UPADHYAY ADVOCATE","13 - RAM SHANKAR GUPTA","14 - None of the Above","Total Votes Secured"
1,"P.S. BANGAWA",687,685,0,1372,326,391,0,717,717,0,23,337,186,141,0,2,4,3,5,2,2,2,2,8,717
2,"P.S. BANGAWA",658,516,0,1174,321,290,0,611,610,0,12,308,123,142,6,1,4,1,1,1,1,2,4,5,611
3,"P.S. DHURDHA SSTIST SRINAGER",801,678,0,1479,416,413,0,829,819,0,22,240,350,171,2,1,6,4,2,3,5,6,8,9,829
4,P.S.BELBHRIYA,248,216,0,464,178,166,0,344,344,0,0,123,174,32,3,0,2,3,0,0,1,1,2,3,344
5,"P.S. KESHUNPUR",723,606,0,1329,388,369,0,757,757,0,16,358,108,230,13,5,1,0,2,2,2,5,7,8,757
6,P.S.KHEMRAJPUR,577,497,0,1074,363,320,0,683,682,0,5,330,115,205,1,0,0,2,4,0,2,4,4,11,683
7,"P.S. HARIGAON",486,431,0,917,267,227,0,494,494,0,10,137,133,195,2,1,6,0,3,1,3,1,2,0,494
8,"P.S. HARIGAON",612,542,0,1154,304,298,0,602,475,0,19,277,117,121,5,2,6,3,23,2,3,5,8,11,602
9,"P.S. HARIGAON",647,568,0,1215,288,230,0,518,493,0,19,183,141,141,3,3,2,2,3,4,3,4,2,8,518
10,"P.S. NAAGPUR KUNWAR",670,578,0,1248,433,330,0,763,763,0,19,318,194,176,4,3,6,2,5,0,9,4,6,17,763
11,"P.S. NAAGPUR KUNWAR",326,318,0,644,177,176,0,353,10,0,12,109,93,124,1,0,1,1,2,0,3,0,1,6,353
12,"P.S. SUKRAULI KUNWAR",454,392,0,846,250,280,0,530,528,0,17,193,217,69,7,2,2,1,2,1,2,4,3,10,530
13,"P.S. SUKRAULI KUNWAR",421,361,0,782,228,202,0,430,430,0,15,155,124,113,7,0,1,0,3,0,1,1,2,8,430
14,"P.S. THAKURPUR",453,413,0,866,238,206,0,444,233,0,6,109,107,203,3,0,0,0,0,1,3,3,3,6,444
15,"P.S. PADARI BABU",760,691,0,1451,535,425,0,960,360,0,9,540,188,189,8,3,1,3,1,0,2,4,2,10,960
16,"P.S. KHDAWA KUNWAR",771,692,0,1463,486,415,0,901,181,0,10,695,87,93,4,2,1,1,0,0,1,1,2,4,901
17,"G.P.M.V. RAGHUNATHPUR",406,314,0,720,355,226,0,581,325,0,1,542,4,34,0,0,0,0,0,0,0,0,0,0,581
18,"P.S. SALEMPUR KUNWAR",717,608,0,1325,372,353,0,725,720,0,16,287,236,167,2,2,3,1,0,1,0,3,3,4,725
19,"P.S. DHELUPUR",676,594,0,1270,446,376,0,822,600,0,31,469,150,146,7,1,1,3,0,1,0,0,5,8,822
20,"P.S. LALPUR",327,294,0,621,156,150,0,306,303,0,7,99,53,128,4,1,0,1,0,1,0,3,5,4,306
21,"P.S. BADDARPUR",575,452,0,1027,356,285,0,641,177,0,14,158,285,147,6,1,2,3,1,1,0,4,7,12,641
22,"J.H.S. BHAISHA",482,380,0,862,285,254,0,539,251,0,8,167,199,138,2,1,3,0,2,3,2,3,3,8,539
23,"J.H.S. AHIRAULI",544,479,0,1023,444,284,0,728,727,0,11,338,116,243,7,0,0,3,0,0,2,3,1,4,728
24,"J.H.S. AHIRAULI",426,379,0,805,240,260,0,500,400,0,5,152,18,301,9,1,1,0,0,0,3,4,4,2,500
25,"P.S. BABUAWANA",328,308,0,636,237,226,0,463,301,0,7,214,131,100,2,2,1,0,1,1,0,1,0,3,463
26,"P.S. PARASRAMPUR",723,659,0,1382,402,322,0,724,400,0,19,124,228,315,10,2,9,0,1,1,1,5,1,8,724
27,"P.S. PARASRAMPUR",298,274,0,572,167,128,0,295,210,0,1,71,18,202,1,0,1,0,0,0,0,0,0,1,295
28,"P.S. BARAHPUR PANDEY",585,493,0,1078,373,290,0,663,100,0,7,233,86,316,7,3,1,2,1,3,2,1,0,1,663
29,P.S.ARJANIPUR,469,438,0,907,328,339,0,667,600,0,19,271,260,106,1,1,2,0,1,0,0,3,0,3,667
