"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAMLA PRASAD RAWAT","2 - P. L. PUNIA","3 - PRIYANKA SINGH RAWAT","4 - RAJRANI RAWAT","5 - KISHAN LAL","6 - P. C. KUREEL","7 - DINESH CHANDRA GAUTAM","8 - NITIN SINGH","9 - BABU LAL","10 - MEDI LAL","11 - RAJESH KUMAR VIDYARTHI","12 - ABHILAKH RAWAT","13 - KHANJAN LAL","14 - MAHESH","15 - None of the Above","Total Votes Secured"
1,"PRATHMIK VIDYALAYA ASDAMAU BELAHRI",600,478,0,1078,390,213,0,603,75,0,243,44,209,93,1,2,1,2,1,0,1,0,4,0,2,603
2,"PRATHMIK VIDYALAYA ASDAMAU",325,280,0,605,248,197,0,445,90,0,61,80,177,119,1,0,0,0,0,0,0,1,3,0,3,445
3,"PRATHMIK VIDYALAYA  HIMMATPUR",372,362,0,734,293,237,0,530,510,0,239,43,179,47,1,3,0,0,0,0,1,0,6,4,7,530
4,"PRATHMIK VIDYALAYA  SOHANWAN",390,374,0,764,308,264,0,572,5,0,78,29,386,59,0,0,1,0,0,1,2,1,6,2,7,572
5,"POORV MADH‍YMIK VIDYALAYA SRAYMUHIUDDINPUR",221,182,0,403,179,144,0,323,120,0,70,73,155,12,0,0,0,0,0,4,0,2,3,2,2,323
6,"PRATHMIK VIDYALAYA  CHANDUPUR",382,355,0,737,278,252,0,530,100,0,75,73,254,38,2,4,76,1,2,0,1,0,3,0,1,530
7,"PRATHMIK VIDYALAYA DAFRAPUR H/OSAIDANPUR",650,595,0,1245,493,358,0,851,127,0,161,107,468,74,1,4,0,2,2,3,2,4,11,3,9,851
8,"PRATHMIK VIDYALAYA  KHWAJANAGAR",195,197,0,392,154,140,0,294,4,0,109,24,148,5,0,1,0,1,1,0,0,0,3,1,1,294
9,"PRATHMIK VIDYALAYA  KUTBAPUR",265,260,0,525,208,220,0,428,428,0,110,55,242,13,0,0,1,0,0,1,0,1,1,1,3,428
10,"PRATHMIK VIDYALAYA  MOHABBATPUR",375,336,0,711,268,212,0,480,205,0,66,37,341,7,1,2,2,0,1,1,2,4,4,3,9,480
11,"PRATHMIK VIDYALAYA  DARIYAPUR",493,447,0,940,346,295,0,641,401,0,65,131,411,19,1,0,0,2,0,0,1,1,7,2,1,641
12,"PRATHMIK VIDYALAYA  NAKTASEHARIYA",463,365,0,828,316,194,0,510,508,0,127,53,228,66,2,1,9,0,0,0,0,3,6,4,11,510
13,"POORV MADH‍YMIK VIDYALAYA MUHIUDDINPUR",232,217,0,449,198,175,0,373,164,0,75,19,271,2,0,0,0,1,1,1,0,0,2,1,0,373
14,"PRATHMIK VIDYALAYA PHADAPURGHAT",163,134,0,297,116,86,0,202,117,0,2,20,26,145,0,0,0,0,5,0,0,0,0,0,4,202
15,"PRATHMIK VIDYALAYA  KAMALAPUR",235,198,0,433,186,139,0,325,1,0,159,13,47,97,0,0,0,1,0,0,2,1,2,0,3,325
16,"PRATHMIK VIDYALAYA  KHANAPUR",652,510,0,1162,388,302,0,690,623,0,101,99,262,216,0,0,2,0,0,1,0,3,3,0,3,690
17,"PRATHMIK VIDYALAYA  SHAHPUR",251,222,0,473,212,161,0,373,312,0,21,66,265,12,0,0,1,0,1,1,0,0,3,0,3,373
18,"PRATHMIK VIDYALAYA  ILICHPUR",339,274,0,613,271,191,0,462,371,0,30,54,307,51,1,5,2,0,0,0,1,2,6,0,3,462
19,"PRATHMIK VIDYALAYA  DYALPUR H/O ACHKAMAU",750,653,0,1403,541,419,0,960,960,0,241,138,494,42,5,5,6,4,9,4,1,1,4,1,5,960
20,"PRATHMIK VIDYALAYA  BAKSAWAN",200,175,0,375,146,123,0,269,130,0,64,30,159,1,0,1,0,1,0,0,2,1,8,0,2,269
21,"PRATHMIK VIDYALAYA  BAKSAWAN",678,533,0,1211,395,304,0,699,465,0,90,353,205,6,7,1,1,1,2,1,3,2,4,9,14,699
22,"POORV MADH‍YMIK VIDYALAYA KOTHI WEST PART",830,709,0,1539,511,342,0,853,600,0,299,81,415,14,1,2,2,0,2,1,1,5,6,2,22,853
23,"PRATHMIK VIDYALAYA  KOTHI",774,654,0,1428,458,347,0,805,505,0,47,373,322,39,3,2,0,1,1,2,3,4,6,1,1,805
24,"GIRLS PU. MA.VI. KOTHI EAST PART",792,667,0,1459,544,401,0,945,188,0,117,276,495,25,3,3,3,0,1,2,1,3,8,1,7,945
25,"GIRLS PU. MA.VI. KOTHI WEST PART",634,541,0,1175,441,298,0,739,108,0,108,199,351,56,2,1,2,1,1,2,4,0,5,3,4,739
26,"POORV MADH‍YMIK VIDYALAYA SADULLAPUR E. PART",563,550,0,1113,407,341,0,748,47,0,209,138,343,14,3,2,2,1,2,4,3,6,7,4,10,748
27,"POORV MADH‍YMIK VIDYALAYA SADULLAPUR W. PART",679,595,0,1274,455,311,0,766,24,0,174,119,421,14,1,1,2,1,2,2,2,1,15,4,7,766
28,"ADARSH INTER COLLAGE USMANPUR E.PART",749,711,0,1460,507,408,0,915,905,0,270,123,455,34,3,4,6,0,0,2,0,3,4,2,9,915
29,"ADARSH INTER COLLAGE USMANPUR E.PART",484,440,0,924,312,229,0,541,24,0,196,40,268,7,3,2,1,2,1,1,0,0,10,0,10,541
30,"PRATHMIK VIDYALAYA  NOORAPUR",261,248,0,509,165,178,0,343,318,0,69,73,114,77,1,2,0,0,0,0,0,1,2,1,3,343
31,"PRATHMIK VIDYALAYA  KUMHRAWAN",486,423,0,909,315,315,0,630,10,0,91,257,242,13,0,2,0,0,1,1,4,2,4,9,4,630
32,"POORV MADH‍YMIK VIDYALAYA MANZHIYAWAN",753,646,0,1399,465,406,0,871,105,0,337,348,139,30,1,1,0,0,1,1,1,2,2,4,4,871
33,"PRATHMIK VIDYALAYA  DEVGAHANA",361,309,0,670,205,148,0,353,152,0,84,16,177,55,1,2,1,0,0,0,0,2,7,4,4,353
34,"PRATHMIK VIDYALAYA  GANJARIYA",248,218,0,466,171,153,0,324,282,0,88,9,139,64,0,2,0,1,0,1,2,1,5,1,11,324
35,"PRATHMIK VIDYALAYA  SRAYMANDU",246,229,0,475,164,150,0,314,233,0,147,15,133,5,0,3,0,0,0,1,1,2,2,0,5,314
36,"PRATHMIK VIDYALAYA  NASEERPUR",743,660,0,1403,500,415,0,915,1,0,406,74,379,12,1,7,0,1,3,1,1,3,7,6,14,915
37,"PRATHMIK VIDYALAYA  MADARPUR BAHADUR SINGH",527,454,0,981,409,326,0,735,1,0,270,70,356,25,0,0,0,2,0,1,0,0,8,1,2,735
38,"PRATHMIK VIDYALAYA  LAKHOOPUR",668,580,0,1248,485,347,0,832,82,0,434,49,309,8,1,4,0,1,0,2,1,1,7,3,12,832
39,"PRATHMIK VIDYALAYA  TUNIHA",192,154,0,346,96,99,0,195,1,0,122,31,21,15,0,1,0,0,0,0,1,2,1,0,1,195
40,"PRATHMIK VIDYALAYA  ASAURI",559,450,0,1009,329,254,0,583,1,0,154,202,59,129,2,3,3,2,1,4,2,4,8,3,7,583
41,"PRATHMIK VIDYALAYA  KOTWA",463,414,0,877,273,245,0,518,487,0,103,72,257,69,2,0,1,0,2,1,4,0,3,1,3,518
42,"PRATHMIK VIDYALAYA AKBARPUR H/O INAYATPUR-II",311,291,0,602,228,152,0,380,12,0,158,24,166,17,0,1,2,0,1,1,0,0,5,2,3,380
43,"PRATHMIK VIDYALAYA  BIBIYAPUR THANA",480,449,0,929,320,295,0,615,405,0,102,175,272,49,1,1,0,1,0,1,4,0,2,2,5,615
