"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - COMANDO KAMAL KISHOR","2 - DR.VIJAY KUMAR","3 - SHABBIR AHMAD","4 - SADHVI SAVITRI BAI FOOLE","5 - JAGAT RAM","6 - MADHAV","7 - RAMASHANKER GOND","8 - VINOD KUMAR","9 - HIRA LAL RAO","10 - RAM NARESH","11 - None of the Above","Total Votes Secured"
1,"SHIVPUR MOHRANIYA",476,430,0,906,354,293,0,647,647,0,16,134,231,236,6,2,5,5,1,9,2,647
2,PACHPAKADI,459,400,0,859,358,328,0,686,686,0,13,22,205,418,6,0,4,3,4,6,5,686
3,RANJEETBOJHA,523,529,0,1052,326,297,0,623,623,0,15,51,293,246,5,2,0,2,2,3,4,623
4,RANJEETBOJHA,452,326,0,778,289,202,0,491,491,0,22,66,274,116,2,0,0,4,0,6,1,491
5,"MADHAVPUR NIDAUNA",531,434,0,965,312,270,0,582,582,0,16,79,127,301,6,3,2,7,4,16,21,582
6,"HATHIYA BOJHI",499,476,0,975,352,274,0,626,626,0,18,84,222,260,8,1,1,5,3,7,17,626
7,"BHAGVANPUR KARINGA",482,425,0,907,308,260,0,568,568,0,15,18,365,119,7,3,6,0,11,6,18,568
8,"BHAGVANPUR KARINGA",452,409,0,861,333,259,0,592,592,0,5,115,101,322,5,2,0,2,8,12,20,592
9,PARAMPUR,479,446,0,925,256,181,0,437,437,0,13,24,148,211,8,0,3,6,4,5,15,437
10,SAHABA,799,697,0,1496,480,390,0,870,870,0,10,76,229,514,12,4,0,7,5,8,5,870
11,GENDPUR,471,380,0,851,291,222,0,513,513,0,6,14,344,129,5,1,1,1,4,2,6,513
12,GENDPUR,445,390,0,835,283,193,0,476,476,0,3,10,265,182,3,2,2,1,5,0,3,476
13,"NIDHINAGAR POKHRA",793,686,0,1479,554,379,0,933,933,0,34,131,83,574,27,7,11,4,18,8,36,933
14,"KEVALPUR (RUPAIDIHA)",773,658,0,1431,410,423,0,833,833,0,13,47,244,491,6,4,2,2,3,5,16,833
15,"KEVALPUR (RUPAIDIHA)",437,383,0,820,272,203,0,475,475,0,9,9,133,319,2,0,0,1,1,0,1,475
16,"KEVALPUR (RUPAIDIHA)",587,563,0,1150,430,362,0,792,792,0,7,17,281,477,4,1,0,1,1,2,1,792
17,"KEVALPUR (RUPAIDIHA)",442,373,0,815,274,222,0,496,496,0,11,3,177,294,4,1,1,0,2,0,3,496
18,"KEVALPUR (RUPAIDIHA)",547,445,0,992,250,150,0,400,400,0,1,5,278,106,3,1,0,0,0,2,4,400
19,RUPAIDIHA(KEVALPUR),524,495,0,1019,283,201,0,484,484,0,10,24,334,113,1,1,0,0,1,0,0,484
20,RUPAIDIHA(KEVALPUR),694,579,0,1273,282,203,0,485,485,0,9,3,337,126,0,0,1,1,1,4,3,485
