"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - TUFANI","2 - TUFANI NISHAD","3 - BHOLANATH ALIAS B.P. SAROJ","4 - RAM CHARITRA NISHAD","5 - SUBAS CHANDRA","6 - RAJ ALIAS VIRENDRA KUMAR SONKAR","7 - RAJESH","8 - LALJI","9 - SIKANDAR","10 - SURESH GAUTAM","11 - HARI","12 - OMPRAKASH ALIAS AMBEDKAR","13 - RAJESH SONKAR","14 - SHRAVAN KUMAR PASWAN","15 - HARINATH","16 - None of the Above","Total Votes Secured"
1,"P S JAMUHAI  NORTH SIDE",573,467,0,1040,219,196,0,415,338,0,82,9,84,199,8,4,2,0,1,0,1,2,5,7,5,6,415
2,"P S JAMUHAI  SOUTH SIDE",968,750,0,1718,329,297,0,626,500,0,79,41,141,315,18,7,3,2,1,3,0,0,4,5,4,3,626
3,"P S JAMUHAI  SOUTH SIDE",812,603,1,1416,219,196,0,415,388,0,91,23,164,111,6,2,1,0,2,2,2,0,1,4,4,2,415
4,"P S JAMUHAI  SOUTH SIDE",212,212,0,424,57,81,0,138,5,0,6,14,16,83,9,2,1,0,0,1,0,0,0,4,1,1,138
5,"P S ATARAHI EAST SIDE",444,355,0,799,191,158,0,349,30,0,28,57,80,175,3,1,0,0,1,0,0,1,0,0,1,2,349
6,"P S ATARAHI WEST SIDE",471,412,0,883,240,165,0,405,315,0,19,18,218,135,8,1,1,0,1,0,0,0,0,3,0,1,405
7,"P S CHAKAWA",623,544,0,1167,351,362,0,713,625,0,85,19,110,462,18,1,1,0,3,0,1,1,2,5,3,2,713
8,"JHS AARA NORTH SIDE",795,686,0,1481,402,403,0,805,1,0,92,45,244,330,25,6,1,1,6,3,20,7,3,10,3,9,805
9,"JHS AARA SOUTH SIDE",518,505,0,1023,198,286,0,484,484,0,76,37,130,179,12,3,2,0,2,0,20,5,3,5,4,6,484
10,"JHS AARA SOUTH SIDE",369,341,0,710,189,197,0,386,386,0,39,30,201,98,4,1,0,2,2,0,1,0,0,1,2,5,386
11,"P S CHAUKI DHARSAND NORTH SIDE",626,568,0,1194,290,365,0,655,365,0,17,8,472,148,1,1,0,0,0,0,0,2,0,2,3,1,655
12,"P S KISHUNPUR(DARIDIHA)",388,356,0,744,187,211,0,398,398,0,85,111,141,37,4,3,2,2,0,0,2,1,0,2,3,5,398
13,"P S KISHUNPUR(DARIDIHA)",419,390,0,809,194,262,0,456,456,0,78,73,150,98,14,13,0,1,2,2,1,0,5,9,4,6,456
14,"JHS PACHEWARA NORTH SIDE",447,400,0,847,228,234,0,462,462,0,59,19,140,208,7,1,2,3,12,1,0,1,2,2,3,2,462
15,"JHS PACHEWARA SOUTH SIDE",208,171,0,379,100,77,0,177,177,0,114,7,2,47,3,0,0,1,0,0,1,0,0,1,1,0,177
16,"JHS PACHEWARA SOUTH SIDE",802,630,0,1432,444,358,0,802,802,0,169,33,234,298,14,3,0,0,6,2,2,4,6,7,11,13,802
17,"P S JHANSEPUR",310,310,0,620,120,196,0,316,316,0,8,10,135,125,4,5,1,0,1,2,2,2,3,5,4,9,316
18,"P S TIYARI",755,646,0,1401,384,407,0,791,101,0,188,29,263,265,13,2,0,1,1,0,0,1,1,9,6,12,791
19,"JHS DHARMAPUR WEST SIDE",780,678,0,1458,478,449,0,927,927,0,178,17,202,461,26,4,1,1,2,1,3,0,3,9,5,14,927
20,"JHS DHARMAPUR EAST SIDE",830,703,0,1533,483,386,0,869,869,0,243,23,41,502,27,4,2,0,2,1,3,3,3,4,2,9,869
21,"JHS DHARMAPUR EAST SIDE",373,244,0,617,162,106,0,268,268,0,40,24,16,168,10,2,0,1,0,0,1,1,2,0,0,3,268
22,"JHS DHARMAPUR WEST SIDE",719,581,0,1300,397,295,0,692,2,0,137,7,274,234,10,7,0,0,1,1,2,0,3,3,2,11,692
23,"P S DHARAMSARI EAST SIDE",572,471,0,1043,300,265,0,565,565,0,106,23,175,233,6,3,1,1,3,0,1,0,2,6,2,3,565
24,"P S PREMAPUR",611,597,0,1208,381,388,0,769,769,0,172,67,208,248,18,7,0,1,13,0,2,4,3,4,13,9,769
25,"P S DUDHAURA",588,495,0,1083,265,312,0,577,577,0,188,36,251,70,5,11,0,0,5,0,0,2,0,1,3,5,577
26,"P S DUDHAURA",290,265,0,555,193,189,0,382,382,0,9,16,106,229,9,0,1,1,0,0,0,0,2,4,0,5,382
27,"P S SALONI MAHIMAPUR NORTH SIDE",589,469,0,1058,371,248,0,619,619,0,359,28,53,141,7,4,1,2,6,0,1,1,3,3,2,8,619
28,"P S PARAPATTI",344,289,0,633,194,193,0,387,387,0,78,12,163,118,4,0,0,0,1,0,0,0,1,6,3,1,387
