"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - COMANDO KAMAL KISHOR","2 - DR.VIJAY KUMAR","3 - SHABBIR AHMAD","4 - SADHVI SAVITRI BAI FOOLE","5 - JAGAT RAM","6 - MADHAV","7 - RAMASHANKER GOND","8 - VINOD KUMAR","9 - HIRA LAL RAO","10 - RAM NARESH","11 - None of the Above","Total Votes Secured"
1,MANJHADARIYABURD,842,657,0,1499,457,198,0,655,635,0,13,28,343,231,1,6,11,7,5,6,4,655
2,MANJHADARIYABURD,769,660,0,1429,405,204,0,609,609,0,27,212,210,145,1,5,4,0,2,1,2,609
3,KEWALPUR,472,340,1,813,332,188,0,520,520,0,8,38,209,232,5,0,0,1,1,4,22,520
4,KEWALPUR,505,466,0,971,287,249,0,536,536,0,8,111,205,190,7,1,0,2,1,3,8,536
5,KEWALPUR,410,381,0,791,293,224,0,517,517,0,6,73,185,233,2,0,2,3,2,3,8,517
6,KEWALPUR,375,361,0,736,234,150,0,384,383,0,9,14,98,251,5,3,0,1,0,0,3,384
7,BADRAKA,290,279,0,569,226,188,0,414,414,0,2,123,20,255,3,0,1,1,2,2,5,414
8,CHAKAIYA,359,322,0,681,266,202,0,468,343,0,5,2,193,240,14,0,0,1,1,0,12,468
9,CHAKAIYA,613,576,0,1189,463,333,0,796,796,0,37,87,290,330,7,2,2,3,5,9,24,796
10,PIPARIYA,571,462,0,1033,339,247,0,586,586,0,9,40,199,294,10,2,2,2,4,7,17,586
11,PIPARIYA,510,440,0,950,307,205,0,512,500,0,4,20,360,113,0,2,1,1,2,4,5,512
12,NAROTTAMPUR,928,767,0,1695,413,385,0,798,798,0,17,75,400,269,5,5,3,6,5,5,8,798
13,NAROTTAMPUR,698,660,0,1358,495,413,0,908,898,0,13,35,138,677,20,2,1,7,2,4,9,908
14,DHAKIYA,656,589,0,1245,350,328,0,678,672,0,15,100,60,456,8,0,1,7,6,6,19,678
15,BEHADHA,659,651,0,1310,444,383,0,827,826,0,22,103,40,628,8,2,0,3,5,5,11,827
16,BEHADHA,477,423,1,901,303,216,0,519,445,0,8,2,40,452,4,3,1,1,4,1,3,519
17,BEHADHA,485,424,0,909,318,180,0,498,498,0,6,16,165,303,3,1,0,0,3,0,1,498
18,BANSHGADHI,754,590,0,1344,429,252,0,681,681,0,17,197,144,195,7,6,59,6,10,11,29,681
19,BASGADHI,735,537,0,1272,300,122,0,422,422,0,9,52,94,249,1,2,5,2,2,1,5,422
20,BAKAINA,717,576,0,1293,420,150,0,570,570,0,16,164,116,260,3,0,2,2,2,3,2,570
21,BAKAINA,822,718,0,1540,479,419,0,898,898,0,15,290,187,380,3,2,4,5,5,5,2,898
22,DHANAVA,612,540,0,1152,474,368,0,842,842,0,20,38,197,554,9,1,6,0,3,10,4,842
23,CHHATTARPUR,698,591,1,1290,453,244,0,697,697,0,34,224,123,288,6,0,1,4,2,4,11,697
24,RAYPUR,660,603,0,1263,357,325,0,682,682,0,20,47,133,462,4,2,0,3,1,4,6,682
25,RAYPUR,311,252,0,563,182,107,0,289,281,0,8,9,58,196,7,1,2,1,3,2,2,289
26,RAYPUR,509,482,0,991,374,286,0,660,660,0,20,36,186,403,3,0,4,2,2,1,3,660
27,RAYPUR,453,408,0,861,284,239,0,523,517,0,10,10,190,277,8,0,0,4,3,4,17,523
28,RAYPUR,148,117,0,265,89,53,0,142,139,0,0,58,12,65,1,0,1,1,0,0,4,142
29,RAYPUR,612,502,0,1114,421,250,0,671,665,0,10,51,186,373,8,1,2,4,3,6,27,671
30,RAYPUR,343,310,1,654,258,193,0,451,449,0,8,53,110,261,5,0,0,0,2,5,7,451
31,"RAJAPUR KALAN",792,711,1,1504,417,527,0,944,944,0,3,33,499,350,19,4,4,6,3,8,15,944
32,"MUNIMPUR KALAN",693,514,0,1207,326,243,0,569,566,0,12,142,189,204,3,2,0,1,4,3,9,569
33,"MUNIMPUR KALAN",573,521,0,1094,338,239,0,577,576,0,10,16,200,292,22,2,3,2,6,6,18,577
34,PIPARIMAFI,608,478,0,1086,376,245,0,621,591,0,14,13,120,455,2,2,3,1,2,4,5,621
35,PIPARIMAFI,657,540,0,1197,425,277,0,702,657,0,31,28,115,500,6,3,2,2,3,4,8,702
36,DHARAMKUNDA,588,496,0,1084,380,351,0,731,731,0,9,16,212,484,5,0,3,0,0,2,0,731
37,BHAGAVANPUR,434,394,0,828,307,248,0,555,555,0,12,11,335,176,5,2,3,2,2,4,3,555
38,BILASPUR,417,341,0,758,283,218,0,501,501,0,9,61,85,330,6,0,2,5,0,2,1,501
39,SHANKARPUR,393,375,0,768,310,250,0,560,560,0,7,16,129,390,5,0,0,0,3,1,9,560
40,LAXMANPUR,382,329,0,711,275,233,0,508,508,0,3,39,129,313,3,0,1,1,2,8,9,508
41,RAGHAUJOT,553,492,0,1045,425,304,0,729,728,0,9,10,240,426,10,5,9,2,3,4,11,729
42,DEVDATTPUR,629,541,0,1170,360,246,0,606,606,0,10,44,66,458,12,1,2,2,3,2,6,606
43,DEVDATTPUR,679,567,0,1246,346,293,0,639,639,0,16,33,214,331,5,4,6,3,7,8,12,639
44,"KISHUNPUR MEETHA",468,367,0,835,321,272,0,593,593,0,16,70,309,161,7,2,1,1,3,2,21,593
45,"KISHUNPUR MEETHA",602,551,0,1153,396,322,0,718,679,0,13,27,236,408,10,1,0,2,3,5,13,718
46,"KISHUNPUR MEETHA",240,186,0,426,156,117,0,273,250,0,11,4,81,171,1,3,1,0,1,0,0,273
47,"KISHUNPUR MEETHA",808,691,0,1499,554,446,0,1000,1000,0,28,25,344,560,13,11,2,6,1,4,6,1000
48,TIKUAAPARA,412,409,0,821,356,324,0,680,680,0,8,71,133,455,3,1,2,1,1,3,2,680
49,MUSALLAMPUR,582,497,0,1079,378,224,0,602,602,0,9,18,171,357,13,2,4,5,2,5,16,602
50,MUSALLAMPUR,319,252,0,571,193,166,0,359,359,0,6,26,197,107,7,0,2,0,2,4,8,359
51,MUSALLAMPUR,688,641,0,1329,604,136,0,740,740,0,16,18,430,245,2,2,3,4,3,7,10,740
52,KHAIRADHAUKAL,605,537,0,1142,395,330,0,725,725,0,9,50,277,356,7,3,2,2,1,4,14,725
53,KHAIRADHAUKAL,282,235,0,517,176,144,0,320,320,0,9,53,55,188,2,0,2,2,0,2,7,320
54,KHAIRADHAUKAL,475,438,0,913,312,265,0,577,494,0,15,31,226,279,5,2,0,1,2,4,12,577
55,MAKRANDPUR,679,565,0,1244,486,335,0,821,821,0,8,31,166,570,15,4,0,3,2,5,17,821
56,MAKRANDPUR,184,162,0,346,131,106,0,237,237,0,5,40,90,93,2,1,1,0,0,2,3,237
57,THAILIYA,505,460,0,965,360,254,0,614,614,0,11,56,144,388,6,1,2,1,0,0,5,614
58,THAILIYA,433,408,0,841,301,231,0,532,532,0,8,13,94,406,4,0,0,0,0,1,6,532
59,THAILIYA,427,428,0,855,262,203,0,465,465,0,14,128,35,263,6,1,1,4,2,4,7,465
60,THAILIYA,567,515,0,1082,357,259,0,616,615,0,11,167,33,382,3,1,2,1,1,5,10,616
61,BHAVANIPUR,367,311,0,678,246,207,0,453,453,0,9,55,89,283,0,1,0,0,2,3,11,453
62,PACHDEVARI,830,725,0,1555,477,363,0,840,840,0,12,60,336,391,8,2,8,4,6,5,8,840
63,PACHDEVARI,270,218,0,488,155,77,0,232,232,0,1,21,86,112,2,0,2,0,0,2,6,232
64,PACHDEVARI,551,385,0,936,260,146,0,406,396,0,7,38,65,237,5,2,28,2,4,7,11,406
65,PACHDEVARI,402,396,0,798,198,120,0,318,318,0,8,48,60,174,3,0,8,2,3,7,5,318
66,BAHDURIYA,421,380,0,801,311,240,0,551,551,0,30,134,37,327,9,1,1,2,0,1,9,551
67,"GURETHI GURUDATTA SINGH",699,612,0,1311,472,416,0,888,888,0,18,201,47,590,8,4,2,0,3,5,10,888
68,MAIKUPURVA,452,364,0,816,341,221,0,562,562,0,12,140,111,239,11,0,4,9,9,3,24,562
