"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AQEEL UR REHMAN KHAN","2 - ACHARYA PRAMOD KRISHNAM","3 - DR SHAFIQ UR RAHMAN BARQ","4 - SATYAPAL SINGH","5 - MOHD ASLAM URF PASHA","6 - DHARAM YADAV","7 - DR. RASHID ALI","8 - REKHA DEVI YADAV","9 - AQEEL AHMAD","10 - NANAD RAM KHADAGVANSHI","11 - NUTAN VIJAY ADVOCATE","12 - FIROZ HAIDER","13 - RASHID","14 - None of the Above","Total Votes Secured"
37,"PRI. SCHOOL MUKARRABPUR ROOM-1",551,442,0,993,338,238,0,576,576,0,181,9,233,94,1,2,40,5,1,3,2,2,1,2,576
38,"PRI. SCHOOL MUKARRABPUR ROOM-2",575,460,0,1035,304,204,0,508,508,0,120,5,260,95,3,2,14,0,1,1,5,0,1,1,508
39,"PRI. SCHOOL MUKARRABPUR ROOM-3",415,298,0,713,318,178,0,496,496,0,382,1,69,26,0,0,1,0,3,0,3,1,0,10,496
40,"PRI. SCHOOL RAJJAKPUR",375,323,0,698,291,232,0,523,523,0,339,4,19,147,2,4,0,2,0,0,1,0,1,4,523
41,"PRI. SCHOOL BETLA ROOM-1",626,555,0,1181,414,345,0,759,759,0,87,1,295,325,8,0,19,2,4,2,5,4,2,5,759
42,"PRI. SCHOOL BETLA ROOM-2",602,477,0,1079,439,335,0,774,774,0,34,1,132,541,4,15,12,0,2,6,7,5,8,7,774
43,"PRI. SCHOOL NAWADA",733,605,0,1338,484,381,0,865,865,0,310,12,243,277,2,2,1,0,2,0,5,1,3,7,865
44,"PRI. SCHOOL HARSINGH PUR",550,457,0,1007,365,224,0,589,589,0,256,89,220,12,0,1,7,0,0,0,0,2,1,1,589
45,"PRI. SCHOOL SISAUTA ROOM-1",477,381,0,858,344,237,0,581,581,0,168,3,136,259,0,1,2,3,0,2,1,2,3,1,581
46,"PRI. SCHOOL SISAUTA ROOM-2",432,377,0,809,270,219,0,489,489,0,238,2,110,122,1,0,0,3,1,2,1,2,3,4,489
47,"PRI. SCHOOL BARAHI ROOM-1",539,446,0,985,311,179,0,490,490,0,226,2,193,51,0,0,6,1,2,1,3,2,1,2,490
48,"PRI. SCHOOL BARAHI ROOM-2",497,406,0,903,306,141,0,447,447,0,161,3,172,71,0,4,26,1,1,2,2,1,0,3,447
49,"PRI. SCHOOL BARAHI ROOM-3",594,477,0,1071,368,211,0,579,579,0,325,9,152,67,0,0,14,0,1,0,1,2,0,8,579
50,"PRI. SCHOOL BARAHI ROOM-4",556,439,0,995,313,140,0,453,453,0,147,4,220,33,0,0,37,0,0,3,2,1,0,6,453
