"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AJAY RAI","2 - KAILASH CHAURASIYA","3 - NARENDRA MODI","4 - VIJAY PRAKASH JAISAWAL","5 - HIRALAL YADAV","6 - A.K. AGGARWAL","7 - ABHIMANYU SINGH PATEL","8 - ARVIND KEJRIWAL","9 - ARUN","10 - INDIRA TIWARI","11 - USMAN","12 - OM GURU CHARAN DAS ALIAS VIMAL KUMAR SINGH","13 - DEVI PRASAD NAND","14 - NARENDRA NATH DUBEY ADIG","15 - BACHCHELAL","16 - RAJESH BHARTI SURYA","17 - RAM LAKHAN GUPTA","18 - LALLAN","19 - SHIVHARI AGARWAL","20 - SANTOSH KUMAR","21 - HARI LAL","22 - HEMANT KUMAR YADAV","23 - AHMED SOHEL SIDDIQUI","24 - IFTEKHAR KURAISHI","25 - GHANSHYAM","26 - JOHNSON THOMAS","27 - NARENDRA BAHADUR SINGH","28 - PRAKASH PRASAD","29 - PRABHAT KUMAR","30 - PRAMOD KUMAR","31 - BACHCHAN PRASAD YADAV","32 - BASEER KINNAR","33 - MANOJ KUMAR CHAUBEY","34 - MAHENDRA MISHRA","35 - RAVINDRA KUMAR","36 - RAJIV KUMAR MISHRA","37 - RAJENDRA PRASAD GARIB DAS","38 - RAMPYARE SINGH","39 - SHIV KUMAR SHAH","40 - SATISH SHANKAR JAYASWAL","41 - SATYAPRAKASH SRIVASTAVA","42 - SARVESH KUMAR GUPTA","43 - None of the Above","Total Votes Secured"
1,"B.P.P.KAMALGARAHA R.NO.1",541,346,0,887,367,300,0,667,468,19,212,18,22,0,0,1,1,404,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,667
2,"B.P.P.KAMALGARAHA R.NO.2",569,324,0,893,418,171,0,589,431,158,75,7,24,6,1,0,3,447,5,0,2,0,0,1,1,2,1,0,0,0,0,0,0,5,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,589
3,"B.P.P.KAMALGARAHA R.NO.3",746,498,0,1244,542,297,0,839,838,0,156,44,26,7,4,0,1,557,5,0,0,0,0,0,0,1,0,1,0,1,2,0,0,4,2,0,0,0,2,1,3,1,0,3,1,1,0,0,0,0,0,15,1,839
4,"B.P.P.KAMALGARAHA R.NO.4",589,355,0,944,460,197,0,657,657,0,289,16,68,0,0,0,1,260,1,1,0,1,0,0,0,2,2,0,0,0,0,0,1,3,0,0,0,0,0,1,0,1,2,0,2,0,0,0,0,0,0,6,0,657
5,"MADARSA MATATULUM  KAMALGARHA (SALATAR HOUSE) R.NO.1",892,602,0,1494,641,335,0,976,732,0,169,43,345,0,2,1,3,382,4,5,1,0,0,0,1,2,0,1,1,0,0,1,2,3,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,5,1,976
6,"MADARSA MATATULUM  KAMALGARHA (SALATAR HOUSE) R.NO.2",658,477,0,1135,453,246,0,699,589,0,251,7,148,1,1,1,3,274,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,2,0,699
7,"MADARSA MATATULUM  KAMALGARHA (SALATAR HOUSE) R.NO.3",752,556,1,1309,556,341,0,897,600,0,176,6,394,3,0,0,1,272,2,0,2,2,0,0,0,2,2,1,0,1,1,1,1,9,0,1,3,0,2,0,1,1,2,0,0,2,0,0,0,0,1,8,0,897
8,"B.P.P.CHHOHARA R.NO.1",584,439,0,1023,423,268,0,691,622,0,123,5,304,1,1,0,1,235,2,1,0,0,0,0,0,1,1,0,2,0,0,0,0,2,0,1,1,1,1,0,0,0,2,0,1,0,0,0,0,0,0,5,0,691
9,"B.P.P.CHHOHARA R.NO.2",632,448,0,1080,484,234,0,718,624,0,138,10,209,1,0,0,2,323,5,1,1,0,0,0,0,2,1,0,1,0,1,2,0,6,0,0,0,0,0,1,2,1,4,0,0,0,0,1,0,0,0,4,2,718
10,"B.P.P.CHHOHARA R.NO.3",566,379,0,945,385,176,0,561,549,0,177,3,33,0,0,0,1,322,4,0,0,0,0,0,0,1,0,0,0,0,1,2,1,3,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,1,0,6,1,561
11,"MADARSA MATULUM JAITPURA R.NO.1",617,503,0,1120,475,305,0,780,742,0,121,9,50,1,2,0,0,531,11,1,2,0,1,1,1,3,3,0,0,1,2,0,1,14,1,0,0,1,0,1,2,1,0,1,0,1,1,1,1,2,0,10,2,780
