"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AJAY RAI","2 - KAILASH CHAURASIYA","3 - NARENDRA MODI","4 - VIJAY PRAKASH JAISAWAL","5 - HIRALAL YADAV","6 - A.K. AGGARWAL","7 - ABHIMANYU SINGH PATEL","8 - ARVIND KEJRIWAL","9 - ARUN","10 - INDIRA TIWARI","11 - USMAN","12 - OM GURU CHARAN DAS ALIAS VIMAL KUMAR SINGH","13 - DEVI PRASAD NAND","14 - NARENDRA NATH DUBEY ADIG","15 - BACHCHELAL","16 - RAJESH BHARTI SURYA","17 - RAM LAKHAN GUPTA","18 - LALLAN","19 - SHIVHARI AGARWAL","20 - SANTOSH KUMAR","21 - HARI LAL","22 - HEMANT KUMAR YADAV","23 - AHMED SOHEL SIDDIQUI","24 - IFTEKHAR KURAISHI","25 - GHANSHYAM","26 - JOHNSON THOMAS","27 - NARENDRA BAHADUR SINGH","28 - PRAKASH PRASAD","29 - PRABHAT KUMAR","30 - PRAMOD KUMAR","31 - BACHCHAN PRASAD YADAV","32 - BASEER KINNAR","33 - MANOJ KUMAR CHAUBEY","34 - MAHENDRA MISHRA","35 - RAVINDRA KUMAR","36 - RAJIV KUMAR MISHRA","37 - RAJENDRA PRASAD GARIB DAS","38 - RAMPYARE SINGH","39 - SHIV KUMAR SHAH","40 - SATISH SHANKAR JAYASWAL","41 - SATYAPRAKASH SRIVASTAVA","42 - SARVESH KUMAR GUPTA","43 - None of the Above","Total Votes Secured"
12,"MADARSA MATULUM JAITPURA R.NO.2",719,487,0,1206,502,301,0,803,802,0,91,43,182,5,4,0,3,436,2,1,0,0,0,1,0,5,1,5,0,1,0,0,1,3,0,1,0,1,0,2,0,3,0,0,0,0,0,0,1,0,2,8,1,803
13,"B.P.P.GOPALBADA R.NO.1",506,390,0,896,328,195,0,523,495,0,28,32,308,4,0,0,0,137,1,2,1,1,0,0,0,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,523
14,"B.P.P.GOPALBADA R.NO.2",519,367,0,886,348,205,0,553,402,0,40,20,181,2,0,1,1,288,6,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,1,553
15,"B.P.P.GOPALBADA R.NO.3",749,580,0,1329,476,358,0,834,812,0,51,10,689,6,3,0,1,56,0,0,0,0,0,2,0,3,0,3,3,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,834
16,"B.P.P.GOPALBADA R.NO.4",513,419,0,932,322,219,0,541,478,0,15,22,454,7,0,0,0,37,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,541
17,"B.P.P.OUSANGANJ R.NO.1",594,387,0,981,422,254,0,676,652,0,93,13,181,6,1,1,0,365,3,2,0,0,0,0,1,2,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,676
18,"B.P.P.OUSANGANJ R.NO.2",460,360,0,820,287,215,0,502,446,0,46,9,177,2,0,1,1,243,6,0,0,0,1,0,0,0,0,0,1,0,0,1,1,3,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,3,1,502
19,"KAMALAKAR.CHAUBEY ADARSH  SEWA V.I.C.ISHWARGANGI R.NO.1",357,265,0,622,226,162,0,388,367,0,14,8,318,6,0,0,0,32,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,1,388
20,"KAMALAKAR.CHAUBEY ADARSH  SEWA V.I.C.ISHWARGANGI R.NO.2",387,346,0,733,278,214,0,492,380,0,15,7,447,3,1,0,1,8,2,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,492
21,"D.A.V.I.C. NAVAPURA R.NO.1",418,322,0,740,295,186,0,481,446,0,16,24,381,6,0,0,0,39,0,1,0,0,0,1,0,2,2,0,1,1,0,0,0,1,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,481
22,"D.A.V.I.C. NAVAPURA R.NO.2",349,338,0,687,238,191,0,429,419,0,15,19,371,2,0,0,1,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,429
23,"D.A.V.I.C. NAVAPURA R.NO.3",617,550,0,1167,409,338,0,747,721,0,9,13,631,35,0,1,2,29,1,1,0,0,0,2,0,0,0,0,5,1,0,0,1,1,0,0,2,1,1,1,2,2,0,3,1,1,0,0,0,0,0,1,0,747
24,"D.A.V.I.C. NAVAPURA R.NO.4",377,277,0,654,212,136,0,348,323,0,20,7,0,299,1,0,0,0,17,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,348
25,"D.A.V.I.C.NAVAPURA R.NO.5",351,292,0,643,227,182,0,409,272,0,21,2,339,2,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409
26,"D.A.V.I.C.NAVAPURA R.NO.6",350,308,0,658,160,149,0,309,284,15,18,14,240,0,1,2,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309
27,"D.A.V.I.C.NAVAPURA R.NO.7",466,355,0,821,232,158,0,390,373,0,25,13,302,3,0,0,1,34,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,390
28,"D.A.V.I.C.NAVAPURA R.NO.8",451,364,0,815,286,214,0,500,452,0,18,75,354,4,1,2,0,41,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,500
29,"D.A.V.D.C. NAVAPURA R.NO.1",584,426,0,1010,364,212,0,576,547,0,22,18,499,1,1,0,0,30,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576
30,"D.A.V.D.C. NAVAPURA R.NO.2",439,353,0,792,240,197,0,437,415,0,19,13,370,4,0,1,0,22,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,437
31,"D.A.V.D.C. NAVAPURA R.NO.3",522,407,0,929,324,239,0,563,556,0,19,12,488,7,1,1,0,27,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,563
32,"D.A.V.D.C. NAVAPURA R.NO.4",706,562,0,1268,407,272,0,679,669,0,24,20,548,2,0,3,1,64,1,1,1,1,0,3,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,679
33,"J.H. SCHOOL. KABIRCHAURA R.NO.1",444,380,0,824,306,240,0,546,544,0,35,11,443,12,0,2,0,30,1,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,546
34,"J.H. SCHOOL KABIRCHAURA R.NO.2",434,336,0,770,240,169,0,409,326,0,28,5,340,6,0,0,0,21,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,409
35,"J.H. SCHOOL  KABIRCHAURA R.NO.3",543,447,0,990,359,313,0,672,650,0,59,8,542,5,0,0,0,32,0,2,1,0,1,0,1,1,1,3,0,0,0,1,1,0,1,3,0,0,1,0,1,3,0,1,2,0,0,0,0,0,0,2,0,672
36,"J.H. SCHOOL KABIRCHAURA R.NO.4",496,416,0,912,371,259,0,630,599,0,47,27,508,4,0,0,0,15,0,2,1,0,1,1,0,2,5,3,4,0,0,1,0,0,1,0,1,0,0,1,0,2,0,0,0,1,0,0,0,0,2,0,1,630
37,"J.H. SCHOOL KABIRCHAURA R.NO.5",381,336,0,717,270,208,0,478,453,0,17,2,421,4,0,0,0,23,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,1,478
38,"J.H. SCHOOL  KABIRCHAURA R.NO.6",299,292,0,591,204,171,0,375,359,0,26,29,285,3,1,0,0,21,0,0,0,0,0,0,0,2,0,1,1,0,0,1,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,375
39,"J.H. SCHOOL  KABIRCHAURA R.NO.7",408,323,1,732,257,190,0,447,395,0,20,29,330,2,0,0,0,51,2,0,0,1,0,2,0,1,0,0,2,0,0,3,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,447
40,"J.H. SCHOOL  KABIRCHAURA R.NO.8",303,262,0,565,231,185,0,416,389,0,32,3,349,0,0,0,0,28,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,416
41,"NAGAR MAHAPALIKA B.P.P. KABIRCHAURA R.NO.1",594,550,0,1144,403,324,0,727,709,0,29,28,582,6,0,0,0,69,0,0,0,0,0,5,0,1,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,727
42,"NAGAR MAHAPALIKA B.P.P. KABIRCHAURA R.NO.2",650,541,0,1191,400,280,0,680,680,0,30,14,518,3,0,1,0,100,2,0,1,4,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,680
43,"NAGAR MAHAPALIKA B.P.P. KABIRCHAURA R.NO.3",722,626,0,1348,491,353,0,844,823,0,56,6,682,2,0,0,1,66,1,0,0,0,0,2,0,4,1,0,5,2,1,1,1,0,1,1,0,0,0,1,0,2,5,1,1,0,0,0,0,0,0,1,0,844
44,"NAGAR MAHAPALIKA B.P.P. KABIRCHAURA R.NO.4",632,586,0,1218,449,319,0,768,649,0,63,28,500,9,2,0,0,141,1,1,0,0,0,2,0,2,2,0,2,1,2,0,1,1,0,0,0,2,3,0,0,2,2,0,0,0,0,0,0,0,0,0,1,768
45,"NAGAR MAHAPALIKA B.P.P. KABIRCHAURA R.NO.5",566,502,0,1068,387,303,0,690,680,0,45,45,518,2,0,1,0,65,1,3,0,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,690
46,"NAGAR MAHAPALIKA B.P.P. KABIRCHAURA R.NO.6",609,529,0,1138,455,362,0,817,809,0,56,16,409,3,0,1,3,299,4,2,1,0,1,1,1,0,2,0,3,0,2,0,0,3,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,2,0,817
47,"VYAPAR KAR KARYALAY SENPURA R.NO.1",762,614,0,1376,520,377,0,897,869,0,54,9,571,109,5,1,2,101,0,1,1,2,1,2,2,8,1,0,4,2,0,0,0,0,0,2,2,2,1,0,0,6,1,0,2,1,0,0,0,1,1,0,2,897
48,"VYAPAR KAR KARYALAY SENPURA R.NO.2",226,222,0,448,137,130,0,267,248,0,20,18,216,0,0,0,0,11,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267
49,"VYAPAR KAR KARYALAY SENPURA R.NO.3",607,505,0,1112,417,283,0,700,678,0,31,16,588,3,0,0,0,42,0,2,1,0,1,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,1,0,0,1,1,2,700
50,"VYAPAR KAR KARYALAY SENPURA R.NO.4",387,330,0,717,282,191,0,473,453,0,40,8,391,6,1,0,0,20,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,473
51,"VYAPAR KAR KARYALAY SENPURA R.NO.5",606,509,0,1115,483,300,0,783,634,0,57,12,640,5,1,2,0,53,1,2,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,1,0,783
52,"VYAPAR KAR KARYALAY SENPURA R.NO.6",757,558,0,1315,423,286,0,709,650,0,79,6,440,4,1,1,2,163,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,1,0,0,1,2,0,1,0,0,0,0,0,0,1,0,709
53,"VYAPAR KAR KARYALAY SENPURA R.NO.7",583,454,0,1037,391,264,0,655,635,0,48,10,512,2,0,0,0,70,0,0,0,0,0,3,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,655
54,"ARYA M.AHILA I.C. CHETGANJ R.NO.1",501,428,0,929,299,247,0,546,518,0,84,12,404,1,1,0,0,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,546
55,"ARYA  M.AHILA  I.C. CHETGANJ R.NO.2",330,298,0,628,194,151,0,345,314,0,60,14,249,2,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345
56,"ARYA  M.AHILA  I.C. CHETGANJ R.NO.3",364,316,0,680,279,202,0,481,450,0,87,7,336,4,0,1,0,38,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,481
57,"ARYA  M.AHILA .I.C. CHETGANJ R.NO.4",242,186,0,428,155,87,0,242,232,0,43,5,95,2,0,1,1,88,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,242
58,"ARYA  M.AHILA .I.C. CHETGANJ R.NO.5",537,416,0,953,344,176,0,520,498,0,53,11,80,2,0,0,2,363,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,520
59,"ARYA  MAHILA I.C. CHETGANJ R.NO.6",289,237,0,526,176,114,0,290,273,0,39,3,127,1,0,0,0,107,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,3,0,290
60,"ARYA  MAHILA .DEGREE COLLEGE LAHURABIR R.NO.1",791,648,0,1439,547,434,0,981,951,0,89,12,820,3,1,1,0,30,1,1,0,2,4,3,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,0,1,0,0,0,1,0,3,981
61,"ARYA  MAHILA  DEGREE COLLEGE  LAHURABIR R.NO.2",521,370,0,891,334,220,0,554,518,0,70,5,156,0,0,0,0,299,3,1,0,1,0,0,0,1,1,0,0,0,1,0,0,4,1,2,0,0,0,1,0,2,0,0,0,1,0,0,0,0,1,4,0,554
62,"ARYA  MAHILA   DEGREE COLLEGE  LAHURABIR R.NO.3",377,307,0,684,297,225,0,522,474,474,32,4,465,0,0,0,0,17,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,522
63,"SRI KHEDANLAL I COLLAGE HABIBAPURA CHETGANJ",359,280,1,640,218,202,0,420,414,0,49,1,252,1,0,0,0,106,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,420
64,"SRI KHEDANLAL I COLLAGE HABIBAPURA CHETGANJ",467,355,0,822,295,186,0,481,469,0,79,2,208,3,0,0,0,170,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,2,1,0,0,0,1,1,1,0,1,0,1,1,0,1,1,3,0,481
65,"SRI KHEDANLAL RASTRIYA I COLLAGE HABIBAPURA CHETGANJ",472,427,0,899,353,272,0,625,617,0,55,42,445,1,1,1,4,57,1,3,0,0,0,3,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,2,625
66,"SRI KHEDANLAL RASTRIYA I COLLAGE HABIBAPURA CHETGANJ",458,414,0,872,320,263,0,583,563,0,63,21,440,1,1,2,0,44,0,1,0,0,1,0,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,583
67,"SRI KHEDANLAL RASTRIYA I COLLAGE HABIBAPURA CHETGANJ",746,602,0,1348,474,359,0,833,776,0,117,26,641,8,1,2,1,22,1,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,1,0,2,1,0,1,0,0,0,0,0,0,1,1,833
68,"CHAKRADHARI VIDYA MANDIR NAIPOKHARI",795,577,0,1372,459,356,0,815,635,0,51,13,212,0,0,1,1,505,4,0,0,0,1,0,0,1,1,1,3,0,0,1,0,4,1,0,1,0,0,0,0,2,1,0,3,0,0,0,1,0,0,6,1,815
69,"RAMAKANT SEVA SNSTHAN M.K.V. RAMAKANT NAGAR  R.NO.1",247,212,0,459,135,113,0,248,243,0,32,5,178,3,0,0,0,26,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,248
70,"RAMAKANT SEWA SNSTHAN  M.K.V. RAMAKANTNAGAR R.NO.2",276,218,0,494,156,116,0,272,227,0,48,4,193,2,0,0,0,21,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,272
71,"RAMAKANT SEWA SNSTHAN  M.K.V. RAMAKANTNAGAR R.NO.3",375,379,0,754,291,267,0,558,538,0,104,3,387,7,0,1,0,40,0,1,0,1,0,0,2,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,558
72,"NATIONAL GIRLS SCHOOL SARAYGOBARDHAN R.NO.1",515,472,0,987,303,280,0,583,568,0,86,10,262,3,0,0,0,200,1,1,1,0,0,0,1,0,1,0,3,1,1,0,0,1,0,1,0,0,0,1,1,1,3,1,0,0,0,1,0,1,0,1,0,583
73,"NATIONAL GIRLS SCHOOL SARAYGOBARDHAN R.NO.2",500,400,0,900,330,250,0,580,553,0,74,6,320,2,0,0,2,156,1,0,0,0,1,1,1,2,0,0,1,0,1,0,0,1,0,2,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,4,580
74,"NATIONAL GIRLS SCHOOL SARAYGOBARDHAN R.NO.3",441,368,0,809,285,225,0,510,493,0,73,14,287,1,0,1,1,121,3,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,510
75,"P.P.AND J.H.S.KALIMAHAL CHETGANJ R.NO.1",733,581,0,1314,445,255,0,700,665,0,180,20,35,1,0,0,1,399,9,1,1,0,1,1,0,4,3,1,1,2,0,0,0,10,2,3,1,0,0,0,1,4,2,0,0,0,1,0,0,3,1,11,1,700
76,"P.P.AND J.H.S.KALIMAHAL CHETGANJ R.NO.2",645,558,0,1203,362,266,0,628,580,0,32,15,400,9,1,0,1,159,3,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,628
77,"P.P.AND J.H.S.KALIMAHAL CHETGANJ  R.NO.3",474,426,0,900,303,232,0,535,519,0,28,24,391,14,2,0,0,58,0,1,1,1,0,3,0,2,0,0,1,1,0,0,0,1,1,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,535
78,"P.P.AND J.H.S.KALIMAHAL CHETGANJ R.NO.4",612,509,0,1121,405,298,0,703,686,0,87,7,461,4,0,2,1,117,2,0,1,0,1,0,0,2,0,3,1,2,0,0,0,0,1,0,0,0,2,2,0,1,1,1,1,0,0,0,0,0,1,0,2,703
79,"P.P.AND J.H.S.KALIMAHAL CHETGANJ R.NO.5",504,353,0,857,319,211,0,530,491,0,33,13,96,2,0,0,1,355,6,2,0,0,0,1,1,1,0,1,0,0,0,0,4,0,2,2,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,4,2,530
80,"P.P.AND J.H.S.KALIMAHAL CHETGANJ R.NO.6",488,360,0,848,336,204,0,540,490,0,63,19,40,0,0,0,2,388,4,0,1,0,1,1,2,3,1,1,0,0,0,0,0,3,0,0,0,0,0,1,1,3,0,0,1,1,0,0,0,1,0,3,0,540
81,"SANATAN DHARM I.C.NAI SADAK R.NO.1",700,641,1,1342,526,283,0,809,726,0,45,25,564,9,1,0,0,127,3,0,0,1,1,4,0,1,0,0,3,1,0,0,0,1,0,1,1,0,0,2,1,4,3,0,0,0,2,1,0,0,1,1,6,809
82,"SANATAN DHARM I.C.NAI SADAK R.NO.2",676,545,0,1221,427,304,0,731,661,0,26,24,602,13,2,2,0,34,1,3,1,0,0,0,0,2,0,0,4,1,0,0,0,1,0,2,3,0,0,1,0,1,4,0,2,0,1,0,1,0,0,0,0,731
83,"SANATAN DHARM I.C.NAI SADAK R.NO.3",634,462,0,1096,399,255,0,654,649,0,53,34,467,9,0,0,0,61,1,1,1,1,0,0,0,0,0,1,5,0,1,1,2,1,0,1,1,1,1,2,2,1,2,1,1,0,1,0,1,0,0,0,0,654
84,"SANATAN DHARM I.C.NAI SADAK R.NO.4",800,651,0,1451,479,282,0,761,651,0,104,18,52,0,0,0,4,560,7,0,0,0,0,0,0,0,2,0,0,0,0,1,0,4,0,0,0,0,1,0,0,1,0,0,1,0,2,0,0,0,1,3,0,761
85,"SANATAN DHARM I.C.NAI SADAK R.NO.5",600,432,0,1032,386,251,0,637,633,0,55,3,299,1,0,0,1,262,3,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,637
86,"MAHARSHI VINDESHWARI PRADAS GUPT SCHOOL MISHRA POKHARA R.NO.1",530,478,0,1008,372,283,0,655,590,0,55,42,496,1,0,0,0,46,1,0,2,0,0,0,0,0,0,2,2,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,655
