"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - MAHENDRA KUMAR","2 - VINOD KUMAR SONKAR","3 - SHAILENDRA KUMAR","4 - SURESH PASI","5 - MALTI DEVI","6 - RAJENDRA SONKAR","7 - SHRIPAL","8 - SWARNALATA SUMAN","9 - CHHEDDOO","10 - BEENA RANI","11 - MOHAN LAL","12 - None of the Above","Total Votes Secured"
1,"P.S. TANDA",681,476,0,1157,356,260,0,616,616,0,12,314,64,195,4,4,4,6,4,2,5,2,616
2,"P.S. BHERAWAN",488,361,0,849,246,212,0,458,458,0,25,237,27,134,5,6,1,1,1,1,6,14,458
3,"P.S. KORIYON UTTARI BHAG",805,596,0,1401,421,311,0,732,732,0,30,237,249,167,12,5,1,3,2,2,5,19,732
4,"P.S. KORION PASHCHIMI BHAG",303,257,0,560,168,128,0,296,296,0,4,83,93,97,2,5,2,1,1,1,3,4,296
5,"P.S. KORION DAKSHINI BHAG",814,601,0,1415,421,247,0,668,668,0,44,356,92,144,4,7,0,4,3,0,4,10,668
6,"U.P.S.  KORION",491,398,0,889,244,161,0,405,405,0,9,165,119,100,2,1,0,0,0,0,3,6,405
7,"P.S. CHAKKORION POORE FAIJ",384,326,0,710,184,187,0,371,371,0,22,42,154,141,2,2,0,0,3,0,4,1,371
8,"P.S. GHADIYALIPUR",305,251,0,556,188,182,0,370,370,0,8,138,23,172,4,5,4,1,1,0,6,8,370
9,"P.S. NAURHIA MUTALKE SAUNRAI BUJURG",232,196,0,428,127,151,0,278,278,0,5,116,2,123,7,3,4,1,4,0,4,9,278
10,"P.S. ALIPURJEETA PURVI BHAG",763,561,0,1324,367,326,0,693,680,0,23,201,152,295,3,0,1,1,0,2,3,12,693
11,"P.S. ALIPURJEETA PASHCHIMI BHAG",638,476,0,1114,298,239,0,537,537,0,23,178,118,184,8,7,4,0,2,3,3,7,537
12,"P.S. NIJAAM MAI",541,490,0,1031,259,306,0,565,565,0,7,81,212,230,10,1,1,1,4,2,7,9,565
13,"P.S. DAULATPUR KASAR PURVI BHAG",570,524,0,1094,223,262,0,485,485,0,15,69,155,230,3,2,0,0,3,3,2,3,485
14,"P.S. DAULATPUR KASAR PASHCHIMI BHAG",262,221,0,483,128,135,0,263,263,0,3,10,210,37,0,0,0,1,0,0,1,1,263
