"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AKMAL KHAN URF CHAMAN","2 - DHARMENDRA YADAV","3 - VAGISH PATHAK","4 - AJEET PAL SINGH","5 - ANIL KUMAR SHARMA","6 - PAGLANAND","7 - MADAN LAL","8 - MAHENDRA PAL","9 - REENA","10 - VIRENDRA PAL GUPTA","11 - SANTOSH KUMAR GUPTA SATYMARGI","12 - HEMA MEHRA","13 - ATUL KUMAR","14 - MUNSHI LAL","15 - HAR BHAGWAN","16 - None of the Above","Total Votes Secured"
1,"BHOOD BISAULI PR. SCHOOL ROOM NO.-1",635,505,0,1140,442,269,0,711,711,0,38,428,231,1,2,0,0,0,0,0,1,0,3,4,0,3,711
2,"BHOOD BISAULI PR. SCHOOL ROOM NO.-2",697,589,0,1286,454,343,0,797,797,0,192,594,3,0,1,0,0,0,1,2,0,0,0,0,2,2,797
3,"KUANRERA PR. SCHOOL ROOM NO.-1",739,621,0,1360,487,366,0,853,783,0,102,563,169,3,3,1,1,0,3,0,1,0,0,1,2,4,853
4,"TODARPUR PR. SCHOOL ROOM NO.-1",517,366,0,883,430,278,0,708,708,0,175,505,20,1,1,0,0,0,0,0,0,0,0,2,0,4,708
5,"BEGAMNAGAR URF DANPUR PR. SCHOOL ROOM NO.-1",371,304,1,676,266,223,0,489,489,0,5,90,360,3,2,1,2,0,2,1,1,0,7,9,4,2,489
6,"BASAUMI PR. SCHOOL ROOM NO.-1",646,482,0,1128,465,292,0,757,757,0,10,155,548,7,3,6,1,0,3,1,6,0,4,10,3,0,757
7,"BHOJPUR PR. SCHOOL ROOM NO.-1",365,326,0,691,242,207,0,449,449,0,19,130,276,4,3,0,1,0,2,2,0,5,1,5,1,0,449
8,"GANGAGARH MAZRA SEEKRI PR. SCHOOL ROOM NO.-1",482,434,0,916,296,227,0,523,10,0,17,204,255,1,6,3,0,2,2,2,1,5,2,5,2,16,523
9,"SEEKRI PR. SCHOOL ROOM NO.-2",670,510,0,1180,312,218,0,530,530,0,8,147,334,2,4,0,2,0,2,0,4,6,11,5,1,4,530
10,"SEEKRI PR. SCHOOL ROOM NO.-1",620,512,0,1132,303,209,0,512,14,0,13,156,305,6,1,0,1,0,2,1,1,7,4,5,4,6,512
11,"SEEKRI JR. HIGH SCHOOL ROOM NO.-1",824,669,0,1493,498,323,0,821,2,0,364,191,243,2,1,3,1,0,1,0,0,3,1,4,0,7,821
12,"MANNUNAGAR PR. SCHOOL ROOM NO.-1",691,556,0,1247,468,360,0,828,100,0,271,320,183,5,1,3,1,2,0,0,5,3,7,5,7,15,828
13,"PAHADPUR PR. SCHOOL ROOM NO.-1",579,479,0,1058,385,292,0,677,50,0,247,263,146,3,1,1,0,0,1,1,0,3,1,4,1,5,677
14,"SHYAMPUR PR. SCHOOL ROOM NO.-1",383,264,0,647,354,228,0,582,20,0,23,546,13,0,0,0,0,0,0,0,0,0,0,0,0,0,582
15,"NEHDOLI PR. SHOOL ROOM NO.-1",596,451,0,1047,458,309,0,767,725,0,9,621,96,2,0,1,2,1,0,0,4,6,7,9,7,2,767
16,"RAJTIKOLI PR. SCHOOL ROOM NO.-1",469,393,0,862,306,257,0,563,20,0,130,328,89,2,2,0,1,1,0,0,1,2,2,0,3,2,563
17,"ALLEHPUR KHURD PR. SCHOOL ROOM NO.-1",565,426,0,991,499,309,0,808,212,0,6,768,26,0,0,0,0,0,2,1,0,3,1,1,0,0,808
18,"TAKHAURA PR. SCHOOL ROOM NO.-1",615,520,0,1135,414,331,0,745,50,0,366,219,133,1,2,1,0,0,3,0,0,1,1,4,2,12,745
19,"KISHANPUR PR. SCHOOL ROOM NO.-1",384,299,0,683,359,257,0,616,615,0,0,600,14,0,0,0,0,0,1,0,0,1,0,0,0,0,616
20,"KANUAKHEDA PR. SCHOOL ROOM NO.-1",330,252,0,582,207,180,0,387,1,0,119,96,165,1,0,1,0,0,0,0,0,1,1,2,0,1,387
21,"AJEETPUR NAVEEN PR. SCHOOL ROOM NO.-1",488,452,0,940,359,318,0,677,10,0,276,188,202,3,1,2,0,0,1,0,0,0,1,0,1,2,677
22,"MUGARRA NAVEEN PR. SCHOOL ROOM NO.-1",568,412,0,980,406,256,0,662,33,0,87,481,73,0,0,0,2,0,1,1,1,3,1,1,6,5,662
23,"NABAWPURA PR. SCHOOL ROOM NO.-1",335,283,0,618,223,156,0,379,11,0,29,188,158,1,0,0,0,0,1,0,0,2,0,0,0,0,379
24,"ORCHHI PR. SCHOOL ROOM NO.-1",689,511,0,1200,390,280,0,670,50,0,400,74,187,2,0,1,1,0,0,0,0,1,1,2,0,1,670
25,"ORCHHI PR. SCHOOL ROOM NO.-2",652,540,0,1192,353,294,0,647,17,0,109,162,331,2,0,1,2,2,1,1,0,4,7,6,6,13,647
26,"PARMANANDPUR PR. SCHOOL ROOM NO-1",666,476,0,1142,421,293,0,714,4,0,337,53,289,6,1,2,0,1,0,0,1,2,3,7,5,7,714
27,"SISARKA JR. HIGH SCHOOL ROOM NO.-1",642,497,0,1139,324,215,0,539,220,0,31,253,240,2,1,2,0,0,0,2,0,0,0,6,0,2,539
28,"SISARKA JR. HIGH SCHOOL ROOM NO.-2",636,512,0,1148,307,255,0,562,51,0,210,133,187,2,2,6,0,1,1,1,0,0,4,2,5,8,562
29,"SISARKA PR. SCHOOL ROOM NO.-1",577,427,0,1004,352,264,0,616,2,0,277,48,262,1,1,3,0,0,2,2,0,0,2,4,4,10,616
30,"PIPARIYA PR. SCHOOL ROOM NO-1",861,642,0,1503,537,401,0,938,937,0,97,829,5,0,0,2,0,0,0,0,0,1,2,0,1,1,938
31,"BHAWANIPUR SISARKA PR. SCHOOL ROOM NO.-1",447,377,1,825,313,265,0,578,50,0,137,196,208,1,2,2,0,0,5,0,1,2,4,9,6,5,578
32,"HABIBPUR DAZRAM JR. HIGH SCHOOL ROOM NO.-1",615,508,0,1123,411,272,0,683,65,0,71,144,446,2,2,0,0,0,1,0,1,5,5,4,1,1,683
33,"SURAINI PAPDI PR. SCHOOL ROOM NO.-1",628,470,0,1098,465,265,0,730,450,0,27,413,255,2,3,3,3,0,2,0,2,5,3,4,5,3,730
34,"THANPUR NAVEEN PR. SCHOOL ROOM NO.-1",303,244,0,547,289,189,0,478,20,0,1,438,33,0,0,0,0,0,0,0,0,1,1,2,2,0,478
35,"DHORANPUR NAVEEN PR. SCHOOL ROOM NO.-1",510,426,0,936,303,275,0,578,10,0,270,154,138,4,2,1,0,0,0,0,0,1,3,2,1,2,578
36,"DARELA NAVEEN PR. SCHOOL ROOM NO.-1",719,611,1,1331,436,307,0,743,21,0,111,69,501,14,6,5,1,0,7,1,4,2,4,8,2,8,743
37,"NOORNAGAR KAUDIYA PR. SCHOOL ROOM NO.-1",629,492,0,1121,422,260,0,682,25,0,267,220,170,0,0,1,0,3,0,0,0,1,2,4,4,10,682
38,"ASHOKPUR PR. SCHOOL ROOM NO.-1",298,253,0,551,218,178,0,396,30,0,20,165,192,3,1,3,1,2,1,0,1,1,3,1,1,1,396
39,"JAITPUR PR. SCHOOL ROOM NO.-1",469,414,0,883,307,233,0,540,31,0,54,134,331,2,4,1,0,1,1,0,0,3,4,3,2,0,540
40,"NAGLA MAZRA JAIT PR. SCHOOL ROOM NO.-1",303,237,0,540,184,134,0,318,4,0,45,106,163,1,0,0,0,0,1,0,0,0,1,0,0,1,318
