"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KESHRI DEVI","2 - NAND GOPAL GUPTA NANDI","3 - SHYAMA CHARAN GUPTA","4 - KUNWAR REWATI RAMAN SINGH ALIAS MANI","5 - MOHD. AMEEN AZHAR ANSARI","6 - ADARSH SHASTRI","7 - GAYTRI PRASAD","8 - CHANDRA PRAKASH TIWARI ALIAS C. P. TIWARI ADVOCATE","9 - NISTHA DEV MAURYA","10 - MAHENDRA KUMAR","11 - SHYAM SUNDAR DAS","12 - RAJENDRA PRASAD","13 - WAHID ALI ALIAS WAJID ALI","14 - SANJAY ROBINSON","15 - AJEET KUMAR","16 - DRAUPADI DEVI","17 - PARMANAND","18 - BRIJESH KUMAR","19 - SHYAM CHARAN","20 - SHIV PRASAD AGRAHARI","21 - SHAILENDRA KUMAR PRAJAPATI","22 - HIRA LAL","23 - HANSRAJ","24 - None of the Above","Total Votes Secured"
1,"ZILA PA0PRA0PA0BADHANVA UTTRIBHAG",731,515,0,1246,383,307,0,690,105,0,148,49,317,126,4,0,2,0,0,2,1,1,1,4,8,12,1,1,1,6,3,0,1,2,690
2,"KISAN SEVA KENDR BADHAVA",607,445,0,1052,296,187,0,483,201,0,112,12,152,171,3,1,0,1,3,2,0,1,0,2,1,0,3,1,4,4,1,0,4,5,483
3,"ZILA PRISYAD PRA0PA0KATHAULI-1",316,291,0,607,243,187,0,430,380,0,3,1,79,341,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,430
4,"ZILA PA0ORA0PA0KATHAULI BHAG -2",400,360,0,760,315,224,0,539,386,0,8,5,94,422,4,0,0,0,0,0,0,1,0,1,1,0,0,0,1,2,0,0,0,0,539
5,"NAVIN MANDI SAMITI SIRASA ESRHAN MEJA ROAD BHAG-1",679,565,0,1244,353,254,0,607,221,0,306,9,86,149,3,0,1,1,1,1,0,0,0,1,2,8,13,1,1,8,2,1,8,5,607
6,"NAVIN MANDI SAMITI SIRASA ESRHAN MEJA ROAD BHAG-2",484,366,0,850,286,199,0,485,224,0,87,15,155,200,2,1,2,1,0,1,1,3,0,1,4,1,2,0,0,5,1,2,0,1,485
7,"NAVIN MANDI SAMITI SIRASA ESRHAN MEJA ROAD BHAG-3",436,317,0,753,234,128,0,362,210,0,147,13,127,54,1,7,0,0,1,0,1,1,1,0,2,2,2,0,0,2,0,0,0,1,362
8,"JUNIOR HIGH SCHOOL SAMHAN PASHICHAM BHAG",455,369,0,824,268,238,0,506,156,0,53,23,181,236,1,0,0,1,0,1,0,1,1,0,1,4,0,0,0,1,1,0,0,1,506
9,"JUNIOR HIGH SCHOOL SAMHAN MADHAY BHAG",448,361,0,809,267,206,0,473,14,0,230,17,159,36,2,3,1,0,1,0,1,0,1,1,0,6,8,0,0,1,0,1,2,3,473
10,"PRA0VID0TIKURI PURVI BHAG",536,416,0,952,374,268,0,642,4,0,160,37,244,159,1,4,2,0,0,1,1,1,2,1,0,12,6,1,1,5,1,1,1,1,642
