"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ASTBHUJA PRASAD TRIPATHI","2 - ADITYANATH","3 - RAJMATI NISHAD","4 - RAM BHUAL NISHAD","5 - INDRA DEO YADAVA","6 - FAIZ AHAMAD FAIZI","7 - MUNNA","8 - RAJIT MISHRA","9 - RAJESH","10 - RADHE MOHAN MISRA","11 - MOHD. WASEEM KHAN","12 - SUBASH KUMAR MAURYA","13 - ACHHE LAL GUPTA","14 - ASHOK","15 - RAMKISHUN","16 - None of the Above","Total Votes Secured"
33,"JANTA .I.COLL.CHARGAVAON.ROOM.NO.7",631,535,1,1167,337,291,0,628,166,0,38,412,65,76,1,0,1,0,1,23,0,0,4,1,2,4,628
34,"JANTA .I.COLL.CHARGAVAON.ROOM.NO.8",759,628,0,1387,384,321,0,705,46,0,24,508,67,66,1,0,1,0,0,29,0,1,3,1,0,4,705
35,"JANTA .I.COLL.CHARGAVAON.ROOM.NO.8",776,673,0,1449,441,390,0,831,79,0,21,584,37,151,0,0,1,2,2,13,2,2,5,2,2,7,831
36,P.VID.MONGLAHA.ROOM.NO.1,469,402,0,871,310,306,0,616,585,0,22,453,64,54,0,1,1,1,3,5,0,0,3,1,2,6,616
37,P.VID.MONGLAHA.ROOM.NO.2,641,561,1,1203,407,357,0,764,721,0,25,417,74,204,2,0,3,0,2,16,2,0,3,3,1,12,764
38,"VEER.ABD-HAMEED.ISMARAK.MAHAVID.FATTEPUR MEDICAL COLL.GKP",581,485,0,1066,335,256,0,591,200,0,14,110,330,92,0,2,0,1,2,32,0,0,3,1,1,3,591
39,"VEER.ABD. HAMEED .ISMARAK.MAHAVID.FATTEPUR MEDICAL COLL.GKP",548,425,0,973,292,180,0,472,260,0,10,73,327,20,4,1,0,0,0,30,0,1,3,1,0,2,472
40,"P.VID.JHUNGIYA ROOM.NO.3",519,431,0,950,254,178,0,432,50,0,52,257,74,7,1,0,0,1,4,22,1,1,2,2,2,6,432
41,"P.VID.JHUNGIYA ROOM.NO.4",313,220,0,533,118,87,0,205,159,0,20,99,51,18,0,1,0,1,1,9,1,0,0,1,1,2,205
42,"P.VID.JHUNGIYA ROOM.NO.5",311,219,0,530,112,91,0,203,150,0,19,102,55,17,1,0,1,0,1,7,0,0,0,0,0,0,203
43,"P.VID.JHUNGIYA ROOM.NO.6",816,657,0,1473,475,331,0,806,597,0,28,532,45,176,0,0,0,2,0,12,2,1,1,1,2,4,806
44,"P.VID.SEMRA NO 2 ROOM.NO.01",891,744,0,1635,612,474,0,1086,1082,0,65,628,70,260,6,1,3,1,0,16,1,7,10,4,6,8,1086
45,"P.VID.SEMRA NO 2 ROOM.NO 2",904,743,0,1647,506,388,0,894,140,0,32,557,179,81,0,1,3,0,1,17,2,1,6,2,6,6,894
46,"P.VID.JAN.SALIKRAM ROOM.NO.1",983,824,0,1807,512,440,0,952,360,0,59,723,92,34,2,1,4,1,3,19,2,1,0,6,1,4,952
47,"P.VID.JAN.SALIKRAM ROOM.NO.2",733,631,0,1364,363,299,0,662,651,0,21,580,24,16,0,1,1,0,0,15,0,0,0,1,2,1,662
48,"P.VID.JAN.SALIKRAM ROOM.NO.3",840,682,0,1522,337,402,0,739,721,0,29,586,35,42,1,2,4,0,0,29,1,0,0,2,4,4,739
49,"P.VID.JAN.SALIKRAM ROOM.NO.4",818,768,2,1588,390,422,0,812,480,0,48,623,38,70,2,1,1,2,0,18,0,1,2,0,4,2,812
50,"P.VID.JAN.SALIKRAM ROOM.NO.6",689,580,0,1269,336,268,0,604,140,0,15,489,42,37,0,0,0,1,0,13,0,0,1,1,0,5,604
51,"ROTRY .SCH.P.VID.SHIVPUR.SHAHBAJGANJ.ROOM.NO1",562,494,0,1056,288,243,0,531,479,0,28,300,37,132,1,2,1,0,17,0,2,0,1,2,8,0,531
52,"ROTRY .SCH.P.VID.SHIVPUR.SHAHBAJGANJ.ROOM.NO2",591,464,0,1055,313,255,0,568,162,0,20,314,47,150,0,0,2,1,0,14,1,0,0,2,4,13,568
53,"ROTRY .SCH.P.VID.SHIVPUR.SHAHBAJGANJ.ROOM.NO3",782,617,0,1399,407,286,0,693,670,0,32,469,86,64,3,0,0,1,1,23,7,0,1,1,0,5,693
54,"ROTRY .SCH.P.VID.SHIVPUR.SHAHBAJGANJ.ROOM.NO4",820,661,0,1481,398,315,0,713,682,0,29,599,19,33,2,0,0,0,0,22,0,0,0,0,3,6,713
55,P.VID.JAN.MATADIN.GHOSHIPURVA.GKP,648,506,6,1160,325,241,2,568,280,0,25,338,91,70,0,2,3,0,1,24,0,0,2,2,3,7,568
