"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ASTBHUJA PRASAD TRIPATHI","2 - ADITYANATH","3 - RAJMATI NISHAD","4 - RAM BHUAL NISHAD","5 - INDRA DEO YADAVA","6 - FAIZ AHAMAD FAIZI","7 - MUNNA","8 - RAJIT MISHRA","9 - RAJESH","10 - RADHE MOHAN MISRA","11 - MOHD. WASEEM KHAN","12 - SUBASH KUMAR MAURYA","13 - ACHHE LAL GUPTA","14 - ASHOK","15 - RAMKISHUN","16 - None of the Above","Total Votes Secured"
137,"RAILWAY COLONY SHASTRI VID.JATEPUR ROOM.NO.5",702,583,0,1285,365,313,0,678,411,0,39,547,29,32,0,1,1,0,3,19,0,0,0,2,1,4,678
138,"RAILWAY COLONY SHASTRI VID.JATEPUR ROOM.NO.5",573,492,0,1065,279,240,0,519,8,0,13,426,39,21,0,0,0,0,2,15,0,0,0,0,0,3,519
139,"BHIMRAO AMBD.JUN.HIGH.SCH.RAPTINAGAR ROOM.NO.1",371,283,0,654,200,170,0,370,271,0,44,211,6,91,2,0,1,2,0,9,0,0,0,0,0,4,370
140,"BHIMRAO AMBD.JUN.HIGH.SCH.RAPTINAGAR ROOM.NO.2",446,393,0,839,242,188,0,430,15,0,108,177,13,116,0,0,1,0,0,10,0,0,0,0,2,3,430
141,"VIRENDRA NATH GANGULI MEMO.SCH.BASHRATPUR",809,684,0,1493,431,337,0,768,426,0,60,475,165,21,1,0,0,2,0,28,0,0,6,0,2,8,768
142,"VIRENDRA NATH GANGULI MEMO.SCH.BASHRATPUR",331,319,0,650,188,169,0,357,333,0,55,245,46,3,0,0,1,0,0,6,0,0,0,0,0,1,357
143,"VIRENDRA NATH GANGULI MEMO.SCH.BASHRATPUR",460,404,1,865,245,163,0,408,325,0,32,298,37,28,0,0,1,0,0,8,0,0,0,0,0,4,408
144,"VIRENDRA NATH GANGULI MEMO.SCH.BASHRATPUR",550,468,0,1018,299,253,0,552,302,0,46,415,40,17,0,0,0,0,0,26,0,1,1,2,0,4,552
145,"SENT.JONS.GERLS.JU.HIGH.SCH.PANI TANKI KE PAS BASHRATPUR  ROOM.NO01",730,575,0,1305,389,303,0,692,692,0,42,575,19,24,0,0,1,0,0,24,1,0,0,1,0,5,692
146,"SENT.JONS.GERLS.JU.HIGH.SCH.PANI TANKI KE PAS BASHRATPUR  ROOM.NO02",471,401,0,872,226,185,0,411,41,0,22,323,31,18,0,0,1,0,0,13,0,1,0,1,0,1,411
147,"SENT.JONS.GERLS.JU.HIGH.SCH.PANI TANKI KE PAS BASHRATPUR  ROOM.NO03",476,421,0,897,240,213,0,453,200,0,156,173,79,16,2,1,1,0,0,17,0,0,0,0,1,7,453
148,"SENT.JONS.GERLS.JU.HIGH.SCH.PANI TANKI KE PAS BASHRATPUR  ROOM.NO.4",634,498,0,1132,446,80,0,526,226,0,64,291,22,119,0,1,3,1,4,11,0,0,1,0,1,8,526
149,"SENT.JONS.GERLS.JU.HIGH.SCH.PANI TANKI KE PAS BASHRATPUR  ROOM.NO.5",663,567,0,1230,337,299,0,636,630,0,35,497,33,46,0,0,0,0,0,13,2,0,1,1,1,7,636
150,"SENT.JONS.GERLS.JU.HIGH.SCH.PANI TANKI KE PAS BASHRATPUR  ROOM.NO06",464,351,0,815,261,192,0,453,145,0,22,373,18,23,0,0,0,0,1,5,2,0,2,4,1,2,453
151,"SENT.JONS.GERLS.JU.HIGH.SCH.PANI TANKI KE PAS BASHRATPUR  ROOM.NO7",478,378,0,856,219,191,0,410,315,0,89,182,111,11,0,1,0,0,0,9,1,0,0,2,1,3,410
152,"SENT.JONS.GERLS.JU.HIGH.SCH.PANI TANKI KE PAS BASHRATPUR  ROOM.NO08",485,478,0,963,286,275,0,561,369,0,182,168,186,7,1,0,1,0,1,10,0,1,2,0,0,2,561
153,"SENT.JONS.GERLS.JU.HIGH.SCH.PANI TANKI KE PAS BASHRATPUR  ROOM.NO09",366,303,0,669,233,210,0,443,242,0,70,212,47,87,0,2,5,0,2,10,0,0,2,0,2,4,443
154,"SENT.JONS.GERLS.JU.HIGH.SCH.PANI TANKI KE PAS BASHRATPUR  ROOM.NO10",457,405,0,862,248,193,0,441,441,0,29,109,14,263,2,1,8,0,1,3,1,1,4,2,3,0,441
155,"RATAN.MEMO.PUB.SCH.BASHRATPUR ROOM.NO01",624,452,0,1076,298,234,0,532,106,0,38,386,28,52,1,1,0,0,0,21,2,0,0,0,1,2,532
156,"RATAN.MEMO.PUB.SCH.BASHRATPUR ROOM.NO02",492,468,0,960,266,248,0,514,500,0,23,422,27,27,0,0,0,0,0,9,0,0,2,0,1,3,514
157,"RATAN.MEMO.PUB.SCH.BASHRATPUR ROOM.NO03",715,580,0,1295,318,339,0,657,255,0,37,519,42,26,1,0,1,0,0,26,0,0,0,0,1,4,657
158,"RATAN.MEMO.PUB.SCH.BASHRATPUR ROOM.NO04",935,690,0,1625,518,402,0,920,30,0,42,692,46,95,0,1,0,0,2,29,5,0,3,0,0,5,920
159,"RATAN.MEMO.PUB.SCH.BASHRATPUR ROOM.NO05",523,420,0,943,253,190,0,443,241,0,33,305,66,21,0,0,0,0,1,15,0,0,0,0,0,2,443
160,"RATAN.MEMO.PUB.SCH.BASHRATPUR ROOM.NO06",513,415,0,928,339,100,0,439,225,0,15,363,12,35,0,0,0,1,0,12,0,0,0,0,0,1,439
161,"RATAN.MEMO.PUB.SCH.BASHRATPUR ROOM.NO07",388,283,0,671,182,165,0,347,209,0,24,296,10,8,0,0,0,0,0,3,0,1,0,0,1,4,347
162,"RATAN.MEMO.PUB.SCH.BASHRATPUR ROOM.NO08",447,369,0,816,210,176,0,386,307,0,27,196,79,53,1,1,0,0,0,24,0,0,1,1,2,1,386
163,"S.D.ACADEMY.SHSHPUR THANA KE PASCHIM",570,491,0,1061,268,227,0,495,476,0,41,271,53,87,1,1,1,0,0,29,0,1,2,1,1,6,495
164,"S.D.ACADEMY.SHSHPUR THANA KE PASCHIM",493,393,0,886,239,194,0,433,315,0,24,291,22,82,0,0,1,1,0,7,0,0,0,0,1,4,433
165,"S.D.ACADEMY.SHSHPUR THANA KE PASCHIM",520,440,0,960,251,237,0,488,360,0,43,397,7,16,0,0,0,2,0,17,0,0,1,0,0,5,488
166,"VIRENDRA NATH GANGULI MEMO.SCH.BASHRATPUR",566,466,0,1032,230,193,0,423,343,0,27,272,20,89,0,0,0,0,1,8,0,0,1,0,0,5,423
167,"BHIMRAO AMBD.JUN.HIGH.SCH.RAPTINAGAR ROOM.NO.3",593,466,0,1059,220,193,0,413,262,0,29,331,27,12,0,0,0,0,0,11,0,0,1,0,0,2,413
168,"BHIMRAO AMBD.JUN.HIGH.SCH.RAPTINAGAR ROOM.NO.4",661,522,0,1183,304,262,0,566,550,0,39,448,20,35,0,0,0,0,0,14,0,0,3,0,0,7,566
169,"BHIMRAO AMBD.JUN.HIGH.SCH.RAPTINAGAR ROOM.NO.5",799,696,0,1495,387,336,0,723,543,0,54,571,27,43,2,0,0,0,0,22,0,0,0,0,2,2,723
170,"VIRENDRA NATH GANGULI MEMO.SCH.BASHRATPUR",289,258,0,547,110,94,0,204,176,0,6,160,14,18,0,0,0,0,1,5,0,0,0,0,0,0,204
171,"S.SISU.M.P.MA.VID.MAHAVEERPURAM JAN.NAKHA.NO.1ROOM.NO.1",834,609,0,1443,428,303,0,731,714,0,23,108,556,17,2,0,2,1,1,7,3,0,5,2,0,4,731
172,"S.SISU.M.P.MA.VID.MAHAVEERPURAM JAN.NAKHA.NO.1ROOM.NO.2",628,517,0,1145,333,301,0,634,634,0,21,427,84,80,1,0,0,0,2,11,0,0,2,1,3,2,634
173,"S.SISU.M.P.MA.VID.MAHAVEERPURAM JAN.NAKHA.NO.1ROOM.NO.3",555,440,0,995,292,182,0,474,474,0,34,393,17,4,0,0,0,0,2,21,0,0,0,0,0,3,474
174,"S.SISU.M.P.MA.VID.MAHAVEERPURAM JAN.NAKHA.NO.1 ROOM.NO.4",488,387,0,875,264,220,0,484,484,0,21,401,30,5,0,0,0,0,0,19,0,1,0,0,1,6,484
175,"S.SISU.M.P.MA.VID.MAHAVEERPURAM JAN.NAKHA.NO.1ROOM.NO.5",390,317,0,707,164,120,0,284,56,0,17,231,13,10,0,1,0,0,0,11,0,0,0,0,0,1,284
176,"DSRATH PRA.HA.S.SCH.NAKHA.NO.01ROOM.NO.01",743,586,1,1330,461,331,0,792,252,0,31,287,283,135,0,15,4,1,1,11,4,0,5,6,6,3,792
177,"DASRATH PRA.H.S.SCH.NAKHA.NO1 ROOM.NO.02",717,520,0,1237,352,233,0,585,284,0,26,328,150,53,2,0,2,3,5,7,2,1,0,1,2,3,585
178,"DASRATH PRA.H.S.SCH.NAKHA.NO1 ROOM.NO.03",456,343,0,799,258,188,0,446,246,0,11,309,76,35,1,2,0,0,0,11,0,0,0,0,0,1,446
179,"DASRATH PRA.H.S.SCH.NAKHA.NO1 ROOM.NO.4",728,556,1,1285,348,246,0,594,384,0,20,436,75,25,0,1,3,2,1,24,0,0,2,1,1,3,594
180,"DASRATH PRA.H.S.SCH.NAKHA.NO1 ROOM.NO.05",406,355,0,761,162,143,0,305,61,0,6,199,57,31,0,0,0,0,0,8,1,1,1,0,0,1,305
181,"DASRATH PRA.H.S.SCH.NAKHA.NO1 ROOM.NO.06",507,387,0,894,266,158,0,424,331,0,17,255,102,22,0,0,2,2,5,10,0,1,2,3,3,0,424
182,"MAHARANA PRATAP POLYTECNIC LACHHIPUR ROOM.NO01",737,545,0,1282,352,243,0,595,350,0,12,340,208,14,2,1,1,0,2,0,0,1,6,3,2,3,595
183,"MAHARANA PRATAP POLYTECNIC LACHHIPUR ROOM.NO02",562,494,0,1056,273,225,0,498,226,0,13,426,12,34,2,1,0,1,0,4,1,0,1,0,1,2,498
184,"MAHARANA PRATAP POLYTECNIC LACHHIPUR ROOM.NO03",484,403,0,887,237,199,0,436,128,0,22,372,13,18,0,0,1,0,0,4,1,0,0,0,1,4,436
185,"MAHARANA PRATAP POLYTECNIC LACHHIPUR ROOM.NO04",820,653,0,1473,414,315,0,729,326,0,21,602,50,28,0,0,1,0,9,11,0,0,0,1,3,3,729
186,"MAHARANA PRATAP POLYTECNIC LACHHIPUR ROOM.NO05",508,434,2,944,237,179,0,416,414,0,22,290,9,78,0,1,3,1,3,6,0,0,1,0,1,1,416
187,"MAHARANA PRATAP POLYTECNIC LACHHIPUR ROOM.NO6",604,437,1,1042,292,196,0,488,408,0,19,372,37,19,0,2,0,1,14,9,1,0,2,4,2,6,488
188,"MAHARANA PRATAP POLYTECNIC LACHHIPUR ROOM.NO07",532,416,0,948,273,193,0,466,200,0,8,399,12,30,0,1,0,0,1,9,0,0,1,0,1,4,466
189,"MAHARANA PRATAP POLYTECNIC LACHHIPUR ROOM.NO8",426,355,0,781,162,138,0,300,294,0,9,273,5,2,0,0,0,0,1,10,0,0,0,0,0,0,300
190,"MAHARANA PRATAP POLYTECNIC LACHHIPUR ROOM.NO9",740,563,2,1305,342,243,0,585,585,0,10,499,40,17,0,0,0,0,0,18,0,0,0,0,0,1,585
191,"MAHARANA PRATAP POLYTECNIC LACHHIPUR ROOM.NO 10",534,456,0,990,269,188,0,457,291,0,27,365,21,13,0,0,0,0,0,21,1,0,1,2,2,4,457
192,"MAHARANA PRATAP POLYTECNIC LACHHIPUR ROOM.NO 11",812,656,0,1468,407,288,0,695,315,0,30,443,150,36,1,4,0,0,1,12,0,3,0,3,5,7,695
193,"MAHARANA PRATAP POLYTECNIC LACHHIPUR ROOM.NO 12",486,414,0,900,275,205,0,480,480,0,18,376,54,12,2,0,0,0,0,16,0,0,0,0,0,2,480
194,"MAHARANA PRATAP POLYTECNIC LACHHIPUR ROOM.NO013",620,531,0,1151,284,231,0,515,319,0,14,454,17,15,0,1,0,1,0,12,0,0,0,0,0,1,515
195,"MAHARANA PRATAP POLYTECNIC LACHHIPUR ROOM.NO014",432,364,0,796,190,160,0,350,110,0,9,305,15,12,0,0,0,0,0,4,0,0,0,1,0,4,350
196,"MAHARANA PRATAP POLYTECNIC LACHHIPUR ROOM.NO15",652,536,0,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,"MAHARANA PRATAP POLYTECNIC LACHHIPUR ROOM.NO.16",442,357,0,799,207,155,0,362,333,0,14,297,13,17,0,0,0,0,0,16,1,0,0,0,0,4,362
198,"MAU.AA.U.MA.VID.NATHMALPUR BALAK.ROOM.NO.10",708,496,0,1204,332,184,0,516,79,0,42,16,399,29,0,11,0,1,0,12,0,0,2,0,0,4,516
199,"MAU.AA.U.MA.VID.NATHMALPUR BALAK.ROOM.NO.11",780,598,0,1378,177,283,0,460,50,0,76,32,306,21,0,10,0,0,0,12,1,0,0,0,1,1,460
200,"MAU.AA.U.MA.VID.NATHMALPUR BALAK.ROOM.NO.3",838,651,0,1489,370,226,0,596,287,0,145,54,343,24,1,7,1,0,0,15,2,1,1,0,1,1,596
201,"MAU.AA.U.MA.VID.NATHMALPUR BALAK.ROOM.NO.4",698,529,1,1228,240,156,0,396,236,0,45,60,249,25,1,4,0,0,0,8,0,0,0,0,1,3,396
202,"MAU.AA.U.MA.VID.NATHMALPUR BALAK.ROOM.NO.5",930,690,0,1620,303,290,0,593,314,0,35,278,209,41,0,4,0,0,0,13,2,1,4,1,1,4,593
203,"MAU.AA.U.MA.VID.NATHMALPUR BALAK.ROOM.NO.6",414,337,2,753,177,141,0,318,226,0,19,186,42,59,0,0,0,0,2,5,0,1,0,1,1,2,318
204,"MAU.AA.U.MA.VID.NATHMALPUR BALAK.ROOM.NO.7",677,544,0,1221,293,214,0,507,496,0,19,365,67,32,0,1,0,0,2,13,0,0,0,0,2,6,507
205,"MAU.AA.U.MA.VID.NATHMALPUR BALAK.ROOM.NO.8",603,490,1,1094,236,187,0,423,2,0,14,263,43,90,0,0,1,0,0,7,1,0,0,1,2,1,423
206,"MAU.AA.U.MA.VID.NATHMALPUR BALAK.ROOM.NO.9",414,325,0,739,211,102,0,313,220,0,20,176,39,69,0,1,0,0,1,4,1,0,1,0,0,1,313
207,"MEVALAL GU.MA.VID.NATHMALPUR ROOM.NO.1",526,446,0,972,309,253,0,562,221,0,15,433,35,51,1,1,2,0,2,7,1,2,0,1,5,6,562
208,"MEVALAL GU.MA.VID.NATHMALPUR ROOM.NO.2",555,469,1,1025,277,233,0,510,167,0,13,421,16,43,0,0,1,0,0,11,0,0,0,1,2,2,510
209,"MEVALAL GU.MA.VID.NATHMALPUR ROOM.NO.3",565,439,1,1005,296,215,0,511,475,0,18,423,17,39,1,0,0,0,1,11,0,0,0,0,1,0,511
210,"MEVALAL GU.MA.VID.NATHMALPUR ROOM.NO.4",539,446,0,985,296,237,0,533,530,0,7,365,44,83,1,0,2,2,1,13,1,0,3,2,2,7,533
211,"MEVALAL GU.MA.VID.NATHMALPUR ROOM.NO.5",808,631,0,1439,389,303,0,692,472,0,17,289,108,181,3,4,7,2,63,2,2,2,2,4,1,5,692
212,"MEVALAL GU.MA.VID.NATHMALPUR ROOM.NO.6",850,695,0,1545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,"MEVALAL GU.MA.VID.NATHMALPUR ROOM.NO.7",504,382,1,887,232,154,0,386,284,0,68,131,149,20,0,4,0,0,0,9,0,0,1,0,3,1,386
214,"MEVALAL GU.MA.VID.NATHMALPUR ROOM.NO.8",358,260,0,618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,"MEVALAL GU.MA.VID.NATHMALPUR ROOM.NO.9",502,355,0,857,145,108,0,253,46,0,18,50,149,19,0,7,0,1,0,5,0,0,0,2,0,2,253
216,"MEVALAL GU.MA.VID.NATHMALPUR ROOM.NO.10",486,393,1,880,234,145,0,379,300,0,32,24,282,14,0,15,0,0,0,8,0,2,1,0,0,1,379
217,"MEVALAL GU.MA.VID.NATHMALPUR ROOM.NO 11",499,388,1,888,208,142,0,350,225,0,35,77,202,11,0,8,0,0,0,12,0,0,2,0,0,3,350
218,"MEVALAL GU.MA.VID.NATHMALPUR ROOM.NO.12",591,461,0,1052,297,188,0,485,100,0,106,83,270,13,0,4,0,0,0,9,0,0,0,0,0,0,485
219,"MEVALAL GU.MA.VID.NATHMALPUR ROOM.NO 13",763,609,0,1372,365,305,0,670,300,0,18,581,45,10,0,0,0,1,0,11,0,1,0,0,0,3,670
220,"MEVALAL GU.MA.VID.NATHMALPUR ROOM.NO 14",353,284,0,637,167,144,0,311,46,0,24,209,48,21,0,3,0,0,1,2,0,0,1,0,0,2,311
221,"PRA.VID.GORAKHNATH.PURANA ROOM.NO 1",671,510,0,1181,439,238,0,677,108,0,33,35,351,129,1,88,2,0,14,22,0,0,1,0,0,1,677
222,"PRA.VID.GORAKHNATH.PURANA ROOM.NO 2",487,419,0,906,293,198,0,491,390,0,32,71,275,46,0,30,0,0,0,27,0,0,1,0,0,9,491
223,PRA.VID.GORAKHNATH.KA.BE.S.PARI.PURANA.GORAKHPUR.ROOM.NO.1,530,449,0,979,254,215,0,469,71,0,17,395,21,18,2,2,0,1,0,7,2,1,0,0,0,3,469
224,PRA.VID.GORAKHNATH.KA.BE.S.PARI.PURANA.GORAKHPUR.ROOM.NO.1,472,394,0,866,238,207,0,445,398,0,20,356,24,20,1,0,0,0,2,10,0,0,1,1,7,3,445
225,PRA.VID.GORAKHNATH.KA.BE.S.PARI.PURANA.GORAKHPUR.ROOM.NO.3,427,323,0,750,217,144,0,361,28,0,9,318,12,1,0,6,0,0,0,12,0,0,0,0,0,3,361
226,PRA.VID.GORAKHNATH.KA.BE.S.PARI.PURANA.GORAKHPUR.ROOM.NO.4,414,245,0,659,217,124,0,341,225,0,8,233,77,12,0,0,0,0,0,6,0,0,0,0,2,3,341
227,PRA.VID.GORAKHNATH.KA.BE.S.PARI.PURANA.GORAKHPUR.ROOM.NO.5,328,211,1,540,166,109,0,275,9,0,7,251,7,1,0,0,0,0,1,5,0,0,0,0,0,3,275
228,PRA.VID.GORAKHNATH.KA.BE.S.PARI.PURANA.GORAKHPUR.ROOM.NO.6,454,346,0,800,224,189,0,413,62,0,16,371,10,4,0,1,0,0,0,5,1,0,0,0,1,4,413
229,PRA.VID.GORAKHNATH.KA.BE.S.PARI.PURANA.GORAKHPUR.ROOM.NO.7,479,380,0,859,260,193,0,453,24,0,15,423,5,2,0,0,0,0,0,4,0,0,1,1,0,2,453
230,"MAU.AA.GERLS.PRA.VID.PURANA.GORAKHPUR ROOM.NO.1",844,764,0,1608,441,393,0,834,824,0,109,258,385,27,0,12,0,1,3,26,0,0,3,2,2,6,834
231,"MAU.AA.GERLS.PRA.VID.PURANA.GORAKHPUR ROOM.NO.2",544,419,0,963,219,170,0,389,300,0,20,222,130,5,0,0,0,0,0,11,0,0,1,0,0,0,389
232,"MAU.AA.GERLS.PRA.VID.PURANA.GORAKHPUR ROOM.NO.3",469,402,0,871,198,165,0,363,350,0,21,213,101,7,0,2,0,0,0,16,1,0,0,0,0,2,363
233,"ISLAMIYA.GERLS.INT.COLL.JAHIDABAD .HUMAYUPUR ROOM.NO1",765,609,0,1374,389,289,0,678,487,0,40,389,153,73,0,3,1,0,1,11,0,1,0,0,1,5,678
234,"ISLAMIYA.GERLS.INT.COLL.JAHIDABAD .HUMAYUPUR ROOM.NO2",405,374,0,779,212,144,0,356,356,0,11,254,27,47,2,0,1,0,0,11,0,0,1,0,2,0,356
235,"ISLAMIYA.GERLS.INT.COLL.JAHIDABAD .HUMAYUPUR ROOM.NO3",433,349,0,782,193,150,0,343,225,0,12,284,14,24,0,0,0,0,0,5,0,0,1,1,1,1,343
236,"ISLAMIYA.GERLS.INT.COLL.JAHIDABAD .HUMAYUPUR ROOM.NO4",672,541,0,1213,351,284,0,635,224,0,30,520,47,23,1,0,0,0,0,7,0,0,1,1,1,4,635
237,"ISLAMIYA.GERLS.INT.COLL.JAHIDABAD .HUMAYUPUR ROOM.NO5",454,346,0,800,200,153,0,353,353,0,16,230,70,20,0,3,2,0,0,6,0,0,2,0,3,1,353
238,"ISLAMIYA.GERLS.INT.COLL.JAHIDABAD .HUMAYUPUR ROOM.NO 6",532,468,0,1000,262,209,0,471,11,0,36,330,63,12,0,8,0,0,0,17,0,0,0,0,0,5,471
239,"ISLAMIYA.GERLS.INT.COLL.JAHIDABAD .HUMAYUPUR ROOM.NO7",519,455,1,975,236,180,0,416,252,0,48,71,213,61,0,7,0,0,0,12,0,0,2,0,1,1,416
240,"ISLAMIYA.GERLS.INT.COLL.JAHIDABAD .HUMAYUPUR ROOM.NO 8",463,437,0,900,229,232,0,461,35,0,63,23,292,47,0,18,0,1,0,16,0,0,0,0,0,1,461
241,"ISLAMIYA.GERLS.INT.COLL.JAHIDABAD .HUMAYUPUR ROOM.NO 9",465,323,0,788,240,149,0,389,62,0,17,32,234,77,0,13,0,0,1,9,1,0,0,2,1,2,389
242,"ISLAMIYA.GERLS.INT.COLL.JAHIDABAD .HUMAYUPUR ROOM.NO 10",460,381,0,841,211,171,0,382,125,0,46,32,223,37,0,12,1,0,0,25,0,0,1,0,0,5,382
243,"ISLAMIYA.GERLS.INT.COLL.JAHIDABAD .HUMAYUPUR ROOM.NO 11",495,406,0,901,205,171,0,376,304,0,39,23,231,47,0,6,0,0,0,27,0,0,0,0,0,3,376
244,"SENT TERSA H.SCH.HUMAYUPUR ROOM.NO.1",203,163,0,366,98,76,0,174,123,0,5,138,13,7,0,0,0,1,7,1,0,0,0,0,0,2,174
245,"SENT TERSA H.SCH.HUMAYUPUR ROOM.NO.2",824,711,0,1535,432,362,0,794,525,0,35,453,265,11,1,11,0,0,0,10,0,1,0,1,1,5,794
246,"MUK.BADHIR.BALKO.KA.VID.RAJVID.HUMAYUPUR HAL MAIN DKASHIN BHAG",562,488,0,1050,281,226,0,507,500,0,24,368,36,48,0,0,2,0,1,21,1,1,1,0,1,3,507
247,"MUK.BADHIR.BALKO.KA.VID.RAJVID.HUMAYUPUR HAL MAIN UTTARI BHAG",315,234,0,549,136,97,0,233,206,0,15,137,34,38,0,0,0,0,1,3,1,0,1,0,0,3,233
248,"MUK.BADHIR.BALKO.KA.VID.RAJVID.HUMAYUPUR KA.KE BAGAL MEIN",241,181,0,422,99,82,0,181,100,0,9,120,31,10,0,0,0,0,0,11,0,0,0,0,0,0,181
249,"MUK.BADHIR.BALKO.KA.VID.RAJ.VID.HUMAYUPUR .ROOM.NO01",274,226,0,500,121,87,0,208,198,0,12,162,13,10,0,0,0,0,1,2,0,0,1,0,1,6,208
250,"MUK.BADHIR.BALKO.KA.VID.RAJ.VID.HUMAYUPUR .ROOM.NO02",939,784,0,1723,460,349,0,809,477,0,42,473,108,154,1,0,0,3,0,20,1,1,1,0,3,2,809
251,"MUK.BADHIR.BALKO.KA.VID.RAJ.VID.HUMAYUPUR .ROOM.NO03",624,533,0,1157,311,223,0,534,532,0,15,402,53,43,0,0,1,0,0,18,0,0,0,0,1,1,534
252,"MUK.BADHIR.BALKO.KA.VID.RAJ.VID.HUMAYUPUR .ROOM.NO04",402,319,0,721,263,174,0,437,105,0,16,322,55,17,0,3,0,0,0,19,1,0,0,0,0,4,437
253,"ANU.JATI.KA.PRA.VID.HUMAYUPUR NIKAT MUK BADHIR SCHOOL",552,459,0,1011,169,217,0,386,100,0,11,213,96,53,0,0,1,0,0,10,0,0,1,0,0,1,386
254,PURV.MA.VID.HAJARIPUR.B.S.PARISHAD.ROOM.NO.1,548,502,0,1050,283,230,0,513,509,0,9,428,50,8,0,0,0,0,0,14,0,0,0,1,0,3,513
255,PURV.MA.VID.HAJARIPUR.B.S.PARISHAD.ROOM.NO.2,293,251,0,544,147,125,0,272,121,0,10,234,16,3,0,0,0,0,0,6,2,0,0,0,0,1,272
256,PURV.MA.VID.HAJARIPUR.B.S.PARISHAD.ROOM.NO.3,906,688,0,1594,502,350,0,852,398,0,36,697,88,5,0,1,0,1,2,6,1,0,1,1,3,10,852
257,"PRACHIN.PRA.VID.HAJARIPUR ROOM NO.1",507,419,0,926,316,222,0,538,145,0,21,381,117,4,0,0,0,0,0,7,1,1,0,1,2,3,538
258,"PRACHIN.PRA.VID.HAJARIPUR ROOM NO.2",313,256,0,569,156,122,0,278,140,0,17,179,78,1,0,1,0,0,0,0,0,0,0,0,0,2,278
259,"PRACHIN.PRA.VID.HAJARIPUR ROOM NO.3",671,578,0,1249,390,303,0,693,676,0,21,569,50,25,1,2,0,0,0,14,2,0,0,0,1,8,693
260,"RAMNARAYAN KAN.INT.COLL.DILEJAKPUR.ROOM.NO1",294,236,1,531,178,115,0,293,199,0,5,279,5,0,0,0,0,0,1,1,0,0,0,1,0,1,293
261,"RAMNARAYAN KAN.INT.COLL.DILEJAKPUR.ROOM.NO2",462,377,0,839,247,176,0,423,23,0,15,380,15,0,0,0,0,0,0,6,1,0,0,0,2,4,423
262,"RAMNARAYAN KAN.INT.COLL.DILEJAKPUR.ROOM.NO3",257,200,0,457,143,105,0,248,199,0,9,158,64,6,0,1,0,1,1,7,1,0,0,0,0,0,248
263,"RAMNARAYAN KAN.INT.COLL.DILEJAKPUR.ROOM.NO4",439,372,0,811,230,171,0,401,305,0,9,297,72,4,0,0,0,0,0,16,0,0,0,0,0,3,401
264,"RAMNARAYAN KAN.INT.COLL.DILEJAKPUR.ROOM.NO5",358,345,0,703,203,164,0,367,175,0,6,322,17,16,0,0,0,0,0,3,0,0,0,0,1,2,367
265,"RAMNARAYAN KAN.INT.COLL.DILEJAKPUR.ROOM.NO6",327,284,0,611,168,135,0,303,303,0,9,250,10,30,0,0,0,0,0,2,0,0,0,0,0,2,303
266,"MAHATMA GANDHI INT.COLL.PURDILPUR ROOM.NO.01",412,313,0,725,217,159,0,376,376,0,18,287,12,39,1,0,0,2,0,10,1,1,0,0,0,5,376
267,"MAHATMA GANDHI INT.COLL.PURDILPUR ROOM.NO.02",237,227,0,464,124,111,0,235,33,0,8,177,31,10,0,0,0,0,0,8,0,0,0,0,0,1,235
268,"MAHATMA GANDHI INT.COLL.PURDILPUR ROOM.NO.03",244,197,0,441,110,92,0,202,48,0,5,175,12,6,0,0,0,0,0,4,0,0,0,0,0,0,202
269,"MAHATMA GANDHI INT.COLL.PURDILPUR ROOM.NO.04",392,311,0,703,185,137,0,322,305,0,13,253,12,35,0,0,0,0,0,6,2,0,0,0,1,0,322
270,"MAHATMA GANDHI INT.COLL.PURDILPUR ROOM.NO.05",349,323,0,672,218,177,0,395,71,0,18,325,23,2,0,0,0,0,1,23,0,0,0,0,0,3,395
271,"MAHATMA GANDHI INT.COLL.PURDILPUR ROOM.NO.06",292,253,0,545,119,100,0,219,120,0,20,129,36,24,1,1,0,0,2,4,0,0,0,0,0,2,219
272,"MAHATMA GANDHI INT.COLL.PURDILPUR ROOM.NO.07",703,573,0,1276,371,262,0,633,506,0,41,426,104,37,0,0,1,0,0,15,2,0,2,1,1,3,633
273,"MAHATMA GANDHI INT.COLL.PURDILPUR ROOM.NO.08",279,245,0,524,146,126,0,272,268,0,19,220,19,2,0,0,0,0,10,0,0,0,0,0,0,2,272
274,ARYA.KAN.INT.COLL.BUXIPUR.ROOM.NO.1,424,343,0,767,246,213,0,459,459,0,15,378,50,3,0,2,0,0,0,5,0,0,0,0,1,5,459
275,ARYA.KAN.INT.COLL.BUXIPUR.ROOM.NO.2,236,225,0,461,95,81,0,176,15,0,11,95,50,9,0,0,0,0,1,6,1,0,0,0,1,2,176
