"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - JAYA PRADA NAHATA","2 - KUNWAR BHARTENDRA","3 - MALOOK NAGAR","4 - SHAHNAWAZ RANA","5 - UDAY ALIES UDAYVEER","6 - GAURAV","7 - PARVEZ AQIL","8 - MOHAMAD ADEEB","9 - MOHAMMAD MOOSA","10 - UMESH ALIES PANI","11 - KAMAL","12 - GAJRESH KUMAR","13 - None of the Above","Total Votes Secured"
1,"P.V. SADABAD",586,468,0,1054,452,383,0,835,788,0,2,76,224,522,2,0,0,0,8,0,0,0,1,835
2,"P.V. SALEMPUR ROOM-1",570,495,0,1065,413,342,0,755,755,0,24,563,70,70,2,2,1,3,2,5,1,4,8,755
3,"P.V. SALEMPUR ROOM-2",302,294,0,596,252,234,0,486,447,0,11,376,68,2,0,0,0,3,1,6,2,10,7,486
4,"P.V. SALEMPUR ROOM-3",586,502,0,1088,477,401,0,878,878,0,7,732,85,29,1,1,0,0,1,6,1,6,9,878
5,"P.V. RAIPUR KHADER",421,420,0,841,324,328,0,652,623,0,2,7,619,3,1,2,0,2,1,5,6,1,3,652
6,"P.V.  NANDNOR",360,329,0,689,336,280,0,616,589,0,23,167,404,3,2,2,1,2,0,0,4,2,6,616
7,"P.V. JALALPUR KHADER",241,219,0,460,215,180,0,395,390,0,2,37,346,3,0,0,0,1,0,1,4,1,0,395
8,"P.V. DHEVERPURA ROOM-1",533,493,0,1026,359,358,0,717,714,0,3,44,589,69,1,2,0,1,1,0,1,3,3,717
9,"P.V. DHEVERPURA ROOM-2",435,396,0,831,274,260,0,534,458,0,7,79,212,225,1,1,0,1,2,3,1,0,2,534
10,"P.V. DHEVERPURA ROOM-3",461,395,0,856,288,274,0,562,458,0,1,185,139,223,2,2,0,1,3,2,0,2,2,562
11,"P.V. SEDPURA URF NAIPURA",419,359,0,778,312,283,0,595,570,0,4,122,120,292,4,0,2,1,33,3,1,3,10,595
12,"P.V. REHRA ROOM-1",665,529,0,1194,470,410,0,880,860,0,8,75,94,617,3,3,2,4,55,4,1,5,9,880
13,"P.V. REHRA ROOM-2",584,507,0,1091,423,382,0,805,663,0,6,21,87,280,4,3,3,7,383,7,0,0,4,805
14,"P.V. REHRA ROOM-3",283,264,0,547,168,182,0,350,254,0,0,15,16,108,3,2,1,2,194,3,1,0,5,350
15,"J.H. SCHOOL AKBARPUR ROOM-1",627,544,0,1171,437,421,0,858,858,0,4,286,196,192,11,4,2,2,143,8,0,5,5,858
