"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAMLESH PASWAN","2 - GORAKH PRASAD PASWAN","3 - SADAL PRASAD","4 - SANJAI KUMAR","5 - ARJUN PRASAD RAW","6 - CHANDRIKA PRASAD BHARATI","7 - RAMNARESH","8 - RAMNIVAS  PASWAN","9 - RAMPRIT JAKHMEE","10 - LALCHAND PRASAD JATAV","11 - KUNJAWATI","12 - SHEO SHANKAR","13 - None of the Above","Total Votes Secured"
1,P.V.PADARI,775,572,0,1347,275,227,0,502,44,0,160,151,137,36,0,0,0,1,1,5,4,3,4,502
2,"HAJIWALI MEMORIAL MAKHATAB HIGH SCHOOL DEORIA MEER R. NO-1",686,593,0,1279,293,273,0,566,44,0,329,30,74,75,0,1,4,3,2,11,4,2,31,566
3,"HAJIWALI MEMORIAL MAKHATAB HIGH SCHOOL DEORIA MEER R. NO-2",553,476,0,1029,268,267,0,535,300,0,309,23,127,55,2,1,3,1,2,4,1,1,6,535
4,P.V.SARAIYA,518,425,0,943,216,212,0,428,33,0,260,60,70,8,1,1,1,6,0,11,2,3,5,428
5,P.V.DUBAULI,420,372,0,792,202,205,0,407,100,0,178,122,78,15,2,0,4,2,0,2,2,1,1,407
6,P.V.MAHARAJPUR,558,430,0,988,295,251,0,546,10,0,272,94,126,20,1,0,2,4,5,5,4,6,7,546
7,P.V.BAREJI,426,336,0,762,206,184,0,390,10,0,243,79,37,12,0,0,0,4,0,8,1,1,5,390
8,P.V.BARAVA,677,500,0,1177,323,315,0,638,638,0,360,96,105,17,2,1,2,1,4,15,7,7,21,638
9,P.V.TADAVA,442,323,0,765,213,229,0,442,44,0,329,18,26,18,2,1,1,7,2,15,2,6,15,442
10,"HIGHSCHOOL BARADIHA R. NO.1",524,420,0,944,280,234,0,514,179,0,221,29,97,138,2,1,4,3,1,8,1,1,8,514
11,"HIGHSCHOOL BARDIHA R.NO.2",415,311,0,726,208,217,0,425,425,0,298,24,65,17,3,2,2,1,1,8,1,1,2,425
12,"P.V.PARASIYA MISHRA",733,531,0,1264,355,325,0,680,180,0,465,23,144,9,1,1,2,6,0,9,1,5,14,680
