"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAUSHAL KISHORE","2 - R.K CHAUDHARY","3 - NARENDRA GAUTAM","4 - SUSHILA SAROJ","5 - AMIT RAWAT","6 - OM PRAKASH","7 - GOPAL KANAUJIYA","8 - GAUTAM BHARTI","9 - JAGDISH PRASAD GAUTAM","10 - BRIJLAL","11 - MAHENDRA KUMAR RAWAT","12 - MEENA RAWAT","13 - MEERA DEVI","14 - SANTOSH KUMAR DHARKAR","15 - SUNIL GAUTAM","16 - MAHESH KUMAR","17 - REENA CHAUDHARY","18 - SHATROHANLAL RAWAT","19 - None of the Above","Total Votes Secured"
1,"JU. HA, SCHOOL AMANIGANJ BANAUGA ROOM NO-1",757,678,0,1435,452,370,0,822,822,0,486,31,28,255,2,0,0,0,3,1,0,1,0,1,1,4,6,1,2,822
2,"JU. HA, SCHOOL AMANIGANJ BANAUGA ROOM NO-2",766,659,0,1425,552,246,0,798,798,0,168,264,13,318,2,5,2,0,0,0,1,2,2,2,2,10,2,3,2,798
3,"PRA.VI. SARAYDAMU RROM NO-1",429,388,0,817,263,231,0,494,494,0,244,164,31,43,1,0,0,1,0,0,0,0,0,4,2,2,0,1,1,494
4,"PRA. VI. BHAGAUTIPUR ROOM NO-1",557,516,0,1073,362,352,0,714,714,0,321,275,13,47,3,2,2,2,1,0,0,2,2,6,5,7,10,12,4,714
5,"PRA.VI. AMANIGANJ BANAUGA ROOM NO-1",414,350,0,764,310,227,0,537,537,0,177,305,11,17,1,0,0,1,1,0,1,2,1,1,7,2,5,4,1,537
6,"PRA.VI. ARAMBA ROOM NO-1",460,409,0,869,335,253,0,588,588,0,198,210,30,114,1,1,2,2,0,1,0,1,2,6,7,2,2,6,3,588
7,"PRA.VI. BAHARGAWAN ROOM NO-1",423,409,0,832,329,287,0,616,616,0,265,235,28,60,4,1,1,1,0,0,1,1,1,2,7,5,2,1,1,616
8,"MILAN CENTER NEWADA ROOM NO-1",350,341,0,691,266,226,0,492,492,0,66,3,21,367,4,0,0,2,0,0,0,0,1,4,1,10,1,1,11,492
9,"PRA.VI. SHIVRI ROOM NO-1",497,423,0,920,376,289,0,665,665,0,300,143,31,164,1,1,1,1,0,1,0,0,1,1,0,13,2,1,4,665
10,"PRA.VI. LALPUR ROOM NO-1",365,322,0,687,268,214,0,482,482,0,157,218,10,77,6,2,1,0,0,1,0,1,2,1,1,1,2,1,1,482
