"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - UPENDRA SINGH","2 - NARAYAN SINGH SUMAN","3 - MAHARAJ SINGH DHANGAR","4 - DR. RAM SHANKAR KATHERIA","5 - ANIL","6 - ANITA","7 - CHANDRA PAL","8 - PREM SINGH","9 - RAMESH","10 - RAVINDRA SINGH","11 - AMAR SINGH","12 - ASHOK KUMAR","13 - OM PRAKASH","14 - DINESH KUMAR GAUTAM","15 - VINOD KUMAR SINGH","16 - None of the Above","Total Votes Secured"
1,PRA.VI.GIJAULI,733,561,0,1294,444,290,0,734,67,0,16,335,68,285,4,1,0,1,1,13,0,0,0,4,3,3,734
2,"PRA.VI.NAGLA CHATURA",601,446,0,1047,400,221,0,621,20,0,14,77,142,379,2,2,0,0,0,0,2,0,1,1,0,1,621
3,PRA.VI.SONIGA,314,264,0,578,277,173,0,450,18,0,53,58,74,253,0,1,0,1,0,1,1,1,2,3,0,2,450
4,"PRA.VI.HAJIPURKHERA R.N.2",735,581,0,1316,502,348,0,850,80,0,15,341,321,156,5,0,1,1,0,1,1,1,0,4,2,1,850
5,"PRA.VI.SORAI R.N.1",560,389,0,949,392,220,0,612,112,0,25,56,20,496,1,0,0,1,0,1,2,2,1,2,3,2,612
6,"PRA.VI.SORAI R.N.2",802,638,0,1440,553,358,0,911,40,0,70,277,134,408,4,0,0,1,0,0,3,0,4,4,0,6,911
7,PRA.VI.PARWATPUR,271,234,0,505,212,174,0,386,25,0,22,117,16,218,2,0,0,0,1,1,0,1,1,2,1,4,386
8,POO.MA.VI.PENTKHERA,555,398,0,953,379,227,0,606,60,0,13,82,263,233,2,0,0,0,0,2,1,1,2,1,1,5,606
9,POO.MA.VI.PENTKHERA,647,484,0,1131,448,275,0,723,72,0,16,129,148,411,4,1,1,0,0,2,4,0,1,2,2,2,723
10,"POO.MA.VI.PAITKHEDA R.N.3",821,557,0,1378,497,275,0,772,77,0,29,226,161,327,3,0,0,0,0,1,6,2,4,3,4,6,772
11,"JAWAHAR INTER COLLEGE KHANDOLI R0N0-1(EAST)",594,394,0,988,445,291,0,736,73,0,9,286,96,320,1,1,1,1,0,2,2,2,6,2,3,4,736
12,"JAWAHAR INTER COLLEGE KHANDOLI R0N0-1(NOTH)",422,262,0,684,268,107,0,375,37,0,3,170,121,58,0,0,0,1,1,0,3,2,2,9,3,2,375
13,"JAWAHAR INTER COLLEGE KHANDOLI R0N0-3(NOTH)",500,271,0,771,293,110,0,403,30,0,3,59,250,80,1,0,0,1,0,1,0,0,0,4,0,4,403
14,"JAWAHAR INTER COLLEGE KHANDOLI R0N0-1(NOTH)",451,285,0,736,249,139,0,388,54,0,5,78,149,145,3,0,0,0,1,0,2,0,1,1,1,2,388
15,"JAWAHAR INTER COLLEGE KHANDOLI R0N0-5(NOTH)",529,379,0,908,373,218,0,591,24,0,7,26,53,488,1,1,0,1,1,0,4,1,4,2,0,2,591
16,"JAWAHAR INTER COLLEGE KHANDOLI R0N0-6(SATH)",448,323,0,771,341,186,0,527,15,0,7,28,57,422,3,1,2,0,0,3,0,0,0,0,0,4,527
17,"KELA BA.VI.MANDIR RAMNAGAR KHANDOLI",711,583,0,1294,469,372,0,841,47,0,15,462,26,295,4,0,1,1,0,1,5,5,4,5,10,7,841
18,"KELA BA.VI.MANDIR RAMNAGAR KHANDOLI",739,559,0,1298,544,388,0,932,44,0,22,86,9,787,7,0,0,1,0,6,2,2,4,4,1,1,932
19,"KELA BA.VI.MANDIR RAMNAGAR KHANDOLI",592,416,0,1008,383,238,0,621,32,0,10,89,40,461,4,3,0,0,0,2,2,3,2,1,1,3,621
20,"KELA BA.VI.MANDIR RAMNAGAR KHANDOLI",383,330,0,713,313,233,0,546,25,0,4,226,72,228,4,0,0,1,1,1,1,0,2,4,1,1,546
21,"PRA.VI.KHERIYA KHANDOLI",499,419,0,918,363,290,0,653,76,0,12,145,15,467,3,0,0,0,0,0,1,0,1,2,7,0,653
22,"PRA.VI.NEKPUR R0N0-1",672,539,0,1211,507,314,0,821,29,0,8,3,484,310,3,0,0,0,0,3,1,1,2,1,2,3,821
23,"PRA.VI.JURELA R0N0-2",271,210,0,481,243,157,0,400,40,0,6,377,3,4,0,0,1,0,0,0,0,0,2,4,2,1,400
24,PRA.VI.MALOOPUR,904,694,0,1598,652,474,0,1126,26,0,21,267,49,768,6,1,1,0,0,2,5,0,1,1,2,2,1126
25,"PRA.VI.SARAI DAROOPA",848,659,0,1507,546,427,0,973,63,0,34,429,17,455,4,0,1,0,2,0,7,4,3,9,5,3,973
26,"PRA.VI.UJARAI R0NO-1",396,257,0,653,246,214,0,460,42,0,7,80,9,359,3,0,0,0,0,0,0,0,2,0,0,0,460
27,PRA.VI.UJARAIKALAN,421,326,0,747,288,177,0,465,25,0,35,98,17,302,2,0,0,1,0,5,2,1,1,1,0,0,465
28,"PRA.VI.UJARAI PADAW",162,140,0,302,116,85,0,201,50,0,6,9,7,177,1,0,0,0,0,0,1,0,0,0,0,0,201
29,"PRA.VI.PILIPOKHAR R0N0-1",602,491,0,1093,493,322,0,815,60,0,14,549,44,189,1,0,0,0,1,1,0,1,1,5,2,7,815
30,"PRA.VI.PILIPOKHAR R0N0-2",347,298,0,645,253,202,0,455,90,0,5,70,17,356,2,0,0,0,0,1,0,0,1,0,1,2,455
31,"PRA.VI.NAGALA MAHARAM",397,347,0,744,307,280,0,587,15,0,15,307,45,211,1,0,0,0,0,1,0,0,2,1,4,0,587
32,"PRA.VI.AWID GARH",677,539,0,1216,498,383,0,881,62,0,23,288,172,382,3,1,1,0,0,0,2,0,2,0,4,3,881
33,"POO.MA.VI.ACHALU (POIYA) R0N0-1",703,554,0,1257,469,288,0,757,60,0,10,29,57,593,9,1,1,0,3,3,13,15,5,6,2,10,757
34,"POO.MA.VI.WAS ACHALU (POIYA)",333,251,0,584,244,186,0,430,53,0,4,148,92,179,1,0,0,0,0,0,1,0,1,0,1,3,430
