"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ASIF NIZAMUDDIN SIDDIQUE","2 - PRAMOD KUMAR SINGH PATEL","3 - RAJKUMARI RATNA SINGH","4 - ASHOK SHUKLA SENANI","5 - NIRMALA DEVI","6 - FOOLCHANDRA","7 - BAL KRISHNA","8 - RAJENDRA SHARMA","9 - RAM SEWAK","10 - SHESHNATH","11 - SANTOSH KUMAR SINGH","12 - KUWAR HARIVANSH SINGH","13 - AJMAL KHAN","14 - KIRAN MISHRA","15 - HARIVANSH","16 - None of the Above","Total Votes Secured"
40,"P.S DIVAINI CLASS 1",487,454,0,941,326,270,0,596,596,0,50,125,21,4,1,1,5,0,1,2,4,367,4,2,3,6,596
41,"P.S DIVAINI CLASS 2",406,396,0,802,290,262,0,552,552,0,85,58,28,7,0,0,5,1,0,1,7,354,2,1,1,2,552
42,"P.S PIPARI KHALSA CLASS",580,501,0,1081,265,238,0,503,503,0,265,17,16,1,1,2,2,1,2,1,3,183,0,0,4,5,503
43,"P.S PIPARI KHALSA CLASS 2",692,596,0,1288,340,357,0,697,697,0,162,28,38,5,0,0,1,0,0,0,5,442,1,6,4,5,697
44,"P.S RAKHAHA CLASS 1",594,476,1,1071,278,275,0,553,551,0,123,53,32,7,0,2,3,1,5,1,5,306,5,2,4,4,553
45,"P.S RAKHAHA CLASS 2",572,476,0,1048,299,266,0,565,565,0,181,71,29,5,2,1,0,0,0,0,2,266,2,1,3,2,565
46,"P.S SHRINATHPUR",550,411,0,961,291,258,0,549,549,0,188,16,54,3,1,0,0,0,1,2,4,263,2,3,1,11,549
47,"P.S AMARPUR",349,316,0,665,190,201,0,391,346,0,82,139,4,2,0,0,0,1,0,0,2,159,0,1,0,1,391
48,"P.S MAURAAN",509,416,0,925,257,244,0,501,494,0,97,182,24,8,1,0,1,1,2,1,0,170,1,0,4,9,501
49,"P.S GANGPATTI",245,222,0,467,142,148,0,290,290,0,34,96,17,2,1,0,0,1,1,2,2,126,3,2,1,2,290
50,"P.S SARAY GANAI",758,648,0,1406,468,320,0,788,772,0,166,70,20,1,1,1,0,2,1,3,6,513,2,0,1,1,788
51,"P.S GANIDEEH",569,478,0,1047,253,269,0,522,450,0,194,121,7,5,0,1,0,0,0,1,1,175,3,2,3,9,522
52,"P.S SHIVSAT CLASS 1",594,499,0,1093,276,266,0,542,542,0,125,53,52,6,2,1,1,0,0,0,3,289,1,2,1,6,542
53,"P.S SHIVSAT CLASS 2",422,377,0,799,230,221,0,451,451,0,301,41,20,1,3,0,0,0,1,0,0,74,0,2,3,5,451
54,"U,P.S CHHITPUR",201,194,0,395,157,127,0,284,284,0,10,6,161,6,0,0,0,0,0,1,2,97,0,0,0,1,284
55,"P.S POORE DURBAN",389,333,0,722,250,218,0,468,468,0,44,157,17,5,0,1,0,1,0,1,2,234,0,1,0,5,468
56,"P.S CHANDI PATTI",621,520,0,1141,374,269,0,643,500,0,159,173,41,6,3,2,1,2,0,0,3,241,5,1,3,3,643
57,"P.S DILIPPUR CLASS R 1",464,368,0,832,220,213,0,433,324,0,135,17,26,8,1,2,6,0,11,3,2,217,0,2,1,2,433
58,"P.S DILIPPUR CLASS R 2",493,472,0,965,228,240,0,468,468,0,266,27,40,4,0,0,0,0,8,1,2,106,2,0,2,10,468
59,"P.M,V. DILIPPUR",765,677,0,1442,359,360,0,719,719,0,152,22,55,9,4,0,1,1,0,2,6,454,4,2,3,4,719
60,"P.S KOTHIYAHI CLASS 1",310,267,0,577,152,137,0,289,288,0,27,99,6,2,1,1,2,0,0,1,2,141,0,7,0,0,289
61,"P.S KOTHIYAHI CLASS R 2",671,618,0,1289,316,327,0,643,643,0,55,211,15,30,3,0,0,1,0,0,3,308,2,1,2,12,643
62,"P.S DWARIKAPUR",236,214,0,450,123,106,0,229,229,0,27,5,7,1,0,0,0,1,0,0,1,181,1,0,3,2,229
63,"P.S RASOIYA",416,344,0,760,267,176,0,443,100,0,194,32,77,1,2,0,1,0,1,0,1,124,1,1,3,5,443
64,"P.S KARMAJEETPUR",308,283,0,591,168,150,0,318,206,0,65,123,20,3,0,1,0,0,1,0,0,101,0,1,1,2,318
65,"P.S RATANMAI CLASS R 1",730,638,0,1368,416,400,0,816,816,0,397,115,24,4,0,1,0,2,12,2,5,219,6,3,6,20,816
66,"P.S RATANMAI CLASS R 2",467,415,0,882,233,240,0,473,473,0,155,23,11,1,0,0,2,0,0,0,3,274,1,0,2,1,473
67,"P.S BASIRPUR CLASS 1",522,467,0,989,255,262,0,517,517,0,62,22,18,2,2,0,0,2,0,1,4,386,2,3,3,10,517
68,"P.S BASIRPUR CLASS 2",651,602,0,1253,304,293,0,597,595,0,276,27,19,11,2,2,1,1,7,0,1,233,2,2,4,9,597
69,"NEW BHAWAN GOPALPUR",537,482,0,1019,218,280,0,498,498,0,337,52,15,1,1,0,1,1,6,0,1,68,2,1,6,6,498
70,"P.S CHALAKPUR KURMIYAN",520,422,0,942,243,250,0,493,482,0,206,44,14,6,1,1,0,1,2,0,3,203,4,4,3,1,493
71,"P.S CHALAKPUR KURMIYAN",431,403,0,834,222,238,0,460,460,0,187,7,24,12,1,0,1,0,1,2,3,204,3,2,5,8,460
72,"P.S NAUHAR HUSENPUR",438,351,0,789,205,210,0,415,370,0,54,14,37,4,1,1,2,0,0,1,5,286,2,0,2,6,415
73,"U.S SIGATHI KHALASA",605,555,0,1160,284,278,0,562,561,0,62,146,22,7,2,0,2,1,4,4,2,292,5,2,4,7,562
74,"JANTA INTER COLLAGE JAGNIPURCLASS 1",465,439,0,904,259,247,0,506,480,0,32,97,26,9,0,2,1,2,3,2,3,314,6,1,3,5,506
75,"JANTA INTER COLLAGE JAGNIPUR CLASS 2",518,441,0,959,167,233,0,400,399,0,111,136,5,2,0,0,0,0,1,1,2,133,0,1,2,6,400
76,"P.S POORE BICHHOR",627,530,0,1157,268,296,0,564,564,0,127,185,65,6,0,1,1,3,1,1,1,153,2,7,7,4,564
77,"P.S CHHANAPAAR",647,597,0,1244,328,341,0,669,669,0,72,254,114,4,2,4,3,2,5,4,7,178,3,2,6,9,669
78,"P.S PANDEY TARA",496,456,0,952,236,255,0,491,491,0,31,62,26,5,1,0,1,1,5,0,2,350,1,1,0,5,491
79,"P.S JAGDISHPUR",493,439,0,932,259,280,0,539,438,0,153,140,24,4,2,3,0,0,6,2,4,189,3,1,2,6,539
80,"P.S BHOJEMAU CLASS 1",632,557,0,1189,268,245,0,513,499,0,154,133,20,2,1,1,1,0,0,2,0,193,1,0,3,2,513
81,"P.S BHOJEMAU CLASS 2",510,410,0,920,209,192,0,401,301,0,71,174,23,3,0,2,1,1,0,1,0,116,2,0,5,2,401
82,"P.S KEWARA KALA",699,635,0,1334,322,375,0,697,697,0,268,159,28,5,2,0,4,3,2,6,6,204,1,3,5,1,697
83,"P.S KEWARA KHURD",527,483,0,1010,260,262,0,522,518,0,101,54,57,6,3,0,0,0,3,3,2,280,3,3,2,5,522
84,"P.S AVDHANPUR CLASS 1",562,500,0,1062,275,273,0,548,548,0,127,154,9,7,1,1,2,0,0,0,1,234,2,0,5,5,548
85,"P.S AVDHANPUR CLASS2",271,272,0,543,129,151,0,280,280,0,81,60,6,2,3,0,1,0,0,0,1,123,1,1,1,0,280
86,"P.S HARIPALMAU CLASS 1",515,474,0,989,311,297,0,608,608,0,44,431,20,3,0,3,0,1,0,0,0,99,0,1,5,1,608
87,"P.S HARIPALMAU CLASS 4",460,404,0,864,198,197,0,395,395,0,123,184,13,2,0,1,0,0,1,1,0,56,1,2,5,6,395
88,"P.S SANDAURA CLASS 1",468,368,0,836,237,194,0,431,382,0,109,46,10,1,0,1,1,0,0,1,0,252,1,1,1,7,431
