"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ASIF NIZAMUDDIN SIDDIQUE","2 - PRAMOD KUMAR SINGH PATEL","3 - RAJKUMARI RATNA SINGH","4 - ASHOK SHUKLA SENANI","5 - NIRMALA DEVI","6 - FOOLCHANDRA","7 - BAL KRISHNA","8 - RAJENDRA SHARMA","9 - RAM SEWAK","10 - SHESHNATH","11 - SANTOSH KUMAR SINGH","12 - KUWAR HARIVANSH SINGH","13 - AJMAL KHAN","14 - KIRAN MISHRA","15 - HARIVANSH","16 - None of the Above","Total Votes Secured"
166,"P.S MUAAR ADHARGANJ CLASS ROOM 1",802,702,0,1504,299,288,0,587,587,0,177,41,23,5,0,0,0,1,1,1,2,323,0,0,3,10,587
167,"P.S MUAAR ADHARGANJ CLASS ROOM 2",710,598,0,1308,293,271,0,564,564,0,152,80,37,4,1,0,1,3,1,0,2,274,0,1,2,6,564
168,"P.S MUAAR ADHARGANJ",254,207,0,461,154,113,0,267,176,0,10,9,8,1,1,1,2,0,0,0,3,232,0,0,0,0,267
169,"P.S POORE RAM SAHAY",541,488,0,1029,307,331,0,638,638,0,60,152,102,8,4,0,0,2,2,1,1,293,4,1,3,5,638
170,"P.S KAULAPUR NANDPATTI CLASS ROOM 1",566,508,0,1074,297,287,0,584,582,0,249,110,9,4,3,1,0,1,0,0,1,191,3,4,6,2,584
171,"P.S KAULAPUR NANDPATTI CLASS ROOM 2",554,443,0,997,222,178,0,400,400,0,90,50,15,2,0,0,0,0,1,2,5,222,5,0,4,4,400
172,"P.S BHANPUR DASIYA CLASS ROOM 1",344,325,0,669,184,183,0,367,366,0,153,60,9,3,1,0,1,0,0,0,1,127,0,2,6,4,367
173,"P.S BHANPUR DASIYA CLASS ROOM 2",599,538,0,1137,267,262,0,529,529,0,299,98,36,1,2,0,2,1,5,0,2,75,1,2,0,5,529
174,"P.S SHAHPUR",687,664,0,1351,323,244,0,567,560,0,162,123,27,1,0,1,1,0,0,0,3,240,2,2,2,3,567
175,"P.S SHAHPUR CLASS ROOM 1",631,530,0,1161,275,294,0,569,565,0,108,203,18,5,0,2,2,1,1,0,0,222,4,1,0,2,569
176,"P.S SHAHPUR",270,238,0,508,108,134,0,242,242,0,68,126,4,0,0,0,0,1,0,0,0,40,0,0,2,1,242
177,"P.S SHAHPUR CLASS ROOM 2",242,214,0,456,116,121,0,237,200,0,21,56,15,4,0,2,0,0,0,0,3,129,1,1,1,4,237
178,"P.S MANSARAM KA POORA",279,255,0,534,153,141,0,294,291,0,6,56,8,1,1,1,1,1,0,2,2,214,0,1,0,0,294
179,"DEVGARH KAMASIN CLASS ROOM 1",602,521,0,1123,305,263,0,568,568,0,91,88,32,3,0,0,1,0,2,4,6,333,2,2,0,4,568
180,"DEVGARH KAMASIN CLASS ROOM 2",448,347,0,795,204,185,0,389,300,0,114,59,22,1,1,0,1,0,5,1,1,182,0,0,1,1,389
181,"P.S SANDILA CLASS ROOM 1",719,652,1,1372,370,369,0,739,523,0,192,94,8,11,2,2,2,0,1,1,3,411,2,1,6,3,739
182,"P.S SANDILA CLASS ROOM 2",473,409,0,882,239,238,0,477,477,0,177,104,8,5,3,0,1,0,1,2,2,166,0,0,5,3,477
183,"P.S BABUPATTI",456,402,0,858,280,222,0,502,499,0,71,194,16,9,1,0,3,0,2,2,1,182,0,1,8,12,502
184,"P.S SARAY SETRAY",412,336,0,748,237,207,0,444,444,0,126,88,25,7,0,1,0,1,2,0,2,189,1,0,0,2,444
185,"P.S POORE BHAIYAJI",234,220,0,454,140,120,0,260,254,0,8,57,2,2,0,1,1,2,1,0,2,174,1,2,2,5,260
186,"P.S  SINGAHI",403,366,0,769,257,277,0,534,532,0,162,29,9,4,0,0,2,0,1,1,3,310,2,0,4,7,534
187,"P.S HUSENPUR CLASS ROOM 1",537,408,0,945,258,243,0,501,450,0,217,92,41,2,1,1,1,0,0,0,0,144,0,0,1,1,501
188,"P.S HUSENPUR CLASS ROOM 2",367,310,0,677,266,224,0,490,490,0,100,122,11,1,0,0,0,1,0,0,0,250,2,0,1,2,490
189,"P.S JAYRAMPUR CLASS ROOM 1",793,667,0,1460,424,373,0,797,797,0,221,131,27,4,2,1,0,1,2,0,2,405,0,0,1,0,797
190,"P.S JAYRAMPUR CLASS ROOM 2",551,446,0,997,302,275,0,577,577,0,176,54,39,2,1,0,0,0,0,0,5,291,0,3,3,3,577
191,"P.S MIRJAPUR CHAUHARI CLASS ROOM 1",447,352,0,799,214,177,0,391,385,0,56,218,9,0,0,0,0,0,0,2,0,99,1,0,2,4,391
192,"P.S MIRJAPUR CHAUHARI CLASS ROOM 2",411,337,0,748,204,186,0,390,390,0,90,194,4,3,0,0,0,0,0,1,0,94,0,2,1,1,390
193,"P.S DARIYAPUR CLASS ROOM 1",688,526,0,1214,352,373,0,725,722,0,376,101,17,4,0,1,0,0,4,2,0,202,0,1,5,12,725
194,"P.S DARIYAPUR CLASS ROOM 1",183,150,0,333,104,86,0,190,188,0,131,28,4,0,0,0,0,0,0,0,0,23,0,0,0,4,190
195,"P.S BHAGIPUR CLASS ROOM 1",753,663,0,1416,414,387,0,801,798,0,372,141,21,10,2,2,1,2,8,0,2,236,0,0,1,3,801
196,"P.S BHAGIPUR CLASS ROOM 2",529,475,0,1004,302,268,0,570,565,0,95,100,32,4,1,2,1,0,2,0,3,321,1,0,4,4,570
197,"P.S BHAGIPUR CLASS ROOM 3",257,220,0,477,109,96,0,205,167,0,53,36,8,2,4,1,1,0,0,1,1,88,2,1,1,6,205
198,"P.S AASHIPUR",531,490,0,1021,287,327,0,614,588,0,172,232,30,2,0,1,2,0,0,0,5,162,1,0,5,2,614
199,"P.S BITHALPUR",735,625,0,1360,394,367,0,761,761,0,193,150,25,8,1,0,1,0,2,1,4,361,3,1,4,7,761
200,"P.S RASTIPUR",743,679,0,1422,413,414,0,827,823,0,235,288,29,3,3,0,2,0,3,1,5,243,2,3,4,6,827
201,"S. K. DEGREE COLLEGE RANIGANJ POORE GOLIYA CLASS ROOM 1",770,646,0,1416,438,365,0,803,653,0,341,75,31,3,1,0,2,0,1,0,4,343,0,0,0,2,803
202,"S. K. DEGREE COLLEGE RANIGANJ POORE GOLIYA CLASS ROOM 2",602,537,0,1139,333,288,0,621,618,0,143,75,33,4,0,1,0,0,0,0,3,358,2,0,0,2,621
203,"P.S VISHNUPUR  CLASS ROOM 1",519,430,0,949,254,250,0,504,504,0,181,93,18,2,0,0,0,0,0,0,0,193,0,3,3,11,504
204,"P.S VISHNUPUR  CLASS ROOM 2",698,558,0,1256,351,345,0,696,696,0,228,150,15,4,0,2,0,0,2,0,3,277,4,0,3,8,696
205,"P.S DARIYAPUR",523,454,0,977,251,275,0,526,526,0,79,126,66,6,1,0,0,0,1,0,2,232,2,0,3,8,526
206,"P.S BALIPUR",515,452,0,967,243,269,0,512,512,0,294,34,20,2,2,0,2,0,2,3,3,137,2,2,3,6,512
207,"P.S LACHCHHIPUR CLASS ROOM 1",698,652,0,1350,339,339,0,678,373,0,132,144,54,8,1,1,1,0,0,1,4,323,0,3,3,3,678
208,"P.S LACHCHHIPUR CLASS ROOM 2",727,659,0,1386,417,370,0,787,765,0,231,66,52,11,4,2,1,3,1,3,4,375,3,7,10,14,787
209,"P.S BHAISAUNA CLASS ROOM 1",412,379,0,791,179,219,0,398,394,0,199,71,20,2,0,1,0,3,1,0,1,96,0,0,0,4,398
210,"P.S BHAISAUNA CLASS ROOM 2",489,440,0,929,220,281,0,501,500,0,148,157,20,6,1,0,0,0,0,0,2,160,1,0,5,1,501
211,"P.S AAMAPUR BERRA CLASS ROOM 1",664,568,0,1232,275,317,0,592,591,0,139,108,46,5,1,3,4,2,9,0,7,246,4,3,6,9,592
212,"P.S AAMAPUR BERRA CLASS ROOM 2",383,343,0,726,205,166,0,371,371,0,81,41,15,4,2,1,0,0,0,0,3,218,0,0,4,2,371
213,"P.S AAMAPUR BERRA CLASS ROOM 1",614,546,0,1160,283,297,0,580,580,0,153,224,15,3,1,0,0,0,7,1,2,171,2,0,1,0,580
214,"P.S AAMAPUR BERRA CLASS ROOM 2",392,353,0,745,193,194,0,387,340,0,50,77,22,2,1,1,1,0,2,0,6,215,3,2,3,2,387
215,"P.S SARAY SULTANI",849,732,0,1581,460,478,0,938,938,0,139,408,15,19,7,1,5,2,3,2,7,303,3,3,10,11,938
216,"P.S BARAHADA",540,480,0,1020,307,296,0,603,603,0,180,88,26,8,2,2,0,2,1,1,2,272,2,1,5,11,603
217,"P.S RUPIPUR",485,455,0,940,249,277,0,526,526,0,152,143,14,5,1,0,1,0,2,1,2,195,0,0,2,8,526
218,"P.S KHUSHHALGARH",341,346,0,687,173,207,0,380,380,0,62,51,35,5,2,0,0,0,1,1,0,219,0,1,1,2,380
219,"P.S RAIPUR",206,210,0,416,91,113,0,204,200,0,80,78,7,3,0,0,0,0,0,1,0,32,0,0,1,2,204
220,"P.S MEERPUR CLASS R 1",208,189,0,397,91,95,0,186,186,0,9,53,7,2,0,0,0,0,0,0,1,112,0,1,0,1,186
221,"P.S MEERPUR CLASS R 2",392,334,0,726,209,205,0,414,414,0,98,149,14,3,0,0,1,0,0,1,4,138,1,1,3,1,414
222,"P.S THARIYA CLASS R 1",556,507,0,1063,306,281,0,587,587,0,206,94,17,2,1,0,0,0,0,0,1,257,2,2,0,5,587
223,"P.S THARIYA CLASS R 2",424,387,0,811,211,218,0,429,429,0,79,159,8,2,0,0,0,2,0,1,1,176,1,0,0,0,429
224,"P.S KAULAPUR NANDPATTI",614,597,0,1211,308,316,0,624,624,0,98,299,23,4,4,0,1,3,1,2,5,164,1,1,6,12,624
225,"P.S DHANUHA CLASS R 1",581,549,0,1130,261,268,0,529,529,0,58,207,42,6,1,0,1,1,8,1,3,189,4,1,3,4,529
226,"P.S DHANUHA CLASS R 2",626,540,0,1166,235,265,0,500,488,0,120,112,19,12,0,2,0,1,5,0,3,211,6,3,1,5,500
227,"P.S POORE BASAHU",331,251,0,582,141,137,0,278,278,0,58,28,17,5,2,0,1,0,1,2,0,156,1,3,1,3,278
228,"U.S NARI",389,323,0,712,210,181,0,391,388,0,75,160,9,5,3,0,0,0,2,1,0,129,1,1,3,2,391
229,"RAJKIYA INTER COLL EGE SHEKHUPUR CLASS R 1",656,597,0,1253,342,297,0,639,626,0,103,121,8,8,1,0,0,0,1,1,3,377,2,2,5,7,639
230,"RAJKIYA INTER COLL EGE SHEKHUPUR CLASS R 2",228,230,0,458,100,115,0,215,136,0,30,19,3,1,1,0,0,0,0,0,0,153,4,2,2,0,215
231,"P.S LAPKAN",261,243,0,504,141,144,0,285,285,0,44,153,4,1,0,0,1,0,0,0,1,80,0,0,1,0,285
232,"P.S RAMNAGAR",608,539,0,1147,251,281,0,532,532,0,179,88,22,6,0,0,3,0,2,1,6,214,0,1,4,6,532
233,"P.S RAMNAGAR",290,249,0,539,163,164,0,327,327,0,134,26,4,2,0,1,1,0,0,0,2,142,1,0,8,6,327
234,"P.S TIKAITA",660,554,0,1214,286,290,0,576,576,0,220,22,8,3,2,2,0,0,0,2,4,307,2,0,2,2,576
235,"P.S SUJAHA CLASS R 1",344,322,0,666,181,179,0,360,360,0,18,134,1,4,2,0,0,0,0,0,3,194,1,0,2,1,360
236,"P.S SUJAHA CLASS R 2",439,402,0,841,285,273,0,558,558,0,43,347,9,1,1,0,1,1,0,1,1,143,3,1,4,2,558
237,"P.S JAJAPUR",418,391,0,809,229,247,0,476,474,0,109,131,5,3,2,0,1,0,8,3,2,192,3,4,8,5,476
238,"P.S DAMDAM",507,476,0,983,289,288,0,577,243,0,74,255,14,3,2,0,2,0,1,2,2,216,1,2,2,1,577
239,"P.S GHINAPUR DAMDAM",704,677,0,1381,402,437,0,839,839,0,248,256,10,9,5,2,3,2,1,0,4,282,3,4,5,5,839
240,"P.S DIGHWAT CLASS R 1",565,463,1,1029,345,285,0,630,630,0,85,433,16,0,0,1,0,1,0,0,1,86,0,3,1,3,630
241,"P.S DIGHWAT CLASS R 2",605,511,0,1116,418,396,0,814,814,0,151,607,12,1,0,1,0,0,0,0,1,36,1,0,2,2,814
242,"P.S KHAKHAPUR CLASS R 1",539,458,0,997,239,244,0,483,483,0,30,239,20,2,1,1,1,2,2,3,5,155,1,6,4,11,483
243,"P.S KHAKHAPUR CLASS R 2",481,439,0,920,287,301,0,588,588,0,106,135,4,2,2,1,1,0,3,1,2,316,1,0,5,9,588
244,"P.S BORRA CLASS R 1",524,424,0,948,232,210,0,442,432,0,81,126,15,4,1,2,3,1,2,0,5,195,1,2,2,2,442
245,"P.S BORRA CLASS R 2",477,422,0,899,239,243,0,482,479,0,40,324,27,3,2,0,0,1,0,1,2,76,0,0,5,1,482
246,"P.S SULTANPUR",788,736,0,1524,390,373,0,763,763,0,106,144,49,9,2,0,1,1,2,2,5,426,3,3,4,6,763
247,"P.S SULTANPUR",687,651,0,1338,333,359,0,692,692,0,282,102,10,2,1,0,0,0,1,0,4,276,4,1,6,3,692
248,"P.S BHAWANIGARH",704,616,0,1320,395,365,0,760,745,0,121,189,21,2,0,1,2,1,2,1,10,402,3,0,2,3,760
249,"P.BHAWAN VIRAIPUR",356,315,0,671,168,186,0,354,305,0,81,153,5,3,0,2,1,0,1,1,1,104,0,0,1,1,354
250,"P.S RAMAPUR CLASS R 1",800,634,0,1434,304,272,0,576,576,0,135,203,21,5,1,0,1,1,0,0,3,195,4,2,3,2,576
251,"P.S RAMAPUR CLASS R 2",510,466,0,976,270,271,0,541,536,0,94,217,21,5,0,0,2,1,0,2,1,187,1,1,4,5,541
252,"P.S RAMAPUR CLASS R 3",825,699,0,1524,408,383,0,791,791,0,131,127,20,6,3,1,1,2,2,2,6,453,11,7,6,13,791
253,"P.S RAHETUA PARASRAMPUR CLASS R 1",576,510,0,1086,324,312,0,636,636,0,125,166,38,12,1,0,1,3,2,2,3,272,2,1,3,5,636
254,"P.S RAHETUA PARASRAMPUR CLASS R 2",542,482,0,1024,221,350,0,571,571,0,196,170,8,2,3,2,3,0,0,0,5,168,3,1,3,7,571
255,"P.S PARSAMAU",649,571,0,1220,318,326,0,644,644,0,77,237,39,11,0,0,1,0,1,2,4,256,3,1,5,7,644
256,"P.S AMARAI",490,462,0,952,243,280,0,523,522,0,112,74,14,8,3,2,3,1,1,3,5,283,5,1,3,5,523
257,"P.S CHANDPUR",662,576,0,1238,423,339,0,762,762,0,22,129,26,4,1,0,0,0,1,0,1,575,0,0,2,1,762
258,"P.S NIRBHAY PATTI",323,269,0,592,135,142,0,277,185,0,29,90,2,1,1,0,2,1,0,0,0,148,0,1,1,1,277
259,"P.S BASANT PATTI",205,195,1,401,99,139,0,238,238,0,74,46,7,1,1,1,0,0,0,0,2,101,1,2,1,1,238
260,"JUNIER H. SCHOOL PADHWA CLASS R 1",351,329,0,680,198,182,0,380,380,0,52,111,13,3,0,0,0,1,1,0,2,191,0,1,1,4,380
261,"JUNIER H. SCHOOL PADHWA CLASS R 2",253,226,0,479,120,137,0,257,257,0,34,11,5,1,0,0,1,0,0,1,2,196,2,2,1,1,257
262,"P.S NASIRPUR",319,281,0,600,158,155,0,313,303,0,87,80,1,9,0,0,0,0,0,1,0,130,3,0,2,0,313
263,"P.S KOTHARA",606,542,0,1148,312,268,0,580,580,0,47,156,30,3,4,1,3,0,0,1,2,323,3,0,3,4,580
264,"P.S SILAUDHI CLASS R 1",644,605,0,1249,341,335,0,676,676,0,182,162,65,8,3,1,1,0,1,2,5,225,2,0,8,11,676
265,"P.S SILAUDHI CLASS R 1",369,345,0,714,139,268,0,407,407,0,94,1,19,7,0,0,1,0,0,1,3,276,1,0,0,4,407
266,"P.S PATHATIYA KHURD",440,443,0,883,276,263,0,539,539,0,58,352,14,6,0,1,1,0,0,2,6,99,0,0,0,0,539
267,"P.S KOYAM",642,630,0,1272,283,338,0,621,621,0,132,150,17,8,2,4,1,2,1,3,4,277,2,4,8,6,621
268,"P.S SAND",773,639,0,1412,323,340,0,663,663,0,247,111,53,8,1,1,2,0,3,4,6,214,4,3,3,3,663
269,"P.S NARAYANPUR KHURD",581,555,1,1137,277,291,0,568,568,0,121,191,55,5,0,0,0,1,1,0,3,180,3,1,2,5,568
270,"P.S TARDEEH",557,525,0,1082,303,357,0,660,645,0,223,237,22,1,2,0,0,1,0,2,1,155,2,3,3,8,660
271,"P.S KAILIDEEH ROOM NO 1",626,541,0,1167,280,282,0,562,182,0,188,139,43,8,4,0,1,0,3,1,2,158,3,1,4,7,562
272,"P.S KAILIDEEH ROOM NO 2",485,423,0,908,231,230,0,461,460,0,189,109,26,2,2,1,0,0,0,0,3,120,4,0,2,3,461
273,"P.S HARIPUR SAUDH",619,564,0,1183,278,325,0,603,601,0,78,243,34,1,0,1,1,3,0,0,1,227,3,1,6,4,603
274,"P.S JAGATPUR ROOM NO 1",493,435,0,928,198,184,0,382,379,0,46,47,12,5,1,2,3,1,1,0,5,248,4,0,4,3,382
275,"P.S JAGATPUR ROOM NO 2",384,322,0,706,171,166,0,337,335,0,16,78,35,10,0,0,0,1,0,0,1,193,1,0,0,2,337
276,"P.S AASHAPUR",377,328,0,705,165,185,0,350,349,0,84,101,5,4,2,0,0,1,0,1,2,139,4,1,4,2,350
277,"P.S MAHAMADPUR",367,363,0,730,174,189,0,363,350,0,109,149,6,5,1,2,1,0,1,0,2,85,0,0,1,1,363
278,"P.S MAHAMADPUR",224,176,0,400,101,82,0,183,183,0,58,33,51,6,0,0,1,0,0,0,1,29,0,0,1,3,183
279,"P.S ROH KHURD KALA ROOM NO 1",613,542,0,1155,273,234,0,507,507,0,128,81,22,4,2,1,4,3,2,4,3,238,2,2,4,7,507
280,"P.S ROH KHURD KALA ROOM NO 2",543,505,0,1048,252,259,0,511,311,0,124,90,6,7,1,1,9,2,9,3,3,245,2,1,1,7,511
281,"P.S NAUDERA",730,637,0,1367,358,381,0,739,210,0,165,147,46,5,2,3,2,1,3,2,5,344,2,0,0,12,739
282,"P.S NAUDERA ROOM NO 1",803,682,0,1485,404,404,0,808,495,0,166,122,24,10,1,3,2,0,2,2,5,445,6,6,2,12,808
283,"P.S NAUDERA ROOM NO 2",229,218,0,447,95,113,0,208,197,0,18,38,13,5,0,1,0,0,1,0,3,120,1,1,1,6,208
284,"P.S NAUDERA  OTHER ROOM",675,580,0,1255,321,310,0,631,631,0,45,107,30,6,0,1,5,3,2,2,4,410,4,0,2,10,631
285,"P.S NAUDERA ROOM NO 1",654,570,0,1224,337,321,0,658,613,0,41,103,30,8,4,1,4,2,0,1,1,455,2,1,3,2,658
286,"P.S NAUDERA ROOM NO 2",393,377,0,770,207,222,0,429,429,0,72,144,8,5,4,2,1,0,2,1,3,179,0,0,2,6,429
287,"P.S FATANPUR ROOM NO 1",786,664,0,1450,376,271,0,647,646,0,163,116,40,9,1,3,3,1,2,1,8,281,3,2,5,9,647
288,"P.S FATANPUR ROOM NO 2",427,365,0,792,221,192,0,413,377,0,45,158,18,6,1,0,0,0,0,0,1,176,2,0,1,5,413
289,"P.S MASAULI",738,633,0,1371,309,329,0,638,638,0,78,87,17,9,2,3,5,3,3,3,6,396,3,4,4,15,638
290,"P.S GAURA POORE BADAL",821,738,0,1559,384,354,0,738,738,0,148,66,48,12,0,0,0,2,0,1,2,444,3,3,2,7,738
291,"P.S GAURA POORE BADAL",494,451,0,945,220,215,0,435,430,0,100,79,14,6,1,1,1,0,1,0,1,221,2,2,0,6,435
292,"P.S BEHDAUL KALA ROOM NO 1",388,374,0,762,158,208,0,366,47,0,149,43,11,2,1,2,1,0,1,0,0,151,1,2,1,1,366
293,"P.S BEHDAUL KALA ROOM NO 2",609,504,0,1113,287,245,0,532,532,0,103,89,11,9,1,0,0,1,19,1,5,280,3,3,2,5,532
294,"P.S BEHDAUL KHURD",784,694,0,1478,339,323,0,662,612,0,141,239,10,1,1,7,4,2,3,2,7,226,3,2,8,6,662
295,"P.S KAHALA",643,614,0,1257,388,393,0,781,731,0,133,143,24,3,2,2,1,0,3,3,2,454,4,3,0,4,781
296,"P.S MEDUWADEEH",733,648,0,1381,345,349,0,694,525,0,158,292,33,6,2,2,4,4,2,1,7,166,1,2,7,7,694
297,"P.S SURAAMISHRAPUR ROOM NO 1",679,592,0,1271,345,320,0,665,665,0,124,101,6,5,3,0,1,1,1,0,6,374,3,2,2,36,665
298,"P.S SURAAMISHRAPUR ROOM NO 2",626,543,0,1169,260,289,0,549,549,0,115,213,9,2,3,0,1,0,0,0,4,197,0,0,3,2,549
299,"P.S SURAAMISHRAPUR",781,656,0,1437,402,392,0,794,771,0,253,152,27,9,2,1,2,1,3,1,3,312,3,1,4,20,794
300,"P.S NAIKOT",705,601,1,1307,310,331,0,641,640,0,99,154,18,3,1,2,0,3,3,2,7,333,2,3,5,6,641
301,"P.S SHIVGADHA",322,287,0,609,174,156,0,330,148,0,19,152,10,1,0,0,0,0,0,0,3,143,0,1,1,0,330
302,"P.S KARKA",697,572,0,1269,350,332,0,682,682,0,152,99,24,13,1,4,4,3,0,2,6,357,7,3,3,4,682
303,"P.S BAIRAMPUR ROOM NO 1",644,557,0,1201,334,303,0,637,635,0,159,132,23,3,3,2,5,2,2,4,3,264,8,2,9,16,637
304,"P.S BAIRAMPUR ROOM NO 2",597,484,0,1081,270,289,0,559,40,0,137,216,10,1,0,0,1,1,1,2,2,181,2,2,1,2,559
305,"P.S SUWANSA",644,544,0,1188,382,348,0,730,725,0,123,127,30,1,1,0,2,0,1,0,0,429,4,0,3,9,730
306,"P.S DHARI",202,196,0,398,94,120,0,214,214,0,28,57,7,1,1,1,0,0,0,0,1,116,0,1,1,0,214
307,"P.S POORE GOSAI ROOM NO 1",684,555,0,1239,366,324,0,690,686,0,100,143,84,4,1,1,2,0,1,3,4,333,4,4,1,5,690
308,"P.S POORE GOSAI ROOM NO 2",267,223,0,490,172,160,0,332,332,0,20,112,5,0,0,0,0,0,0,0,1,185,1,2,4,2,332
309,"P.S NAI KOT ROOM NO 1",515,426,0,941,235,269,0,504,405,0,193,144,15,0,2,1,0,1,3,1,2,124,1,2,6,9,504
310,"P.S NAI KOT ROOM NO 2",425,309,0,734,143,167,0,310,310,0,61,180,31,1,0,0,0,0,0,2,2,19,2,2,7,3,310
311,"P.S KALIMURADPUR ROOM NO 1",471,408,0,879,212,191,0,403,403,0,99,145,10,3,0,2,0,1,1,1,2,133,2,0,2,2,403
312,"P.S KALIMURADPUR",342,322,0,664,177,153,0,330,330,0,69,44,9,2,1,1,0,0,0,1,4,187,4,0,4,4,330
313,"P.S KALIMURADPUR ROOM NO 2",661,617,0,1278,330,321,0,651,500,0,147,344,21,8,2,1,0,1,2,1,8,99,1,1,4,11,651
314,"P.S BHIT ROOM NO 1",544,482,0,1026,236,269,0,505,505,0,112,112,7,3,1,2,1,0,2,0,4,255,0,1,1,4,505
315,"P.S BHIT ROOM NO 2",543,498,0,1041,217,245,0,462,460,0,65,141,39,3,0,0,0,0,1,1,0,208,1,0,2,1,462
316,"P.S KANEWARA POORE KHUSHHALI ROOM NO 1",685,635,0,1320,335,286,0,621,621,0,32,161,61,2,3,0,2,2,2,2,4,344,1,3,1,1,621
317,"P.S KANEWARA POORE KHUSHHALI ROOM NO 2",641,612,0,1253,322,268,0,590,590,0,243,159,34,6,3,0,1,1,5,1,5,126,1,0,2,3,590
318,"PANCHAYAT BHAWAN NARYANPUR KALA ROOM NO 1",577,527,0,1104,276,290,0,566,564,0,254,82,48,4,1,1,0,0,20,1,2,134,3,1,5,10,566
319,"PANCHAYAT BHAWAN NARYANPUR KALA ROOM NO 2",316,276,0,592,184,160,0,344,210,0,16,75,13,4,0,1,1,1,2,1,2,221,0,1,2,4,344
320,"P.S KAMASIN",416,377,0,793,241,235,0,476,400,0,130,166,17,2,2,1,0,3,0,1,0,150,1,0,1,2,476
321,"P.S KATRAULI ROOM NO 1",505,411,0,916,227,187,0,414,140,0,79,126,29,2,1,0,2,0,0,0,3,165,2,0,3,2,414
322,"P.S KATRAULI ROOM NO 2",513,443,0,956,242,259,0,501,450,0,31,219,7,6,0,1,2,2,0,1,4,223,2,1,2,0,501
