"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DHARMENDRA PRATAP SINGH","2 - RAHUL GANDHI","3 - SMRITI ZUBIN IRANI","4 - GOPAL SWAROOP GANDHI","5 - CHHAYA SINGH","6 - ZAHIDA BEGAM","7 - BABU LAL","8 - C L MAURYA","9 - RAVI KUMAR","10 - RADHE MOHAN","11 - RAM ASREY","12 - RAM NEWAJ","13 - RAMSIDDH YADAV","14 - VASDEO","15 - DR. KUMAR VISHVAS","16 - VEDPAL SHASATRI","17 - MOHD HASAN LAHRI","18 - UMAKANT","19 - GIRIJA BAKS","20 - GANGESH KUMAR GUPTA","21 - JAGAT SINGH CHAUDHARY","22 - JITENDRA SINGH","23 - TULSIRAM","24 - DWARIKA PRASAD","25 - NARESH SINGH BHADAURIYA","26 - BHAGWAN DEEN","27 - MITHILESH KUMARI","28 - RAMESH CHANDRA","29 - RAM SAJIWAN","30 - LAL BAHADUR","31 - SHIV KUMAR","32 - SWAMINATH","33 - SONAM KINNAR","34 - SANJAY KUMAR","35 - None of the Above","Total Votes Secured"
44,SRAYNMANIK,438,371,0,809,233,194,0,427,331,0,11,212,115,3,1,1,1,0,1,2,0,0,2,0,32,9,2,0,1,0,0,0,5,1,1,2,0,12,1,1,1,6,0,2,2,427
45,"KHETAUADHAN (BIRGANJ)",538,465,0,1003,250,209,0,459,305,0,32,248,118,1,1,0,0,1,0,0,0,0,0,2,6,4,6,1,1,2,0,3,1,0,1,1,2,4,9,2,3,1,5,2,2,459
46,"KHETAUNDHAN (BIRGANJ)",689,633,0,1322,287,268,0,555,554,0,41,277,137,3,1,0,2,1,1,1,3,0,2,4,32,12,1,2,1,1,0,1,1,1,4,1,3,1,4,1,4,9,2,0,1,555
47,JAGDISHPUR,860,700,0,1560,421,418,0,839,839,0,75,449,221,4,0,1,2,2,1,1,1,0,0,0,10,5,2,3,3,1,1,2,6,3,1,2,2,8,12,4,2,11,0,2,2,839
48,JAGDISHPUR,732,600,0,1332,435,333,0,768,744,0,50,548,65,4,1,0,3,0,1,0,0,3,2,3,15,6,5,28,3,3,0,1,3,1,1,2,0,4,0,1,2,9,0,4,0,768
49,SIRSI,473,410,0,883,263,253,0,516,514,0,28,189,103,2,4,2,3,3,1,3,0,1,1,0,91,5,5,2,2,2,0,6,6,4,0,2,3,23,5,4,3,9,1,2,1,516
50,PIRHI,268,250,0,518,146,146,0,292,290,0,12,151,82,4,0,0,0,0,3,1,2,0,0,0,10,3,2,0,0,0,0,1,1,1,1,0,0,8,4,2,2,1,0,1,0,292
51,DOHRI,338,314,0,652,176,181,0,357,337,0,36,196,82,3,2,2,2,0,0,0,0,1,1,1,2,2,2,4,0,1,1,3,3,0,1,1,1,2,0,1,0,6,0,0,1,357
52,RASIDPUR,582,483,0,1065,312,273,0,585,585,0,27,180,270,6,4,1,1,0,0,3,1,1,7,1,7,13,2,2,1,3,3,0,5,2,2,3,5,9,6,3,1,10,1,1,4,585
53,RASIDPUR,194,160,0,354,98,82,0,180,180,0,3,49,87,0,0,1,0,0,0,0,1,2,0,1,3,3,1,2,0,1,0,1,0,0,0,1,2,6,13,1,0,0,0,0,2,180
54,"KAMALPUR BADAILA",421,384,0,805,219,222,0,441,437,0,6,264,108,4,4,1,2,1,1,0,2,1,1,1,12,6,0,0,0,2,0,2,2,3,0,1,4,4,0,0,5,3,0,1,0,441
55,"PURE SHIV BAKSH",383,334,0,717,194,168,0,362,286,0,13,145,133,6,2,0,0,0,0,0,2,0,3,2,14,2,2,1,0,1,0,3,5,0,1,1,2,5,3,5,2,7,1,1,0,362
56,"PURE SHIV BAKSH",670,582,0,1252,354,328,0,682,682,0,109,226,191,2,1,1,1,3,1,1,1,1,2,2,9,8,11,5,6,1,2,3,6,9,2,4,10,18,14,7,5,10,5,4,1,682
57,"PURE SHIV GULAM BIRNAWAN",567,479,0,1046,233,186,0,419,410,0,12,245,94,4,3,4,1,5,0,3,1,2,0,0,3,7,2,13,3,0,0,0,2,4,0,1,3,4,0,0,1,1,0,0,1,419
58,"PURE SHIV GULAM BIRNAWAN",366,291,0,657,231,169,0,400,270,0,46,223,99,4,1,0,0,1,1,0,0,0,0,1,2,5,1,0,0,0,0,1,2,1,0,0,2,4,1,0,1,4,0,0,0,400
59,BIRNAWAN,366,301,0,667,130,124,0,254,200,0,8,140,71,1,1,1,0,1,0,2,2,1,1,2,4,1,3,1,0,0,0,0,1,2,0,0,0,5,1,0,1,4,0,0,0,254
