"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ATUL KUMAR SINGH ANJAAN","2 - DARA SINGH CHAUHAN","3 - RAJEEV KUMAR RAI","4 - RASHTRA KUNWAR SINGH","5 - HARINARAYAN RAJBHAR","6 - BADRI NATH YADAV","7 - MANISH KUMAR RAI","8 - MOKHTAR ANSARI","9 - RAVI SHANKAR BHARAT","10 - RAJKUMAR CHAUHAN","11 - VIJAY KUMAR UPADHYAY","12 - DR. SHAMEEM ABIDI","13 - HARINATH","14 - HARISH CHANDRA","15 - HEMANT KUMAR","16 - DOODHNATH CHAUHAN","17 - VISHUN DAYAL","18 - SURYA KUMAR","19 - None of the Above","Total Votes Secured"
1,"P.P. PUNAPAR U. BHAG",891,736,0,1627,411,464,0,875,875,0,17,317,131,4,314,13,1,37,1,1,3,1,1,2,4,5,2,11,10,875
2,"P.P. PUNAPAR U. BHAG",369,318,0,687,176,172,0,348,348,0,5,30,16,6,262,8,3,5,0,0,0,2,0,1,1,4,3,1,1,348
3,"P. V. BHATULI UDMATIYA",316,252,0,568,162,166,0,328,328,0,9,79,58,2,125,4,3,35,0,1,0,0,4,1,1,2,1,2,1,328
4,"P.P.VALEUER CHANGRI U. BHAG",847,713,0,1560,373,389,0,762,762,0,17,234,100,8,311,23,2,13,5,1,4,1,3,15,3,10,7,2,3,762
5,"P.P.VALEUER CHANGRI U. BHAG",88,66,0,154,30,31,0,61,61,0,4,25,13,0,16,1,0,2,0,0,0,0,0,0,0,0,0,0,0,61
6,"P.P.VALEUER CHANGRI U. BHAG",778,662,0,1440,389,428,0,817,817,0,14,11,185,11,383,22,2,129,6,4,2,5,3,13,4,20,1,1,1,817
7,"P.P.VALEUER CHANGRI U. BHAG",235,218,0,453,115,127,0,242,242,0,6,145,30,2,32,6,3,13,0,0,1,1,0,1,0,1,1,0,0,242
8,"PP CHANDRAPAR",703,600,0,1303,345,345,0,690,690,0,7,239,173,8,142,5,2,84,4,0,6,1,2,4,3,4,5,0,1,690
9,"PP DAADI EAST",874,760,0,1634,399,435,0,834,17,22,17,22,150,14,532,14,2,30,4,4,4,5,3,4,2,15,4,2,6,834
10,"P. P.PIOWATAL CENTER",714,591,0,1305,362,383,0,745,745,0,10,16,81,20,551,5,2,31,0,2,3,3,3,1,3,6,2,2,4,745
11,"PP PIOWATAL  NORTH",624,556,0,1180,284,295,0,579,579,0,23,13,101,13,390,10,2,7,4,0,0,3,1,1,0,6,2,1,2,579
12,"PP PIOWATAL  NORTH",849,671,0,1520,426,430,0,856,856,15,15,306,37,6,368,13,4,66,3,2,3,2,1,4,3,15,1,6,1,856
13,"PP TEGHNA",724,680,0,1404,365,406,0,771,771,0,8,100,112,16,505,2,0,12,1,0,2,5,0,3,2,1,0,1,1,771
14,"PP UMARPUR",259,228,0,487,146,167,0,313,313,0,3,134,60,26,71,4,2,2,0,0,0,0,1,5,2,1,1,1,0,313
15,"PP BELBHADRAPUR",671,653,1,1325,387,370,0,757,757,0,8,74,502,13,72,1,2,56,3,1,1,2,3,1,3,7,0,1,7,757
16,"H S SCHOOL BHOJHI",736,624,0,1360,409,340,0,749,749,0,33,125,258,45,201,1,14,5,0,0,4,1,1,26,1,3,15,10,6,749
17,"P.P. SUBARHADBIRANCHA",707,591,0,1298,397,344,0,741,741,0,36,101,149,25,295,12,6,73,1,2,8,2,2,7,6,11,4,0,1,741
18,"P.P. SUBARHADBIRANCHA",343,300,0,643,155,146,0,301,301,0,9,52,42,1,173,1,2,18,0,0,1,1,0,1,0,0,0,0,0,301
19,"PJ H SCHOOL PANJEPAR",319,288,0,607,173,185,0,358,358,0,0,243,2,5,83,1,2,9,0,1,4,2,0,0,3,2,0,1,0,358
20,"KANYA PP RAMPUR TADVA EAST",545,460,0,1005,291,252,0,543,543,0,3,17,28,12,427,9,3,29,1,1,1,2,1,0,3,4,0,1,1,543
21,"J H SCHOOL  RAMPUR TADVA EAST",650,559,0,1209,323,341,0,664,664,0,14,329,79,9,147,7,2,12,0,1,5,2,5,3,4,17,7,10,11,664
22,"J H SCHOOL RAMPUR TADVA WEST",668,591,0,1259,334,341,0,675,675,0,9,83,40,5,435,13,5,35,5,1,3,3,1,5,0,12,3,5,12,675
23,"J H SCHOOL SOOHAD NORTH",812,684,0,1496,388,421,0,809,809,0,11,142,65,14,478,13,7,40,6,5,1,2,1,6,1,6,3,1,7,809
24,"P.P. BHAIROPUR KHURMA",661,534,0,1195,305,318,0,623,623,0,18,65,174,12,247,7,8,4,1,7,10,6,7,5,9,27,2,3,11,623
25,"PP AMILA NORTH",347,244,0,591,176,119,0,295,295,0,8,84,35,5,132,3,1,17,1,1,0,1,1,1,0,0,0,5,0,295
26,"PP AMILA  CENTER",508,403,0,911,272,260,0,532,532,0,26,158,20,8,252,3,5,46,1,1,1,1,1,1,1,3,1,2,1,532
27,"PP AMILA  CENTER",720,590,0,1310,395,285,0,680,680,16,16,23,57,3,449,10,7,98,2,1,2,3,2,1,0,4,0,1,1,680
28,"P.P. AMILA SOUTYH",724,560,0,1284,353,256,0,609,609,0,40,18,103,9,347,6,6,60,1,2,0,2,1,1,0,1,6,2,4,609
29,"PP PIDAUTHSINGHPUR EAST",580,487,0,1067,335,281,0,616,616,0,13,78,113,1,335,3,3,37,1,1,4,1,1,0,4,6,5,5,5,616
30,"PP PIDAUTHSINGHPUR WEST",591,490,0,1081,263,275,0,538,538,0,8,20,106,36,338,7,3,5,0,1,0,2,1,1,0,7,0,0,3,538
31,"PP PIDAUTHSINGHPUR CENTER",386,301,0,687,190,200,0,390,390,0,5,194,29,3,119,6,3,3,0,4,6,1,0,0,3,3,5,5,1,390
32,"PP MAKHDUMPUR GURATKHARJA",436,398,0,834,268,255,0,523,523,0,14,67,12,8,335,4,1,65,1,0,5,1,0,0,2,4,1,2,1,523
33,"PP DHRAULI EAST",621,520,0,1141,272,308,0,580,580,0,21,5,33,9,345,6,7,142,1,0,0,1,1,2,0,2,0,1,4,580
34,"PP  P WEST DHRAULI",814,642,0,1456,395,407,0,802,802,0,24,353,43,14,200,4,1,143,2,1,1,1,1,1,2,5,0,4,2,802
35,"PP KHATRIPAR",637,512,0,1149,340,363,0,703,703,0,17,285,49,14,293,7,0,5,1,0,6,2,0,3,4,8,5,4,0,703
36,"PP BANIYAPAR SAAYADTAHIR",822,658,0,1480,415,364,0,779,779,0,25,236,69,6,350,6,3,40,0,2,3,4,2,8,4,10,4,3,4,779
37,P.P.JURENDA,266,218,0,484,117,122,0,239,239,0,7,89,63,3,58,2,2,4,0,0,0,0,1,2,1,3,1,0,3,239
38,"P.P.JURENDA EAST",679,516,0,1195,319,261,0,580,580,0,10,182,68,10,242,4,5,17,0,0,8,4,2,2,5,7,7,3,4,580
39,"P.P.JURENDA CENTER",216,162,0,378,113,98,0,211,211,0,3,98,19,2,74,4,0,4,1,0,1,0,0,0,0,3,1,1,0,211
40,P.P;.TARAIDIH,339,297,0,636,179,180,0,359,359,0,9,126,41,11,146,3,3,9,2,1,0,0,2,0,0,2,1,2,1,359
41,"PP CHANMRIO NORTH",317,256,0,573,157,141,0,298,298,0,4,89,50,6,92,2,2,51,0,0,0,0,0,1,1,0,0,0,0,298
42,"PP CHAMRIO SOUTH",456,419,0,875,300,223,0,523,523,0,8,247,140,7,72,2,0,23,1,0,0,0,0,1,2,0,3,11,6,523
43,"PP KANKUDIH",273,231,0,504,167,154,0,321,321,0,43,19,52,2,155,2,3,33,0,0,0,2,1,2,0,2,3,0,2,321
44,"PP KAPRIAHDIH WEST",635,546,0,1181,316,334,0,650,650,0,29,209,68,12,247,6,2,64,0,1,2,0,1,2,1,3,3,0,0,650
45,"PP AKPRIHDIH EAST",520,436,0,956,267,266,0,533,533,0,12,163,56,6,118,2,1,162,0,0,1,2,0,3,1,4,1,1,0,533
46,"ISLAMIYA SCHOOL SULTANPUR NORTH",708,666,0,1374,258,404,0,662,662,0,9,17,278,12,80,2,1,245,0,1,5,2,1,2,1,0,1,0,5,662
47,"ISLAMIYA SCHOOL SULTANPUR CENTER",385,305,0,690,204,176,0,380,380,0,17,127,118,2,87,2,0,11,0,0,0,0,2,1,0,3,1,4,5,380
48,"PP IMBRAHIMA BAD",328,272,0,600,191,209,0,400,400,0,17,336,9,4,24,3,0,5,0,1,0,1,0,0,0,0,0,0,0,400
49,"PP DADANPUR ALLLUPUR",293,266,1,560,160,168,0,328,328,0,11,55,17,6,225,2,0,5,0,0,0,0,0,0,0,2,0,2,3,328
50,"PP BANKARA KHURD",398,328,0,726,216,250,0,466,466,0,38,237,103,2,57,2,2,9,1,0,2,0,0,1,0,1,0,7,4,466
51,"PP AHAMADPUR ASANA NORTH",614,621,0,1235,215,337,0,552,552,0,38,12,46,8,44,0,2,396,1,0,1,0,1,1,1,1,0,0,0,552
52,"PP AHAMADPUR ASANA SOUTH",559,468,0,1027,268,312,0,580,580,0,4,328,73,4,46,0,0,99,1,3,4,0,1,2,3,3,3,2,4,580
53,"PP  DAULATPUR",401,343,0,744,217,257,0,474,474,0,2,352,3,1,68,2,2,1,1,2,4,2,1,6,4,1,4,13,5,474
54,"PP GODHANA",439,383,0,822,232,250,0,482,482,0,7,180,180,5,59,1,2,37,0,0,2,1,0,1,1,2,2,1,1,482
55,"PP AKOLHI MUBARK PUR NORTH",616,483,0,1099,313,276,0,589,589,0,15,91,160,11,251,3,1,32,2,1,5,0,3,3,0,7,0,1,3,589
56,"PP AKOLHI MUBARK PUR SOUTH",428,330,0,758,227,194,0,421,421,0,12,13,90,11,225,5,2,51,2,0,1,1,0,1,0,4,3,0,0,421
57,"PP  FATEHPUR DODAHRA",225,196,0,421,140,125,0,265,265,0,1,0,61,4,167,1,2,17,1,2,1,3,1,1,0,2,0,0,1,265
58,"PP JAMDEEH NORTH",903,761,0,1664,487,483,0,970,970,0,177,104,162,7,319,4,0,173,0,1,2,1,5,0,0,7,2,1,5,970
59,"PP AULIYAPUR",458,369,0,827,239,205,0,444,444,0,19,133,120,9,119,3,1,10,1,1,4,6,2,3,2,2,5,2,2,444
60,"PP MADINA",593,442,0,1035,371,274,0,645,645,0,28,76,245,6,187,6,4,76,3,0,3,2,1,2,2,2,1,0,1,645
61,"PP BIBI PUR",793,631,0,1424,397,386,0,783,783,0,16,108,50,7,296,8,7,256,5,0,7,3,0,0,2,8,4,1,5,783
62,"PP MACHHIL JAMIN NORTH",1014,783,0,1797,507,522,0,1029,1029,0,19,408,101,8,334,16,2,79,0,1,3,2,0,4,0,13,2,21,16,1029
63,"PP MACHHIL JAMIN SOUTH",208,179,0,387,110,124,0,234,234,0,1,162,11,2,23,4,0,8,0,0,2,3,1,8,2,1,1,4,1,234
64,"PP CHAK MUSAIYAD",345,316,0,661,173,189,0,362,362,0,9,10,106,4,20,0,1,203,0,1,1,0,0,0,0,5,0,0,2,362
65,"PP KHANPUR BUJURG",638,518,0,1156,352,316,0,668,668,0,20,11,219,9,356,12,1,20,0,0,5,3,1,1,0,5,2,0,3,668
66,"PP USARA BUJURG",227,189,0,416,138,135,0,273,273,0,0,145,3,1,12,0,0,102,1,0,1,0,0,0,0,1,2,4,1,273
67,"JAISH K.INTER CO. BANGAVA",762,655,0,1417,392,375,0,767,767,0,10,86,209,5,201,2,6,202,2,1,4,5,2,5,4,8,3,2,10,767
68,"PP JAMIN KAILAWAR",614,528,0,1142,347,365,0,712,712,0,32,345,15,9,233,7,2,23,3,1,7,1,0,2,2,8,9,11,2,712
69,"PP JAMALPUR VIKKAMPUR",836,715,0,1551,413,495,0,908,908,0,12,135,101,7,206,6,6,376,6,6,6,7,1,7,6,11,3,2,4,908
70,"PP PAKARI BUJURG",633,525,0,1158,267,320,0,587,587,0,8,45,47,20,320,11,4,97,4,0,1,3,2,2,3,9,2,2,7,587
71,"PP PAKARI BUJURG WEST",558,439,0,997,293,262,0,555,555,0,16,6,76,52,380,5,1,5,1,0,0,1,1,0,1,5,0,0,5,555
72,"J.HIGH SCHOOL  PAKARI BUJURG EAST",785,670,0,1455,426,325,0,751,751,0,17,94,171,32,379,15,1,24,3,0,2,0,1,1,1,4,5,1,0,751
73,"J.HIGH SCHOOL  PAKARI BUJURG MADHYA",697,539,0,1236,368,306,0,674,674,0,7,75,244,19,297,7,0,2,1,2,3,1,1,2,2,2,7,2,0,674
74,"PP PAKARI KHURD",663,574,0,1237,400,255,0,655,655,0,4,169,219,21,192,1,3,19,3,2,3,1,2,4,1,6,0,1,4,655
75,"PP VIJPURA",866,698,0,1564,498,493,0,991,991,0,16,256,109,17,381,18,1,129,10,4,4,3,0,9,6,19,5,3,1,991
76,"PP KANDHELI",608,498,0,1106,336,373,0,709,709,0,10,43,32,5,508,16,5,67,3,0,3,2,1,1,2,9,0,1,1,709
77,"PP BHTAULI BAISH",523,381,0,904,250,261,0,511,511,0,22,65,61,3,307,6,0,28,1,2,3,2,0,0,0,8,1,1,1,511
