"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ATUL KUMAR SINGH ANJAAN","2 - DARA SINGH CHAUHAN","3 - RAJEEV KUMAR RAI","4 - RASHTRA KUNWAR SINGH","5 - HARINARAYAN RAJBHAR","6 - BADRI NATH YADAV","7 - MANISH KUMAR RAI","8 - MOKHTAR ANSARI","9 - RAVI SHANKAR BHARAT","10 - RAJKUMAR CHAUHAN","11 - VIJAY KUMAR UPADHYAY","12 - DR. SHAMEEM ABIDI","13 - HARINATH","14 - HARISH CHANDRA","15 - HEMANT KUMAR","16 - DOODHNATH CHAUHAN","17 - VISHUN DAYAL","18 - SURYA KUMAR","19 - None of the Above","Total Votes Secured"
78,"PP VIKKAMPUR",825,720,0,1545,449,482,0,931,931,0,18,213,58,5,499,20,3,61,4,6,7,5,2,2,4,11,2,6,5,931
79,"PP KUCHAHARA SOUTH PART",815,700,0,1515,401,410,0,811,811,0,8,77,262,10,359,15,2,45,0,3,3,0,1,3,1,11,3,2,6,811
80,"PP BHIRA EAST PART",845,679,0,1524,476,436,0,912,912,0,20,112,86,16,494,11,3,143,3,2,2,1,1,1,3,5,4,3,2,912
81,"PP BHIRA WEST PART",773,628,0,1401,350,413,0,763,763,0,7,148,76,11,173,4,1,293,4,1,4,2,4,3,4,10,4,6,8,763
82,"PP SARAYGANGA PABBI",513,441,0,954,263,277,0,540,540,0,17,103,67,41,90,8,1,180,0,0,1,10,2,2,4,7,0,3,4,540
83,"PP BHOPAURA",480,376,0,856,275,271,0,546,546,0,8,109,28,13,293,11,3,70,1,1,1,0,0,1,1,2,3,0,1,546
84,"PP NADAWA KHAS WEST PART",580,488,0,1068,269,324,0,593,593,0,5,54,101,2,39,2,3,381,1,1,0,0,1,0,0,0,1,1,1,593
85,"PP NADAWA KHAS EAST PART",661,544,0,1205,373,318,0,691,691,0,4,17,36,5,333,4,2,268,4,0,2,2,3,1,1,4,0,3,2,691
86,"P.P. NADAWA KHAS MADHYA PART",763,607,0,1370,414,403,0,817,817,0,14,238,212,11,269,15,2,14,3,6,4,0,3,8,2,8,1,4,3,817
87,"J. HIGH.SCHOOL BHIKHARI PUR  NORTH",733,563,0,1296,379,423,0,802,802,0,13,165,53,28,324,10,5,163,3,1,8,5,0,8,2,6,2,4,2,802
88,"J. HIGH.SCHOOL BHIKHARI PUR  SOUTH",665,573,0,1238,327,333,0,660,660,0,21,190,130,8,259,12,3,3,1,0,6,1,0,0,2,7,12,3,2,660
89,"P.BHAWAN RAJPURA",496,383,0,879,261,293,0,554,554,0,16,57,44,12,385,8,3,7,0,0,5,4,1,2,2,2,1,2,3,554
90,"P.P. BHROPUR",379,302,0,681,176,196,0,372,372,0,3,146,54,2,135,2,0,12,2,2,0,2,1,2,3,6,0,0,0,372
91,"J.HIGH SCHOOL SARAYSADI NARTH",890,750,0,1640,482,518,0,1000,1000,0,15,252,259,4,252,12,2,172,5,5,4,2,3,2,0,5,6,0,0,1000
92,"J.HIGH SCHOOL SARAYSADI NARTH",83,58,0,141,38,38,0,76,76,0,1,31,11,0,14,0,0,18,0,0,0,0,0,0,0,0,0,0,1,76
93,"P.P. MISHRAULI EAST PART",559,475,0,1034,300,288,0,588,588,0,13,93,61,7,326,6,4,43,1,2,8,7,3,1,4,7,1,0,1,588
94,"P.P .MISHRAULI WEST PART",491,410,0,901,252,277,0,529,529,0,14,127,108,8,227,4,0,20,4,1,2,1,1,1,0,10,0,1,0,529
95,"P.P. MUJDAND",422,368,0,790,241,245,0,486,486,0,3,42,154,6,259,4,2,6,1,0,2,1,1,0,2,3,0,0,0,486
96,"A.B.V.MANDIR SARHARA JAMIN SARHARA",607,497,0,1104,352,361,0,713,713,0,9,78,61,8,416,11,1,88,3,4,7,2,7,1,1,10,2,2,2,713
97,"P.P. KALAFANPUR",603,463,0,1066,297,307,0,604,604,0,12,117,115,2,290,14,6,28,1,1,4,0,0,2,0,7,2,3,0,604
98,"P.P .KARISATH SOUTH",633,534,0,1167,434,326,0,760,760,0,3,3,105,7,118,4,3,501,2,0,1,4,1,0,1,5,2,0,0,760
99,"P.P. KARISATH SOUTH",457,371,0,828,233,253,0,486,486,0,3,238,47,0,134,5,0,45,0,1,6,2,0,0,3,0,0,1,1,486
100,"P.P. HASPUR KIRKIT",395,344,1,740,247,232,0,479,479,0,4,197,47,6,91,2,2,105,0,0,2,0,1,1,1,5,0,8,7,479
101,"P.P. CHAKVISHVNATH",275,245,0,520,175,185,0,360,360,0,3,216,23,1,45,1,0,60,1,0,0,0,0,4,0,1,2,2,1,360
102,"P.BHAWAN KASBA KHAS (MUSKIYA)",392,316,0,708,213,218,0,431,431,0,4,401,3,1,10,2,0,1,0,0,0,0,0,2,1,1,3,1,1,431
103,"J.HIGH SCHOOL JAMALPUR MIRJAPUR",908,722,0,1630,519,427,0,946,946,0,12,135,360,8,278,11,2,69,3,2,2,27,1,2,4,14,4,7,5,946
104,"P.P. GHOSI NO.2 EAST PART",688,560,5,1253,393,369,0,762,762,0,8,114,34,10,303,7,3,266,1,3,2,0,1,2,1,5,0,1,1,762
105,"P.P. GHOSI NO.2 WEST PART",670,537,0,1207,396,395,0,791,791,0,4,64,21,20,619,7,3,29,4,2,4,0,1,1,2,7,3,0,0,791
106,"J.HIGH SCHOOL JAMALPUR MIRJAPUR EAST",429,365,0,794,271,232,0,503,503,15,15,42,39,6,361,3,3,19,0,2,4,1,0,1,1,4,1,1,0,503
107,"J.HIGH SCHOOL JAMALPUR MIRJAPUR WEST",491,388,1,880,271,196,0,467,467,0,3,58,36,11,332,1,2,17,1,0,0,0,0,2,1,1,0,1,1,467
108,"J.HIGH SCHOOL JAMALPUR MIRJAPUR WEST",829,630,0,1459,417,366,0,783,783,0,3,152,93,11,180,1,2,295,1,2,4,17,3,3,2,7,2,4,1,783
109,"MADAR S.FAIJAM MADAPUR SAMASPUR",702,713,0,1415,373,418,0,791,791,0,10,33,142,7,6,0,2,583,4,0,0,2,0,0,0,2,0,0,0,791
110,"MADAR S.FAIJAM MADAPUR SAMASPUR",886,749,0,1635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,"MADAR S.FAIJAM MADAPUR SAMASPUR",739,642,0,1381,375,390,0,765,765,0,34,25,245,15,86,0,2,341,1,1,1,3,0,0,0,3,0,2,6,765
112,"MADAR S.FAIJAM MADAPUR SAMASPUR",549,457,0,1006,253,259,0,512,512,0,6,23,155,7,24,0,0,260,1,0,0,33,0,1,0,0,0,0,2,512
113,"MADAR S.FAIJAM MADAPUR SAMASPUR",603,514,2,1119,338,285,0,623,623,0,3,13,225,2,11,0,3,230,0,2,2,124,2,0,0,1,0,0,5,623
114,"MADAR S.FAIJAM MADAPUR SAMASPUR D. BHAG",686,561,0,1247,345,267,0,612,612,0,16,21,122,8,149,5,0,276,0,1,1,7,0,0,0,2,1,0,3,612
115,"MADAR S.FAIJAM MADAPUR SAMASPUR U. BHAG",253,180,0,433,157,137,0,294,294,0,5,0,17,1,95,1,2,165,1,0,0,2,0,0,0,5,0,0,0,294
116,"P. BHAWAN PAHARPUR",484,355,0,839,292,283,0,575,575,0,11,93,135,4,230,4,2,77,2,3,4,2,1,1,0,3,0,2,1,575
117,"P.P. SOMARIDEEH NORTH PART",643,539,2,1184,363,370,0,733,733,0,42,151,171,10,224,7,4,68,1,2,6,29,3,0,6,5,1,2,1,733
118,"P.P. SOMARIDEEH SOUTH PART",317,249,0,566,180,160,0,340,340,0,5,21,63,2,192,8,0,34,2,2,1,2,2,1,2,0,0,0,3,340
119,"P.P. BARAIPAR MALIK",220,182,0,402,165,115,0,280,280,0,7,1,133,2,113,4,0,12,0,2,2,0,1,1,0,1,0,0,1,280
120,"P.P.SCHOOL GAURI",391,288,0,679,243,214,0,457,457,0,4,69,25,3,336,1,1,13,0,0,1,2,0,0,0,0,0,0,2,457
121,"P.P .MAKHDUMPUR MALIK",704,587,2,1293,400,402,0,802,802,0,15,150,12,8,513,7,2,63,3,2,6,7,0,0,2,4,3,1,4,802
122,"M.D.UG. BARAGAV",830,707,0,1537,473,404,0,877,877,0,19,12,71,21,581,11,3,131,3,1,2,4,3,0,1,6,3,0,5,877
123,"M.D.UG. BARAGAV 1",96,68,0,164,55,44,0,99,99,9,9,4,2,2,79,0,0,3,0,0,0,0,0,0,0,0,0,0,0,99
124,"M.D.UG. BARAGAV EAST PART",760,616,0,1376,402,386,0,788,788,0,18,21,252,2,1,1,9,452,2,0,0,22,1,0,0,4,0,0,3,788
125,"M.D.UG. BARAGAV WEST PART- 1",751,653,0,1404,403,370,0,773,773,0,22,12,217,13,2,0,12,444,1,0,1,44,0,4,0,0,0,0,1,773
126,"M.D.UG. BARAGAV WEST PART- 2",827,713,0,1540,451,389,0,840,840,0,17,47,218,15,8,0,5,436,2,1,2,83,0,0,0,2,2,1,1,840
127,"M.D.UG. BARAGAV WEST PART- 3",69,71,0,140,31,45,0,76,76,0,0,6,21,3,0,0,0,39,1,0,0,6,0,0,0,0,0,0,0,76
128,"M.D.UG. BARAGAV SOUTH PART",819,636,0,1455,447,375,0,822,822,0,13,106,158,8,194,3,5,281,0,1,1,38,1,2,0,2,1,2,6,822
129,"M.D.UG. BARAGAV SOUTH  PART- 1",484,403,2,889,224,214,0,438,438,0,9,74,124,7,69,1,0,143,0,0,0,1,0,2,1,3,1,0,3,438
130,"P.P. BARA GAN EAST PART",488,443,1,932,284,269,0,553,553,0,8,2,78,4,45,1,4,333,4,0,0,71,0,0,0,2,0,1,0,553
131,"P.P. BARA GAN MADHYA PART",324,284,0,608,166,198,0,364,364,0,17,4,21,9,27,0,2,193,2,0,0,84,1,0,0,1,2,0,1,364
132,"P.P. BARA GAN WEST PART",788,626,0,1414,423,348,0,771,771,0,12,8,107,10,228,1,4,289,2,0,3,102,1,2,2,0,0,0,0,771
133,"KANYA P.P. BARAGAV",570,401,0,971,292,246,0,538,538,0,14,116,117,3,222,5,2,19,4,2,6,3,0,4,0,16,1,0,4,538
134,"KANYA P.P. BARAGAV",393,314,0,707,243,200,0,443,443,0,46,106,9,4,242,7,1,2,2,2,2,2,1,1,2,5,1,4,4,443
135,"P.P. MANIKPUR ASANA NORTH PART",580,517,0,1097,306,338,0,644,644,0,24,161,26,4,105,8,1,282,3,2,6,3,0,4,3,11,0,1,0,644
136,"P.P. MANIKPUR ASANA SOUTH PART",858,754,1,1613,398,443,0,841,841,0,83,66,48,7,172,2,9,433,3,1,0,10,3,1,1,2,0,0,0,841
137,"P.P. BHATAULI MALIK",841,671,0,1512,456,403,0,859,859,0,26,225,106,16,270,2,2,194,0,0,2,4,1,2,1,1,1,2,4,859
138,"P.P. NADAWAL",802,672,0,1474,441,422,0,863,863,0,13,96,177,35,456,8,1,42,1,3,4,4,2,1,4,7,3,1,5,863
139,"P.P. BHAWAN PUR",790,682,0,1472,547,413,0,960,960,0,11,140,300,11,447,5,0,25,0,0,1,1,1,0,3,4,0,2,9,960
140,"P.P. DADANPUR AHIRAULI",425,397,0,822,314,278,0,592,592,0,7,61,272,1,169,4,1,7,1,1,2,1,3,2,4,6,3,10,37,592
141,"P.P. TILAI BUJURG",319,252,0,571,189,192,0,381,381,0,12,4,7,3,329,6,1,13,0,0,3,1,0,0,0,0,2,0,0,381
142,"P.P. ARIYASO",812,677,0,1489,498,412,0,910,910,0,29,276,96,9,448,6,6,32,0,2,0,1,0,1,1,3,0,0,0,910
143,"P.P. LAKHIPUR",838,628,0,1466,472,418,0,890,890,0,15,364,54,14,386,7,4,17,1,3,4,4,1,3,2,5,3,0,3,890
144,"P.P. HAJIPUR NORTH  PART",544,429,0,973,303,258,0,561,561,0,7,113,63,9,328,2,0,7,2,2,3,3,0,2,1,8,1,7,3,561
145,"P.P. HAJIPUR SOUTH PART",540,461,0,1001,308,303,0,611,611,0,18,327,72,6,141,3,5,10,0,1,3,5,0,0,7,2,2,7,2,611
146,"J.HIGH SCHOOL PIDWAL EAST PART",801,608,0,1409,436,421,0,857,857,0,16,44,39,15,545,17,4,139,4,3,11,3,2,6,3,3,3,0,0,857
147,"J.HIGH SCHOOL PIDWAL WEST PART",823,664,0,1487,440,400,0,840,840,0,6,432,127,32,201,5,0,3,1,0,1,2,3,3,3,8,1,6,6,840
148,"BALIKA J. HIGH SCHOOL GOGAWAL RAMPUR",747,595,0,1342,357,390,0,747,747,0,13,347,38,7,227,5,2,99,0,0,0,1,2,1,1,2,0,0,2,747
149,"P.P. KALYANPUR",775,657,3,1435,420,391,0,811,811,0,10,284,48,39,385,6,0,12,2,2,0,1,2,4,3,5,3,5,0,811
150,"PP BANIYAPAR",352,290,0,642,202,165,0,367,367,0,1,35,203,18,80,1,2,13,0,1,2,0,2,2,0,3,1,1,2,367
151,"P.P. MANIKPUR JAMIN HAJIPUR NORTH PART",660,538,0,1198,339,337,0,676,676,0,20,203,37,5,366,8,3,17,0,1,2,0,0,0,0,2,4,7,1,676
152,"P.P. MANIK PUR JAMIN HAJIPUR",635,499,0,1134,317,327,0,644,644,0,33,236,34,12,275,12,2,15,5,0,3,2,0,1,3,8,0,2,1,644
153,"P.P. BALUA",171,144,1,316,115,118,0,233,233,0,1,0,4,0,221,1,1,0,0,0,1,0,0,1,0,3,0,0,0,233
154,"P.P. KHUNSHEKHPUR",335,292,0,627,195,218,0,413,413,0,13,11,11,2,342,9,1,10,1,2,2,4,0,1,0,4,0,0,0,413
155,"P.P. LARPUR",540,483,0,1023,299,335,0,634,634,0,4,27,98,46,407,4,1,33,0,0,3,0,0,2,0,7,2,0,0,634
156,"P.P. ITAURA DORIPUR EAST PART",699,550,1,1250,385,331,0,716,716,0,13,22,91,7,496,13,0,19,0,2,7,27,1,3,2,9,3,0,1,716
157,"P.P .ITAURA DORIPUR WEST PART",514,390,4,908,265,214,0,479,479,0,7,138,82,10,166,2,1,59,2,1,0,1,1,1,0,5,0,3,0,479
158,"P.P. HARDAS PUR WEST",361,324,0,685,166,186,0,352,352,0,3,38,122,3,47,0,0,128,1,0,0,0,1,1,0,3,0,1,4,352
159,"KANYA PP TADIYAV EAST",836,657,0,1493,449,378,0,827,827,0,13,202,69,28,447,12,3,27,2,3,3,1,1,4,1,8,1,1,1,827
160,"P.P. MAURBOJH WEST",790,661,0,1451,406,369,0,775,775,0,9,141,49,22,516,9,0,8,0,3,3,3,1,0,1,7,1,0,2,775
161,"P.P. MAURBOJH EAST",287,253,1,541,176,175,0,351,351,0,5,196,7,8,115,0,0,11,0,0,0,0,1,2,1,3,1,1,0,351
