"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - JAGDAMBIKA PAL","2 - MATA PRASAD PANDEY","3 - MUHAMMAD MUQEEM","4 - VASUNDHARA","5 - HAMIDULLAH CHAUDHARY","6 - DR. MOHD. AYUB","7 - ARJUN SINGH","8 - PINGLE PRASAD","9 - BADRE ALAM","10 - MANOJ KUMAR","11 - RAVI KUMAR","12 - DR. SATYENDRA  NATH PANDEY","13 - SANTRAM","14 - KALI RAM","15 - DIWAKAR PRASAD","16 - MUKESH NARAYAN SHUKLA URF GYANESH NARAYAN SHUKLA","17 - RAM UGRAH","18 - None of the Above","Total Votes Secured"
1,RAKSEL,275,253,0,528,170,126,0,296,293,0,89,39,72,57,5,14,1,2,1,0,2,2,1,2,2,2,2,3,296
2,RAKSEL,378,301,0,679,116,102,0,218,215,0,7,29,45,8,1,115,3,0,0,0,2,3,0,1,0,1,0,3,218
3,BHARWALIA,204,182,0,386,112,132,0,244,241,0,100,12,55,22,2,22,0,3,0,1,1,7,2,1,1,4,8,3,244
4,"MAHDEVA KURMI",718,576,0,1294,338,326,0,664,661,0,73,146,84,13,3,300,5,5,0,4,1,9,0,7,3,8,0,3,664
5,"BURDPUR NO1",198,161,0,359,109,104,0,213,212,0,88,33,20,4,1,54,2,2,0,1,0,0,0,0,0,0,7,1,213
6,"BURDPUR NO1",371,297,0,668,165,138,0,303,303,0,34,74,40,14,2,137,0,0,0,0,0,1,0,0,0,1,0,0,303
7,"BURDPUR NO1",682,552,0,1234,322,284,0,606,606,0,63,4,111,5,19,370,4,3,9,1,2,6,0,1,0,2,6,0,606
8,"BURDPUR NO1",664,528,0,1192,257,262,0,519,517,0,41,56,29,2,4,363,0,2,3,0,1,4,3,0,3,4,2,2,519
9,"BURDPUR NO1",715,579,1,1295,297,310,0,607,607,0,57,10,73,13,3,434,1,1,0,1,2,4,0,3,2,3,0,0,607
10,"BURDPUR NO1",419,357,0,776,217,242,0,459,457,0,73,6,108,3,6,229,3,3,3,0,1,4,1,5,1,10,1,2,459
11,"BURDPUR NO1",685,593,0,1278,429,386,0,815,814,0,355,61,86,4,5,284,1,2,2,1,2,5,0,0,0,0,6,1,815
12,"BURDPUR NO6",573,464,0,1037,314,233,0,547,542,0,227,37,76,37,4,85,4,5,2,5,3,18,6,7,7,9,10,5,547
13,"BURDPUR NO 6",632,505,0,1137,209,383,0,592,588,0,84,59,192,65,4,163,4,1,1,1,3,1,1,3,1,3,2,4,592
14,"BURDPUR NO 6",627,566,0,1193,316,327,0,643,638,0,318,41,76,42,4,91,4,12,2,2,1,15,1,4,2,7,16,5,643
15,"BURDPUR NO 6",564,426,0,990,263,181,0,444,442,0,144,28,99,52,3,85,1,1,2,1,2,13,1,4,1,3,2,2,444
16,"BURDPUR NO 2",568,440,0,1008,300,267,0,567,561,0,138,99,43,16,6,230,0,2,0,2,4,10,1,1,1,3,5,6,567
17,"BURDPUR NO 2",468,396,0,864,241,234,0,475,472,0,174,162,38,23,3,60,1,0,1,0,0,2,0,0,0,7,1,3,475
18,"BURDPUR NO 2",556,471,0,1027,286,262,0,548,547,0,192,53,78,55,2,108,1,4,1,4,2,15,5,9,6,11,1,1,548
19,"BURDPUR NO 2",335,287,0,622,172,182,0,354,352,0,55,118,19,23,2,91,3,2,0,1,2,8,3,3,2,13,7,2,354
20,"BURDPUR NO 3",497,474,0,971,210,212,0,422,422,0,137,47,111,84,1,19,2,2,0,1,1,4,2,1,2,4,4,0,422
21,"BURDPUR NO 3",431,379,0,810,214,174,0,388,386,0,207,79,40,17,0,15,0,0,1,1,0,8,3,3,3,6,3,2,388
22,"BURDPUR NO 3",709,611,0,1320,348,336,0,684,677,0,196,195,85,20,8,123,1,6,6,2,3,14,3,2,1,8,4,7,684
23,"BURDPUR NO 4",542,425,0,967,289,240,0,529,528,0,129,39,131,13,5,181,3,5,1,1,1,6,3,4,0,4,2,1,529
24,"BURDPUR NO 4",504,405,0,909,232,198,0,430,420,0,109,51,76,40,9,77,7,5,6,3,4,30,0,0,0,0,3,10,430
25,"BURDPUR NO 4",439,410,0,849,229,221,0,450,448,0,250,25,93,21,2,24,2,1,2,2,0,10,2,3,1,6,4,2,450
26,"BURDPUR NO 5",618,484,0,1102,260,223,0,483,477,0,99,132,82,53,5,80,2,4,1,3,1,4,1,3,0,7,0,6,483
27,"BURDPUR NO 5",566,460,0,1026,276,235,0,511,501,0,218,43,108,28,3,30,2,5,1,1,4,12,3,4,6,18,15,10,511
28,"BURDPUR NO 5",469,385,0,854,261,234,0,495,492,0,173,117,77,41,2,41,1,1,2,1,2,4,4,4,2,12,8,3,495
29,BHAGWANPUR,635,502,0,1137,293,306,0,599,597,0,123,20,167,32,5,185,11,5,4,0,3,15,3,6,2,11,5,2,599
