"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAPIL MUNI KARWARIYA","2 - KESHAV PRASAD MAURYA","3 - MOHD. KAIF","4 - DHARAM RAJ SINGH PATEL","5 - GYANENDRA KUMAR SRIVASTAVA GYANI BHAI","6 - GANESHJI TRIPATHI","7 - DAKKHINI PRASAD KUSHWAHA","8 - NATHU RAM BOUDHA","9 - PARVEZ ASHFAQUE SIDDIQUI","10 - SHIMALA SHRI","11 - SURENDRA KUMAR MISHRA","12 - ZIAOUL HAQUE","13 - DR. NEERAJ","14 - MITHILESH KUMAR","15 - MILAN MUKERJEE","16 - None of the Above","Total Votes Secured"
31,"JU0 HIGH SCHOOL TARDHEEH",769,615,0,1384,445,339,0,784,401,0,170,463,9,117,2,4,1,1,1,3,2,2,1,3,4,1,784
32,"ZILA PARISAD PRIMARY PATHSHALA TARDHEEH PASCHIMEE BHAG",763,586,0,1349,372,262,0,634,634,0,147,324,11,111,5,2,3,1,3,1,2,4,1,5,4,10,634
33,"ZILA PARISAD PRIMARY PATHSHALA TARDHEEH PURVI BHAG",437,348,0,785,206,165,0,371,250,0,188,130,4,37,0,2,1,0,1,0,0,0,1,0,3,4,371
34,"ZILA PARISAD PRIMARY PATHSHALA DEVAPUR",458,374,0,832,330,244,0,574,148,0,128,250,13,154,2,1,0,1,2,2,1,1,1,4,4,10,574
35,"ZILA PARISAD PRIMARY PATHSHALA DAYALPUR PURVI BHAG",771,561,0,1332,528,283,0,811,811,0,140,413,18,221,3,1,2,1,1,1,1,1,2,1,2,3,811
36,"JU0 HIGH SCHOOL GAUHANI",416,390,0,806,230,233,0,463,63,0,186,138,11,102,2,1,0,1,1,1,0,3,2,1,6,8,463
37,"ZILA PARISAD PRIMARY PATHSHALA ATANPUR",439,355,0,794,247,231,0,478,19,0,148,258,4,57,0,0,0,1,0,2,1,0,0,1,4,2,478
38,"ZILA PARISAD PRIMARY PATHSHALA ATANPUR PASCHIMEE BHAG",773,644,0,1417,404,383,0,787,87,0,283,243,6,235,4,1,1,0,0,3,1,3,1,2,2,2,787
39,"PRIMARY PATHSHALA SHAIFKHANPUR MAYCHAK SALIK",812,562,3,1377,502,354,0,856,304,0,69,540,21,181,5,2,1,3,1,1,2,4,4,6,11,5,856
40,"ZILA PARISAD DHOKRI PURVI BHAG",915,747,0,1662,551,457,0,1008,153,0,211,643,15,107,2,0,0,2,0,1,2,4,3,2,8,8,1008
41,"JUNIOR HIGH SCHOOL KUTUBPATTI URF YAHIYAPUR",707,525,0,1232,439,297,0,736,36,0,87,502,19,98,0,4,0,0,5,0,0,1,4,4,4,8,736
42,"PRATHMIK PATHSHALA TISAURA",687,571,0,1258,492,328,0,820,820,0,104,542,16,137,1,0,1,0,2,1,1,0,2,1,6,6,820
43,"VIJAY LAXMI INTER COLLEGE PHOOLPUR DAKSHINI MADHYA EAST",729,571,0,1300,353,278,0,631,32,0,29,34,70,488,0,1,1,1,1,3,0,0,0,1,1,1,631
44,"VIJAY LAXMI INTER COLLEGE PHOOLPUR DAKSHINI MADHYA EAST-1",876,649,0,1525,380,311,0,691,503,0,82,99,130,367,1,0,2,0,0,3,0,1,2,2,0,2,691
45,"VIJAY LAXMI INTER COLLEGE PHOOLPUR DAKSHINI MADHYA EAST-2",741,617,1,1359,435,356,0,791,628,0,12,342,41,372,2,1,0,0,1,7,1,1,0,2,4,5,791
46,"VIJAY LAXMI INTER COLLEGE PHOOLPUR DAKSHINI BHAWAN SOUTH MADHYA",816,645,1,1462,401,330,0,731,61,0,26,335,29,328,0,1,0,0,0,2,3,2,0,1,2,2,731
47,"VIJAY LAXMI INTER COLLEGE PHOOLPUR WEST",597,515,0,1112,273,216,0,489,487,0,95,124,45,208,2,1,1,0,0,2,0,3,1,1,3,3,489
48,"PRATHMIK PATHSHALA SARAY LILI URF KHOJAPUR",781,629,1,1411,508,430,0,938,708,0,211,549,8,137,5,1,1,1,1,1,2,3,3,2,5,8,938
49,"GOMTI INTER COLLEGE PHOOLPUR NORTH",912,762,0,1674,560,424,0,984,807,0,22,654,31,251,7,0,0,1,0,5,0,0,1,4,4,4,984
50,"GOMTI INTER COLLEGE PHOOLPUR SOUTH",546,405,0,951,245,209,0,454,220,0,85,71,35,248,5,0,0,0,0,0,1,1,2,2,0,4,454
51,"GOMTI INTER COLLEGE PHOOLPUR NORTH MADHYA",757,572,0,1329,452,276,0,728,699,0,98,490,26,94,1,2,0,2,1,3,0,3,1,3,2,2,728
52,"GOMTI INTER COLLEGE PHOOLPUR WEST",534,427,0,961,281,232,0,513,181,0,8,115,26,358,3,0,0,1,1,0,0,0,0,0,1,0,513
53,"ANIVARYA JUNIOR BE. PRATHMIK PATHSHALA PHOOLPUR EAST",592,504,0,1096,281,232,0,513,18,0,8,115,26,358,3,0,0,1,1,0,0,0,0,0,1,0,513
54,"ANIVARYA JUNIOR BE. PRATHMIK PATHSHALA PHOOLPUR WEST",265,219,0,484,174,152,0,326,64,0,8,89,1,224,2,0,0,0,0,0,0,0,0,1,0,1,326
