"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KUNWAR RATANJIT PRATAP NARAIN SINGH","2 - RAJESH PANDEY URF GUDDU","3 - RADHE SHYAM SINGH","4 - DR. SANGAM MISHRA","5 - AKHAND","6 - AMEERUDDIN","7 - ARVIND","8 - KASHEEM ALI","9 - GOBARDHAN PRASAD","10 - JAHID","11 - BACHCHOOLAAL","12 - MARKANDE","13 - RAMDHANEE","14 - RAMPRATAP","15 - None of the Above","Total Votes Secured"
1,"PRIMARY SCHOOL SHIVPUR",613,467,0,1080,357,308,0,665,660,0,144,341,27,128,2,4,2,3,1,2,1,1,1,1,7,665
2,"PRIMARY SCHOOL BASANTPUR",559,436,0,995,254,238,0,492,492,0,183,203,16,35,5,7,4,1,1,3,4,2,4,7,17,492
3,"PRIMARY SCHOOL HARIHARPUR",824,706,0,1530,350,309,0,659,602,0,140,230,24,169,3,9,6,3,4,7,7,11,8,8,30,659
4,"PRIMARY SCHOOL BHAISAHA ROOM N0  _1",757,575,0,1332,467,338,0,805,805,0,121,315,145,199,2,4,5,1,1,2,0,2,3,2,3,805
5,"PRIMARY SCHOOL BHAISAHA  ROOM N0_2",548,385,0,933,320,274,0,594,594,0,68,302,13,169,6,6,6,2,2,3,3,1,3,3,7,594
6,"PRIMARY SCHOOL HANUMANGANJ ROOM NO_1",311,247,1,559,166,145,0,311,311,0,43,148,28,67,0,2,4,2,1,0,3,3,0,2,8,311
7,"PRIMARY SCHOOL HANUMANGANJ ROOM NO_2",577,468,0,1045,377,315,0,692,692,0,175,292,46,113,7,5,9,4,4,3,7,7,2,9,9,692
8,"PRIMARY SCHOOL HANUMANGANJ ROOM NO_3",306,240,0,546,219,147,0,366,366,0,107,65,138,38,2,0,2,1,1,0,1,0,4,2,5,366
9,"PRIMARY SCHOOL MAHDEVA ROOM N0_1",290,223,0,513,126,115,0,241,241,0,78,109,11,23,0,4,2,5,1,1,2,2,1,1,1,241
10,"PRIMARY SCHOOL MAHDEVA ROOM N0_2",287,221,0,508,151,141,0,292,292,0,100,109,19,36,0,7,4,1,1,5,1,0,3,1,5,292
11,"PRIMARY SCHOOL BUDHVA JANGAL",277,223,0,500,180,157,0,337,297,0,197,19,25,76,5,3,2,0,1,0,0,1,1,1,6,337
12,"PRIMARY SCHOOL GAINAHE JANGLE  ROOM N0_1",873,630,0,1503,483,340,0,823,823,0,530,145,34,79,3,3,4,6,2,5,0,5,0,2,5,823
13,"PRIMARY SCHOOL GAINAHE JANGLE  ROOM N0_2",536,419,0,955,282,233,0,515,515,0,249,37,9,188,0,0,5,1,2,1,1,1,7,4,10,515
14,"PRIMARY SCHOOL MADANPUR SUKRAULI  ROOM N0_1",399,308,0,707,276,232,0,508,508,0,163,59,13,248,2,2,2,1,1,1,2,1,3,2,8,508
15,"PRIMARY SCHOOL MADANPUR SUKRAULI  ROOM N0_2",615,530,0,1145,364,347,0,711,711,0,342,125,39,176,1,3,3,1,3,2,0,4,2,3,7,711
16,"PRIMARY SCHOOL MADANPUR SUKRAULI  ROOM N0_3",326,269,0,595,201,169,0,370,370,0,223,75,53,9,0,1,0,1,0,0,2,2,1,1,2,370
17,"PRIMARY SCHOOL BHEDIHARI NO -1",360,286,0,646,150,177,0,327,327,0,45,169,23,67,3,5,4,3,0,1,0,2,3,0,2,327
18,"PRIMARY SCHOOL SISAI DADHICH",196,192,0,388,130,123,0,253,234,0,61,76,8,103,0,1,1,0,0,0,1,0,0,0,2,253
19,"PRIMARY SCHOOL SISVA GOPAL ROOM N0 _1",637,511,0,1148,449,303,0,752,752,0,259,309,28,115,1,1,6,2,2,6,2,1,5,3,12,752
20,"PRIMARY SCHOOL SISVA GOPAL ROOM N0 _2",349,328,0,677,200,303,0,503,503,0,136,263,16,72,4,0,1,1,0,3,0,2,1,2,2,503
21,"PRIMARY SCHOOL SISVA GOPAL ROOM N0 _3",494,414,0,908,328,300,0,628,628,0,147,350,12,84,0,1,2,6,0,2,0,4,3,8,9,628
22,"PRIMARY SCHOOL PAKADI BRIJLAL N0-2",863,666,0,1529,610,410,0,1020,1020,0,295,465,89,130,6,5,9,1,0,1,1,2,6,5,5,1020
23,"PRIMARY SCHOOL SARANG CHHAPRA",471,372,0,843,290,262,0,552,552,0,171,259,18,74,3,2,0,13,0,1,1,1,3,1,5,552
24,"PRIMARY SCHOOL CHAMARDIHA",472,406,0,878,281,271,0,552,552,0,77,146,30,272,0,1,10,1,1,1,0,4,4,1,4,552
