"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ARVIND KUMAR JAISWAL","2 - MULAYAM SINGH YADAV","3 - RAMAKANT YADAV","4 - SHAH ALAM ALIAS GUDDU JAMALI","5 - M. AMIR RASHADI","6 - KIRAN SHARAMA","7 - DURG VIJAY YADAV","8 - PRAKASH CHANDRA","9 - MADAN","10 - RAJDHARI RAJBHAR","11 - RAJESH YADAV","12 - SANJAY KUMAR CHATURVEDI","13 - SANTOSH KUMAR GAUTAM","14 - PRAMOD SINGH","15 - RAM SINGH CHAUHAN","16 - SHAMSHAD AHMAD","17 - SUGRIV CHAUHAN","18 - SANJAY CHAUHAN","19 - None of the Above","Total Votes Secured"
30,"P. V. PAKKHOPUR",478,339,0,817,242,216,0,458,458,0,7,251,85,96,9,1,0,1,2,0,0,1,1,0,1,0,0,0,3,458
31,"J. H. S. RAUNAPAR (R.N.-1)",560,419,0,979,306,275,0,581,575,0,9,185,249,106,20,0,1,2,3,0,0,0,1,0,1,0,0,3,1,581
32,"J. H. S. RAUNAPAR (R.N.-2)",477,402,0,879,208,210,0,418,418,0,7,102,118,169,4,0,0,0,4,0,2,3,2,2,1,2,1,0,1,418
33,"J. H. S. RAUNAPAR (R.N.-3)",884,652,0,1536,430,393,0,823,820,0,11,153,278,306,5,3,2,0,11,3,0,3,0,4,0,12,4,11,17,823
34,"P. V. TURKAULI",659,564,0,1223,330,332,0,662,602,0,27,250,119,198,42,3,1,1,3,2,0,2,3,3,0,4,2,1,1,662
35,"J. H. S. JAMUVARI",847,660,0,1507,392,356,0,748,748,0,17,121,244,311,11,1,3,4,7,1,2,2,2,4,3,7,1,1,6,748
36,"P. M. V. ARAJI DEVARA NANIJOR (KOLVA)",282,218,0,500,74,53,0,127,127,0,0,22,49,53,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,127
37,"P. V. ARAJI DEVARA NANIJOR (R.N.-1)",721,564,0,1285,361,347,0,708,707,0,16,91,238,336,4,2,0,0,7,1,0,1,0,1,0,2,1,3,5,708
38,"P. V. ARAJI DEVARA NANIJOR (R.N.-2)",892,701,1,1594,452,477,0,929,405,0,15,262,179,415,6,2,3,6,10,3,6,5,3,2,3,5,0,3,1,929
39,"S. S. S. ARAJAI DEVARA NANIJOR",509,378,0,887,280,223,0,503,503,0,10,278,117,84,1,1,1,2,2,1,0,1,1,3,0,0,0,0,1,503
40,"P. M. V. AJGRA MAGARVI BELLHAIYA",707,549,0,1256,392,346,0,738,733,0,12,398,147,124,3,0,0,4,3,2,0,0,4,4,6,14,2,8,7,738
41,"P. V. NAUBRAR KARAKHIYA KITA AVVAL (R.N.-1)",466,331,0,797,229,223,0,452,451,0,12,260,134,18,5,0,0,2,4,0,0,2,2,3,0,3,1,4,2,452
42,"P. V. NAUBRAR KARAKHIYA KITA AVVAL (R.N.-2)",534,393,0,927,276,247,0,523,523,0,5,122,89,269,1,1,0,0,2,0,1,3,2,2,1,4,3,6,12,523
43,"P.V . DEVARA ISMILEPUR (R.N.-1)",549,417,0,966,323,260,0,583,582,0,9,348,94,86,1,2,1,0,5,0,0,2,6,5,6,8,1,5,4,583
44,"P. V. DEVARA ISMILEPUR (R.N.-2)",619,443,0,1062,362,282,0,644,644,0,10,342,105,146,3,1,0,1,1,0,3,5,6,9,4,2,2,2,2,644
45,"KANIYA J. H. S. ARAJI AJGRA MAGARVI (R.N.-1)",560,445,0,1005,335,291,0,626,626,0,11,290,149,116,2,0,1,1,5,0,5,5,6,7,8,7,3,5,5,626
46,"KANIYA J. H. S. ARAJI AJGRA MAGARVI (R.N.-2)",608,444,0,1052,358,284,0,642,642,0,8,260,239,95,2,2,3,0,2,0,1,3,4,4,6,2,4,4,3,642
47,"J. H. S. DEVARA ACHAL SINGH",430,308,0,738,285,192,0,477,477,0,7,359,82,16,3,0,0,1,1,0,0,0,1,1,0,1,0,2,3,477
48,"P. V. DEVARA ACHAL SINGH",180,130,0,310,134,86,0,220,220,0,4,139,9,62,1,0,1,0,0,0,0,2,0,0,0,0,0,1,1,220
49,"P. V. AJGRA MASHARKI (R.N.-1)",450,375,0,825,210,206,0,416,396,0,18,67,186,115,8,0,0,1,4,1,2,1,1,2,2,0,1,2,5,416
50,"P. V. AJGRA MASHARKI (R.N.-2)",468,360,0,828,231,220,0,451,449,0,8,32,293,66,20,0,1,1,1,1,0,7,1,3,3,4,2,1,7,451
51,"P. V. DEVARA KHASRAJA BAGHAVA (R.N.-1)",643,483,0,1126,344,313,0,657,657,0,21,329,143,104,9,1,2,5,8,0,2,6,7,3,5,3,2,1,6,657
52,"P. V. DEVARA KHASRAJA BAGHAVA (R.N.-2)",545,363,0,908,292,162,0,454,454,0,11,277,100,43,3,1,2,0,4,0,2,2,1,0,1,2,1,2,2,454
53,"P. V. DEVARA KHASRAJA (R.N.-1)",511,413,0,924,324,264,0,588,588,0,12,387,104,33,4,1,6,2,5,2,0,1,6,2,2,8,3,5,5,588
54,"P. V. DEVARA KHASRAJA (R.N.-2)",699,501,0,1200,339,220,0,559,555,0,14,334,123,23,4,1,2,4,8,2,3,5,2,5,3,9,2,6,9,559
55,"P. V. SONOURA",511,412,0,923,268,258,0,526,410,0,5,80,171,208,3,1,2,4,23,0,3,8,4,3,1,3,0,0,7,526
56,"P. V. BANKA",660,502,0,1162,374,322,0,696,490,0,17,247,304,96,2,1,0,3,7,2,0,3,2,5,1,0,3,2,1,696
57,"P. V. P. V. CHAKKI HAJIPUR",522,399,0,921,329,271,0,600,599,0,12,501,52,27,1,0,0,0,0,1,2,1,1,1,1,0,0,0,0,600
58,"P. V. HAJIPUR (R.N.-1)",618,530,0,1148,314,276,0,590,585,0,33,112,177,241,4,1,1,1,5,0,2,1,3,0,2,1,0,1,5,590
59,"P. V. HAJIPUR (R.N.-2)",556,450,0,1006,270,279,0,549,508,0,9,180,283,20,3,2,0,4,5,2,3,8,5,4,1,8,2,2,8,549
60,"J. H. S. HAJIPUR",448,365,0,813,211,182,0,393,393,0,11,126,186,47,0,1,0,2,7,0,4,0,2,0,3,2,0,2,0,393
