"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KARTAR SINGH BHADANA","2 - KANWAR HASAN","3 - NAHID HASAN","4 - HUKUM SINGH","5 - DIVAKAR KASHYAP","6 - PARDIP","7 - RAMKARAN KASHYAP","8 - SUNITA","9 - SUNIL KUMAR KASANA","10 - KRISHANPAL","11 - MOHANLAL","12 - None of the Above","Total Votes Secured"
36,"PRATHMIK VIDHALAY DHOLAPADA",856,703,0,1559,761,556,0,1317,1317,0,10,164,1069,63,1,1,0,0,1,4,1,3,1317
37,"PRATHMIK VIDHALAY CHAKWALI",531,437,0,968,443,367,0,810,760,0,7,74,69,642,6,0,1,0,1,2,1,7,810
38,"PURV MADHYMIK VIDHALAY UTTARI BHAG ALIPURA",454,354,0,808,416,320,0,736,736,0,0,5,15,710,4,0,0,1,0,0,1,0,736
39,"PRATHMIK VIDHALAY PURVI BHAG RANDHEDI",538,398,0,936,479,342,0,821,123,0,22,5,5,783,1,0,0,1,2,1,0,1,821
40,"PRATHMIK VIDHALAY PASCHIMI BHAG RANDHEDI",420,330,0,750,369,260,0,629,23,0,35,65,16,503,5,0,2,2,0,1,0,0,629
41,"PURV MADHAYMIK  VIDHALAY UTTARI BHAG BEERAKHERI",733,545,0,1278,563,425,0,988,974,0,4,101,64,798,11,2,1,0,2,0,1,4,988
42,"PRATHMIK VIDHALAY BANDA HERI",716,544,0,1260,640,465,0,1105,1020,0,30,7,31,1015,10,0,1,3,2,3,1,2,1105
43,"PRATHMIK VIDHALAY UTTARI BHAG GHATAMPUR",417,401,0,818,354,340,0,694,694,0,0,231,428,13,1,0,2,0,0,13,3,3,694
44,"PRATHMIK VIDHALAY MADHYA  BHAG GHATAMPUR",416,407,0,823,326,322,0,648,606,0,2,131,495,6,0,0,0,1,0,8,1,4,648
45,"PRATHMIK VIDHALAY DAKSHINI  BHAG GHATAMPUR",600,565,0,1165,496,427,0,923,423,0,5,98,731,61,3,1,1,1,5,5,4,8,923
46,"PRATHMIK VIDHALAY NAWAJPUR",444,373,0,817,419,339,0,758,758,0,51,199,474,28,3,0,1,0,1,1,0,0,758
47,"PRATHMIK VIDHALAY CHADAV",493,444,0,937,398,357,0,755,755,0,5,262,36,433,7,2,3,2,0,3,2,0,755
48,"PRATHMIK VIDHALAY AMBEHETI",799,651,0,1450,645,503,0,1148,12,0,5,156,123,841,8,1,1,0,4,4,3,2,1148
49,"PRATHMIK VIDHALAY NUMBER-1 KAMRA NUMBER-1 NAGAR PANCHAYAT AMBEHETA",483,367,0,850,342,276,0,618,587,0,7,31,519,57,0,0,0,0,0,3,0,1,618
50,"PRATHMIK VIDHALAY NUMBER-1 KAMRA NUMBER-2 NAGAR PANCHAYAT AMBEHETA",640,553,0,1193,420,344,0,764,764,0,5,159,440,135,0,0,2,3,3,9,2,6,764
51,"PRATHMIK VIDHALAY NUMBER-1  KAMRA NUMBER 3 NAGAR PANCHAYAT AMBEHETA",610,574,0,1184,441,387,0,828,732,0,8,172,640,1,0,0,0,1,0,0,0,6,828
52,"GANDHI HAYER SECANDRI SCHOOL UTTARI BHAG-2 NAGAR PANCHAYAT AMBEHETA",478,442,0,920,305,284,0,589,556,0,8,30,385,155,5,0,1,0,2,0,0,3,589
53,"GANDHI HAYER SECANDRI SCHOOL UTTARI PASCHIMI BHAG NAGAR PANCHAYAT AMBEHETA",676,648,0,1324,444,424,0,868,868,0,7,103,476,251,3,2,2,1,1,5,3,14,868
54,"GANDHI HAYER SECANDRI SCHOOL MADHYA  BHAG NAGAR PANCHAYAT AMBEHETA",808,739,0,1547,557,530,0,1087,1083,0,8,327,314,414,6,3,0,0,4,4,0,7,1087
55,"GANDHI HAYER SECANDRI SCHOOL DAKSHIN BHAG NAGAR PANCHAYAT AMBEHETA",830,665,0,1495,679,326,0,1005,1005,0,8,245,626,112,0,0,2,1,3,3,1,4,1005
56,"PRATHMIK VIDHALAY NUMBER-2 KAMRA NUMBER-1 NAGAR PANCHAYAT AMBEHETA",828,680,0,1508,597,489,0,1086,1084,0,4,325,490,231,8,0,3,1,7,1,4,12,1086
57,"PRATHMIK VIDHALAY TIDAULI PRATHMIK VIDHALAY TIDAULI",786,658,0,1444,613,518,0,1131,1131,0,27,220,684,175,6,2,0,2,0,8,3,4,1131
58,"PRATHMIK VIDHALAY RAMSAHAYWALA",303,259,0,562,272,223,0,495,495,0,0,8,8,472,2,1,0,1,0,0,1,2,495
59,"PRATHMIK VIDHALAY BAIKHERI",335,281,0,616,296,233,0,529,524,0,3,181,248,92,0,0,1,0,2,1,0,1,529
60,"PRATHMIK VIDHALAY BALALKHERI",259,229,0,488,221,195,0,416,364,0,0,198,6,208,1,0,0,1,0,1,1,0,416
61,"PURV MADHAYMIK  VIDHALAY PURVI BHAG DHAYKI",721,617,0,1338,565,494,0,1059,922,0,12,14,60,937,10,1,0,3,10,2,2,8,1059
62,"PURV MADHAYMIK  VIDHALAY MADHYA  BHAG DHAYKI",610,481,0,1091,451,344,0,795,150,0,11,68,33,655,9,1,0,1,9,3,3,2,795
63,"PRATHMIK VIDHALAY HABEEBPUR",249,228,0,477,210,201,0,411,411,0,0,264,11,127,4,0,0,0,1,0,2,2,411
64,"PRATHMIK VIDHALAY KANDOL",435,378,0,813,398,318,0,716,714,0,15,12,25,644,10,1,1,1,3,1,0,3,716
65,"PRATHMIK VIDHALAY MURADKHERI",283,239,0,522,275,222,0,497,2,0,0,114,3,373,2,0,1,0,0,2,0,2,497
66,"PRATHMIK VIDHALAY UTTARI BHAG DAIDPURA",709,582,0,1291,562,451,0,1013,187,0,2,355,104,531,7,0,2,2,4,3,2,1,1013
67,"PRATHMIK VIDHALAY DAULATPUR URF CHAPERCHIDI",636,502,0,1138,492,376,0,868,827,0,8,156,13,665,8,1,1,0,9,1,2,4,868
68,"PURV MADHAYMIK VIDHALAY UTTERI BHAG RANIYALA DAYALPUR",553,450,0,1003,456,368,0,824,711,0,0,256,34,521,4,1,0,0,1,3,1,3,824
69,"PURV MADHAYMIK VIDHALAY DAKSHINI  BHAG RANIYALA DAYALPUR",702,590,0,1292,549,445,0,994,994,0,4,465,25,478,6,1,2,0,2,5,4,2,994
70,"PRATHMIK VIDHALAY PURVI BHAG KAMRA NUMBER-1 ISLAMNAGAR",715,608,0,1323,512,420,0,932,871,0,3,321,180,411,5,3,1,1,0,3,2,2,932
71,"PRATHMIK VIDHALAY MADYA BHAG KAMRA NUMBER-2 ISLAMNAGAR",657,533,0,1190,450,376,0,826,794,0,2,363,173,272,2,2,0,0,1,2,2,7,826
72,"CHOUDHARY NERANJAN SINGH INTER COLLEGE KAMRA NUMBER-1 ISLAMNAGAR",594,487,0,1081,409,376,0,785,762,0,0,381,5,391,3,0,2,0,0,0,0,3,785
73,"CHOUDHARY NERANJAN SINGH INTER COLLEGE KAMRA NUMBER-5 ISLAMNAGAR",326,257,0,583,224,190,0,414,393,0,27,309,55,11,1,3,2,0,3,1,1,1,414
74,"CHOUDHARY NERANJAN SINGH INTER COLLEGE KAMRA NUMBER-2 ISLAMNAGAR",876,679,0,1555,603,504,0,1107,1107,0,12,380,326,372,6,2,1,1,0,3,2,2,1107
75,"CHOUDHARY NERANJAN SINGH INTER COLLEGE KAMRA NUMBER-3 ISLAMNAGAR",698,555,0,1253,451,375,0,826,728,0,3,415,248,149,3,3,1,0,2,1,1,0,826
76,"CHOUDHARY NERANJAN SINGH INTER COLLEGE KAMRA NUMBER-4 ISLAMNAGAR",582,495,0,1077,437,374,0,811,765,0,12,519,25,244,5,1,0,0,0,2,0,3,811
77,"PRATHMIK VIDHALAY KAMRA NUMBER-1 NAI NAGLI URF MAZRI",742,575,0,1317,550,419,0,969,746,0,4,429,515,3,1,0,0,0,1,6,4,6,969
78,"PRATHMIK VIDHALAY KAMRA NUMBER-2 NAI NAGLI URF MAZRI",862,635,0,1497,656,544,0,1200,400,0,10,174,968,40,2,1,1,0,1,3,0,0,1200
79,"PRATHMIK VIDHALAY BAMBYALA",807,663,0,1470,536,424,0,960,959,0,16,325,150,439,9,3,1,0,4,2,4,7,960
80,"PRATHMIK VIDHALAY SINGHKHERA",690,568,0,1258,574,436,0,1010,1010,0,57,124,122,685,13,2,0,1,0,3,2,1,1010
