"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AQEEL UR REHMAN KHAN","2 - ACHARYA PRAMOD KRISHNAM","3 - DR SHAFIQ UR RAHMAN BARQ","4 - SATYAPAL SINGH","5 - MOHD ASLAM URF PASHA","6 - DHARAM YADAV","7 - DR. RASHID ALI","8 - REKHA DEVI YADAV","9 - AQEEL AHMAD","10 - NANAD RAM KHADAGVANSHI","11 - NUTAN VIJAY ADVOCATE","12 - FIROZ HAIDER","13 - RASHID","14 - None of the Above","Total Votes Secured"
1,"PRI. SCHOOL SHEHVAJPUR KALA, ROOM 1",550,353,0,903,360,167,0,527,527,0,83,87,310,30,2,0,7,1,0,2,1,1,1,2,527
2,"PRI. SCHOOL SHEHVAJPUR KALA, ROOM 2",510,347,0,857,334,163,0,497,497,0,146,56,248,7,0,1,34,1,2,0,0,1,1,0,497
3,"PRI. SCHOOL SHEHVAJPUR KALA, ROOM 3",984,597,0,1581,612,263,0,875,875,0,200,69,550,11,0,2,31,1,2,1,3,2,0,3,875
4,"SAMIDAIK VIKAS KENDRA SHEHBAJPUR KALA",448,295,0,743,296,184,0,480,480,0,32,12,281,136,0,1,9,0,0,1,2,2,2,2,480
5,"PRI. SCHOOL GAMMANPURA MAJRA SHEHBAJPURKALA",425,337,2,764,298,226,0,524,524,0,244,2,131,123,2,0,1,2,1,2,6,4,3,3,524
6,"PRI. SCHOOL MANSOORPUR MAFI, ROOM 1",747,477,0,1224,543,328,0,871,871,0,118,17,699,11,1,20,0,2,1,0,0,0,0,2,871
7,"PRI. SCHOOL MANSOORPUR MAFI, ROOM 2",752,469,0,1221,458,290,0,748,748,0,42,3,640,40,0,9,2,1,0,1,2,2,2,4,748
8,"PRI. SCHOOL RAJAPUR GALAVPUR",716,617,1,1334,439,330,0,769,769,0,429,18,284,18,3,1,3,0,2,1,3,3,0,4,769
9,"PRI. SCHOOL AHRAULA MAFI",530,433,0,963,285,232,0,517,517,0,46,7,324,129,0,0,0,0,0,4,0,0,2,5,517
10,"PRI. SCHOOL PAINTIYA MAFI",518,449,0,967,382,327,0,709,709,0,216,7,123,349,1,2,7,0,0,0,0,1,0,3,709
11,"PRI. SCHOOL SHAHPUR DASAR, ROOM 1",472,343,0,815,347,212,0,559,559,0,17,11,473,34,1,4,3,0,0,2,6,3,3,2,559
12,"PRI. SCHOOL SHAHPUR DASAR, ROOM 2",685,547,0,1232,490,349,0,839,839,0,424,6,365,22,2,8,3,0,1,1,0,1,0,6,839
13,"PRI. SCHOOL MAALPUR URF MALHUPURA",1039,691,0,1730,667,369,0,1036,1036,0,397,12,384,222,2,1,4,1,3,1,1,3,1,4,1036
14,"PRI. SCHOOL NARETA MOHMMADPUR",816,541,1,1358,546,349,0,895,895,0,201,8,436,228,3,2,2,0,3,1,1,5,1,4,895
15,"PRI. SCHOOL MUBARAKPUR BAND, ROOM 1",862,586,0,1448,507,278,0,785,785,0,407,20,301,18,2,2,12,1,3,2,0,4,2,11,785
16,"PRI. SCHOOL MUBARAKPUR BAND, ROOM 2",730,521,0,1251,498,314,0,812,812,0,345,9,423,21,1,1,3,0,1,1,1,1,2,3,812
17,"PRI. SCHOOL ITALA MAFI, ROOM 1",499,441,0,940,454,358,0,812,812,0,74,2,706,28,0,0,1,0,0,0,0,0,1,0,812
18,"PRI. SCHOOL ITALAMAFI, ROOM 2",463,365,0,828,426,252,0,678,678,0,24,2,625,25,0,0,1,0,0,0,1,0,0,0,678
19,"PRI. SCHOOL MADHAN",677,577,0,1254,429,369,0,798,798,0,536,5,166,74,3,0,1,1,0,1,1,1,1,8,798
20,"PRI. SCHOOL MADHAN",586,508,0,1094,356,286,0,642,642,0,241,17,341,37,0,0,1,0,0,0,1,1,1,2,642
21,"PRI. SCHOOL MEERPUR SAKIPUR",598,441,0,1039,370,304,0,674,674,0,54,1,341,242,4,0,10,2,2,0,4,4,5,5,674
22,"PRI. SCHOOL KHASPUR",763,679,0,1442,518,467,0,985,985,0,180,3,252,504,5,21,3,3,3,1,7,1,0,2,985
23,"PRI. SCHOOL TANDA, ROOM 1",569,469,0,1038,418,375,0,793,793,0,562,4,143,64,1,0,1,1,3,1,0,4,2,7,793
24,"PRI. SCHOOL TANDA, ROOM 2",499,404,0,903,355,275,0,630,630,0,54,5,309,224,4,22,0,0,0,3,5,1,0,3,630
25,"PRI. SCHOOL DUGAVAR",672,546,0,1218,485,400,0,885,885,0,451,2,6,399,4,1,1,2,3,2,4,1,2,7,885
26,"PRI. SCHOOL MATAWALI PATTI JAGGU",637,568,0,1205,460,367,0,827,827,0,182,2,285,336,4,2,2,2,1,0,2,0,3,6,827
27,"PRI. SCHOOL HEERAPUR",567,481,0,1048,371,323,0,694,694,0,120,1,427,134,1,1,1,2,1,1,3,2,0,0,694
28,"PRI. SCHOOL MATAWALI PATTI PARASRAM",426,344,0,770,310,204,0,514,514,0,161,1,132,212,0,1,0,0,0,0,3,1,0,3,514
29,"PRI. SCHOOL MALAKPUR NAVADA",556,453,0,1009,429,360,0,789,789,0,240,8,175,342,3,1,0,0,1,0,9,2,1,7,789
30,"PRI. SCHOOL BHAVALPUR WANSLI",679,631,0,1310,531,442,0,973,973,0,216,22,72,631,2,8,1,1,2,0,5,2,4,7,973
31,"PRI. SCHOOL MACHARIYA",587,521,0,1108,451,407,0,858,858,0,443,3,60,333,0,1,0,1,3,2,7,0,1,4,858
32,"PRI. SCHOOL AKHBANDPUR KAFURPUR",737,552,0,1289,590,441,0,1031,1031,0,315,15,40,621,3,3,0,4,2,1,9,5,4,9,1031
33,"PRI. SCHOOL DHAMPUR",288,265,0,553,232,198,0,430,430,0,57,12,12,339,1,0,1,3,0,2,3,0,0,0,430
34,"PRI. SCHOOL NEKPUR MUKHTYARPUR",705,603,0,1308,534,375,0,909,909,0,184,15,40,646,4,5,0,1,3,3,4,1,0,3,909
35,"PRI. SCHOOL SAIMLI",397,379,0,776,358,312,0,670,670,0,292,1,3,367,1,1,0,1,0,1,0,0,0,3,670
36,"PRI. SCHOOL RAJIKHERA",569,479,0,1048,424,314,0,738,738,0,113,51,60,504,2,3,0,0,0,0,2,1,1,1,738
37,"PRI. SCHOOL KHERPUR",614,474,0,1088,443,335,0,778,778,0,212,10,472,62,2,1,0,1,1,1,6,5,2,3,778
38,"PRI. SCHOOL PAILI",586,480,0,1066,364,330,0,694,694,0,67,16,36,559,2,2,0,1,1,1,6,1,1,1,694
39,"PRI. SCHOOL HAJIPUR URF HAIDARPUR",416,354,0,770,334,293,0,627,627,0,57,4,189,356,3,0,0,0,1,4,2,6,1,4,627
40,"PRI. SCHOOL DHARANGPUR, ROOM 1",456,388,0,844,361,309,0,670,670,0,203,5,183,245,2,1,1,4,1,1,10,4,3,7,670
41,"PRI. SCHOOL DHARANGPUR, ROOM 2",473,372,0,845,332,258,0,590,590,0,88,3,457,31,2,1,1,1,0,1,0,2,1,2,590
42,"PRI. SCHOOL DHANSOORPUR, ROOM 1",598,537,0,1135,457,395,0,852,852,0,11,10,802,17,1,0,1,0,0,1,3,4,0,2,852
43,"PRI. SCHOOL DHANSOORPUR, ROOM 2",494,444,0,938,399,360,0,759,759,0,130,13,235,360,3,1,0,4,1,3,5,4,0,0,759
44,"PRI. SCHOOL MATHNA",686,556,0,1242,484,366,0,850,850,0,48,22,88,663,5,7,2,1,1,2,4,1,0,6,850
45,"PRI. SCHOOL NAGLIYA KAMGAR",242,209,0,451,215,180,0,395,395,0,377,3,1,7,0,2,0,0,0,1,1,0,0,3,395
46,"PRI. SCHOOL HASANGAR URF SIKANDARPUR",494,407,0,901,372,308,0,680,680,0,227,6,11,431,2,0,0,1,0,0,1,1,0,0,680
47,"PRI. SCHOOL CHITAWALI",388,330,0,718,253,217,0,470,470,0,20,1,42,391,2,5,0,0,0,1,4,2,0,2,470
48,"PRI. SCHOOL GYANPUR SISONA, ROOM 1",836,704,0,1540,593,491,0,1084,1084,0,281,9,268,471,10,6,1,3,1,3,9,4,5,13,1084
49,"PRI. SCHOOL GYANPUR SISONA, ROOM 2",465,415,0,880,297,248,0,545,545,0,82,6,258,167,0,2,0,3,0,1,9,6,3,8,545
50,"PRI. SCHOOL GYANPUR SISONA, ROOM 3",246,213,0,459,208,153,0,361,361,0,205,3,17,130,0,1,0,0,1,0,0,1,1,2,361
51,"JUNIOR HIGH SCHOOL MANDLI SAMASPUR, ROOM 1",756,576,1,1333,553,486,0,1039,1039,0,290,11,699,25,1,2,1,0,1,2,4,0,1,2,1039
52,"JUNIOR HIGH SCHOOL MANDLI SAMASPUR, ROOM 2",622,556,0,1178,500,422,0,922,922,0,578,7,226,97,1,1,0,1,3,0,4,1,1,2,922
53,"PRI. SCHOOL MIRJAPUR KAKROWA",832,654,0,1486,604,456,0,1060,1060,0,207,37,660,150,0,2,0,0,1,0,0,1,1,1,1060
54,"PRI. SCHOOL RAMPUR JAT",367,287,0,654,306,250,0,556,556,0,149,2,1,396,2,1,1,1,0,0,0,1,1,1,556
55,"PRI. SCHOOL MOJJAMPUR URF VISHANPUR",475,363,0,838,443,258,0,701,701,0,9,9,30,641,3,1,0,2,1,1,0,2,1,1,701
56,"PRI. SCHOOL DEHPA",754,589,0,1343,598,447,0,1045,1045,0,221,7,6,715,1,75,0,3,3,0,9,0,3,2,1045
57,"PRI. SCHOOL FATEHPUR DEV",613,518,0,1131,434,390,0,824,824,0,51,7,734,19,0,2,1,1,0,0,1,5,0,3,824
58,"PRI. SCHOOL MANNIKHERA, ROOM 1",652,585,0,1237,513,437,0,950,950,0,209,14,35,640,7,8,1,3,5,3,8,7,4,6,950
59,"PRI. SCHOOL MANNIKHERA, ROOM 2",621,558,0,1179,486,427,0,913,913,0,9,3,318,533,5,1,0,3,4,4,17,9,4,3,913
60,"PRI. SCHOOL SHARIFPUR",532,463,0,995,392,323,0,715,715,0,60,42,47,538,4,7,0,2,3,3,5,1,0,3,715
61,"PRI. SCHOOL BHIDWADA",386,325,0,711,372,304,0,676,676,1,13,0,22,622,1,7,0,1,0,2,4,1,3,0,676
62,"PRI. SCHOOL GULALPUR",189,161,0,350,166,143,0,309,309,0,179,7,2,117,0,2,0,0,1,0,0,0,0,1,309
63,"PRI. SCHOOL CHOUKUNI",542,440,0,982,368,266,0,634,634,0,11,14,7,530,6,31,1,2,3,8,11,8,1,1,634
64,"PRI. SCHOOL DARIYAPUR RAJDEV",257,236,0,493,257,185,0,442,442,0,121,2,3,296,1,2,0,0,4,1,6,2,2,2,442
65,"PRI. SCHOOL SIRSANAL",490,402,0,892,440,330,0,770,770,0,173,44,6,511,5,12,0,2,3,1,8,2,2,1,770
66,"PRI. SCHOOL BHADRAULA",588,476,1,1065,438,339,0,777,777,0,217,7,40,467,6,24,0,1,0,1,6,4,2,2,777
67,"PRI. SCHOOL BEHRAMPUR BUJURG",306,262,0,568,259,220,0,479,479,0,183,15,4,268,0,6,0,0,0,0,0,1,0,2,479
68,"PRI. SCHOOL SALKHNA",361,281,0,642,273,183,0,456,456,0,97,19,3,305,1,16,0,2,1,1,4,1,4,2,456
69,"PRI. SCHOOL FATEHPUR BHAU",299,252,0,551,148,176,0,324,324,0,11,3,180,123,1,0,0,0,0,0,2,0,2,2,324
70,"PRI. SCHOOL BHARTAL SIRSI, ROOM 1",914,678,0,1592,539,449,0,988,988,0,575,3,215,129,3,40,2,0,0,3,2,3,0,13,988
71,"PRI. SCHOOL BHARTAL SIRSI, ROOM 2",497,342,0,839,379,271,0,650,650,0,74,5,103,433,3,21,2,1,0,1,4,1,0,2,650
72,"PRI. SCHOOL BHARTAL SIRSI, ROOM 3",449,359,0,808,320,255,0,575,575,0,64,4,249,224,0,24,1,1,0,1,4,1,1,1,575
73,"PRI. SCHOOL BADATAJUDDIN",316,324,0,640,289,295,0,584,584,0,4,0,105,462,2,5,0,1,0,1,2,1,1,0,584
74,"PRI. SCHOOL BHATAWALI",380,312,0,692,259,236,0,495,495,0,197,4,89,178,0,21,2,0,0,0,0,2,1,1,495
75,"PRI. SCHOOL KAHGGUPURA ROOM 1",541,467,0,1008,494,404,0,898,898,0,839,5,16,9,0,11,0,3,4,0,1,0,0,10,898
76,"PRI. SCHOOL KHAGGUPURA ROOM 2",593,443,0,1036,484,340,0,824,824,0,237,6,277,272,2,1,2,0,1,4,5,5,5,7,824
77,"PRI. SCHOOL JALAB SARAY",572,481,0,1053,440,317,0,757,757,0,227,1,482,32,1,0,2,0,1,3,1,3,1,3,757
78,"PRI. SCHOOL LAKHAURI JALALPUR",895,779,0,1674,611,472,0,1083,1083,0,240,22,179,578,5,28,0,2,2,5,7,4,11,0,1083
79,"PRI. SCHOOL MOHD.PUR KUNJ",355,316,0,671,238,284,0,522,522,0,80,8,5,399,2,15,0,0,1,0,6,3,1,2,522
80,"JUNIOR HIGH SCHOOL ISAPUR SUNWARI, ROOM 1",678,561,0,1239,489,400,0,889,889,0,148,7,204,476,3,5,0,5,2,4,20,7,1,7,889
81,"JUNIOR HIGH SCHOOL ISAPUR SUNWARI, ROOM 2",482,422,0,904,302,260,0,562,562,0,448,5,10,81,0,8,0,3,0,3,0,0,0,4,562
82,"PRI. SCHOOL TATARPUR SANDAL",560,469,0,1029,443,359,0,802,802,0,221,7,90,444,4,10,3,0,5,0,8,3,0,7,802
83,"PRI. SCHOOL SUJATPUR",406,369,0,775,299,278,0,577,577,0,48,3,16,492,1,3,0,0,2,0,7,3,1,1,577
84,"PRI. SCHOOL MEHRANA",257,228,0,485,227,197,0,424,424,0,101,0,39,248,2,25,1,0,3,1,0,1,1,2,424
85,"JUNIOR HIGH SCHOOL CHAMROUWA, ROOM 1",466,433,0,899,324,300,0,624,624,0,190,12,158,222,0,28,0,0,2,1,3,0,1,7,624
86,"JUNIOR HIGH SCHOOL CHAMROUWA, ROOM 2",329,248,0,577,214,166,0,380,380,0,42,8,199,106,2,7,0,2,1,2,3,3,3,2,380
87,"PRI. SCHOOL MOHD.PUR BHANDA",367,316,0,683,326,267,0,593,593,0,12,14,17,511,3,20,0,1,2,2,4,4,2,1,593
88,"PRI. SCHOOL KESHOPUR BHANDI",573,494,1,1068,388,337,0,725,725,0,168,1,40,467,8,8,1,2,0,6,13,4,1,6,725
89,"PRI. SCHOOL GOHAT",627,467,0,1094,487,270,0,757,757,0,82,7,444,71,1,150,0,0,0,0,1,0,0,1,757
90,"PRI. SCHOOL KARANPUR KAYASTH",220,193,1,414,183,165,0,348,348,0,207,21,109,1,0,5,1,0,1,0,0,2,0,1,348
91,"PRI. SCHOOL SAKARPUR TARANPUR",418,337,0,755,324,204,0,528,528,0,4,12,156,217,3,119,2,3,3,1,2,2,2,2,528
92,"PRI. SCHOOL LAKHANPUR",407,381,0,788,316,265,0,581,581,0,6,1,10,493,5,29,0,2,6,5,16,1,7,0,581
93,"PRI. SCHOOL SARANGPUR ROOM 1",505,397,0,902,351,234,0,585,585,0,130,6,114,19,2,304,0,0,2,1,2,0,1,4,585
94,"PRI. SCHOOL SARANGPUR ROOM 2",520,393,0,913,324,219,0,543,543,0,15,5,149,10,6,334,13,3,2,0,0,1,1,4,543
95,"JUNIOR HIGH SCHOOL BHAMOURI PATTI",690,518,0,1208,489,305,0,794,794,0,10,2,437,57,3,249,6,9,2,0,4,8,1,6,794
96,"JUNIOR HIGH SCHOOL SODHAN MOHD.PUR, ROOM 1",529,433,0,962,356,218,0,574,574,0,17,1,197,203,2,139,4,0,0,2,4,0,0,5,574
97,"JUNIOR HIGH SCHOOL SODHAN MOHD.PUR, ROOM 2",533,406,0,939,369,210,0,579,579,0,15,5,227,111,4,191,1,3,0,2,5,0,4,11,579
98,"JUNIOR HIGH SCHOOL SODHAN MOHD.PUR, ROOM 3",800,676,0,1476,453,319,0,772,772,0,242,9,166,192,6,110,3,1,3,2,6,6,6,20,772
99,"PRI. SCHOOL MILAK SODHAN MOHD.PUR",534,431,0,965,353,306,0,659,659,0,630,3,1,8,1,3,0,0,1,0,0,0,2,10,659
100,"PRI. SCHOOL SINHAWALI, ROOM 1",807,627,0,1434,631,381,0,1012,1012,0,60,8,349,208,14,334,6,2,5,3,13,3,2,5,1012
101,"PRI. SCHOOL SINHAWALI, ROOM 2",166,125,0,291,141,79,0,220,220,0,1,0,44,13,1,151,4,0,2,1,1,0,0,2,220
102,"PRI. SCHOOL CHACHU NAGAL",820,666,0,1486,627,441,0,1068,1068,0,146,15,78,498,13,283,5,1,5,4,10,4,0,6,1068
