"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AKSHAY YADAV","2 - ATUL CHATURVEDI","3 - TH. VISHWADEEP SINGH","4 - PROF. S.P. SINGH BAGHEL","5 - UPENDRA SINGH","6 - KHAJAN SINGH","7 - JAY PRAKASH","8 - RAKESH YADAV","9 - RAJENDRA PRASAD","10 - RAHAT AFROZ","11 - LAXMI","12 - LAKSHMI  NARAYAN","13 - SHAMSHER KHA","14 - MIRJA MUKARRAM BAIG","15 - RAJVEER","16 - None of the Above","Total Votes Secured"
1,"P.V. GOTHUA",711,585,0,1296,436,366,0,802,750,0,255,1,242,285,2,1,0,0,0,0,1,0,6,4,0,5,802
2,"P.V. MILIK",304,257,0,561,228,184,0,412,345,0,54,0,89,265,0,0,0,0,0,0,1,0,1,1,1,0,412
3,"P.V. SHEKHUPUR RAJMAL",457,373,0,830,305,218,0,523,523,0,297,5,42,176,0,0,0,0,0,0,0,0,1,0,1,1,523
4,"J.H.S. SHEKHUPUR RAJMAL",539,447,0,986,394,314,0,708,696,0,466,4,89,140,0,1,0,1,0,0,0,0,0,0,1,6,708
5,"P.V. NAGALA DHANWANT",302,246,0,548,218,174,0,392,364,0,3,2,255,124,3,0,0,1,1,0,0,0,2,0,0,1,392
6,"P.V. DHAKAI",654,515,0,1169,537,393,0,930,930,0,713,6,39,167,0,0,0,0,0,0,0,1,2,0,2,0,930
7,"P.V. JARARA",373,343,0,716,272,239,0,511,11,0,136,1,179,181,1,0,3,0,1,0,0,0,4,0,3,2,511
8,"PANCHAYATGHAR GADH",403,340,0,743,260,239,0,499,98,0,90,0,318,85,2,0,0,0,0,1,0,0,0,1,2,0,499
9,"P.V. MOHABALLI",483,369,0,852,311,237,0,548,548,0,155,0,179,209,1,0,0,3,0,0,0,0,0,0,0,1,548
10,"J.H.S. MANDANPUR",432,357,0,789,254,216,0,470,111,0,121,1,48,293,2,1,1,0,0,0,0,0,1,0,0,2,470
