"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - NAGMA","2 - RAJENDRA AGARWAL","3 - MOHD.SHAHID AKHLAK","4 - SHAHID MANZOOR","5 - MOHD.USMAN GHAZI","6 - MOHD. SAJID SAIFI","7 - DR. EX. MAJ HIMANSHU SINGH","8 - ATUL KHODAWAL","9 - ANIL","10 - APHAJAL","11 - IQRA CHOUDHARY","12 - MUKESH KUMAR","13 - SUNIL DUTT","14 - None of the Above","Total Votes Secured"
1,"PRATHMIK VIDHALYA ROOM NO1 SHAZADPUR",405,330,0,735,269,212,0,481,170,0,11,311,29,121,0,0,2,1,0,0,0,2,3,1,481
2,"PRATHMIK VIDHALYA ROOM NO 1 NAVIPUR AMANATNAGAR",437,345,0,782,388,212,0,600,600,0,0,392,143,56,1,0,1,1,0,0,0,2,2,2,600
3,"UCHCHA PRATHMIK VIDYALYA ROOM NO 1 VIDHYALYA LALPUR",490,361,0,851,325,242,0,567,555,0,10,403,3,145,1,0,0,0,0,0,1,0,3,1,567
4,"MAULANA A.K. AZAD JR. HIGH SCHOOL  ROOM NO 1 NANGLA SAHU",626,518,0,1144,510,316,0,826,826,0,0,18,229,556,6,0,1,0,1,0,3,3,2,7,826
5,"MAULANA A.K. AZAD JR. HIGH SCHOOL  ROOM NO 3 NANGLA SAHU",405,340,0,745,335,237,0,572,567,0,5,159,169,229,3,0,0,0,0,3,1,0,3,0,572
6,"MAULANA A.K. AZAD JR. HIGH SCHOOL  ROOM NO 2 NANGLA SAHU",842,676,0,1518,639,440,0,1079,1079,0,6,114,188,744,8,0,3,1,0,2,6,2,1,4,1079
7,"UCHCHA PRATHMIK VIDYALYA ROOM NO 1 JAI",744,505,0,1249,502,304,0,806,791,0,7,53,446,288,1,0,0,1,0,0,4,3,1,2,806
8,"UCHCHA PRATHMIK VIDYALYA ROOM NO 2JAI",710,486,0,1196,478,294,0,772,772,0,8,33,330,387,3,2,0,0,0,0,0,4,0,5,772
9,"PRATHMIK VIDHALYA  JAI",577,422,0,999,408,280,0,688,688,0,13,16,330,318,3,0,2,1,0,0,0,2,0,3,688
10,"CO-OPERATIVE SOC. OFFICER;LUTFULLAHPUR;BAXAR",489,389,0,878,320,275,0,595,126,0,10,258,158,162,2,1,0,0,0,0,1,0,2,1,595
11,"SHREE SANSKRIT INTER COLLEGE ROOM NO 6  AITMADPUR",409,328,0,737,306,248,0,554,547,0,16,383,48,100,0,0,1,0,0,0,0,1,2,3,554
12,"SHREE SANSKRIT INTER COLLEGE ROOM NO 7 AITMADPUR",441,375,0,816,315,264,0,579,567,0,12,365,143,51,0,1,0,1,0,0,0,3,0,3,579
13,"PRATHMIK VIDHALYA ROOM NO 1 MUBARIKPUR",478,343,0,821,379,246,0,625,620,0,12,425,93,86,0,0,3,0,0,0,0,2,1,3,625
14,"PRATHMIK VIDHALYA ROOM NO 1 MUBARIKPUR",476,345,0,821,414,265,0,679,237,0,11,602,20,42,0,0,0,0,0,1,0,0,1,2,679
15,"PRATHMIK VIDHALYA ROOM NO 1 SHAHKULIPUR",583,474,0,1057,406,315,0,721,11,0,8,509,57,139,0,0,0,1,0,2,0,1,2,2,721
16,"PRATHMIK VIDHALYA ROOM NO 1 MAANPUR",849,662,0,1511,627,505,0,1132,45,0,5,826,224,51,1,0,4,0,0,0,0,2,14,5,1132
17,"ISLAMIA SCHOOL ROOM NO- 1 KAYASTH BADDHA",789,634,0,1423,559,438,0,997,947,0,3,0,210,776,2,0,1,1,1,0,1,1,1,0,997
18,"ISLAMIA SCHOOL ROOM NO- 2 KAYASTH BADDHA",678,532,0,1210,480,280,0,760,700,0,10,74,96,570,1,0,3,0,0,0,1,1,1,3,760
19,"PRATHMIK VIDHALYA ROOM NO-1  KAYASTH BADDHA",552,381,1,934,419,252,0,671,671,0,8,1,121,534,2,0,1,1,0,1,1,0,0,1,671
20,"PRATHMIK VIDHALYA ROOM NO-2  KAYASTH BADDHA",682,523,0,1205,478,338,0,816,815,0,5,6,253,532,2,0,0,0,1,0,1,3,4,9,816
21,"PRATHMIK VIDHALYA ROOM NO-1 AMHERA SANI",249,230,1,480,168,172,0,340,340,0,8,275,40,11,0,0,1,0,0,0,0,1,1,3,340
22,"PRATHMIK VIDHALYA ROOM NO-1  KHANDRAWALI",475,405,0,880,285,265,0,550,5,0,3,117,95,324,3,0,4,0,0,0,1,0,1,2,550
23,"PRATHMIK VIDHALYA ROOM NO-2  KHANDRAWALI",521,406,0,927,314,240,0,554,542,0,2,98,152,298,0,0,1,0,0,1,0,0,1,1,554
24,"UCHCHA PRATHMIK VIDYALYA ROOM NO 2 AMARPUR MAJRA KHANDRAWALI",405,364,0,769,300,275,0,575,560,0,31,480,23,33,0,0,1,0,0,0,0,0,4,3,575
25,"UCHCHA PRATHMIK VIDYALYA ROOM NO 2 AMARPUR MAZRA KHANDRAWALI",385,316,1,702,244,306,0,550,521,0,5,255,234,51,0,0,1,0,0,0,2,1,0,1,550
26,"UCHCHA PRATHMIK VIDYALYA ROOM NO 1 BHATIPURA MANAKPUR",734,520,0,1254,473,319,0,792,686,0,10,142,616,13,0,0,0,0,2,1,0,1,4,3,792
27,"UCHCHA PRATHMIK VIDYALYA ROOM NO 2  BHATIPURA MANAKPUR",654,481,0,1135,433,295,0,728,725,0,11,485,158,57,2,1,3,1,1,0,2,1,3,3,728
28,"KANYA PRATHMIK VIDHALYA  ROOM NO 1 BHATIPURA MANAKPUR",543,440,0,983,349,295,0,644,630,0,24,455,69,86,1,0,3,0,0,0,0,0,3,3,644
29,"KANYA PRATHMIK VIDHALYA  ROOM NO 2 BHATIPURA MANAKPUR",435,349,0,784,300,225,0,525,390,0,4,427,18,69,0,1,0,2,1,0,1,1,1,0,525
30,"PRATHMIK VIDHALYA  ROOM NO 1 MEGHRAJPUR",707,528,0,1235,473,373,0,846,620,0,7,345,292,191,1,0,0,1,1,0,1,2,4,1,846
31,"PRATHMIK VIDHALYA NO.2  ROOM NO 1 RACHOTI DERIYO",366,276,0,642,259,185,0,444,440,0,0,411,5,26,0,1,0,0,0,0,0,0,0,1,444
32,"PRATHMIK VIDHALYA NO.2  ROOM NO 2 RACHOTI DERIYO",404,243,0,647,313,161,0,474,474,0,3,423,4,39,0,0,0,0,0,0,1,2,2,0,474
33,"JAWAHARLAL NEHRU SMARAK INTER COLLEGER  ROOM NO 1 RACHOTI",681,465,0,1146,425,322,0,747,743,0,6,44,645,33,0,1,2,0,1,0,0,4,1,10,747
34,"JAWAHARLAL NEHRU SMARAK INTER COLLEGER  ROOM NO 2 RACHOTI",623,431,0,1054,368,287,0,655,655,0,5,319,145,169,0,1,2,1,1,0,1,0,6,5,655
35,"JAWAHARLAL NEHRU SMARAK INTER COLLEGER  ROOM NO 3 RACHOTI",691,482,0,1173,446,302,0,748,745,0,3,319,174,241,2,0,4,1,0,0,1,1,0,2,748
36,"PRATHMIK VIDYALYA ROOM NO  1 MOH. MURADPUR URF SHAULDA",655,485,0,1140,426,326,0,752,748,0,21,673,17,27,0,0,11,0,0,1,0,0,2,0,752
37,"PRATHMIK VIDYALYA  ROOM NO 2 MOH. MURADPUR URF SHAULDA",699,514,0,1213,481,303,0,784,151,0,10,447,260,49,0,2,3,1,1,0,2,1,2,6,784
38,"DHARAMSHALA ROOM NO 1 HASANPUR KALAN",453,380,0,833,373,273,0,646,632,0,7,350,228,52,1,1,1,0,0,0,0,3,0,3,646
39,"DHARAMSHALA ROOM NO 2 HASANPUR KALAN",369,314,0,683,246,221,0,467,467,0,7,397,25,36,1,0,0,0,0,0,0,0,1,0,467
40,"PRATHMIK VIDHALYA ROOM NO 1 HASANPUR KALAN",390,337,0,727,291,240,0,531,526,0,13,395,68,44,0,0,2,0,0,1,1,2,4,1,531
41,"PRATHMIK VIDHALYA ROOM NO 2 HASANPUR KALAN",443,355,0,798,305,229,0,534,531,0,7,264,170,85,0,0,0,0,1,0,0,2,2,3,534
42,"PRATHMIK VIDHALYA ROOM NO 1 NANGLI ABDULLA",280,251,0,531,195,176,0,371,370,0,8,263,89,8,0,0,1,0,0,0,0,0,2,0,371
43,"PRATHMIK VIDHALYA NO 2  ROOM NO 2 NANGLI ABDULLA",367,324,0,691,280,221,0,501,496,0,18,398,56,21,1,0,0,0,0,2,0,1,1,3,501
44,"PRATHMIK VIDHALYA ROOM NO 1 MACHHRA",745,557,0,1302,461,343,0,804,589,0,11,390,362,26,1,0,2,0,0,2,1,3,0,6,804
45,"PRATHMIK VIDHALYA ROOM NO 2 MACHHRA",609,517,0,1126,414,283,0,697,687,0,16,626,30,20,0,1,2,0,0,0,0,0,1,1,697
46,"PRATHMIK VIDHALYA ROOM NO 1 KASAMPUR",525,412,0,937,348,283,0,631,631,0,17,583,14,7,0,1,0,0,0,0,0,1,7,1,631
47,"PRATHMIK VIDHALYA ROOM NO  2 KASAMPUR",425,326,0,751,310,242,0,552,549,0,11,408,110,3,0,2,0,1,1,0,0,4,8,4,552
48,"PRATHMIK VIDHALYA ROOM 1  GOVINDPURI",513,399,0,912,363,289,0,652,649,0,12,336,247,54,0,0,0,0,0,1,0,1,1,0,652
49,"PRATHMIK VIDHALYA ROOM NO 2 GOVINDPURI",511,405,0,916,339,276,0,615,30,0,4,422,60,119,0,0,0,0,0,0,0,0,5,5,615
50,"AADARSH JANTA INTER COLLEGE ROOM NO 1 PASWARA",478,376,0,854,348,234,0,582,120,0,17,481,6,70,0,0,0,0,0,1,0,0,5,2,582
51,"AADARSH JANTA INTER COLLEGE ROOM NO 2 PASWARA",455,367,0,822,326,251,0,577,575,0,4,442,45,65,1,0,0,2,0,0,3,2,4,9,577
52,"AADARSH JANTA INTER COLLEGE ROOM NO 3 PASWARA",365,285,0,650,275,224,0,499,499,0,14,273,139,59,0,0,0,0,0,1,0,3,4,6,499
53,"PRATHMIK VIDHALYA ROOM NO 1 SINGHPUR",420,342,0,762,327,240,0,567,567,0,7,507,26,27,0,0,0,0,0,0,0,0,0,0,567
54,"PRATHMIK VIDHALYA ROOM NO 1 DABTHALA",455,389,0,844,350,259,0,609,609,0,23,499,12,68,0,0,2,1,0,0,1,1,2,0,609
55,"PRATHMIK VIDHALYA ROOM NO 2 DABTHALA",473,385,1,859,339,250,0,589,52,0,5,326,124,125,1,0,0,0,0,0,1,4,1,2,589
56,"PRATHMIK VIDHALYA  ROOM NO 1 ALIPUR AALAMPUR",742,587,0,1329,425,342,0,767,711,0,10,428,4,322,0,0,0,0,0,1,0,0,1,1,767
57,"PRATHMIK VIDHALYA ROOM NO 1 BEHLOLPUR",497,398,0,895,353,249,0,602,602,0,17,324,133,119,1,1,0,0,1,0,1,0,1,4,602
58,"PRATHMIK VIDHALYA ROOM NO 2 BEHLOLPUR",339,288,0,627,241,207,0,448,399,0,2,341,45,46,0,1,2,1,1,0,1,2,0,6,448
59,"PRATHMIK VIDHALYAROOM NO 1 MAWI",563,461,0,1024,403,292,0,695,695,0,4,503,81,100,0,0,2,2,0,0,0,1,2,0,695
60,"PRATHMIK VIDHALYA ROOM NO 1  KAILEE RAMPUR",803,710,0,1513,667,515,0,1182,1175,0,7,639,179,335,1,1,0,2,0,0,3,4,6,5,1182
