"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AJAY RAI","2 - KAILASH CHAURASIYA","3 - NARENDRA MODI","4 - VIJAY PRAKASH JAISAWAL","5 - HIRALAL YADAV","6 - A.K. AGGARWAL","7 - ABHIMANYU SINGH PATEL","8 - ARVIND KEJRIWAL","9 - ARUN","10 - INDIRA TIWARI","11 - USMAN","12 - OM GURU CHARAN DAS ALIAS VIMAL KUMAR SINGH","13 - DEVI PRASAD NAND","14 - NARENDRA NATH DUBEY ADIG","15 - BACHCHELAL","16 - RAJESH BHARTI SURYA","17 - RAM LAKHAN GUPTA","18 - LALLAN","19 - SHIVHARI AGARWAL","20 - SANTOSH KUMAR","21 - HARI LAL","22 - HEMANT KUMAR YADAV","23 - AHMED SOHEL SIDDIQUI","24 - IFTEKHAR KURAISHI","25 - GHANSHYAM","26 - JOHNSON THOMAS","27 - NARENDRA BAHADUR SINGH","28 - PRAKASH PRASAD","29 - PRABHAT KUMAR","30 - PRAMOD KUMAR","31 - BACHCHAN PRASAD YADAV","32 - BASEER KINNAR","33 - MANOJ KUMAR CHAUBEY","34 - MAHENDRA MISHRA","35 - RAVINDRA KUMAR","36 - RAJIV KUMAR MISHRA","37 - RAJENDRA PRASAD GARIB DAS","38 - RAMPYARE SINGH","39 - SHIV KUMAR SHAH","40 - SATISH SHANKAR JAYASWAL","41 - SATYAPRAKASH SRIVASTAVA","42 - SARVESH KUMAR GUPTA","43 - None of the Above","Total Votes Secured"
1,"ABISHEK VIDYAYTAN C.15/345 SHIVNATH PRASAD ARYA KA BAGICHA LALLAPURA R.NO.1",645,481,0,1126,439,306,0,745,720,0,32,11,497,7,1,0,0,173,3,2,3,1,1,2,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,4,745
2,"ABISHEK VIDYAYTAN C.15/345 SHIVNATH PRASAD ARYA KA BAGICHA LALLAPURA R.NO.2",451,300,0,751,286,169,0,455,446,0,40,5,102,2,0,0,0,292,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,455
3,"ABISHEK VIDYAYTAN C.15/345 SHIVNATH PRASAD ARYA KA BAGICHA LALLAPURA R.NO.3",549,442,0,991,298,206,0,504,483,0,42,6,133,1,0,0,2,293,0,1,2,1,0,0,0,1,1,1,1,0,1,0,2,0,1,2,0,0,0,0,1,3,1,0,1,0,0,0,0,1,1,5,0,504
4,"ABISHEK VIDYAYTAN C.15/345 SHIVNATH PRASAD ARYA KA BAGICHA LALLAPURA R.NO.4",652,493,0,1145,409,273,0,682,632,0,60,2,138,1,0,0,2,453,5,1,2,0,0,2,0,3,0,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,682
5,"ABISHEK VIDYAYTAN C.15/345 SHIVNATH PRASAD ARYA KA BAGICHA LALLAPURA R.NO.5",654,437,1,1092,442,249,0,691,640,0,34,10,292,6,0,0,0,327,2,0,0,0,0,0,3,1,0,0,0,0,0,5,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,1,691
6,"ABISHEK VIDYAYTAN C.15/345 SHIVNATH PRASAD ARYA KA BAGICHA LALLAPURA R.NO.6",586,440,0,1026,372,256,0,628,456,0,141,90,100,1,0,0,0,272,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,5,0,0,0,1,0,0,0,1,0,0,0,2,2,0,0,0,0,6,2,628
7,"ABISHEK VIDYAYTAN C.15/345 SHIVNATH PRASAD ARYA KA BAGICHA LALLAPURA R.NO.7",888,631,0,1519,387,217,0,604,527,0,101,13,150,0,0,0,0,316,6,0,2,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,604
8,"K.P.V. NAGAR NIGAM MAULAWI BAG SONIYA R.NO.1",776,561,0,1337,483,284,0,767,763,0,58,9,145,16,3,1,5,510,3,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,1,0,1,1,0,2,0,1,0,0,0,1,0,0,0,0,1,4,0,767
9,"K.P.V. NAGAR NIGAM MAULAWI BAG SONIYA R.NO.2",885,656,0,1541,558,285,0,843,758,0,152,8,40,2,3,1,4,582,10,0,0,0,1,0,1,7,3,1,1,1,0,0,1,4,1,0,3,2,0,1,2,4,0,0,0,0,0,0,0,1,0,7,0,843
10,"MARKAJI MADARSA ANSARUL ULUM KAJIPURA R.NO.1",778,632,0,1410,425,306,0,731,700,0,30,26,526,10,3,1,0,118,2,2,0,0,0,2,1,4,2,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,731
