"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - NAGMA","2 - RAJENDRA AGARWAL","3 - MOHD.SHAHID AKHLAK","4 - SHAHID MANZOOR","5 - MOHD.USMAN GHAZI","6 - MOHD. SAJID SAIFI","7 - DR. EX. MAJ HIMANSHU SINGH","8 - ATUL KHODAWAL","9 - ANIL","10 - APHAJAL","11 - IQRA CHOUDHARY","12 - MUKESH KUMAR","13 - SUNIL DUTT","14 - None of the Above","Total Votes Secured"
1,"PRATHMIK . VIDHALYA. JATOLI ROOM NO 1",786,647,0,1433,540,338,0,878,848,0,97,410,225,136,0,1,7,2,0,0,0,0,0,0,878
2,"PRATHMIK . VIDHALYA. JATOLI ROOM NO 2",500,397,0,897,374,254,0,628,558,0,97,469,39,13,0,0,4,0,1,0,0,1,2,2,628
3,"PRATHMIK . VIDHALYA. JATOLI ROOM NO 3",923,827,1,1751,545,485,0,1030,1030,0,103,784,60,41,1,1,29,0,1,0,0,2,2,6,1030
4,"KANYA . UCCH PRATHMIK VIDHALYA ROSHAN PUR DAURLI ROOM NO 1",340,270,0,610,256,191,0,447,400,0,7,391,36,9,0,1,3,0,0,0,0,0,0,0,447
5,"KANYA . UCCH PRATHMIK VIDHALYA ROSHAN PUR DAURLI ROOM NO 2",741,686,0,1427,421,424,0,845,818,0,46,645,10,114,0,0,23,0,0,0,0,0,0,7,845
6,"KANYA . UCCH PRATHMIK VIDHALYA ROSHAN PUR DAURLI ROOM NO 3",887,847,0,1734,601,566,0,1167,1167,0,49,1009,59,15,1,1,21,1,0,0,1,0,0,10,1167
7,"PRATHMIK . VIDHALYA ROSHAN PUR DAURLI ROOM NO 1",426,380,0,806,289,244,0,533,515,0,6,268,245,2,1,0,2,1,0,0,0,0,0,8,533
8,"PRATHMIK . VIDHALYA ROSHAN PUR DAURLI ROOM NO 2",518,434,0,952,372,303,0,675,668,0,36,335,285,3,0,0,8,1,1,0,1,0,2,3,675
9,"SHAID BHAGAT SINGH INTER COLLEGE ROSHAN PUR DAURLI ROOM NO 1",714,595,0,1309,432,385,0,817,815,0,16,250,484,54,0,0,6,1,0,1,0,2,1,2,817
10,"SHAID BHAGAT SINGH INTER COLLEGE ROSHAN PUR DAURLI ROOM NO 2",924,811,0,1735,591,529,0,1120,1120,0,51,988,33,19,0,0,24,0,1,0,0,1,1,2,1120
11,"PRATHMIK . VIDHALYA P.A.C ROSHAN PUR DAURLI ROOM NO 1",485,403,1,889,309,281,0,590,552,0,30,172,382,1,0,0,3,0,1,0,0,0,0,1,590
12,"PRATHMIK . VIDHALYA P.A.C ROSHAN PUR DAURLI ROOM NO 2",555,454,0,1009,320,290,0,610,572,0,48,320,209,8,0,0,14,0,0,0,0,1,2,8,610
