"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ATUL KUMAR SINGH ANJAAN","2 - DARA SINGH CHAUHAN","3 - RAJEEV KUMAR RAI","4 - RASHTRA KUNWAR SINGH","5 - HARINARAYAN RAJBHAR","6 - BADRI NATH YADAV","7 - MANISH KUMAR RAI","8 - MOKHTAR ANSARI","9 - RAVI SHANKAR BHARAT","10 - RAJKUMAR CHAUHAN","11 - VIJAY KUMAR UPADHYAY","12 - DR. SHAMEEM ABIDI","13 - HARINATH","14 - HARISH CHANDRA","15 - HEMANT KUMAR","16 - DOODHNATH CHAUHAN","17 - VISHUN DAYAL","18 - SURYA KUMAR","19 - None of the Above","Total Votes Secured"
1,"P.P.KASHIMPUR EAST PART",456,391,0,847,231,255,0,486,486,0,4,42,121,10,186,5,3,108,0,1,0,0,0,0,0,4,0,0,2,486
2,"P.P.KASHIMPUR WEST PART",645,451,0,1096,355,267,0,622,622,0,6,116,138,8,92,0,1,259,0,1,0,0,1,0,0,0,0,0,0,622
3,"H.S.SCHOOL RAINI EAST PART",533,444,0,977,293,235,0,528,528,0,7,8,37,9,377,12,4,64,0,0,0,1,0,1,0,5,0,1,2,528
4,"H.S.SCHOOL RAINI WEST PART",625,537,0,1162,368,296,0,664,664,0,7,147,91,13,353,11,3,26,1,0,2,1,1,2,2,0,1,1,2,664
5,"H.S.SCHOOL RAINI WEST PART",473,384,0,857,272,229,0,501,501,0,4,411,33,4,22,1,0,5,1,1,5,0,0,2,4,5,1,1,1,501
6,"P.P.VAIJAPUR EAST PART",875,730,1,1606,499,484,0,983,983,0,8,305,120,7,247,2,3,251,3,2,5,2,1,4,6,4,1,10,2,983
7,P.P.VAIRATPUR,332,268,0,600,175,177,0,352,352,0,8,32,28,11,257,5,2,3,0,0,1,1,0,0,0,1,3,0,0,352
8,"P.P.SULTANPUR URF VANAURA",764,680,0,1444,536,447,0,983,983,0,12,426,37,7,437,6,3,39,1,0,2,1,1,6,0,4,1,0,0,983
9,"P.P.SULTANPUR URF VANAURA",136,107,0,243,95,57,0,152,152,0,0,95,2,1,45,0,0,5,0,1,0,0,0,0,0,1,1,1,0,152
10,"P.P.BAKHTAVARGANJ EAST PART",784,659,0,1443,467,400,0,867,867,0,11,87,81,13,384,11,2,225,2,0,1,35,2,1,0,2,6,0,4,867
11,P.P.SANEGPUR,586,469,0,1055,347,284,0,631,631,0,14,10,131,12,339,13,4,59,3,2,2,3,3,5,1,18,3,2,7,631
12,"P.P.BARLAEE EAST PART",580,455,0,1035,318,255,0,573,573,0,1,60,131,6,310,4,0,39,2,2,7,1,0,1,2,3,3,1,0,573
13,"P.P.BARLAEE WEST PART",483,392,0,875,298,201,0,499,499,0,6,217,159,0,71,3,0,27,0,1,1,0,2,1,0,5,3,1,2,499
14,"KANYA P.P. PIJADA EAST PART",514,433,0,947,269,240,0,509,509,0,9,119,43,26,283,1,1,10,0,0,3,1,2,0,2,3,2,1,3,509
15,"KANYA P.P. PIJADA MIDLE  PART",770,637,0,1407,411,399,0,810,810,0,9,380,21,7,294,8,1,11,1,0,5,0,1,0,1,2,18,46,5,810
16,"KANYA P.P. PIJADA MIDLE  PART",595,484,0,1079,360,325,0,685,685,0,12,417,158,5,32,0,1,36,0,0,4,0,1,4,6,5,1,1,2,685
17,"P.P.KHANDERAIPUR  NORTH PART",542,428,0,970,265,226,0,491,491,0,8,179,20,5,208,1,0,55,1,1,0,2,0,3,1,5,2,0,0,491
18,"P.P.KHANDERAIPUR  SOUTH  PART",519,451,0,970,324,285,0,609,609,0,6,320,146,4,100,3,4,14,0,1,3,0,1,0,2,3,1,1,0,609
19,P.P.SAHZADPUR,793,651,1,1445,380,370,0,750,750,0,8,183,137,9,337,4,4,33,2,3,8,0,0,8,1,8,2,0,3,750
20,"P.P.ITAURA EAST PART",683,546,0,1229,409,315,0,724,724,0,9,233,283,5,141,6,0,5,1,6,6,2,0,0,5,11,0,5,6,724
21,P.P.ITAURA,826,641,0,1467,367,363,0,730,730,0,6,398,52,5,179,1,1,61,1,3,3,0,1,7,1,3,2,3,3,730
22,P.P.MANSADI,844,684,0,1528,379,445,0,824,824,0,6,359,52,7,147,6,5,174,8,5,12,3,3,2,11,15,2,5,2,824
23,P.P.BABUAAPUR,439,414,0,853,244,219,0,463,463,0,8,158,135,3,45,1,0,99,0,0,1,2,0,2,0,6,1,2,0,463
24,"H.S.SCHOOL REKVARDEEH WEST PART",758,609,0,1367,386,388,0,774,774,0,6,101,193,7,94,1,3,346,3,4,4,1,0,0,3,4,3,0,1,774
25,"H.S.SCHOOL REKVARDEEH MIDLE  PART",856,712,0,1568,454,370,0,824,824,0,5,287,73,14,325,7,3,72,2,3,4,2,1,2,2,11,2,7,2,824
26,"H.S.SCHOOL REKVARDEEH WEST  PART",460,344,0,804,262,204,0,466,466,0,3,137,53,12,173,2,0,63,0,0,0,0,0,5,4,10,2,1,1,466
27,P.P.HANSPUR,233,219,0,452,147,155,0,302,302,0,2,163,66,5,51,2,3,0,0,0,1,0,0,0,0,2,1,3,3,302
28,"J.H.SCHOOL PIPARI",557,462,1,1020,275,248,0,523,523,0,4,43,59,21,292,5,3,88,0,2,0,2,0,0,0,2,1,1,0,523
29,"KANYA P.P.BHAR",718,608,0,1326,396,325,0,721,721,0,4,69,332,20,163,4,3,99,0,4,4,1,2,5,2,3,1,2,3,721
30,P.P.RANVEERPUR,755,574,1,1330,394,310,0,704,704,0,5,263,81,10,207,6,1,101,1,0,2,0,3,0,0,8,1,9,6,704
31,"P.P.RANVEERPUR MIDLE PART",736,546,0,1282,342,295,0,637,637,0,8,20,70,13,368,9,5,123,3,0,2,3,1,1,3,6,0,1,1,637
32,"P.P.RANVEERPUR SOUTH PART",915,724,0,1639,561,415,0,976,976,0,17,446,53,4,292,3,2,102,2,3,7,6,0,4,4,11,6,7,7,976
33,"P.P.RANVEERPUR SOUTH PART",488,384,0,872,241,185,0,426,426,0,1,119,200,3,58,1,31,0,1,0,0,0,0,0,1,1,0,3,7,426
34,"J.H.SCHOOL SARAVAN NORTH PART",845,574,0,1419,434,295,0,729,729,0,6,26,144,7,144,3,6,376,3,1,0,1,0,3,2,4,1,2,0,729
35,"P,P,SARAVA MIDLE PART-1",936,698,0,1634,522,455,0,977,977,0,7,266,90,21,168,7,5,318,5,22,4,3,4,4,5,12,1,24,11,977
36,"P.P.SARAVA MIDLE PART-2",778,588,0,1366,417,339,0,756,756,0,7,49,196,6,132,2,7,316,4,0,1,0,1,2,2,2,9,6,14,756
37,"P.P.SARAVA EASR PART",483,383,0,866,298,240,0,538,538,0,4,229,39,4,202,0,0,45,1,0,0,3,0,1,2,4,2,1,1,538
38,"P.P.SARAVA WEST PART",442,369,0,811,265,222,0,487,487,0,2,428,5,1,8,0,2,13,2,0,4,0,0,0,2,4,0,15,1,487
39,"P.P.AADEDEEH SOUTH PART",803,652,0,1455,476,405,0,881,881,0,9,239,162,13,221,5,3,201,1,3,4,2,0,3,2,5,1,2,5,881
40,"P.P.AADEDEEH SOUTH PART",121,73,0,194,61,31,0,92,92,0,0,24,12,1,24,0,0,30,0,0,1,0,0,0,0,0,0,0,0,92
41,P.P.BHAVANATHPUR,628,512,0,1140,389,330,0,719,719,0,15,169,164,12,282,9,0,38,0,2,2,1,0,17,0,1,3,0,4,719
42,P.P.VAJEERPATTI,546,453,0,999,314,240,0,554,554,0,10,40,124,17,325,5,1,20,1,0,4,0,2,0,1,1,0,0,3,554
