"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KARTAR SINGH BHADANA","2 - KANWAR HASAN","3 - NAHID HASAN","4 - HUKUM SINGH","5 - DIVAKAR KASHYAP","6 - PARDIP","7 - RAMKARAN KASHYAP","8 - SUNITA","9 - SUNIL KUMAR KASANA","10 - KRISHANPAL","11 - MOHANLAL","12 - None of the Above","Total Votes Secured"
1,"PRATHMIK VIDHALAY PURVI BHAG KAMRA NUMBER -1 SOUNDHEBASS",700,608,0,1308,572,465,0,1037,1037,0,15,63,178,769,4,1,0,1,1,2,1,2,1037
2,"PRATHMIK VIDHALAYE PASHMI BHAG KAMRA NUMBER-1 GAYAJUDINPUR",741,611,0,1352,618,471,0,1089,1086,0,11,14,123,885,20,4,5,2,8,5,3,9,1089
3,"PRATHMIK VIDHALAYE KAMRA NUMBER-1 TODARPUR MUSTKAM",419,354,0,773,369,313,0,682,682,0,7,35,24,605,5,0,2,1,0,1,0,2,682
4,"PRATHMIK VIDHALAYE KAMRA NUMBER-1 SAHAPURA DAOUD",270,226,0,496,235,195,0,430,430,0,2,79,223,116,2,1,3,0,0,0,0,4,430
5,"PRATHMIK VIDHALAYE KAMRA NUMBER-1  DEBHEDA KALA",704,685,0,1389,666,514,0,1180,1160,0,0,212,863,93,4,1,0,0,1,2,0,4,1180
6,"PRATHMIK VIDHALAYE KAMRA NUMBER-1 ALLAHANPUR",667,657,0,1324,574,547,0,1121,582,0,5,316,272,500,9,2,1,3,3,3,1,6,1121
7,"PRATHMIK VIDHALAYE KAMRA NUMBER-1 PATHAED AHATMAL",326,282,0,608,299,256,0,555,51,0,2,14,46,468,8,0,2,3,1,1,3,7,555
8,"PRATHMIK VIDHALAYE  KAMRA NUMBER-2 PATHAED MUSTCAM",235,210,0,445,176,178,0,354,354,0,2,48,98,187,3,2,2,0,0,6,2,4,354
9,"PURV MADHAYMIK VIDHALAYE UTTRAI BHAG KAMRA NUMAER -1  RAGUNATHPUR",793,672,0,1465,579,509,0,1088,1088,0,14,572,166,306,7,2,1,1,3,9,3,4,1088
10,"PURV MADHAYMIK VIDHALAYE DAKSHIN BHAG KAMRA NUMBER-2  RAGUNATHPUR",179,174,0,353,154,144,0,298,290,0,2,13,5,278,0,0,0,0,0,0,0,0,298
11,"PRATHMIK VIDHALAYE UTTRAI BHAG KAMRA NUMBER-1 BARTHAKAYSTH",716,644,0,1360,513,489,0,1002,1002,0,5,99,449,430,6,3,0,0,1,2,1,6,1002
12,"PRATHMIK VIDHALAYE DAKSHIN BHAG KAMRA NUMBER-3 BARTHAKAYSTH",826,729,0,1555,604,564,0,1168,406,0,11,240,777,116,3,2,0,2,2,3,4,8,1168
13,"PRATHMIK VIDHALAYE PURVI  BHAG KAMRA NUMBER-4 BARTHAKAYSTH",183,170,0,353,145,141,0,286,286,0,12,1,237,34,0,0,0,0,0,1,0,1,286
14,"PRATHMIK VIDHALAYE MADHAY  BHAG KAMRA NUMBER-2 BARTHAKAYSTH",770,639,0,1409,507,411,0,918,916,0,7,13,863,24,1,0,0,2,0,3,2,3,918
15,"PURV MADHAYMIK VIDHALAYE KAMRA NUMBER-1 NARAYANPUR GUJJAR",164,156,0,320,159,131,0,290,290,0,1,181,12,86,6,0,0,0,1,1,1,1,290
16,"PRATHMIK VIDHALAYE KAMRA NUMBER-1 DOODHGHAR",628,561,0,1189,510,408,0,918,918,0,3,234,588,76,6,1,0,2,3,3,1,1,918
17,"PRATHMIK VIDHALAYE KAMRA NUMBER-2 DOODHGHAR",307,267,0,574,235,214,0,449,433,0,0,87,328,25,2,0,1,0,2,3,0,1,449
18,"PURVI MADHYMIK VIDHALAYE  KAMRA NUMBER-1  DOODHGHAR",571,507,0,1078,449,404,0,853,850,0,2,68,542,219,5,0,2,1,2,6,0,6,853
19,"PRATHMIK VIDHALAYE KAMRA NUMBER-1 DHOLAHERI",665,575,0,1240,481,568,0,1049,1049,0,13,338,575,113,1,2,0,1,0,2,0,4,1049
20,"PRATHMIK VIDHALAYE KAMRA NUMBER-2 DHOLAHERI",320,283,0,603,298,263,0,561,561,0,0,18,66,472,3,0,1,0,0,0,1,0,561
21,"PRATHMIK VIDHALAYE KAMRA NUMBER-1 GOVERDHANPUR DHULANI",449,434,0,883,360,333,0,693,376,0,2,124,347,200,3,1,2,0,1,5,2,6,693
22,"PRATHMIK VIDHALAYE  KAMRA NUMBER-1 NATHMALPUR",414,411,0,825,292,296,0,588,455,0,8,37,483,41,1,0,0,0,2,8,2,6,588
23,"PRATHMIK VIDHALAYE  KAMRA NUMBER-2 NATHMALPUR",667,629,0,1296,469,472,0,941,918,0,9,418,230,257,4,3,2,0,1,3,6,8,941
24,"PRATHMIK VIDHALAYE PURVI BHAG KAMARA NUMBER -1 DOLATPUR",786,730,0,1516,614,595,0,1209,1209,0,7,159,550,465,7,2,0,2,3,7,1,6,1209
25,"PRATHMIK VIDHALAYE  KAMRA NUMBER-1 RAWANPUR KHURD",430,410,0,840,379,358,0,737,737,0,6,141,105,470,4,1,0,0,3,4,1,2,737
