"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DHARMENDRA KUMAR","2 - SALEEM IQBAL SHERVANI","3 - KUNWAR SARVRAJ SINGH","4 - SUNITA SHAKYA","5 - IRSHAD ANSARI ADVOCATE","6 - OM VEER","7 - MOHD. ZARRAR KHAN","8 - JITENDRA SINGH YADAV","9 - NARESH SINGH SOLANKI","10 - PRAMOD KUMAR YADAV","11 - YOGENDRA KUMAR VERMA","12 - CAPTAIN P.C. SHARMA","13 - ARSHADURRAZA KHAN","14 - None of the Above","Total Votes Secured"
1,"PR. SCHOOL GURAI R.NO. 1",584,468,0,1052,371,302,0,673,673,0,444,26,76,117,0,1,0,0,3,1,2,1,1,1,673
2,"PR. SCHOOL BADARPUR R.NO. 1",230,195,0,425,177,146,0,323,323,0,148,5,87,74,0,0,0,0,4,0,0,1,0,4,323
3,"PR. SCHOOL LAUDA BAHERI R.NO. 1",566,452,0,1018,358,283,0,641,641,0,322,27,22,240,4,1,3,0,0,0,11,1,3,7,641
4,"SEHKARI BEEJ BHANDAR KA HALL LOCHI NAGLA BAHAR CHUNGI",640,588,0,1228,311,280,0,591,591,0,523,9,46,8,0,0,0,0,0,0,0,0,0,5,591
5,"SEHKARI BEEJ BHANDAR KA HALL LOCHI NAGLA BAHAR CHUNGI ROOM NO.1",760,635,0,1395,430,331,0,761,761,0,656,14,51,31,0,0,0,0,3,0,1,1,1,3,761
6,"PR. SCHOOL MEERA SARAY R.NO. 1 NORTH PART",523,432,0,955,249,181,0,430,430,0,87,51,187,101,0,0,0,1,1,0,1,0,1,0,430
7,"PR. SCHOOL MEERA SARAY R.NO. 2 NORTH PART",430,382,0,812,220,185,0,405,405,0,90,84,134,87,3,0,0,0,2,0,1,0,0,4,405
8,"PR. SCHOOL MEERA SARAY R.NO. 3 SOUTH PART",485,373,0,858,281,197,0,478,478,0,159,66,84,164,0,0,2,0,0,1,1,0,1,0,478
9,"PR. SCHOOL MEERA SARAY R.NO. 4 SOUTH PART",480,392,0,872,294,166,0,460,460,0,254,22,43,130,2,0,1,0,0,1,2,1,0,4,460
10,"PR. SCHOOL JAHANABAD R.NO. 1",706,611,0,1317,409,287,0,696,696,0,567,7,54,48,1,1,3,2,0,1,2,0,0,10,696
11,"PR. SCHOOL JAHANABAD R.NO. 2",427,359,0,786,267,199,0,466,466,0,335,6,83,24,0,0,0,0,0,0,1,2,2,13,466
12,"PR. SCHOOL GHONCHA M. MAUJAMPUR R.NO. 1",213,173,0,386,169,142,0,311,311,0,229,3,72,4,0,0,0,0,1,0,0,0,0,2,311
13,"PR. SCHOOL SHEKHUPUR R.NO. 1 NORTH PART",487,387,0,874,273,205,0,478,478,0,129,96,211,24,0,1,0,0,2,1,2,0,3,9,478
14,"PR. SCHOOL SHEKHUPUR R.NO. 2 NORTH PART",472,389,0,861,209,147,0,356,356,0,155,93,94,5,0,0,2,0,1,0,2,1,1,2,356
15,"PR. SCHOOL SHEKHUPUR EXTRA ROOM R.NO. 1 SOUTH PART",501,360,0,861,208,139,0,347,347,0,110,86,142,4,0,0,0,0,1,0,1,0,1,2,347
16,"PR. SCHOOL SHEKHUPUR EXTRA ROOM R.NO. 2 SOUTH PART",440,412,0,852,183,151,0,334,334,0,44,117,168,5,0,0,0,0,0,0,0,0,0,0,334
17,"GIRLS JR. HIGH SCHOOL SHEKHUPUR R.NO. 1",794,611,0,1405,317,232,0,549,549,0,332,100,86,13,1,0,2,1,4,0,3,0,0,7,549
18,"GIRLS JR. HIGH SCHOOL SHEKHUPUR R.NO. 2",769,662,0,1431,378,310,0,688,688,0,171,237,222,29,0,0,2,1,5,0,2,4,4,11,688
19,"JR. HIGH SCHOOL SHEKHUPUR EAST PART R.NO. 1",444,365,1,810,217,169,0,386,386,0,28,82,188,80,1,1,0,1,0,1,1,1,0,2,386
20,"JR. HIGH SCHOOL SHEKHUPUR EAST PART R.NO. 2",425,321,0,746,182,151,0,333,333,0,29,55,86,154,2,0,1,0,0,0,0,0,2,4,333
21,"JR. HIGH SCHOOL SHEKHUPUR WEST PART R.NO. 3",536,386,0,922,291,200,0,491,491,0,215,22,41,199,2,0,0,1,0,1,4,0,1,5,491
22,"JR.HIGH SCHOOL SHEKHUPUR WEST PART R.NO.4",431,339,0,770,225,162,0,387,387,0,159,3,25,195,2,0,0,0,0,0,0,0,1,2,387
23,"PR. SCHOOL SHEKHUPUR NEW BUILDING WEST PART R.NO. 1",513,412,0,925,230,157,0,387,387,0,7,48,278,53,0,0,0,0,0,0,0,0,1,0,387
24,"PR. SCHOOL SHEKHUPUR NEW BUILDING WEST PART R.NO. 2",427,342,0,769,203,171,0,374,374,0,3,54,273,41,0,0,0,0,0,0,0,0,1,2,374
25,"PR. SCHOOL RAHIMUDDIN NAGAR R.NO. 1",448,339,0,787,315,250,0,565,565,0,366,2,2,190,2,0,0,0,0,0,0,0,0,3,565
26,"PR. SCHOOL NAUSHERA R.NO. 1",634,501,0,1135,400,274,0,674,674,0,446,32,62,115,2,0,1,0,4,0,1,1,0,10,674
27,"PR. SCHOOL NAUSHERA R.NO. 2",500,416,0,916,292,228,0,520,520,0,236,24,245,3,0,2,0,1,0,0,1,1,1,6,520
28,"PR. SCHOOL WAJIDPUR GUNAURA R.NO. 1",198,184,0,382,156,110,0,266,266,0,89,2,159,7,0,0,0,0,1,0,0,3,0,5,266
29,"PR. SCHOOL JAJPURA R.NO. 1",356,275,0,631,199,169,0,368,368,0,115,3,35,202,3,2,0,0,0,0,3,0,2,3,368
30,"PR. SCHOOL JIRAULI R.NO. 1",387,321,0,708,287,224,0,511,511,0,426,46,22,1,1,1,1,2,0,0,1,0,4,6,511
31,"PR. SCHOOL GATHAUNA R.NO. 1",875,633,0,1508,436,299,0,735,735,0,426,104,82,104,3,0,0,0,2,1,2,1,1,9,735
32,"PR. SCHOOL GANGAURA R.NO. 1",364,284,0,648,182,128,0,310,310,0,82,37,63,116,1,0,0,0,0,1,2,0,1,7,310
33,"JR. HIGH SCHOOL BASOMA R.NO. 1 NORTH PART",466,394,0,860,271,240,0,511,511,0,149,105,163,66,2,0,2,0,0,0,1,1,2,20,511
34,"JR. HIGH SCHOOL BASOMA R.NO. 2 NORTH PART",426,376,0,802,237,212,0,449,449,0,133,89,146,70,0,0,0,0,0,0,4,2,2,3,449
35,"JR. HIGH SCHOOL BASOMA R.NO. 3 SOUTH PART",652,593,0,1245,352,354,0,706,706,0,268,6,130,281,2,1,1,0,2,0,1,2,4,8,706
36,"PR. SCHOOL ADHAULI R.NO. 1",553,465,0,1018,364,250,0,614,614,0,287,5,101,199,5,0,1,0,3,0,5,0,3,5,614
37,"PR. SCHOOL ADHAULI R.NO. 2",550,392,0,942,312,220,0,532,532,0,217,3,55,234,0,3,0,3,1,1,1,0,2,12,532
38,"PR. SCHOOL NARAU R.NO. 2",463,382,0,845,230,212,0,442,442,0,169,5,9,246,3,1,0,1,0,0,6,0,1,1,442
39,"PR. SCHOOL ACHAURA R.NO. 1",463,398,0,861,268,180,0,448,448,0,130,62,141,106,1,1,0,0,0,1,2,1,2,1,448
40,"PR. SCHOOL VARI KA NAGLA R.NO. 1",551,425,0,976,364,221,0,585,585,0,65,2,41,461,7,0,2,0,0,2,0,1,2,2,585
41,"PR. SCHOOL GADAURA R.NO. 1",257,187,0,444,165,117,0,282,282,0,127,18,17,117,0,2,0,0,0,0,0,0,0,1,282
42,"PR. SCHOOL KUANDANDA R.NO. 1",536,437,0,973,360,277,0,637,637,0,122,5,366,128,2,2,0,0,0,1,1,3,2,5,637
43,"PR. SCHOOL RAIPUR R.NO. 1",484,388,0,872,255,172,0,427,427,0,186,25,78,116,1,0,0,0,2,1,4,3,3,8,427
44,"PR. SCHOOL RAIPUR R.NO. 2",458,368,0,826,246,151,0,397,397,0,117,95,23,137,3,1,4,2,1,1,4,4,3,2,397
45,"PR. SCHOOL PALIYA PUKHTA R.NO. 1",336,280,0,616,223,149,0,372,372,0,293,15,27,31,0,0,0,0,1,0,1,0,1,3,372
46,"PR. SCHOOL NANAKHERA R.NO. 1",814,670,0,1484,444,353,0,797,797,0,441,88,66,157,1,2,1,1,12,1,3,2,3,19,797
47,"JR. HIGH SCHOOL NANAKHERA R.NO. 1",460,392,0,852,258,193,0,451,451,0,82,233,125,7,0,0,1,0,0,0,1,1,0,1,451
48,"JR. HIGH SCHOOL NANAKHERA R.NO. 2",487,355,0,842,238,160,0,398,398,0,240,80,73,0,0,1,0,0,0,1,1,0,0,2,398
49,"PR. SCHOOL DHAURERA R.NO. 1",822,646,0,1468,457,325,0,782,782,0,655,18,97,4,0,3,0,0,0,0,1,0,0,4,782
50,"PR. SCHOOL LALUIYA NAGLA R.NO. 1",253,185,0,438,157,119,0,276,276,0,180,2,61,31,0,0,0,0,0,0,0,0,0,2,276
51,"PR. SCHOOL BONDRI R.NO. 1",469,375,0,844,346,227,0,573,573,0,158,16,313,79,1,0,2,0,0,0,0,1,1,2,573
52,"RAMKALI UCHCHTAR MADHYAMIK SCHOOL BHUDA BHADRAUL R.NO. 1 EAST PART",450,375,0,825,300,147,0,447,447,0,306,31,91,12,1,0,1,0,1,0,0,0,1,3,447
53,"RAMKALI UCHCHTAR MADHYAMIK SCHOOL BHUDA BHADRAUL R.NO. 2 EAST PART",532,396,0,928,252,166,0,418,418,0,181,26,98,99,0,0,1,0,0,0,1,0,2,10,418
54,"RAMKALI UCHCHTAR MADHYAMIK SCHOOL BHUDA BHADRAUL R.NO. 3 EAST PART",297,225,0,522,170,121,0,291,291,0,269,4,7,9,0,0,0,0,0,0,1,0,0,1,291
55,"RAMKALI UCHCHTAR MADHYAMIK SCHOOL BHUDA BHADRAUL R.NO. 4 EAST PART",688,493,0,1181,349,176,0,525,525,0,212,43,219,41,1,1,0,0,0,1,0,1,2,4,525
56,"PR. SCHOOL TELIYA NAGLA MAJRA INDRAI R.NO. 1",392,305,0,697,200,123,0,323,323,0,166,3,100,50,0,0,0,0,0,0,1,1,0,2,323
57,"PR. SCHOOL KURKHERA R.NO. 1",253,191,0,444,193,140,0,333,333,0,176,9,25,118,0,0,0,0,0,1,1,0,1,2,333
58,"PR. SCHOOL JAITPUR PUKHTA R.NO. 1",613,434,0,1047,418,245,0,663,663,0,367,7,143,131,2,1,1,2,0,0,4,1,2,2,663
59,"PR. SCHOOL MAJRA GANGVARAR R.NO. 1",590,455,0,1045,394,266,0,660,660,0,564,16,60,1,1,0,0,0,0,1,2,0,3,12,660
60,"PR. SCHOOL BHAKORA R.NO. 1",717,510,0,1227,533,375,0,908,908,0,682,4,10,188,2,1,1,1,1,1,2,5,1,9,908
61,"PR. SCHOOL GHATIYARI R.NO.1",476,392,0,868,307,221,0,528,528,0,276,20,13,214,1,1,0,0,1,0,0,0,1,1,528
62,"PR. SCHOOL BIRAUTIYA R.NO. 1",209,183,0,392,131,80,0,211,211,0,36,4,51,118,1,0,0,0,0,0,0,0,0,1,211
63,"PR. SCHOOL BAMNAUSI R.NO. 1",733,559,0,1292,442,281,0,723,723,0,100,15,491,110,2,0,0,0,0,0,1,1,0,3,723
64,"PR. SCHOOL PHULASI R.NO. 1",530,405,0,935,325,205,0,530,530,0,118,13,193,191,3,0,1,1,0,2,4,2,0,2,530
65,"PR. SCHOOL CHETU NAGLA R.NO. 1",162,110,0,272,140,84,0,224,224,0,4,1,217,0,0,0,0,0,0,0,1,0,0,1,224
66,"PR. SCHOOL SUKATIYA R.NO. 1",287,236,0,523,203,154,0,357,357,0,33,5,79,231,3,0,0,0,0,1,1,2,1,1,357
67,"PR. SCHOOL CHUDIYA R.NO. 1",261,220,0,481,172,143,0,315,315,0,52,11,45,197,4,1,0,0,1,0,2,0,1,1,315
68,"PR. SCHOOL PATPARAGANJ R.NO. 1",268,205,0,473,238,163,0,401,401,0,21,8,372,0,0,0,0,0,0,0,0,0,0,0,401
69,"PR. SCHOOL MALIKPUR R.NO. 1",317,268,0,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,"PR. SCHOOL FATEHPUR R.NO. 1",513,392,0,905,366,182,0,548,548,0,98,35,392,18,0,0,0,0,0,0,0,1,2,2,548
71,"PR. SCHOOL TEHRA R.NO. 1",506,379,0,885,315,207,0,522,522,0,207,39,160,111,1,0,0,0,0,2,0,1,1,0,522
72,"PR. SCHOOL VANGAWAN R.NO. 1",435,301,0,736,267,183,0,450,450,0,238,150,55,2,0,0,0,0,1,0,1,0,1,2,450
73,"PR. SCHOOL RANAU R.NO. 1",546,420,0,966,355,226,0,581,581,0,426,11,42,84,3,0,0,0,3,0,1,2,1,8,581
