"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - IMRAN MASOOD","2 - JAGDISH SINGH RANA","3 - RAGHAV LAKHANPAL","4 - SHAZAN MASOOD URF SHADAN MASOOD","5 - YOGESH KUMAR","6 - RATAN SINGH","7 - RAJENDER KUMAR","8 - SHAHANAVAJ","9 - SHIV KUMAR","10 - MOHD. FIROZ AFTAB","11 - RAGHUVEER SINGH BODH","12 - CP VERMA","13 - SESHRAJ","14 - HANSRAJ SAINI","15 - None of the Above","Total Votes Secured"
11,"BALDEV DAS INTER COLLEGE ROOM NUMBER-2, KHEDA MUGAL",847,674,0,1521,546,515,0,1061,837,0,356,7,603,67,3,0,1,1,1,0,1,0,9,4,8,1061
12,"BALDEV DAS INTER COLLEGE ROOM NUMBER-3, KHEDA MUGAL",260,204,0,464,141,148,0,289,289,0,188,4,85,8,0,0,0,0,0,0,0,0,1,1,2,289
13,"PRATHMIK VIDYALYA ROOM NUMBER-1, MAKANPUR",250,233,0,483,200,169,0,369,328,0,3,8,347,7,1,1,0,0,0,0,0,1,1,0,0,369
14,"PRATHMIK VIDYALYA ROOM NUMBER-1, ALHANPUR ATLAKHEDI URF DAKOWALI",699,573,0,1272,563,444,0,1007,1007,0,312,186,471,15,0,0,1,1,6,3,1,1,8,1,1,1007
15,"PRATHMIK VIDYALYA ROOM NUMBER-1, SHEOPUR",714,587,0,1301,569,383,0,952,951,0,74,306,484,67,2,0,0,1,8,0,3,3,2,2,0,952
16,"PRATHMIK VIDYALYA UTTAR BHAG ROOM NUMBER-1, BILASPUR SHEKHUPUR",609,518,0,1127,461,394,0,855,555,0,59,7,717,64,0,0,1,0,3,0,1,1,1,1,0,855
17,"PRATHMIK VIDYALYA DAXIN BHAG ROOM NUMBER-3, BILASPUR SHEKHUPUR",351,283,0,634,221,210,0,431,431,0,166,102,121,27,0,1,0,0,0,1,0,3,5,2,3,431
18,"PRATHMIK VIDYALYA POORVI BHAG ROOM NUMBER-1, MEHMOODPUR",553,461,0,1014,385,336,0,721,717,0,4,682,25,3,0,0,0,0,0,0,0,1,1,3,2,721
19,"PRATHMIK VIDYALYA ROOM NUMBER-1, FALAUDA",344,261,0,605,274,190,0,464,50,0,30,133,234,50,1,2,0,0,1,1,1,1,4,5,1,464
20,"PRATHMIK VIDYALYA ROOM NUMBER-2, REHMATPUR",233,226,0,459,169,169,0,338,338,0,11,6,295,16,1,1,0,0,2,0,1,1,1,2,1,338
21,"PRATHMIK VIDYALYA ROOM NUMBER-1, BEERPUR KAYASTH",303,295,0,598,265,253,0,518,518,0,25,115,320,49,1,0,0,0,2,1,0,1,2,2,0,518
22,"PRATHMIK VIDYALYA ROOM NUMBER-1, NANHEDA TEEPTAN",486,435,0,921,377,325,0,702,119,0,3,197,407,90,1,0,0,0,3,1,0,0,0,0,0,702
23,"POORV MADHYMIK VIDYALYA ROOM NUMBER-1, BACHITI",489,363,0,852,313,268,0,581,581,0,319,5,32,215,1,1,0,0,0,0,0,0,1,1,6,581
24,"POORV MADHYMIK VIDYALYA ROOM NUMBER-2, BACHITI",480,363,0,843,303,249,0,552,552,0,235,14,200,94,0,0,0,0,0,0,0,0,2,1,6,552
25,"POORV MADHYMIK VIDYALYA ROOM NUMBER-3, BACHITI",562,443,0,1005,397,318,0,715,650,0,311,8,183,201,3,0,1,0,0,0,0,1,0,1,6,715
26,"POORV MADHYMIK VIDYALYA ROOM NUMBER-4, BACHITI",553,426,0,979,411,314,0,725,725,0,171,319,178,39,0,0,0,0,2,0,1,3,2,8,2,725
27,"PRATHMIK VIDYALYA ROOM NUMBER-1, SALEMPUR",511,404,0,915,371,309,0,680,433,0,174,239,197,52,0,1,0,0,0,0,1,0,4,5,7,680
28,"PRATHMIK VIDYALYA NAYA BHAWAN KA BARAMDA, SALEMPUR",476,419,0,895,386,348,0,734,733,0,136,59,491,29,0,0,1,0,3,1,0,1,6,3,4,734
29,"PRATHMIK VIDYALYA UTTAR BHAG ROOM NUMBER-1, TAJPUR",762,632,1,1395,607,475,0,1082,1072,0,329,94,598,45,0,1,0,0,0,0,2,0,5,3,5,1082
30,"PRATHMIK VIDYALYA DAXIN BHAG ROOM NUMBER-2, TAJPUR",603,484,0,1087,513,415,0,928,928,0,15,427,402,52,0,8,1,0,2,0,4,2,8,5,2,928
31,"POORV MADHYMIK VIDYALYA ROOM NUMBER-1, PANIYALI KASIMPUR",689,592,0,1281,529,425,0,954,932,0,9,380,512,27,2,0,0,0,2,1,1,2,3,9,6,954
