"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - REKHA","2 - ANAND BHADAURIYA","3 - AJAY VERMA","4 - ANAND KUMAR","5 - KIRTI SINGH","6 - SWAMI DAYAL","7 - DAUD AHMAD","8 - KUWAR JITIN PRASAD","9 - LEKHRAJ","12 - RAM BALI","13 - RAJENDRA KUMAR SINGH","14 - SUKHVINDRA SINGH","15 - VIVEK MISHRA","16 - VIJAY KUMAR TIWARI","17 - MALA DEVI","18 - None of the Above","Total Votes Secured"
1,"LAKHAHA H/0 DULHI",671,620,1,1292,524,354,0,878,865,0,451,69,6,6,7,5,224,67,19,4,0,2,5,2,6,5,878
2,"LAKHAHA H/0 DULHI",756,653,0,1409,551,374,0,925,923,0,350,83,6,4,3,2,178,253,18,1,2,4,7,3,3,8,925
3,DULHI,566,471,0,1037,393,264,0,657,657,0,386,104,9,1,2,1,50,76,17,1,1,5,2,1,0,1,657
4,DULHI,749,620,0,1369,512,382,0,894,890,0,320,160,7,5,3,3,84,268,24,1,1,2,4,5,2,5,894
5,"RAIPUR H/0 DULHI",432,374,0,806,371,272,0,643,643,0,210,227,7,9,1,2,119,45,12,2,1,1,1,2,1,3,643
6,"RAIPUR H/0 DULHI",410,360,0,770,290,202,0,492,492,0,68,150,3,4,2,1,195,52,0,1,0,5,2,2,1,6,492
7,"RAIPUR H/0 DULHI",862,670,0,1532,543,313,0,856,856,0,121,158,10,9,1,4,450,67,10,4,2,7,2,4,1,6,856
8,LAKHAHI,510,422,0,932,402,287,0,689,681,0,142,113,5,6,0,1,105,293,6,3,3,3,1,6,0,2,689
9,LAKHAHI,474,400,0,874,301,202,0,503,503,0,222,52,4,5,6,5,85,95,13,0,1,2,1,6,2,4,503
10,"DHAKHERAWA H/0 LAKHAHI",419,410,0,829,358,308,0,666,634,0,259,201,4,11,2,4,128,32,10,1,3,2,4,1,1,3,666
11,"DHAKHERAWA H/0 LAKHAHI",441,370,0,811,363,267,0,630,630,0,282,167,3,4,1,1,128,23,8,0,0,2,3,1,1,6,630
12,JAMHAURA,541,502,0,1043,459,379,0,838,838,0,266,389,4,14,0,5,50,88,9,2,0,3,4,0,0,4,838
13,JAMHAURA,492,408,0,900,405,275,0,680,680,0,202,301,12,7,1,2,16,121,9,0,0,1,1,0,0,7,680
14,LAKHANIYAPUR,467,406,0,873,352,285,0,637,634,0,106,277,2,6,4,3,172,55,6,0,0,1,2,0,1,2,637
15,LAKHANIYAPUR,317,222,0,539,216,134,0,350,348,0,99,142,1,3,0,2,50,45,3,1,0,1,1,0,0,2,350
16,"KUSHAHA H/0 LAKHANIYAPUR",406,361,0,767,312,230,0,542,542,0,151,223,4,10,2,1,81,58,5,1,0,1,1,1,1,2,542
17,"NAUVVAPUR SANI",538,492,0,1030,422,340,0,762,762,0,293,134,6,20,5,0,169,107,13,1,1,1,3,3,4,2,762
18,"JODHAPURWA H/0 NAINAPUR",516,470,0,986,392,284,0,676,676,0,200,97,8,5,1,0,50,294,8,0,0,4,1,4,1,3,676
19,"JODHAPURWA H/0 NAINAPUR",512,470,0,982,418,396,0,814,814,0,259,124,1,12,1,4,121,273,11,2,0,1,2,1,0,2,814
20,NAINAPUR,527,476,0,1003,440,350,0,790,789,0,139,149,5,8,0,2,17,430,5,3,3,8,3,5,1,12,790
21,NAINAPUR,509,481,0,990,447,326,0,773,770,0,151,246,8,10,1,3,14,297,6,3,1,7,7,7,2,10,773
22,PARAURI,813,683,1,1497,558,401,0,959,953,0,416,93,11,13,2,4,157,198,24,7,4,4,4,5,3,14,959
23,"GULARIPURWA H/0 PARAURI",470,387,0,857,337,193,0,530,530,0,236,70,7,7,5,2,60,110,18,0,1,2,3,0,1,8,530
24,"GULARIPURWA H/0 PARAURI",414,390,0,804,303,238,0,541,541,0,282,90,4,7,4,3,13,113,12,1,0,1,5,3,1,2,541
25,ABHAYPUR,609,513,0,1122,441,311,0,752,752,0,321,42,6,10,1,5,64,268,17,0,1,3,3,2,2,7,752
26,ABHAYPUR,569,542,0,1111,445,370,0,815,808,0,168,95,6,13,2,0,43,468,5,2,1,2,3,1,3,3,815
27,ABHAYPUR,546,508,0,1054,451,300,0,751,751,0,482,117,5,12,3,1,21,90,8,0,1,0,0,3,3,5,751
28,ABHAYPUR,568,484,0,1052,391,270,0,661,658,0,169,109,7,7,2,7,172,160,4,0,2,3,0,5,2,12,661
29,JATPURWA,791,654,0,1445,635,389,0,1024,1023,0,560,48,10,9,2,3,275,80,21,0,0,3,3,2,2,6,1024
30,JATPURWA,368,359,0,727,307,258,0,565,565,0,253,43,4,4,2,3,126,98,8,6,0,5,6,3,0,4,565
31,"SUKHANIPURWA H/0 JATPURWA",387,328,0,715,286,227,0,513,513,0,279,31,3,4,3,1,32,140,9,0,0,2,1,4,1,3,513
32,"BHULANPUR H/0 JATPURWA",320,320,0,640,275,218,0,493,493,0,158,152,3,5,1,3,109,43,2,1,1,3,4,4,1,3,493
33,"LAUKHANIYA H/0 JATPURWA",579,480,0,1059,488,335,0,823,820,0,403,79,8,9,2,2,204,76,18,3,1,1,6,1,4,6,823
34,KAFARA,816,637,0,1453,724,294,0,1018,1016,0,289,185,12,10,6,4,84,385,12,5,2,2,6,6,2,8,1018
35,KAFARA,584,527,0,1111,435,329,0,764,764,0,292,147,8,11,3,5,124,147,7,2,3,3,3,2,2,5,764
36,KAFARA,621,558,0,1179,480,345,0,825,825,0,341,175,5,10,3,6,61,184,11,6,0,1,4,5,3,10,825
37,"HOLAGARH H/0 KAFARA",792,699,0,1491,519,564,0,1083,1064,0,524,173,17,9,5,4,125,164,33,5,3,2,5,5,1,8,1083
38,"HOLAGARH H/0 KAFARA",746,625,0,1371,560,376,0,936,880,0,551,204,12,7,2,1,91,30,26,1,1,2,1,2,3,2,936
39,AKATHI,445,380,0,825,390,285,0,675,675,0,294,161,14,7,2,0,60,81,23,2,1,3,6,5,2,14,675
