"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ANIL SHUKLA WARSI","2 - DEVENDRA SINGH BHOLE SINGH","3 - RAJARAM PAL","4 - LAL SINGH TOMAR","5 - AMAR SINGH","6 - ARVIND KUMAR","7 - DR. OMKAR NATH KATIYAR","8 - GOPI RAMAN","9 - JASWANT SINGH","10 - DR. BAJARANG PRATAP SONKAR","11 - RAMA KANT VERMA","12 - RAMENDRA SINGH TOMAR","13 - ASHOK YADAV","14 - NEERAJ KUMAR ADVOCATE","15 - BHARTI DEVI PASI ADVOCATE","16 - MUNNI DEVI","17 - RAM SEVAK","18 - VIJAY KUMAR SHARMA","19 - None of the Above","Total Votes Secured"
1,"PR. VIDYALAY FILLKHANA DWITIYE ROOM NO.1 J SECTOR VISHWA BANK BARRA",693,587,0,1280,420,356,0,776,753,0,38,604,70,27,1,27,0,0,0,0,0,0,0,0,0,0,1,3,5,776
2,"PR. VIDYALAY (FILLKHANA DWITIYE) ROOM NO.2 J SECTOR VISHWA BANK BARRA",716,611,0,1327,441,440,0,881,857,0,67,680,62,46,0,12,0,2,0,0,0,4,0,0,0,0,3,2,3,881
3,"PR. VIDYALAY FILLKHANA DWITIYE) ROOM NO3 J SECTOR VISHWA BANK BARRA",536,451,0,987,388,288,0,676,658,0,81,489,31,53,1,15,0,0,0,0,0,2,0,0,1,1,0,0,2,676
4,"PR.VIDYALAY (HULAGANJ B) I SECTOR VISHWA BANK BARRA ROOM NO.1",534,444,0,978,313,288,0,601,577,0,47,416,27,79,1,19,0,0,0,0,1,1,0,0,0,0,1,8,1,601
5,"PR.VIDYALAY (HULAGANJ B) I SECTOR VISHWA BANK BARRA ROOM NO.2",543,452,0,995,326,270,0,596,578,0,52,406,39,83,1,7,0,0,0,0,0,0,0,0,0,0,0,0,8,596
6,"PR.VIDYALAY (HULAGANJ B) I SECTOR VISHWA BANK BARRA ROOM NO.3",700,611,0,1311,416,318,0,734,699,0,89,521,23,71,0,19,1,1,2,0,0,0,1,1,0,0,1,3,1,734
7,"PR.VIDYALAY (HULAGANJ B) I SECTOR VISHWA BANK BARRA ROOM NO.4",758,601,0,1359,454,375,0,829,787,0,98,569,27,115,0,11,2,0,0,0,0,1,1,1,0,1,0,1,2,829
8,"PR. VIDYALAY (LOKMAN MOHAL NAVIN) NALA PURWA ROOM NO.1 J SECTOR VISHWA BANK BARRA",557,475,0,1032,345,298,0,643,578,0,54,513,22,34,1,18,0,0,0,0,0,0,0,0,0,0,0,0,1,643
9,"PR. VIDYALAY (LOKMAN MOHAL NAVIN) NALA PURWA ROOM NO.2 J SECTOR VISHWA BANK BARRA",556,444,0,1000,340,252,0,592,568,0,59,471,28,15,1,13,0,2,0,0,0,0,0,0,0,0,0,2,1,592
10,"PR. VIDYALAY (LOKMAN MOHAL NAVIN) NALA PURWA ROOM NO.3 J SECTOR VISHWA BANK BARRA",774,637,0,1411,432,337,0,769,725,0,38,642,42,32,0,10,0,0,0,0,0,3,0,0,0,1,0,0,1,769
11,"EKTA INTER COLLAGE  ROOM NO. 1 JARAULI FACE PRATHAM NALA ROAD",1024,759,0,1783,610,427,0,1037,960,0,74,675,168,87,0,15,0,0,1,1,1,3,0,1,0,4,2,4,1,1037
12,"EKTA INTER COLLAGE  ROOM NO. 2 JARAULI FACE PRATHAM NALA ROAD",905,789,0,1694,430,319,0,749,684,0,52,512,79,77,1,14,1,0,0,1,1,5,0,1,2,0,1,1,1,749
13,"JYOTI HR. SC. SCHOOL JARAULI  SECOND ROOM NO.1",964,741,0,1705,562,394,0,956,900,0,73,690,87,55,0,35,0,0,0,2,2,1,1,0,3,2,0,0,5,956
