"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - JAYA PRADA NAHATA","2 - KUNWAR BHARTENDRA","3 - MALOOK NAGAR","4 - SHAHNAWAZ RANA","5 - UDAY ALIES UDAYVEER","6 - GAURAV","7 - PARVEZ AQIL","8 - MOHAMAD ADEEB","9 - MOHAMMAD MOOSA","10 - UMESH ALIES PANI","11 - KAMAL","12 - GAJRESH KUMAR","13 - None of the Above","Total Votes Secured"
1,"PRATHMIK VIDHALYA HOSIYARPUR MAJRA BADHAI KHURD",530,472,0,1002,395,359,0,754,754,0,23,652,68,2,1,0,2,0,0,2,1,3,0,754
2,"PRATHMIK VIDHYALAY BDHAI KHURD KAMRA NO. 1",716,615,0,1331,502,402,0,904,904,0,25,694,136,33,1,2,1,0,1,0,4,4,3,904
3,"PRATHMIK VIDHYALAY AKHLOR",544,434,0,978,484,360,0,844,844,0,2,672,7,159,0,1,0,0,0,0,1,1,1,844
4,"PRATHMIK VIDHALYA MADYAM KA KAMRA AKHLOR",530,460,0,990,441,269,0,710,710,0,5,341,324,7,0,0,2,2,2,5,8,4,10,710
5,"KANYA PATHSALA KAMRA NO. 1 BAHEDI",587,435,0,1022,339,307,0,646,646,0,1,20,18,593,5,0,2,1,2,2,0,0,2,646
6,"KANYA PATHSALA KAMRA NO. 2 BAHEDI",482,330,0,812,286,243,0,529,492,0,0,51,15,457,0,1,0,0,0,1,1,0,3,529
7,"PRATHMIK VIDHYALAY NO 1 KAMRA NO 3 BAHEDI",843,668,0,1511,568,494,0,1062,1062,0,4,259,493,288,0,4,1,0,0,1,3,3,6,1062
8,"PRATHMIK VIDHYALAY  KAMRA NO 1 BAHEDI",801,660,0,1461,508,407,0,915,910,0,4,310,44,550,4,0,0,1,0,0,0,0,2,915
9,"PRATHMIK VIDHYALAY  KAMRA NO 2 BAHEDI",595,480,0,1075,397,322,0,719,718,0,9,650,21,23,0,5,0,1,0,2,2,1,5,719
10,"PRATHMIK VIDHALYA PURVE MOHVANA KAMRA ROHANA KHURD",578,416,0,994,363,261,0,624,624,0,2,334,239,40,0,0,1,1,0,0,4,1,2,624
11,"PRATHMIK VIDHALYA PURVE MOHVANA UTTAR KA KAMRA ROHANA KHURD",325,262,0,587,236,186,0,422,405,0,1,359,41,18,1,0,1,0,0,0,0,0,1,422
12,"PRATHMIK VIDHALYA NO 2 ROHANA KHURD",580,458,0,1038,392,313,0,705,705,0,9,507,77,88,2,10,1,0,0,3,1,2,5,705
13,"SARAS‍VATI SADAN JOONIYR HAI SAK‍UL UTTRI BHAG ROHANA KHURD",436,387,0,823,263,235,0,498,498,0,3,301,44,132,0,3,1,2,2,1,2,1,6,498
14,"SARAS‍VATI SADAN JOONIYR HAI SAK‍UL UTTRI BHAG SA MILA HOWA KAMRA ROHANA KHURD",410,320,0,730,257,193,0,450,438,0,6,280,86,60,3,0,0,2,2,1,3,2,5,450
15,"SARAS‍VATI SADAN JUNIYR HAI SAK‍UL DAKSHNI  BHAG ROHANA KHURD",621,475,0,1096,418,303,0,721,710,0,7,531,70,99,1,1,0,0,0,2,2,4,4,721
16,"AMRITA IN‍TAR KALEJ KA0 NA0 1 ROHANA SUGAR MIL",727,539,0,1266,596,359,0,955,955,0,2,898,32,11,1,2,0,0,0,1,0,2,6,955
17,"PRATHMIK VIDHALYA KAMRA NO 3 SADPUR",536,446,0,982,380,312,0,692,689,0,1,198,311,170,2,2,1,0,2,0,2,0,3,692
18,"PRATHMIK VIDHALYA NYA BHWAN SADPUR",568,490,0,1058,436,358,0,794,750,0,2,236,83,458,4,0,1,0,0,3,1,1,5,794
19,"PRATHMIK VIDHALYA UTTARI BHAG MALIRA",487,416,0,903,356,301,0,657,657,0,4,380,175,86,1,0,0,0,2,0,3,0,6,657
20,"PRATHMIK VIDHALYA KAMRA NO 3 MALIRA",375,285,0,660,299,204,0,503,450,0,2,130,345,10,0,0,0,1,0,5,2,0,8,503
21,"PRATHMIK VIDHALYA DAKSHINI BHAG MALIRA",804,640,0,1444,629,478,0,1107,1089,0,11,505,344,220,4,1,0,2,1,1,10,3,5,1107
22,"PRATHMIK VIDHALYA PURVI BHAG BANNAGAR",705,574,0,1279,529,429,0,958,953,0,17,417,469,33,1,0,0,1,1,5,3,5,6,958
23,"PRATHMIK VIDHALYA KAMRA NO 1 BADKALI",449,364,0,813,277,227,0,504,498,0,7,267,213,6,0,2,0,0,0,3,2,2,2,504
24,"PRATHMIK VIDHALYA KAMRA NO 2 BADKALI",475,382,0,857,290,212,0,502,502,0,3,394,12,86,2,0,0,1,0,1,0,3,0,502
