"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - IMRAN MASOOD","2 - JAGDISH SINGH RANA","3 - RAGHAV LAKHANPAL","4 - SHAZAN MASOOD URF SHADAN MASOOD","5 - YOGESH KUMAR","6 - RATAN SINGH","7 - RAJENDER KUMAR","8 - SHAHANAVAJ","9 - SHIV KUMAR","10 - MOHD. FIROZ AFTAB","11 - RAGHUVEER SINGH BODH","12 - CP VERMA","13 - SESHRAJ","14 - HANSRAJ SAINI","15 - None of the Above","Total Votes Secured"
1,"PRATHMIK VIDYALAYA ROOM NO. 1 RAHNA",546,455,0,1001,423,354,0,777,777,0,384,211,96,38,6,3,4,2,5,2,3,3,2,1,17,777
2,"PRATHMIK VIDYALAYA ROOM NO. 2 RAHNA",388,298,0,686,332,236,0,568,567,0,387,9,10,122,1,0,1,0,2,1,1,2,5,5,22,568
3,"PRATHMIK VIDYALAYA ROOM NO. 1 FAIZABAD",190,159,0,349,156,116,0,272,271,0,72,86,64,35,0,0,1,0,2,0,0,1,1,3,7,272
4,"PRATHMIK VIDYALAYA ROOM NO. 2 FAIZABAD",499,402,0,901,426,329,0,755,746,0,496,15,116,86,1,0,2,1,2,1,2,5,6,8,14,755
5,"UCCHA PRATHMIK VIDYALAYA ROOM NO. 1 FAIZABAD",378,300,0,678,311,264,0,575,15,0,305,77,143,24,0,1,0,1,0,0,0,4,9,1,10,575
6,"PRATHMIK VIDYALAYA ROOM NO. 1 MAGANPURA",701,497,0,1198,588,429,0,1017,1013,0,551,123,100,189,4,2,4,2,5,4,5,3,3,7,15,1017
7,"PRATHMIK VIDYALAYA ROOM NO. 1 FATHEPUR TANDA",736,618,0,1354,636,492,0,1128,1127,0,303,168,556,61,4,0,2,4,5,0,4,5,6,3,7,1128
8,"PRATHMIK VIDYALAYA ROOM NO. 1 MADHTI",742,622,0,1364,585,498,0,1083,1052,0,661,183,193,25,0,1,0,1,6,1,2,0,0,2,8,1083
9,"PRATHMIK VIDYALAYA ROOM NO. 2 MADHTI",569,431,0,1000,510,357,0,867,200,0,737,41,9,48,2,1,0,0,1,2,1,1,2,4,18,867
10,"PRATHMIK VIDYALAYA ROOM NO. 1 KHERI MUSTAHAKAM",670,599,0,1269,512,506,0,1018,1018,0,279,160,510,29,1,1,5,3,5,1,3,3,8,5,5,1018
11,"PRATHMIK VIDYALAYA ROOM NO. 2 KHERI",173,143,0,316,140,128,0,268,268,0,2,258,4,2,0,0,0,0,0,0,2,0,0,0,0,268
12,"PRATHMIK VIDYALAYA ROOM NO. 1 AKABERPUR BANS",487,345,0,832,396,307,0,703,703,0,192,35,393,47,0,0,1,0,2,2,3,3,16,2,7,703
13,"PRATHMIK VIDYALAYA ROOM NO. 1 SHAHPUR BANS",530,441,0,971,438,366,0,804,804,0,15,444,275,9,1,22,2,1,4,1,2,3,12,7,6,804
14,"PRATHMIK VIDYALAYA ROOM NO. 1 ALAUDDINPUR BANS",254,235,0,489,242,199,0,441,441,0,411,16,2,8,0,0,0,0,1,0,0,0,2,0,1,441
15,"PRATHMIK VIDYALAYA ROOM NO. 1 MAHMOODPUR NAGLI",587,495,0,1082,496,406,0,902,902,0,56,481,316,10,0,0,1,0,3,1,2,5,10,6,11,902
16,"PRATHMIK VIDYALAYA ROOM NO. 1 NITYNANDPUR",158,134,0,292,138,117,0,255,245,0,43,52,155,1,1,0,0,0,0,0,0,0,0,1,2,255
17,"PRATHMIK VIDYALAYA ROOM NO. 1 KASBAGARH",781,621,0,1402,653,470,0,1123,916,0,8,743,308,15,1,11,4,0,2,0,2,5,5,9,10,1123
18,"PRATHMIK VIDYALAYA ROOM NO. 1 BARTHA KORSI",197,170,0,367,193,156,0,349,200,0,1,37,297,4,0,0,0,1,1,1,0,1,6,0,0,349
19,"PRATHMIK VIDYALAYA ROOM NO. 1 ASLAMPUR BARTHA",232,218,0,450,208,178,0,386,385,0,12,72,225,60,3,0,0,3,2,0,2,0,2,2,3,386
20,"PRATHMIK VIDYALAYA ROOM NO. 1 DHOLRA",351,304,0,655,328,277,0,605,574,0,168,162,254,4,0,1,1,0,1,0,0,1,2,6,5,605
21,"PRATHMIK VIDYALAYA ROOM NO. 1 JODHABANS",230,210,0,440,211,177,0,388,209,0,59,82,215,22,1,0,1,0,3,0,0,0,3,0,2,388
22,"PRATHMIK VIDYALAYA ROOM NO. 1 TIDFOWA",642,550,0,1192,528,414,0,942,938,0,554,197,36,129,1,3,1,0,4,2,2,0,2,5,6,942
23,"PURVA MADHYAMIK VIDYALAYA ROOM NO. 1 NUNIYARI",343,315,0,658,309,267,0,576,531,0,26,138,384,24,1,0,0,0,0,0,0,0,0,2,1,576
24,"PRATHMIK VIDYALAYA ROOM NO. 1 KANSEPUR",506,444,0,950,442,361,0,803,803,0,15,190,499,75,1,1,0,0,1,3,0,4,10,3,1,803
25,"SHAEED BINDRAPAL PURVA MADHYMIK VIDYALAYA ROOM NO. 1 BAHARAMPUR",394,329,0,723,348,278,0,626,624,0,99,11,464,41,1,0,0,1,1,0,1,2,1,1,3,626
26,"PRATHMIK VIDYALAYA ROOM NO. 1 SHEKHPURA",271,217,0,488,246,185,0,431,431,0,2,16,398,2,0,2,0,0,5,0,0,2,4,0,0,431
27,"PRATHMIK VIDYALAYA ROOM NO. 2 SHEKHPURA",351,277,0,628,297,216,0,513,502,0,8,409,65,0,0,1,1,1,3,0,1,10,4,5,5,513
28,"PRATHMIK VIDYALAYA ROOM NO. 3 SHEKHPURA",581,460,0,1041,470,395,0,865,862,0,444,113,161,130,0,2,3,2,2,1,1,1,1,2,2,865
29,"PRATHMIK VIDYALAYA ROOM NO. 1 MANJHADI",361,332,0,693,331,290,0,621,576,0,65,123,395,25,1,0,1,0,0,0,1,1,2,1,6,621
30,"PRATHMIK VIDYALAYA ROOM NO. 1 NANOULI",722,634,0,1356,614,557,0,1171,1171,0,877,34,196,37,2,0,0,0,2,0,1,0,9,2,11,1171
31,"PRATHMIK VIDYALAYA ROOM NO. 2 NANOULI",533,451,0,984,468,403,0,871,841,0,319,197,308,22,0,1,0,0,3,1,0,2,4,4,10,871
32,"PRATHMIK VIDYALAYA ROOM NO. 1 SALEMPUR GADA",647,545,0,1192,453,435,0,888,887,0,466,323,56,26,1,0,0,2,2,0,0,1,3,1,7,888
33,"PRATHMIK VIDYALAYA ROOM NO. 2 SALEMPUR GADA",543,478,0,1021,417,381,0,798,798,0,429,16,269,65,0,0,0,0,2,2,0,1,4,1,9,798
34,"PRATHMIK VIDYALAYA ROOM NO. 1 LATIFPUR BHOOD",464,418,0,882,412,354,0,766,766,0,147,133,440,9,0,0,1,2,5,0,0,3,9,10,7,766
35,"NEHAR NIRIKSAN BHWAN ROOM NO. 1 NOSHERA TATRPUR",341,332,0,673,269,269,0,538,400,0,366,77,59,13,1,2,1,0,3,2,1,3,2,4,4,538
36,"PRATHMIK VIDYALAYA ROOM NO. 1 SIKENDERPUR",408,365,0,773,332,297,0,629,350,0,227,207,136,32,6,0,0,1,4,2,0,2,2,4,6,629
