"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AKMAL KHAN URF CHAMAN","2 - DHARMENDRA YADAV","3 - VAGISH PATHAK","4 - AJEET PAL SINGH","5 - ANIL KUMAR SHARMA","6 - PAGLANAND","7 - MADAN LAL","8 - MAHENDRA PAL","9 - REENA","10 - VIRENDRA PAL GUPTA","11 - SANTOSH KUMAR GUPTA SATYMARGI","12 - HEMA MEHRA","13 - ATUL KUMAR","14 - MUNSHI LAL","15 - HAR BHAGWAN","16 - None of the Above","Total Votes Secured"
1,"PS R.NO.1 SINGHAULA DAULAT SINGH",538,430,0,968,274,225,0,499,499,0,84,77,317,1,1,1,0,2,5,1,3,2,1,1,2,1,499
2,"PS R.NO. 2 SINGHAULA DAULAT SINGH",500,396,0,896,271,160,0,431,431,0,45,49,314,3,0,2,1,0,1,1,1,1,3,5,0,5,431
3,"PS R.NO. 3 SINGHAULA DAULAT SINGH",684,614,0,1298,363,293,0,656,656,0,63,115,411,6,3,1,4,1,6,5,1,4,7,15,6,8,656
4,"PRIMARY SCHOOL RORADEEP",866,656,0,1522,542,269,0,811,811,0,126,656,20,0,0,1,0,0,1,0,0,0,2,2,1,2,811
5,"PS MUBARIKPUR",471,449,0,920,393,299,0,692,692,0,6,539,115,1,0,14,1,0,1,1,0,0,2,6,4,2,692
6,"PS NORTH PART LEHRARTU",764,686,0,1450,446,299,0,745,745,0,111,413,201,0,0,0,2,1,1,0,1,2,2,4,2,5,745
7,"PS R.NO.1 KUDAARSI",516,441,0,957,350,196,0,546,546,0,2,380,153,0,3,0,2,0,2,0,2,0,0,1,1,0,546
8,"PS R.NO.2 KUDAARSI",375,310,0,685,337,204,0,541,541,0,1,517,21,0,0,0,1,0,0,0,0,1,0,0,0,0,541
9,"PS R.NO. 1 SIRSA",781,604,0,1385,454,318,0,772,772,0,77,206,443,4,3,3,2,2,10,2,2,3,0,7,0,8,772
10,"PS R.NO 2- SIRSA",406,311,0,717,147,203,0,350,350,0,145,64,127,4,1,0,1,0,3,0,0,0,1,1,1,2,350
11,"PS NIRYAWALI",229,228,0,457,158,162,0,320,320,0,211,16,83,1,0,0,0,0,1,0,0,1,1,0,1,5,320
12,"PS MAINDPURDAANDA",582,502,0,1084,368,259,0,627,627,0,11,389,208,5,3,0,0,1,1,0,1,1,3,2,2,0,627
13,"PS HARIBABA BAANDH R.NO. 1  MOLANPUR DAANDA",384,334,0,718,290,144,0,434,434,0,6,309,97,1,4,2,0,1,0,0,2,3,3,4,2,0,434
14,"P.S.HARIBABA BANDH R.NO.2 MOLANPUR",495,377,0,872,313,144,0,457,457,0,74,216,137,2,6,2,1,3,3,0,1,3,1,5,3,0,457
15,P.S.HARDASPUR,564,462,0,1026,363,286,0,649,649,0,263,231,136,0,1,2,1,0,1,0,0,1,2,4,2,5,649
16,"PS HEMADPUR",573,509,0,1082,474,338,0,812,812,0,123,519,128,3,2,0,2,2,4,1,2,1,7,6,3,9,812
17,"PS DEEPPUR DANDA",542,480,0,1022,323,252,0,575,575,0,83,290,154,7,4,15,0,0,0,0,2,4,5,1,6,4,575
