"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - NAFISUDDIN","2 - BEGUM NOOR BANO URF MEHTAB","3 - HAJI MOHD YAQOOB","4 - KUNWER SARVESH KUMAR","5 - DR S T HASAN","6 - AMIT KUMAR","7 - KAMAR ALAM","8 - JAIPAL SINGH SAINI","9 - MOHD ZAFAR IQBAL","10 - TEAJ SINGH SAINI","11 - ENGINEER MOHAMMAD IRFAN","12 - VIMAL KUMAR","13 - SATISH CHANDRA SHARMA","14 - SANDEEP KUMAR","15 - SAURABH PRATAP SINGH","16 - HARIOM","17 - RAJ KUMAR GUPTA","18 - ROOPA CHANDRA SINGH","19 - None of the Above","Total Votes Secured"
1,"P.S. DARIYAPUR ROOM 1",553,484,0,1037,449,349,0,798,802,0,2,2,3,669,101,2,0,0,1,2,1,1,2,4,3,4,1,0,0,798
2,"P.S. RAJUPUR KHADDAR ROOM 1",487,437,0,924,401,288,0,689,687,0,2,2,7,633,11,3,0,1,1,13,0,0,4,1,7,0,1,1,2,689
3,"P.S. PAINDAPUR ROOM 1",458,411,0,869,355,301,0,656,647,0,2,5,238,373,5,1,0,0,0,3,0,1,3,4,19,0,1,0,1,656
4,"P.B. SALEMPUR DITITYA ROOM 1",684,572,0,1256,524,316,0,840,788,0,7,4,178,329,89,1,1,6,0,1,186,2,3,4,12,5,3,4,5,840
5,"P.B. SALEMPUR DITITYA ROOM 4",365,299,0,664,182,171,0,353,353,0,2,1,74,96,56,4,2,3,2,0,90,1,2,5,6,0,1,0,8,353
6,"P.B. SALEMPUR DITITYA ROOM 2",483,405,0,888,260,264,0,524,519,0,1,17,77,40,201,3,0,4,1,5,163,3,0,2,0,1,0,2,4,524
7,"P.B. SALEMPUR DITITYA ROOM 3",542,471,0,1013,321,302,0,623,623,0,4,3,246,15,102,1,0,7,0,1,240,0,1,1,0,1,0,0,1,623
8,"J.H.S. SALEMPUR DITIYA ROOM 1",576,441,0,1017,336,299,0,635,628,0,0,0,24,18,307,0,1,7,1,3,269,0,0,0,2,2,0,1,0,635
9,"J.H.S. SALEMPUR DITIYA ROOM 2",594,491,0,1085,278,305,0,583,575,0,1,4,57,42,101,0,0,5,1,3,361,1,1,0,1,3,0,1,1,583
10,"J.H.S.  SALEMPUR DITITYA ROOM 3",764,658,0,1422,436,344,0,780,728,0,1,0,33,403,186,2,0,0,1,0,139,2,0,2,5,3,1,2,0,780
11,"J.H.S.  SALEMPUR DITITYA ROOM 4",183,153,0,336,118,83,0,201,200,0,0,1,6,116,59,0,0,0,2,2,11,0,0,0,2,2,0,0,0,201
12,".P.S. GADHI ROOM 1",805,606,0,1411,461,341,0,802,802,0,1,7,633,5,44,1,0,1,0,0,102,0,1,2,0,0,1,0,4,802
13,"P. S. GADHI ROOM 2",577,466,0,1043,270,275,0,545,545,0,0,3,169,1,72,0,1,1,2,1,288,1,3,1,0,0,0,0,2,545
14,"P.S. GADHI ROOM NEW",334,302,0,636,160,193,0,353,353,0,0,2,140,13,93,4,0,0,0,0,92,2,0,0,0,2,1,0,4,353
15,"P.S. GADHI ROOM 3",763,679,0,1442,480,472,0,952,952,0,5,3,184,349,271,5,1,3,2,2,102,1,3,2,6,8,2,1,2,952
16,"PANCHAYAT GHAR GADHI ROOM1",827,669,0,1496,426,377,0,803,803,0,1,9,406,17,278,2,1,3,1,1,74,2,2,2,1,0,0,1,2,803
17,"P.S. SIKANDRABAD ROOM 1",567,465,0,1032,370,354,0,724,724,0,0,8,303,30,296,0,0,0,0,0,76,0,0,3,2,2,0,1,3,724
18,"P.S. SIKANDRABAD ROOM 2",334,294,0,628,254,180,0,434,434,0,2,1,212,16,173,1,1,0,0,0,13,3,0,5,2,1,2,0,2,434
19,"P.S. KASAMPUR NIKAT KANTH ROOM 1",694,558,0,1252,451,406,0,857,857,0,1,2,79,353,318,1,0,4,1,2,85,3,0,0,2,4,0,0,2,857
20,"P.S. KASAMPUR NIKAT KANTH ROOM 2",707,624,0,1331,448,403,0,851,849,0,3,6,26,14,630,5,0,3,2,6,144,5,1,0,3,0,1,0,2,851
21,"P.S. KASAMPUR NIKAT KANTH ROOM 3",241,216,0,457,137,149,0,286,286,0,0,2,43,14,168,0,0,0,0,0,58,0,0,0,0,0,1,0,0,286
22,"P.S. AKBARPUR CHEDRY ROOM 1",744,691,0,1435,348,399,0,747,747,0,2,8,169,20,434,5,1,3,1,2,91,0,0,2,0,2,3,1,3,747
23,"P.S. AKBARPUR CHEDRY ROOM 3",306,260,0,566,131,148,0,279,279,0,2,2,77,10,56,1,1,0,1,1,123,3,0,0,0,0,0,0,2,279
24,"P.S. AKBARPUR CHEDRY ROOM 2",830,681,0,1511,497,471,0,968,968,0,3,5,134,319,358,3,2,4,1,5,107,3,3,3,9,7,0,0,2,968
25,"P.S. AKBARPUR CHEDRY ROOM 4",403,355,0,758,207,221,0,428,428,0,3,1,19,9,116,2,0,2,0,0,271,1,1,2,0,0,1,0,0,428
26,"J.H.S. BAHADARPUR KHADDAR ROOM 1",324,294,0,618,269,230,0,499,499,0,1,1,72,395,16,1,3,1,1,2,0,1,0,0,2,0,1,0,2,499
27,"J.H.S. BAHADARPUR KHADDAR ROOM 2",373,319,0,692,297,258,0,555,555,0,2,1,128,261,101,0,0,0,0,0,3,43,0,0,1,0,4,0,11,555
28,"P.S. MALLIBALA ROOM 1",879,756,0,1635,600,518,0,1118,1118,0,9,6,88,693,236,4,1,7,3,3,28,2,3,4,15,7,2,2,5,1118
29,"P.S. NYA BHABAN BEGUMPUR ROOM1",663,490,0,1153,480,356,0,836,836,0,2,3,40,510,228,3,3,2,2,1,4,21,3,3,6,4,0,0,1,836
30,"P.S. NYA BHABAN BEGUMPUR ROOM2",547,482,0,1029,357,311,0,668,668,0,4,2,98,133,402,1,2,0,0,5,8,2,3,3,4,1,0,0,0,668
31,"P.S. NYA BHABAN BEGUMPUR ROOM3",526,386,0,912,393,275,0,668,668,0,1,2,51,503,63,2,1,2,2,5,6,2,3,1,13,5,0,1,5,668
32,"P.S. MISHRIPUR ROOM 1",521,449,0,970,395,312,0,707,707,0,2,1,200,400,47,1,0,0,0,30,0,2,6,2,9,2,0,2,3,707
