"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AJAY RAI","2 - KAILASH CHAURASIYA","3 - NARENDRA MODI","4 - VIJAY PRAKASH JAISAWAL","5 - HIRALAL YADAV","6 - A.K. AGGARWAL","7 - ABHIMANYU SINGH PATEL","8 - ARVIND KEJRIWAL","9 - ARUN","10 - INDIRA TIWARI","11 - USMAN","12 - OM GURU CHARAN DAS ALIAS VIMAL KUMAR SINGH","13 - DEVI PRASAD NAND","14 - NARENDRA NATH DUBEY ADIG","15 - BACHCHELAL","16 - RAJESH BHARTI SURYA","17 - RAM LAKHAN GUPTA","18 - LALLAN","19 - SHIVHARI AGARWAL","20 - SANTOSH KUMAR","21 - HARI LAL","22 - HEMANT KUMAR YADAV","23 - AHMED SOHEL SIDDIQUI","24 - IFTEKHAR KURAISHI","25 - GHANSHYAM","26 - JOHNSON THOMAS","27 - NARENDRA BAHADUR SINGH","28 - PRAKASH PRASAD","29 - PRABHAT KUMAR","30 - PRAMOD KUMAR","31 - BACHCHAN PRASAD YADAV","32 - BASEER KINNAR","33 - MANOJ KUMAR CHAUBEY","34 - MAHENDRA MISHRA","35 - RAVINDRA KUMAR","36 - RAJIV KUMAR MISHRA","37 - RAJENDRA PRASAD GARIB DAS","38 - RAMPYARE SINGH","39 - SHIV KUMAR SHAH","40 - SATISH SHANKAR JAYASWAL","41 - SATYAPRAKASH SRIVASTAVA","42 - SARVESH KUMAR GUPTA","43 - None of the Above","Total Votes Secured"
1,B.P.P.BAREMA,877,673,1,1551,562,389,0,951,951,0,19,39,722,107,1,2,0,16,1,4,1,2,8,8,0,5,1,0,3,3,0,1,1,0,0,1,0,1,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,951
2,"YUGAL BIHARI.I.C.RAMESHWAR",508,407,0,915,368,284,0,652,652,0,37,9,328,161,5,6,0,29,3,3,3,0,2,2,1,6,2,0,2,3,1,4,0,3,1,2,0,2,2,4,1,11,5,1,4,1,4,1,0,0,1,0,2,652
3,P.P.HIRAMPUR,387,321,0,708,258,206,0,464,464,0,35,31,190,95,1,2,3,64,1,1,0,0,1,1,3,5,2,1,0,2,2,0,1,1,5,0,2,1,1,1,1,3,1,0,0,0,3,1,0,0,1,2,0,464
4,"B.P.P JAGAPATTI",583,484,0,1067,371,296,0,667,667,0,38,221,202,110,2,3,1,43,2,3,1,0,3,0,6,6,0,0,2,4,0,2,2,0,1,1,0,0,1,2,2,2,0,2,0,2,0,0,0,1,0,0,2,667
5,P.P.PARSIPUR,348,278,0,626,178,159,0,337,337,0,60,8,133,56,4,1,0,56,1,2,0,0,0,0,0,4,2,0,0,0,0,0,2,3,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,337
6,"P.P. LACHCHHIPUR",322,269,0,591,187,163,0,350,350,0,88,69,143,9,2,0,0,25,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,1,0,0,0,1,350
7,P.P.PATRCHAK,535,389,0,924,325,248,0,573,573,0,15,88,194,109,15,3,1,70,2,6,0,3,4,2,2,8,1,4,0,4,2,6,3,2,1,3,2,2,3,1,2,6,3,0,0,0,1,1,0,0,2,1,1,573
8,"B.P.P.BHATAULI R.NO.1",472,407,1,880,332,276,0,608,608,0,23,71,166,269,4,3,0,31,0,1,1,0,1,1,2,1,0,1,1,0,0,0,1,2,2,3,2,2,0,2,1,3,1,0,3,0,5,1,0,0,2,2,0,608
9,"B.P.P.BHATAULI R.NO.2",809,651,0,1460,499,415,0,914,914,0,17,25,615,72,13,5,1,40,1,5,4,3,6,7,3,10,1,0,4,6,0,2,1,1,5,7,5,6,5,7,2,13,4,3,3,1,7,0,0,1,0,0,3,914
10,"P.P. GOSAIPUR",257,219,0,476,185,147,0,332,332,0,3,24,232,29,3,1,1,17,0,2,1,0,0,4,1,2,0,0,0,1,0,1,1,0,2,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,332
