"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ANIL SHUKLA WARSI","2 - DEVENDRA SINGH BHOLE SINGH","3 - RAJARAM PAL","4 - LAL SINGH TOMAR","5 - AMAR SINGH","6 - ARVIND KUMAR","7 - DR. OMKAR NATH KATIYAR","8 - GOPI RAMAN","9 - JASWANT SINGH","10 - DR. BAJARANG PRATAP SONKAR","11 - RAMA KANT VERMA","12 - RAMENDRA SINGH TOMAR","13 - ASHOK YADAV","14 - NEERAJ KUMAR ADVOCATE","15 - BHARTI DEVI PASI ADVOCATE","16 - MUNNI DEVI","17 - RAM SEVAK","18 - VIJAY KUMAR SHARMA","19 - None of the Above","Total Votes Secured"
1,"BESIC PRA. VI. NARAMAU ROOM NO.1",473,388,0,861,352,233,0,585,35,0,1,1,2,0,0,0,1,0,0,0,3,0,51,18,369,139,0,0,0,585
2,"BESIC PRA. VI. NARAMAU ROOM NO.2",434,392,0,826,299,238,0,537,50,0,94,157,84,185,3,2,0,0,0,1,0,0,1,1,3,1,3,0,2,537
3,"PRA.SCHOOL NARAMAU BANGAR OLD",405,331,0,736,252,188,0,440,50,0,58,292,25,54,0,1,0,1,0,0,1,0,1,0,1,1,2,2,1,440
4,"PARISHADIY PRA. VIDHYALAYA ROOM NO.1 NANKARI",535,435,0,970,310,219,0,529,504,0,97,228,145,36,0,9,0,0,0,0,0,1,2,1,2,6,1,1,0,529
5,"PARISHADIY PRA. VIDHYALAYA ROOM NO.2 NANKARI",969,786,1,1756,490,341,0,831,629,0,121,308,254,99,0,28,1,0,0,1,1,1,1,0,3,4,3,3,3,831
6,"PARISHADIYA POORVA MA.VI. NANKARI ROOM NO.1",586,433,0,1019,300,184,0,484,367,0,84,245,83,49,1,14,0,0,0,1,0,0,0,1,0,0,2,1,3,484
7,"PARISHADIYA POORVA MA.VI. NANKARI ROOM NO.2",625,464,0,1089,294,223,0,517,295,0,75,271,85,63,0,17,0,0,1,0,0,2,0,0,1,1,1,0,0,517
8,"PARISHADIYA POORVA MA.VI. NANKARI ROOM NO.3",729,645,0,1374,390,295,0,685,24,0,62,442,101,45,0,20,1,0,0,1,0,2,1,0,0,1,1,2,6,685
9,"I.I.T. CAMPUS SCHOOL I.I.T. KANPUR ROOM NO.1",374,280,0,654,197,138,0,335,335,0,5,250,39,27,0,7,1,1,0,0,0,0,0,0,1,0,0,0,4,335
10,"I.I.T. CAMPUS SCHOOL I.I.T. KANPUR ROOM NO.2",559,442,0,1001,365,186,0,551,485,0,19,387,54,34,0,44,2,0,0,0,0,0,0,0,0,0,0,4,7,551
11,"I.I.T. CAMPUS SCHOOL I.I.T. KANPUR ROOM NO.3",551,452,0,1003,343,208,0,551,485,0,51,427,38,29,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,551
12,"I.I.T. CAMPUS SCHOOL I.I.T. KANPUR ROOM NO.4",458,367,0,825,246,169,0,415,399,0,137,176,61,18,0,14,0,0,0,0,0,0,0,0,0,1,8,0,0,415
13,"CUMMUNITY CENTER I.I.T. KANPUR ROOM NO.1",701,466,0,1167,246,181,0,427,332,0,61,212,81,35,0,33,0,0,0,0,0,0,0,0,0,1,0,0,4,427
14,"CUMMUNITY CENTER I.I.T. KANPUR ROOM NO.2",536,337,0,873,193,139,0,332,314,0,13,218,55,14,0,25,0,1,0,0,0,0,0,0,0,2,0,1,3,332
15,"CUMMUNITY CENTER I.I.T. KANPUR ROOM NO.3",355,308,0,663,192,186,0,378,350,0,25,228,41,21,0,55,0,0,0,0,0,0,0,0,0,0,0,0,8,378
16,"SARDAR PATEL I.COLLAGE BARRY KALYANPUR ROOM NO.1",774,631,0,1405,366,249,0,615,601,0,262,238,47,45,0,14,0,2,1,0,1,0,0,0,2,3,0,0,0,615
17,"SARDAR PATEL I.COLLAGE BARRY KALYANPUR ROOM NO.2",330,306,0,636,166,120,0,286,231,0,45,176,14,36,1,10,0,0,0,0,0,0,0,0,0,0,0,0,4,286
18,"SARDAR PATEL I.COLLAGE BARRY KALYANPUR ROOM NO.3",616,526,0,1142,316,235,0,551,466,0,122,216,134,55,1,4,1,1,1,2,2,0,0,0,1,0,3,3,5,551
19,"SARDAR PATEL I.COLLAGE BARRY KALYANPUR ROOM NO.4",446,406,1,853,253,186,0,439,401,0,102,212,83,29,0,5,0,0,0,1,1,1,1,1,0,1,0,1,1,439
20,"SARDAR PATEL I.COLLAGE BARRY KALYANPUR ROOM NO.5",703,527,0,1230,375,256,0,631,67,0,52,375,104,62,0,16,1,0,1,0,1,2,0,3,4,6,0,1,3,631
21,"SARDAR PATEL I.COLLAGE BARRY KALYANPUR ROOM NO.6",735,616,0,1351,407,298,0,705,656,0,77,479,74,28,3,18,1,0,0,0,2,2,2,2,1,0,2,12,2,705
22,"SARSWATI GYAN MANDIR I.COLLAGE INDRA NAGAR KALYANPUR ROOM NO.1",689,618,0,1307,378,304,0,682,656,0,116,378,89,71,2,15,0,0,0,0,0,0,1,0,2,3,2,0,3,682
23,"SARSWATI GYAN MANDIR I.COLLAGE INDRA NAGAR KALYANPUR ROOM NO.2",333,281,0,614,170,121,0,291,30,0,40,156,16,70,0,4,0,0,0,0,0,0,2,0,0,1,1,1,0,291
24,"SARSWATI GYAN MANDIR I.COLLAGE INDRA NAGAR KALYANPUR ROOM NO.3",864,741,0,1605,377,346,0,723,123,0,35,547,60,30,0,41,1,0,0,0,1,1,0,0,0,2,0,0,5,723
25,"SARSWATI GYAN MANDIR I.COLLAGE INDRA NAGAR KALYANPUR ROOM NO.4",926,813,0,1739,401,366,0,767,574,0,101,525,68,30,0,33,1,0,0,0,0,1,0,1,2,2,0,0,3,767
26,"SARSWATI GYAN MANDIR I.COLLAGE INDRA NAGAR KALYANPUR ROOM NO.5",812,695,0,1507,405,328,0,733,526,0,32,564,70,34,0,22,0,0,0,0,0,1,0,0,0,0,0,1,9,733
