"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - BHAL CHANDRA YADAV","2 - BHISM SHANKAR ALIAS KUSHAL TIWARI","3 - ROHIT KUMAR PANDEY","4 - SHARAD TRIPATHI","5 - AFTAB ALAM KHAN","6 - JANTRI LAL CHAUHAN","7 - JYOTI SINGH","8 - PREM PRAKASH","9 - SANT SIROMANI BABOOLAL YADAV MAHARAJ JI","10 - MOHAMMAD ALI","11 - RAVIKANT","12 - RAJMANI","13 - RAJARAM","14 - RAJENDRA KUMAR","15 - LOTAN URF LAUTAN PRASAD","16 - SHABBEER HUSEN","17 - APARNA","18 - AMIT","19 - KRIPANARAYAN RAI","20 - KAILASH NATH BELDAR","21 - JAIYANTRI PRASAD","22 - MOHAMMAD IRFAN","23 - SHAYAM LAL","24 - SUBODH CHANDRA","25 - SURENDRA KUMAR CHAUDHARY","26 - None of the Above","Total Votes Secured"
1,"P.S DHANJWAL",414,341,0,755,226,201,0,427,421,0,278,26,2,88,1,0,2,1,3,3,0,0,0,0,4,7,5,1,2,1,0,0,0,1,0,2,427
2,"P.S. VISHUNPUR URF MEHNIYA",325,265,0,590,189,186,0,375,375,0,130,78,26,123,0,0,0,0,1,1,0,1,0,1,1,7,2,0,0,0,0,0,1,0,1,2,375
3,"P.S. KHARWANIYA",484,401,0,885,270,227,0,497,481,0,132,114,9,222,3,0,1,0,2,1,0,1,2,1,1,2,2,0,0,0,1,0,0,1,2,0,497
4,"P.S. JAMUHAT",467,363,0,830,273,260,0,533,253,0,323,76,2,101,3,1,4,1,0,1,1,2,3,1,3,2,4,1,0,1,0,1,0,0,1,1,533
5,"P.S. BELDUHA",411,380,0,791,192,216,0,408,399,0,109,85,25,169,3,0,0,0,2,2,1,1,2,0,1,2,1,1,1,0,0,0,1,1,1,0,408
6,"P.S. PADARAHA",436,395,0,831,249,252,0,501,495,0,187,43,9,231,3,1,1,0,0,1,0,0,1,2,2,5,4,1,1,1,0,0,0,2,2,4,501
7,"P.S. SAWAPAR",468,342,0,810,212,158,0,370,275,0,114,14,5,223,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,3,3,370
8,"P.S. SAWAPAR",370,381,1,752,200,176,0,376,376,0,149,52,6,146,2,1,0,1,0,0,0,0,1,1,1,7,3,2,0,3,0,0,1,0,0,0,376
9,"P.S. BHAGWANPUR",529,469,0,998,317,264,0,581,500,0,318,54,8,174,1,2,0,3,1,3,1,0,5,1,0,2,2,0,0,2,0,0,0,0,1,3,581
10,"PURB MA. VI. HARIHARPUR",640,546,0,1186,279,223,0,502,478,0,146,63,6,240,1,1,1,0,1,4,2,1,3,1,0,4,7,0,1,6,3,2,1,0,5,3,502
11,"J.H.S. HARIHARPUR",838,726,0,1564,343,328,0,671,650,0,303,47,13,247,7,2,1,2,5,9,2,1,9,2,0,8,0,1,0,2,0,0,1,1,3,5,671
12,"J.H.S. HARIHARPUR",762,623,0,1385,357,294,0,651,626,0,253,7,19,315,1,2,4,3,2,4,1,0,3,2,5,16,2,0,0,1,0,1,1,0,3,6,651
13,"I.KALEJ HARIHARPUR",677,577,0,1254,360,317,0,677,601,0,303,35,15,299,1,0,0,1,0,5,2,1,2,0,1,3,1,0,0,1,0,1,1,1,2,2,677
14,"P.S. GUMANARI URF BAHARAI",334,301,0,635,147,154,0,301,291,0,123,69,0,98,0,0,1,0,1,5,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,301
15,"P.S. GUMANARI URF BAHARAI",480,420,0,900,228,229,0,457,457,0,169,55,3,167,2,2,0,2,4,3,1,3,12,5,2,5,6,0,0,5,0,4,1,1,5,0,457
16,"P.S. SUBAKHARI",474,400,0,874,242,216,0,458,458,0,198,127,3,107,0,0,1,0,0,3,0,2,0,2,0,5,2,0,0,1,1,0,1,0,3,2,458
17,"P.S. AGYA URF SIDAHI",257,235,0,492,123,141,0,264,198,0,44,54,12,68,2,0,3,0,2,1,1,0,47,0,2,2,5,2,0,1,0,0,2,7,6,3,264
18,"P.S JOGARAJA",401,381,0,782,215,228,0,443,361,0,173,68,12,136,5,1,2,1,1,2,1,1,10,2,4,6,3,1,0,0,0,3,0,2,5,4,443
19,"P.S CHERAPUR",637,557,0,1194,315,323,0,638,228,0,193,165,7,229,7,1,1,1,1,4,2,0,4,3,2,11,1,1,0,0,1,0,0,1,3,0,638
20,"J.H SH BHESHI URF BHESWARIYA",317,253,0,570,182,153,0,335,332,0,214,60,1,49,0,0,0,0,1,0,0,0,1,0,0,4,2,0,0,2,0,0,0,0,0,1,335
21,"P.S HARDI",611,522,0,1133,322,349,0,671,526,0,258,171,11,186,2,1,2,0,0,6,2,1,1,1,2,4,4,2,0,3,2,1,2,2,5,2,671
22,"P.S BHESHIJOT KAL",353,303,0,656,242,231,0,473,473,0,252,132,7,65,3,0,0,0,0,1,0,0,0,3,2,3,1,2,0,0,0,0,0,1,0,1,473
23,"P.S BANDHU PUR",504,496,0,1000,337,248,0,585,502,0,162,170,14,161,3,0,0,0,2,5,0,4,7,2,2,7,4,2,3,3,1,3,3,4,12,11,585
24,"P.S RAMUPUR",422,333,0,755,171,188,0,359,358,0,175,52,2,109,2,0,0,0,0,0,0,0,10,0,0,1,3,0,1,2,0,0,0,0,2,0,359
25,"P.S LAURITI",427,348,0,775,262,221,0,483,197,0,96,196,11,151,2,1,0,1,2,3,2,1,0,0,3,1,2,2,0,2,0,1,1,1,2,2,483
26,"P.S KHOLHGHAL",212,183,0,395,102,101,0,203,157,0,45,49,3,89,0,0,0,1,0,0,0,0,0,1,0,2,0,3,2,2,1,0,0,2,2,1,203
27,"P.S COLUGHAGA",323,282,0,605,181,171,0,352,352,0,36,102,5,174,2,0,0,1,1,1,1,1,2,1,0,3,1,4,0,6,1,1,0,1,3,5,352
28,"P.S BHOGIPUR",377,320,0,697,200,198,0,398,350,0,57,205,12,106,1,1,0,0,1,1,0,2,0,0,0,1,1,0,1,2,0,1,1,1,4,0,398
29,"P.S RATANPUR",658,566,0,1224,425,348,0,773,741,0,573,153,2,21,0,0,0,2,2,1,0,1,0,0,3,5,6,2,0,0,0,0,0,1,0,1,773
30,"J.H.S HARPUR",559,485,0,1044,370,300,0,670,663,0,510,34,3,108,0,2,2,1,1,3,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,670
31,"P.S CHHATI",557,452,0,1009,315,237,0,552,540,0,124,106,6,291,3,0,1,2,1,1,1,1,1,0,3,0,0,1,0,3,0,1,1,3,1,1,552
32,"P.S BHATNI KALA",369,336,0,705,180,146,0,326,320,0,75,93,9,121,2,1,0,0,1,3,2,1,2,1,3,5,0,0,0,0,2,0,0,1,2,2,326
33,"P.S GAJDHRPUR",230,209,0,439,130,131,0,261,261,0,18,92,21,103,15,0,1,0,0,0,0,0,0,0,1,1,1,3,0,1,2,0,0,1,1,0,261
34,"P.S GAJDHRPUR",357,289,0,646,195,178,0,373,373,0,24,166,6,147,0,1,2,0,15,1,0,0,1,0,1,3,0,2,1,0,0,0,0,0,2,1,373
35,"P.S DAULTPUR",362,292,0,654,186,146,0,332,269,0,38,156,8,99,3,1,1,0,1,6,2,1,0,3,2,3,0,0,0,0,0,1,0,2,2,3,332
36,"P.S NAGUWA",635,520,0,1155,331,272,0,603,542,0,41,213,8,310,6,0,2,0,0,3,1,0,10,0,3,2,0,4,0,0,0,0,0,0,0,0,603
37,"P.S SHNICHRA BABU",619,522,0,1141,362,284,0,646,634,0,220,234,8,151,3,0,1,1,0,1,0,0,6,1,3,1,7,4,1,1,0,0,1,0,2,0,646
38,"U.M.B SIKTHA",655,547,0,1202,371,288,0,659,590,0,96,117,11,350,4,0,0,1,0,3,1,2,5,0,1,7,11,6,0,17,0,4,0,7,12,4,659
39,"P.S MUBDRIYARI",540,467,0,1007,324,293,0,617,607,0,330,130,3,129,3,3,2,0,2,0,0,0,0,1,2,3,2,0,1,2,0,0,1,0,1,2,617
40,"P.S PARMESHWARPUR",547,487,0,1034,313,308,0,621,601,0,165,191,3,215,2,0,1,3,1,5,1,1,5,4,3,2,6,3,0,3,0,2,0,2,1,2,621
41,"P.S BELRAI",728,630,0,1358,376,405,0,781,751,0,361,115,7,247,13,1,4,4,6,6,2,1,4,0,3,1,1,2,0,1,0,0,0,1,1,0,781
42,"P.S ITTIOUWA",401,300,0,701,186,164,0,350,317,0,132,55,1,148,3,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,3,1,350
43,"J.H.S DHAYPOKHAR",603,409,0,1012,228,198,0,426,424,0,79,110,4,206,3,0,0,0,1,0,1,2,1,0,2,2,0,3,0,4,0,0,0,2,1,5,426
44,"J.H.S DHAYPOKHAR P.PART",591,536,0,1127,276,262,0,538,500,0,137,185,9,176,2,1,0,1,0,2,1,1,0,2,1,5,4,1,0,0,1,0,0,1,2,6,538
45,"P.S MANPUR",653,582,0,1235,261,301,0,562,531,0,262,49,3,59,1,1,2,1,2,6,1,2,145,1,3,6,2,1,0,2,1,1,1,2,3,5,562
46,"P.S MANPUR",627,548,0,1175,293,295,0,588,581,0,180,93,6,247,5,0,3,0,0,3,0,1,20,2,4,2,9,1,0,2,1,2,0,3,2,2,588
47,"P.S KEWTLI",530,447,0,977,297,293,0,590,586,0,65,88,22,329,4,2,1,2,14,5,1,1,4,1,3,5,8,4,6,3,1,2,5,3,6,5,590
48,"P.S DAHROULI",337,296,0,633,155,179,0,334,331,0,4,21,5,267,5,1,0,0,12,1,1,1,3,1,1,3,0,0,0,1,0,1,1,3,2,0,334
49,"P.S SISWNYA",536,470,0,1006,305,284,0,589,585,0,123,97,27,284,3,2,0,1,2,1,1,0,0,3,22,2,3,3,1,8,2,1,1,0,2,0,589
50,"P.S JOTKHAPUR",188,168,0,356,75,109,0,184,181,0,29,53,4,26,2,0,0,0,7,1,0,0,51,0,1,2,2,3,0,1,0,1,0,1,0,0,184
51,"P.S KOHNA",296,264,0,560,166,170,0,336,316,0,9,205,5,104,1,1,0,0,1,2,0,0,0,1,0,2,1,1,1,0,0,0,0,2,0,0,336
