"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ARVIND KUMAR JAISWAL","2 - MULAYAM SINGH YADAV","3 - RAMAKANT YADAV","4 - SHAH ALAM ALIAS GUDDU JAMALI","5 - M. AMIR RASHADI","6 - KIRAN SHARAMA","7 - DURG VIJAY YADAV","8 - PRAKASH CHANDRA","9 - MADAN","10 - RAJDHARI RAJBHAR","11 - RAJESH YADAV","12 - SANJAY KUMAR CHATURVEDI","13 - SANTOSH KUMAR GAUTAM","14 - PRAMOD SINGH","15 - RAM SINGH CHAUHAN","16 - SHAMSHAD AHMAD","17 - SUGRIV CHAUHAN","18 - SANJAY CHAUHAN","19 - None of the Above","Total Votes Secured"
1,"P.V. RANIPUR RAJMON R.N.-1",817,705,0,1522,411,404,0,815,814,0,14,53,259,409,17,1,3,3,8,3,6,5,6,5,4,9,0,3,7,815
2,"P.V. RANIPUR RAJMON R.N.-2",735,591,0,1326,372,363,0,735,734,0,7,75,611,18,4,0,2,2,4,1,1,1,2,1,1,3,0,0,2,735
3,"J.H.S. RANIPUR RAJMON  R.N.-1",773,546,0,1319,410,380,0,790,790,0,8,174,505,42,39,0,0,2,6,1,0,1,1,2,3,3,0,1,2,790
4,"J.H.S.RANIPUR RAJMON R.N.-2",386,277,0,663,196,142,0,338,338,0,3,72,197,36,18,1,2,0,2,2,0,3,1,0,0,1,0,0,0,338
5,"K.P.V. RANIPUR RAJMON R.N.-1",708,532,0,1240,345,301,0,646,606,0,7,20,398,184,3,1,2,1,4,0,11,5,1,0,0,0,2,1,6,646
6,"K.P.V. RANIPUR RAJMON R.N.-2",704,539,0,1243,365,285,0,650,600,0,10,71,477,70,0,1,0,2,5,0,1,2,3,2,1,2,1,2,0,650
7,"K.P.V. RANIPUR RAJMON R.N.-3",736,603,0,1339,300,386,0,686,600,0,13,116,398,141,4,0,1,0,2,0,1,4,0,1,1,0,2,2,0,686
8,"P.V. KALANDARPUR R.N.-1",525,424,0,949,306,182,0,488,418,0,15,158,122,158,6,0,1,0,2,2,1,4,4,2,1,4,1,2,5,488
9,"P.V. KALANDARPUR R.N.-2",406,341,0,747,211,206,0,417,417,0,5,119,152,123,1,0,0,1,3,0,1,1,0,1,0,3,1,3,3,417
10,"P.V. KALANDARPUR R.N.-3",696,508,1,1205,316,299,0,615,614,0,14,391,130,54,5,1,1,1,3,2,1,3,1,0,1,1,0,3,3,615
11,"P.V. THANAULI R.N.-1",600,496,1,1097,311,325,0,636,636,0,12,98,370,112,17,0,2,4,5,0,0,3,3,2,1,1,0,0,6,636
12,"P.V. THANAULI R.N.-2",347,342,0,689,214,233,0,447,402,0,3,152,13,197,73,1,0,0,1,1,2,1,2,0,0,1,0,0,0,447
13,"MINI SACHIVALAY MANGRAVA RAIPUR",758,605,0,1363,384,383,0,767,680,0,7,49,273,354,42,1,3,2,6,3,4,2,5,3,2,5,2,2,2,767
14,"P.V. MANGRAVA RAIPUR",736,616,0,1352,278,352,0,630,545,0,15,227,30,159,176,3,0,0,1,1,1,8,2,1,0,4,1,1,0,630
15,"MADARSA ARBIYA KASIM ULUM MANGRAVA RAIPUR R.N.-1",602,452,0,1054,268,217,0,485,478,0,3,219,19,70,164,2,1,1,1,0,1,0,2,0,0,0,0,0,2,485
16,"MADARSA ARBIYA KASIM ULUM MANGRAVA RAIPUR R.N.-2",581,444,0,1025,288,237,0,525,495,0,3,314,17,67,111,1,0,0,0,0,2,2,2,1,0,1,1,3,0,525
17,"I.K. MANGRAVA RAIPUR R.N.-1",388,317,0,705,191,167,0,358,353,0,5,147,30,67,101,0,0,0,0,0,1,0,0,1,2,1,1,1,1,358
18,"I.K. MANGRAVA RAIPUR R.N.-2",343,297,1,641,175,212,0,387,348,0,6,63,24,227,54,2,0,1,0,0,0,0,1,1,0,3,1,3,1,387
19,"P.V. UMARI GANESHPUR R.N.-1",507,420,0,927,240,251,0,491,490,0,12,143,122,186,4,2,0,2,3,0,1,2,2,2,1,1,0,0,8,491
20,"P.V. UMARI GANESHPUR R.N.-2",432,327,0,759,227,206,0,433,300,0,8,167,197,23,3,0,2,3,7,2,5,2,2,1,1,5,1,0,4,433
21,"P.V. JAFARPUR R.N.-1",563,442,0,1005,265,283,0,548,500,0,10,117,365,22,2,0,0,4,9,1,2,2,0,2,4,0,0,2,6,548
22,"P.V. JAFARPUR R.N.-2",422,320,0,742,202,213,0,415,360,0,13,54,311,20,0,1,0,1,3,0,3,1,0,3,0,2,2,0,1,415
23,"P.V. KATRA",319,265,0,584,142,195,0,337,276,0,0,47,24,251,11,1,0,0,2,0,0,0,1,0,0,0,0,0,0,337
24,"P.V. VISHAM MIRJAPUR R.N.-1",654,548,1,1203,357,337,0,694,690,0,12,285,75,170,128,1,0,3,2,1,1,1,2,1,0,3,3,1,5,694
25,"P.V. VISHAM MIRJAPUR R.N.-2",741,620,0,1361,381,356,0,737,680,0,1,183,21,315,215,0,0,0,0,0,0,0,2,0,0,0,0,0,0,737
26,"K.M.V. VISHAM MIRJAPUR",828,668,0,1496,448,432,0,880,803,0,11,457,82,268,40,1,0,2,0,0,3,4,0,0,2,0,3,6,1,880
27,"P.V. SURJANPUR R.N.-1",403,289,0,692,192,162,0,354,343,0,5,83,240,9,0,0,0,0,2,0,1,1,1,1,0,1,2,1,7,354
