"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AQEEL UR REHMAN KHAN","2 - ACHARYA PRAMOD KRISHNAM","3 - DR SHAFIQ UR RAHMAN BARQ","4 - SATYAPAL SINGH","5 - MOHD ASLAM URF PASHA","6 - DHARAM YADAV","7 - DR. RASHID ALI","8 - REKHA DEVI YADAV","9 - AQEEL AHMAD","10 - NANAD RAM KHADAGVANSHI","11 - NUTAN VIJAY ADVOCATE","12 - FIROZ HAIDER","13 - RASHID","14 - None of the Above","Total Votes Secured"
1,"PRIMARY SCHOOL BHAISIYA ROOM-1",644,523,0,1167,410,302,0,712,26,0,26,8,232,415,3,0,1,3,1,1,11,7,3,1,712
2,"PRIMARY SCHOOL BHAISIYA ROOM-3",631,506,0,1137,382,285,0,667,600,0,26,2,317,295,2,1,0,1,2,1,7,1,2,10,667
3,"PRIMARY SCHOOL BHAISIYA ROOM-2",510,422,0,932,332,242,0,574,570,0,301,15,164,66,1,2,14,0,2,1,1,0,4,3,574
4,"PRIMARY SCHOOL BHAISIYA ROOM-4",532,464,0,996,301,214,0,515,499,0,272,11,180,34,1,1,5,1,0,1,3,2,1,3,515
5,"JUNIOR HIGH SCHOOL BHAISIYA",738,551,0,1289,444,283,0,727,727,0,434,13,109,147,1,0,2,1,3,2,5,3,0,7,727
6,"YUNITI PUBLIK  SCHOOL BHAISIYA",792,581,0,1373,435,259,0,694,693,0,320,23,273,59,2,1,6,1,0,2,2,0,1,4,694
7,"PRIMARY SCHOOL KAKAR GHATA",524,429,0,953,432,335,0,767,764,0,298,11,167,278,3,0,5,0,0,1,3,1,0,0,767
8,"PRIMARY SCHOOL SAHOO NAGLA",649,481,0,1130,466,366,0,832,822,0,406,6,363,33,2,2,5,0,3,1,0,4,1,6,832
9,"PRIMARY SCHOOL VEERPUR THAN ROOM-1",508,359,0,867,333,198,0,531,401,0,268,4,237,4,0,3,1,0,5,1,0,1,1,6,531
10,"PRIMARY SCHOOL VEERPUR THAN ROOM -3",577,331,1,909,274,157,0,431,250,0,139,92,145,40,1,0,0,1,0,0,4,1,1,7,431
11,"PRIMARY SCHOOL VEERPUR THAN ROOM-2",1071,751,0,1822,665,411,0,1076,1071,0,334,10,594,109,0,7,0,1,2,1,3,0,4,11,1076
