"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ANIL SHUKLA WARSI","2 - DEVENDRA SINGH BHOLE SINGH","3 - RAJARAM PAL","4 - LAL SINGH TOMAR","5 - AMAR SINGH","6 - ARVIND KUMAR","7 - DR. OMKAR NATH KATIYAR","8 - GOPI RAMAN","9 - JASWANT SINGH","10 - DR. BAJARANG PRATAP SONKAR","11 - RAMA KANT VERMA","12 - RAMENDRA SINGH TOMAR","13 - ASHOK YADAV","14 - NEERAJ KUMAR ADVOCATE","15 - BHARTI DEVI PASI ADVOCATE","16 - MUNNI DEVI","17 - RAM SEVAK","18 - VIJAY KUMAR SHARMA","19 - None of the Above","Total Votes Secured"
1,"JR. H. SCHOOL MOHAMMADPUR",868,738,0,1606,491,395,0,886,886,0,202,324,214,110,2,1,0,0,2,2,0,0,6,3,9,8,2,0,1,886
2,"PR.VIDHYALAYA RISHIKUL BITHOO",781,667,0,1448,510,370,0,880,864,0,170,322,220,120,2,5,1,3,1,1,0,4,4,2,7,9,3,0,6,880
3,"POORV M. VIDHYALAY NEAR POLICE STATION TOWN AREA BITHOOR",805,575,0,1380,371,216,0,587,587,0,94,242,103,132,1,0,1,1,0,0,1,2,1,3,3,3,0,0,0,587
4,"RAM JANKI INTER COLLEGE TOWN AREA BITHOOR ROOM NO. 1",552,373,0,925,307,176,0,483,483,0,14,362,83,18,0,1,0,0,0,0,0,1,0,2,1,0,0,1,0,483
5,"RAM JANKI INTER COLLEGE TOWN AREA BITHOOR ROOM NO. 2",561,456,1,1018,338,225,0,563,563,0,67,307,129,38,0,13,0,0,0,0,0,0,2,1,2,1,1,0,2,563
6,"RAM JANKI INTER COLLEGE TOWN AREA BITHOOR ROOM NO. 3",606,507,0,1113,326,230,0,556,556,0,102,320,60,35,0,6,0,1,0,1,0,0,0,0,4,2,6,17,2,556
7,"RAM JANKI INTER COLLEGE TOWN AREA BITHOOR ROOM NO. 4",541,391,0,932,305,183,0,488,488,0,77,252,110,27,0,9,0,0,0,0,0,0,0,0,4,4,1,2,2,488
8,"RAM JANKI INTER COLLEGE TOWN AREA BITHOOR ROOM NO. 5",836,667,0,1503,460,349,0,809,809,0,159,399,177,48,1,7,1,0,0,0,0,1,5,0,2,3,1,0,5,809
9,"PR. SCHOOL RAMEL BANGAR ROOM NO.1",462,364,0,826,290,145,0,435,435,0,49,133,59,176,0,1,1,0,0,2,0,4,2,1,1,5,1,0,0,435
10,"PR. SCHOOL RAMEL BANGAR ROOM NO.2",531,391,0,922,343,193,0,536,536,0,144,180,73,124,1,1,0,2,0,1,0,0,0,1,1,5,1,0,2,536
11,"PR. SCHOOL PAIGUPUR BANGAR ROOM NO.1",720,523,0,1243,480,360,0,840,840,0,145,355,79,210,5,4,1,0,0,2,1,0,2,0,4,6,9,11,6,840
12,"PR. SCHOOL BARHAT BANGAR ROOM NO.1",567,466,0,1033,399,288,0,687,687,0,72,364,107,109,1,4,0,0,0,1,1,5,3,0,8,2,3,5,2,687
13,"PR. PATHSHALA (SAKSUPURWA)  BARHAT KACHHAR ROOM NO.1",402,316,0,718,292,212,0,504,504,0,69,79,156,167,3,3,1,1,1,1,0,1,1,4,1,3,6,3,4,504
14,"JR. H. SCHOOL BAKUNTHPUR ROOM NO.1",824,666,0,1490,516,375,0,891,891,0,143,460,181,82,2,7,0,0,1,1,1,1,0,1,5,2,1,1,2,891
