"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AJAY AGRAWAL","2 - PRAVESH SINGH","3 - SONIA GANDHI","4 - ARCHANA SRIVASTAVA","5 - ANJU SINGH","6 - KIRAN CHAUDHARI","7 - KAILASH KUMAR","8 - JAWAHAR LAL","9 - MOHAMMAD ASHRAF","10 - RATIRAM","11 - SHIV SEWAK","12 - SAHAR NAQVI","13 - SURESH CHANDRA","14 - PRAMOD KUREEL","15 - MANGAL SAIN","16 - SHAKIL AHAMAD","17 - SAHADAT ALI KHAN","18 - None of the Above","Total Votes Secured"
1,"BAGHAI AHALVAAR",338,297,0,635,198,151,0,349,349,0,54,23,231,6,2,0,1,0,1,3,0,5,4,6,2,6,2,3,349
2,"PAHADPUR MARDANPUR",740,638,0,1378,374,316,0,690,690,0,299,65,268,4,2,0,4,1,3,0,0,0,6,5,8,15,9,1,690
3,LODHVAMAU,614,563,0,1177,362,342,0,704,704,0,243,61,322,3,4,1,0,0,3,1,0,1,2,11,16,33,2,1,704
4,"BIBIPUR TALUKE HASNAPUR",528,430,0,958,273,204,0,477,477,0,60,40,344,7,0,0,1,0,1,3,0,0,4,6,2,5,1,3,477
5,HARDASPUR,531,462,0,993,337,273,0,610,610,0,80,80,411,5,1,1,1,2,1,0,1,2,2,5,5,11,0,2,610
6,HARDASPUR,535,448,0,983,315,253,0,568,568,0,103,17,403,8,1,1,1,3,1,0,2,0,1,14,2,6,1,4,568
7,"KACHAUDA NANKARI",493,457,0,950,298,220,0,518,518,0,160,39,268,9,4,1,1,1,0,0,0,3,2,8,2,6,6,8,518
8,ADAMPUR,662,543,0,1205,394,300,0,694,694,0,144,35,454,11,2,2,3,1,1,1,0,3,2,14,0,5,4,12,694
9,MARDANPUR,701,644,0,1345,406,365,0,771,771,0,254,25,385,11,5,2,4,1,1,7,6,6,8,12,15,22,2,5,771
10,PARIGAWAN,602,511,0,1113,410,295,0,705,705,0,114,117,407,7,4,3,2,4,4,1,6,3,6,2,14,8,1,2,705
11,"JATUA TAPPE VIJHUVAN",613,513,0,1126,332,230,0,562,562,0,74,73,377,13,4,2,1,2,0,1,1,1,3,5,2,3,0,0,562
12,"BHUWAPUR KALA",488,426,0,914,278,249,0,527,527,0,169,55,259,8,2,1,2,1,4,2,1,1,2,6,6,7,0,1,527
13,"PINDARI KHURD",558,477,0,1035,369,256,0,625,625,0,234,34,269,7,10,3,0,3,3,1,9,2,10,8,8,11,8,5,625
14,"BAHADUR NAGAR",375,340,0,715,212,195,0,407,407,0,95,104,166,4,1,1,2,1,1,1,2,3,3,7,5,7,0,4,407
15,DUSAUTI,596,543,0,1139,299,301,0,600,600,0,132,6,434,8,2,1,0,1,0,0,3,0,0,0,2,4,6,1,600
16,"KUTUBPUR BARENDA",366,329,0,695,189,166,0,355,355,0,99,24,207,4,1,1,1,0,0,0,0,1,0,2,0,9,4,2,355
17,RUKUNPUR,645,590,0,1235,319,263,0,582,582,0,123,22,367,15,3,1,5,1,2,2,3,5,5,9,9,8,2,0,582
18,GHURADEEH,532,486,0,1018,343,243,0,586,586,0,135,11,388,9,4,3,0,4,2,5,0,1,1,10,4,6,0,3,586
19,GHURADEEH,446,418,0,864,203,197,0,400,400,0,103,17,248,6,4,0,3,0,1,1,3,1,1,2,1,6,1,2,400
20,"MOHMMADPUR CHURAI",302,287,0,589,173,177,0,350,350,0,41,36,237,5,1,3,3,3,0,2,0,0,1,5,4,5,0,4,350
21,SAMARHADA,471,411,0,882,193,150,0,343,343,0,64,27,228,3,0,1,0,0,0,0,3,0,2,3,2,5,0,5,343
22,SAMARHADA,329,294,0,623,170,107,0,277,277,0,71,14,167,7,1,0,0,2,3,0,1,0,1,4,2,1,0,3,277
23,SAMARHADA,277,240,0,517,103,89,0,192,192,0,44,1,128,3,0,2,0,0,1,1,0,1,4,1,1,4,0,1,192
24,CHANDPUR,305,305,0,610,153,157,0,310,310,0,156,69,58,1,0,0,2,0,1,0,1,2,4,1,3,8,3,1,310
25,MAKHDOOMPUR,374,328,0,702,212,157,0,369,369,0,197,6,138,6,1,0,0,0,0,0,1,1,4,2,2,5,4,2,369
